,date,quarter,year,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debt,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalAssets,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.revenue,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.taxExp,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.eps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,2,2021,0.0,0.0,1165862000.0,1394694000.0,3647145000.0,312028000.0,-130613000.0,435418000.0,1150310000.0,0.0,85053103.0,4342257000.0,1144891000.0,1786878000.0,0.0,20971000.0,2967978000.0,503724000.0,1319107000.0,1830112000.0,278593000.0,180558000.0,0.0,0.0,124944000.0,5492567000.0,-46325000.0,-43747000.0,161951000.0,5908000.0,54418000.0,15116000.0,-46139000.0,-65319000.0,7939000.0,0.0,56401000.0,0.0,-34089000.0,118204000.0,756132000.0,426095000.0,172707000.0,27778000.0,16143000.0,105858000.0,105858000.0,142301000.0,1.23,85053103.0,8665000.0,0.0,1.24,150000.0,141263000.0,188774000.0,330037000.0,196719000.0,0.0,133636000.0,106008000.0,7.0,0.026182074805928,0.436480667396698,2.64185219719901,3662455000.0,0.436480667396698,8.89011656635267,0.107142857142857,0.313914308315134,0.121537749224459,43.0608040249866,0.0781387178083175
1,2020-06-30 00:00:00+00:00,1,2021,0.0,0.0,1202882000.0,1394665000.0,3474664000.0,255627000.0,-208354000.0,479549000.0,1097128000.0,0.0,84918305.0,4266799000.0,1147307000.0,1699971000.0,0.0,55575000.0,2923315000.0,503172000.0,1291515000.0,1874214000.0,276970000.0,189177000.0,0.0,0.0,133532000.0,5363927000.0,-95837000.0,-66724000.0,134122000.0,2648000.0,48954000.0,-8929000.0,-66724000.0,-134000000.0,5962000.0,0.0,-63954000.0,0.0,-31471000.0,67398000.0,668932000.0,383364000.0,155170000.0,18674000.0,16231000.0,88190000.0,88190000.0,116356000.0,1.03,84918305.0,9492000.0,0.0,1.04,-66000.0,114001000.0,171567000.0,285568000.0,165310000.0,0.0,106864000.0,88124000.0,5.0,-0.0399983926590443,0.426901389079906,2.28783294303606,3489713000.0,0.426901389079906,7.87735930433374,0.04,0.330192214268775,0.122020301652358,41.0949441348364,0.0771824361226677
2,2020-03-31 00:00:00+00:00,4,2020,0.0,0.0,1284444000.0,1515251000.0,3393876000.0,319581000.0,-235463000.0,503607000.0,1208751000.0,0.0,84813121.0,4216831000.0,1264635000.0,1647175000.0,0.0,19809000.0,2921558000.0,586481000.0,1243692000.0,2018858000.0,248259000.0,174283000.0,0.0,0.0,149341000.0,5425582000.0,21967000.0,-57098000.0,199233000.0,-9864000.0,50941000.0,854000.0,-59746000.0,-9272000.0,4949000.0,0.0,120351000.0,-2648000.0,-31439000.0,142135000.0,822991000.0,458931000.0,189064000.0,24793000.0,17225000.0,123316000.0,123316000.0,157686000.0,1.44,84813121.0,9577000.0,0.0,1.46,-97000.0,157765000.0,206295000.0,364060000.0,208627000.0,0.0,148109000.0,123219000.0,7.0,0.0713057446307208,0.442362067142897,2.40018705061685,3406724000.0,0.442362067142897,9.70358112396312,0.140625,0.372622629701262,0.123123752654786,40.1674170202981,0.0769915741443517
4,2019-12-31 00:00:00+00:00,3,2020,0.0,0.0,1260217000.0,1488709000.0,3382680000.0,199230000.0,-148922000.0,450806000.0,1052871000.0,0.0,84783115.0,4282710000.0,1241028000.0,1544495000.0,0.0,19189000.0,2997670000.0,544405000.0,1225684000.0,1939515000.0,252046000.0,169249000.0,0.0,0.0,139808000.0,5335581000.0,-61707000.0,-55300000.0,131326000.0,7244000.0,49558000.0,-2473000.0,-74531000.0,-90345000.0,5586000.0,0.0,-26306000.0,-19231000.0,-31375000.0,76026000.0,774261000.0,442908000.0,172927000.0,29285000.0,16487000.0,104930000.0,104930000.0,144028000.0,1.23,84783115.0,9813000.0,0.0,1.24,-263000.0,142387000.0,188966000.0,331353000.0,193586000.0,0.0,134215000.0,104667000.0,7.0,0.112063690864331,0.427960338955468,2.33553013935041,3396066000.0,0.427960338955468,9.13225469481748,1.17543859649123,0.366877150661606,0.120691616757733,40.0559238711623,0.0754960168251274
5,2019-09-30 00:00:00+00:00,2,2020,0.0,0.0,1303566000.0,1520049000.0,3228668000.0,225536000.0,-225717000.0,428023000.0,1031954000.0,0.0,84686637.0,4153763000.0,1285105000.0,1472725000.0,0.0,18461000.0,2895441000.0,513353000.0,1182148000.0,1948072000.0,236837000.0,158934000.0,0.0,0.0,133802000.0,5185717000.0,-14621000.0,-48186000.0,150663000.0,-6121000.0,49634000.0,-9904000.0,-101151000.0,-55922000.0,7739000.0,0.0,-12531000.0,-52965000.0,-31397000.0,102477000.0,736840000.0,418173000.0,175959000.0,22165000.0,16249000.0,94769000.0,94769000.0,127378000.0,1.11,84686637.0,10444000.0,0.0,1.12,373000.0,126733000.0,191934000.0,318667000.0,177012000.0,0.0,116934000.0,95142000.0,7.0,0.0852464279980736,0.432477878508224,2.41097791473823,3237645000.0,0.432477878508224,8.70078239144152,0.217391304347826,0.398029466021282,0.105417090200012,38.2308840531712,0.0655698702813934
6,2019-06-30 00:00:00+00:00,1,2020,0.0,0.0,1332630000.0,1551947000.0,3236900000.0,238067000.0,-156844000.0,432774000.0,1044282000.0,0.0,84541998.0,4185441000.0,1312491000.0,1397390000.0,0.0,20139000.0,2949508000.0,509655000.0,1176738000.0,1984721000.0,233587000.0,179426000.0,0.0,0.0,135487000.0,5229723000.0,27861000.0,-49776000.0,109337000.0,11000.0,47102000.0,-4987000.0,-84307000.0,-7607000.0,5537000.0,0.0,17434000.0,-34531000.0,-28823000.0,59561000.0,696803000.0,390960000.0,178781000.0,14633000.0,15585000.0,84590000.0,84590000.0,109668000.0,0.99,84541998.0,10445000.0,0.0,1.0,187000.0,110088000.0,195755000.0,305843000.0,156770000.0,0.0,99223000.0,84777000.0,5.0,0.0908716603158004,0.438923196369706,2.41299615965839,3245002000.0,0.438923196369706,8.24209288264041,0.204819277108434,0.40547777194229,0.100861676511614,38.3833133444516,0.0626940621256543
7,2019-03-31 00:00:00+00:00,4,2019,0.0,0.0,1183227000.0,1422077000.0,3177810000.0,220633000.0,-159778000.0,465196000.0,1053735000.0,0.0,84587442.0,4019336000.0,1183227000.0,1339024000.0,0.0,0.0,2927542000.0,564830000.0,1031582000.0,1887273000.0,208243000.0,166498000.0,0.0,0.0,152913000.0,5073071000.0,-62503000.0,-76475000.0,178926000.0,1447000.0,50263000.0,-19488000.0,-73662000.0,-110984000.0,5608000.0,0.0,-4273000.0,2674000.0,-28753000.0,102451000.0,768213000.0,433497000.0,173120000.0,24523000.0,15878000.0,108745000.0,108745000.0,144269000.0,1.28,84587442.0,11001000.0,0.0,1.28,132000.0,140878000.0,193838000.0,334716000.0,194532000.0,0.0,133268000.0,108877000.0,7.0,0.0729636452771263,0.435707284307868,2.2651420046604,3185798000.0,0.435707284307868,9.08188002658834,0.471264367816092,0.372340385359729,0.097392551632417,37.6627774132241,0.0603498363607809
9,2018-12-31 00:00:00+00:00,3,2019,0.0,0.0,1246308000.0,1496064000.0,3104536000.0,224906000.0,-167025000.0,398019000.0,1020523000.0,0.0,84499655.0,3985867000.0,1246308000.0,1253501000.0,0.0,0.0,2945214000.0,509859000.0,989044000.0,1894083000.0,227626000.0,153158000.0,0.0,0.0,136723000.0,5006390000.0,-16677000.0,-50671000.0,133877000.0,-3539000.0,82687000.0,2322000.0,-71406000.0,-43947000.0,5419000.0,0.0,14985000.0,-13313000.0,-28745000.0,83206000.0,696238000.0,409241000.0,176099000.0,9334000.0,15167000.0,47858000.0,47858000.0,68071000.0,0.56,84499655.0,10879000.0,0.0,0.57,568000.0,69584000.0,217413000.0,286997000.0,150758000.0,0.0,57192000.0,48426000.0,7.0,0.0518779271793322,0.412211054265926,2.56400573841952,3112307000.0,0.412211054265926,8.23953659929144,-0.491071428571429,0.401447430469481,0.0859406578836877,36.8321858828891,0.0530387141350508
10,2018-09-30 00:00:00+00:00,2,2019,0.0,0.0,1267723000.0,1523721000.0,3117863000.0,209921000.0,-126780000.0,372592000.0,979520000.0,0.0,84551550.0,4041770000.0,1267723000.0,1232062000.0,0.0,0.0,3008866000.0,490952000.0,986213000.0,1896313000.0,230828000.0,154098000.0,0.0,0.0,125549000.0,5021290000.0,-51350000.0,-32071000.0,125923000.0,-589000.0,46117000.0,-20557000.0,-33290000.0,-100647000.0,7701000.0,0.0,-8603000.0,0.0,-28740000.0,93852000.0,678961000.0,394297000.0,162312000.0,17764000.0,15773000.0,77457000.0,77457000.0,106614000.0,0.91,84551550.0,11393000.0,0.0,0.92,38000.0,106579000.0,178085000.0,284664000.0,152731000.0,0.0,95221000.0,77495000.0,7.0,0.0706478974515854,0.419264140355632,2.62893459870314,3124977000.0,0.419264140355632,8.0301425580016,0.210526315789474,0.406599969273826,0.100920194943381,36.9594288927879,0.061834589775395
11,2018-06-30 00:00:00+00:00,1,2019,0.0,0.0,1320064000.0,1578784000.0,3087440000.0,218524000.0,-121096000.0,373842000.0,988889000.0,0.0,84618075.0,4062925000.0,1320064000.0,1181517000.0,0.0,0.0,3032408000.0,481482000.0,984235000.0,1952626000.0,233876000.0,162264000.0,0.0,0.0,130738000.0,5051814000.0,18443000.0,-24931000.0,100779000.0,-9709000.0,46854000.0,-30409000.0,-34866000.0,-39214000.0,5237000.0,-4955000.0,16990000.0,-196000.0,-26265000.0,75848000.0,638758000.0,369708000.0,158406000.0,12773000.0,16220000.0,69991000.0,69991000.0,94504000.0,0.82,84618075.0,11740000.0,0.0,0.83,287000.0,94424000.0,174626000.0,269050000.0,141358000.0,0.0,82764000.0,70278000.0,7.0,0.0506510253896613,0.421208031836783,2.64520572862332,3099188000.0,0.421208031836783,7.54871816689283,0.220588235294118,0.427559401964087,0.0974508409921431,36.62560274504,0.0590038845699939
