,date,quarter,year,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.intangibles,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.taxAssets,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctRec,statementData.cashFlow.ncfi,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.capex,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netinc,statementData.incomeStatement.ebitda,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebt,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,-102000000.0,980000000.0,12109000000.0,970000000.0,16133000000.0,18032000000.0,2453000000.0,12595000000.0,0.0,9769000000.0,25836000000.0,17823000000.0,2453000000.0,0.0,1036000000.0,35605000000.0,589872108.0,15685000000.0,7804000000.0,0.0,1824000000.0,0.0,19472000000.0,426000000.0,11559000000.0,897000000.0,-434000000.0,315000000.0,-1050000000.0,0.0,-345000000.0,1196000000.0,0.0,0.0,1242000000.0,0.0,-242000000.0,-1139000000.0,13000000.0,-89000000.0,590000000.0,590000000.0,872000000.0,1678000000.0,0.0,-1.96,2332000000.0,-385000000.0,-1411000000.0,1793000000.0,111000000.0,0.0,-1157000000.0,-1116000000.0,-1.96,0.0,-1542000000.0,-1431000000.0,-1157000000.0,0.0,-1157000000.0,921000000.0,2.0,-0.682035821954247,0.513664249860569,2.06727319323424,9769000000.0,0.513664249860569,3.03964194218181,-2.58064516129032,1.18323267478759,-0.167163877231127,16.5612170290988,-0.05333075229269
1,2020-06-30 00:00:00+00:00,2,2020,-130000000.0,970000000.0,12351000000.0,970000000.0,15872000000.0,15357000000.0,2106000000.0,11422000000.0,0.0,10878000000.0,24718000000.0,18092000000.0,2106000000.0,0.0,1031000000.0,35596000000.0,508885530.0,16842000000.0,9361000000.0,0.0,2114000000.0,0.0,19724000000.0,422000000.0,10391000000.0,770000000.0,332000000.0,313000000.0,897000000.0,0.0,317000000.0,5023000000.0,0.0,0.0,7182000000.0,0.0,8411000000.0,784000000.0,2307000000.0,-113000000.0,563000000.0,563000000.0,672000000.0,930000000.0,0.0,-1.63,1463000000.0,-324000000.0,-1127000000.0,1008000000.0,96000000.0,0.0,-915000000.0,-830000000.0,-1.63,0.0,-1239000000.0,-1143000000.0,-915000000.0,0.0,-915000000.0,336000000.0,4.0,-0.829412760196311,0.333333333333333,1.69554534771926,10878000000.0,0.333333333333333,1.98079910033991,-2.18978102189781,0.955230740945027,0.0164165575586665,21.3761236245016,0.00567731598791393
2,2020-03-31 00:00:00+00:00,1,2020,-186000000.0,1043000000.0,3940000000.0,970000000.0,7028000000.0,7569000000.0,1605000000.0,6349000000.0,0.0,9075000000.0,17810000000.0,18267000000.0,1605000000.0,0.0,3125000000.0,26885000000.0,517295540.0,17757000000.0,10241000000.0,0.0,2278000000.0,0.0,19857000000.0,518000000.0,3224000000.0,709000000.0,-5000000.0,311000000.0,-377000000.0,0.0,-81000000.0,2422000000.0,0.0,0.0,1774000000.0,-188000000.0,1392000000.0,-601000000.0,-440000000.0,-224000000.0,515000000.0,515000000.0,1481000000.0,1854000000.0,0.0,-0.18,2863000000.0,-50000000.0,-110000000.0,4234000000.0,28000000.0,0.0,-94000000.0,195000000.0,-0.18,0.0,-144000000.0,-116000000.0,-94000000.0,0.0,-94000000.0,2753000000.0,3.0,-0.177704408623034,0.650212564950401,0.686261107313739,9075000000.0,0.650212564950401,8.18487628948048,-1.25714285714286,0.355261707988981,0.187632162566404,17.5431630437023,0.0688878158699501
3,2019-12-31 00:00:00+00:00,4,2019,-61000000.0,1574000000.0,2548000000.0,970000000.0,5974000000.0,7111000000.0,1524000000.0,3996000000.0,0.0,9832000000.0,16063000000.0,18374000000.0,1524000000.0,0.0,1172000000.0,25895000000.0,526276126.0,17945000000.0,8952000000.0,0.0,2364000000.0,0.0,19921000000.0,529000000.0,2824000000.0,1086000000.0,144000000.0,313000000.0,824000000.0,0.0,5000000.0,-370000000.0,0.0,0.0,-908000000.0,0.0,60000000.0,563000000.0,-539000000.0,-261000000.0,515000000.0,526276126.0,1739000000.0,2247000000.0,0.0,0.98,3326000000.0,153000000.0,665000000.0,5730000000.0,28000000.0,0.0,513000000.0,1007000000.0,0.98,0.0,666000000.0,694000000.0,513000000.0,0.0,513000000.0,3991000000.0,7.0,0.00455820476858348,0.696509598603839,0.66733690795353,9832000000.0,0.696509598603839,10.8878205126865,-0.162393162393162,0.287225386493084,0.232946776725579,18.6822079023969,0.087456628166738
5,2019-09-30 00:00:00+00:00,3,2019,-63000000.0,1274000000.0,2488000000.0,970000000.0,5650000000.0,7907000000.0,1528000000.0,4381000000.0,0.0,9931000000.0,16536000000.0,19194000000.0,1528000000.0,0.0,969000000.0,26467000000.0,537517040.0,17525000000.0,8629000000.0,0.0,2643000000.0,0.0,20817000000.0,528000000.0,3412000000.0,867000000.0,-359000000.0,308000000.0,1091000000.0,0.0,16000000.0,-70000000.0,0.0,0.0,-690000000.0,-96000000.0,42000000.0,716000000.0,-491000000.0,-375000000.0,534000000.0,533000000.0,1748000000.0,2002000000.0,0.0,1.24,3072000000.0,160000000.0,819000000.0,5639000000.0,30000000.0,0.0,659000000.0,1157000000.0,1.23,0.0,819000000.0,849000000.0,659000000.0,0.0,659000000.0,3891000000.0,6.0,0.0114798206278026,0.690015960276645,0.654768802874029,9931000000.0,0.690015960276645,10.4908302069828,0.148148148148148,0.343570637398046,0.247096039478679,18.4756933473216,0.0925120566972703
6,2019-06-30 00:00:00+00:00,2,2019,30000000.0,1330000000.0,2446000000.0,970000000.0,5554000000.0,7823000000.0,1540000000.0,4525000000.0,0.0,9940000000.0,16434000000.0,19157000000.0,1540000000.0,0.0,1004000000.0,26374000000.0,543064878.0,16962000000.0,8611000000.0,0.0,2497000000.0,0.0,20820000000.0,510000000.0,3521000000.0,777000000.0,-252000000.0,302000000.0,966000000.0,0.0,-22000000.0,-75000000.0,0.0,0.0,-612000000.0,-98000000.0,102000000.0,736000000.0,-440000000.0,-230000000.0,542000000.0,542000000.0,1803000000.0,2068000000.0,0.0,1.37,3138000000.0,227000000.0,968000000.0,5909000000.0,31000000.0,0.0,741000000.0,1301000000.0,1.37,0.0,968000000.0,999000000.0,741000000.0,0.0,741000000.0,4106000000.0,7.0,0.0290839428770464,0.69487222880352,0.644988967599582,9940000000.0,0.69487222880352,10.8808362303997,0.078740157480315,0.354225352112676,0.241286458464403,18.3035221069848,0.0904886841956247
7,2019-03-31 00:00:00+00:00,1,2019,96000000.0,1412000000.0,2344000000.0,970000000.0,5483000000.0,7945000000.0,1517000000.0,4684000000.0,0.0,9791000000.0,16668000000.0,19281000000.0,1517000000.0,0.0,932000000.0,26459000000.0,552688849.0,16320000000.0,8723000000.0,0.0,2480000000.0,0.0,20976000000.0,484000000.0,3752000000.0,784000000.0,164000000.0,297000000.0,1105000000.0,0.0,324000000.0,-99000000.0,0.0,0.0,-779000000.0,-178000000.0,490000000.0,945000000.0,-490000000.0,-160000000.0,552000000.0,551000000.0,1641000000.0,1976000000.0,0.0,0.7,3003000000.0,117000000.0,505000000.0,5149000000.0,31000000.0,0.0,387000000.0,832000000.0,0.7,0.0,504000000.0,535000000.0,387000000.0,0.0,387000000.0,3508000000.0,4.0,0.0414644012944985,0.681297339289182,0.628568153158317,9791000000.0,0.681297339289182,9.31627263570863,-0.113924050632911,0.383209069553672,0.240136704025733,17.7152117646578,0.0901092891022075
8,2018-12-31 00:00:00+00:00,4,2018,20000000.0,1416000000.0,1854000000.0,970000000.0,5028000000.0,8485000000.0,1835000000.0,3377000000.0,0.0,9853000000.0,16390000000.0,19525000000.0,1835000000.0,0.0,606000000.0,26243000000.0,562306592.0,15967000000.0,7905000000.0,0.0,2427000000.0,0.0,21215000000.0,461000000.0,2771000000.0,568000000.0,-668000000.0,331000000.0,989000000.0,0.0,-125000000.0,-87000000.0,0.0,0.0,-571000000.0,0.0,-250000000.0,451000000.0,-491000000.0,-538000000.0,559000000.0,558000000.0,1807000000.0,1990000000.0,0.0,1.17,3077000000.0,163000000.0,820000000.0,5704000000.0,32000000.0,0.0,654000000.0,1180000000.0,1.16,0.0,817000000.0,849000000.0,654000000.0,0.0,654000000.0,3897000000.0,6.0,0.0848231266641308,0.68320476858345,0.636053130929791,9853000000.0,0.68320476858345,10.1439322980585,-0.599315068493151,0.28123414188572,0.248851648074302,17.5224693079892,0.0938216627177833
10,2018-09-30 00:00:00+00:00,3,2018,412000000.0,1224000000.0,2104000000.0,970000000.0,5601000000.0,8886000000.0,1716000000.0,3446000000.0,0.0,10153000000.0,16729000000.0,19279000000.0,1716000000.0,0.0,346000000.0,26882000000.0,573019190.0,15402000000.0,7843000000.0,0.0,2553000000.0,0.0,21281000000.0,483000000.0,3100000000.0,784000000.0,-604000000.0,301000000.0,1271000000.0,0.0,-147000000.0,-98000000.0,0.0,0.0,-677000000.0,-91000000.0,-10000000.0,817000000.0,-491000000.0,-454000000.0,569000000.0,569000000.0,1825000000.0,1912000000.0,0.0,1.08,2952000000.0,171000000.0,798000000.0,5575000000.0,33000000.0,0.0,615000000.0,1120000000.0,1.08,0.0,786000000.0,819000000.0,615000000.0,0.0,615000000.0,3750000000.0,6.0,0.051291721666981,0.672645739910314,0.714139997449955,10153000000.0,0.672645739910314,9.72916805805404,0.227272727272727,0.305328474342559,0.361126617609744,17.7184292903,0.136898807233551
11,2018-06-30 00:00:00+00:00,2,2018,298000000.0,1338000000.0,2114000000.0,970000000.0,5408000000.0,8752000000.0,1572000000.0,3520000000.0,0.0,9997000000.0,16468000000.0,19066000000.0,1572000000.0,0.0,365000000.0,26465000000.0,579803228.0,14878000000.0,7716000000.0,0.0,2414000000.0,0.0,21057000000.0,459000000.0,3155000000.0,765000000.0,-694000000.0,292000000.0,1631000000.0,0.0,-156000000.0,-75000000.0,0.0,0.0,-645000000.0,-93000000.0,292000000.0,1110000000.0,-491000000.0,-521000000.0,579000000.0,578000000.0,1820000000.0,1927000000.0,0.0,1.27,2950000000.0,227000000.0,972000000.0,5742000000.0,33000000.0,0.0,733000000.0,1285000000.0,1.27,0.0,960000000.0,993000000.0,733000000.0,0.0,733000000.0,3922000000.0,6.0,0.00191938579654516,0.683037269244166,0.700881285640228,9997000000.0,0.683037269244166,9.90335983434711,0.032520325203252,0.315594678403521,0.364821189268728,17.2420564723037,0.137021721752346
