,date,quarter,year,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debt,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.incomeStatement.ebitda,statementData.incomeStatement.epsDil,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.intexp,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opinc,statementData.incomeStatement.revenue,statementData.incomeStatement.taxExp,statementData.incomeStatement.costRev,statementData.overview.bvps,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.piotroskiFScore,statementData.overview.roe,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.profitMargin,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.currentRatio,statementData.overview.longTermDebtEquity
0,2019-09-30 00:00:00+00:00,3,2019,2374000000.0,1293000000.0,421000000.0,14454000000.0,12087000000.0,29276000000.0,451000000.0,9604000000.0,0.0,-27000000.0,5009000000.0,0.0,0.0,708741260.0,26909000000.0,41363000000.0,24267000000.0,60000000.0,24390000000.0,22366000000.0,5390000000.0,1498000000.0,1415000000.0,18289000000.0,1293000000.0,19787000000.0,137000000.0,2104000000.0,2390000000.0,0.0,-68000000.0,176000000.0,2172000000.0,-21000000.0,171000000.0,0.0,102000000.0,102000000.0,605000000.0,0.0,2278000000.0,2.32,2089000000.0,781000000.0,1167000000.0,1691000000.0,0.0,1691000000.0,4353000000.0,0.0,190000000.0,1917000000.0,1691000000.0,709400000.0,729500000.0,0.0,2107000000.0,2.38,2264000000.0,4520000000.0,226000000.0,167000000.0,17.0541785587592,0.153060228418963,0.161356628982528,8.0,0.645019745502413,0.545454545454545,6.37750368872274,0.963053097345133,12087000000.0,0.963053097345133,2.88560590936315,1.51311326218251
1,2019-06-30 00:00:00+00:00,2,2019,2451000000.0,2109000000.0,327000000.0,12683000000.0,10051000000.0,29132000000.0,464000000.0,7214000000.0,0.0,-56000000.0,3685000000.0,0.0,0.0,705259536.0,26500000000.0,39183000000.0,25447000000.0,83000000.0,23994000000.0,20675000000.0,5212000000.0,0.0,1400000000.0,19790000000.0,2109000000.0,19790000000.0,-43000000.0,2107000000.0,1781000000.0,-500000000.0,-60000000.0,225000000.0,2167000000.0,4000000.0,158000000.0,0.0,177000000.0,-347000000.0,17000000.0,0.0,2171000000.0,2.16,2138000000.0,793000000.0,1100000000.0,1571000000.0,0.0,1571000000.0,4249000000.0,0.0,192000000.0,1821000000.0,1571000000.0,706700000.0,726700000.0,0.0,2013000000.0,2.22,2111000000.0,4400000000.0,250000000.0,151000000.0,14.2514910992994,0.143901390282356,0.153644467750393,8.0,0.721141019940486,0.52054794520548,6.23883800984153,0.965681818181818,10051000000.0,0.965681818181818,3.44179104477612,1.96895831260571
2,2019-03-31 00:00:00+00:00,1,2019,2327000000.0,2258000000.0,340000000.0,10981000000.0,8165000000.0,29474000000.0,442000000.0,5433000000.0,0.0,-32000000.0,3955000000.0,0.0,0.0,702164345.0,26658000000.0,37639000000.0,25519000000.0,144000000.0,24104000000.0,19104000000.0,5018000000.0,500000000.0,1383000000.0,19781000000.0,2258000000.0,20281000000.0,-295000000.0,1407000000.0,1199000000.0,0.0,-69000000.0,257000000.0,1476000000.0,-8000000.0,157000000.0,0.0,84000000.0,26000000.0,-226000000.0,0.0,2163000000.0,2.14,2175000000.0,773000000.0,1216000000.0,1545000000.0,0.0,1545000000.0,3885000000.0,0.0,192000000.0,1814000000.0,1545000000.0,702400000.0,720500000.0,0.0,2006000000.0,2.2,1710000000.0,4025000000.0,269000000.0,140000000.0,11.6283318259346,0.134822202332751,0.137648388920294,6.0,0.839228864520693,0.946902654867257,5.73227625222127,0.965217391304348,8165000000.0,0.965217391304348,2.77648546144121,2.42265768524189
3,2018-12-31 00:00:00+00:00,4,2018,2066000000.0,1808000000.0,418000000.0,9067000000.0,6161000000.0,29319000000.0,458000000.0,4234000000.0,0.0,-50000000.0,4057000000.0,0.0,0.0,699251840.0,26413000000.0,35480000000.0,25262000000.0,146000000.0,24216000000.0,17559000000.0,5021000000.0,501000000.0,1367000000.0,19769000000.0,1808000000.0,20270000000.0,-601000000.0,2245000000.0,1754000000.0,1000000.0,-98000000.0,190000000.0,2343000000.0,-4000000.0,170000000.0,0.0,15000000.0,16000000.0,-503000000.0,0.0,1477000000.0,1.49,2061000000.0,850000000.0,1138000000.0,1073000000.0,0.0,1073000000.0,3868000000.0,0.0,190000000.0,1117000000.0,1073000000.0,699200000.0,714000000.0,0.0,1307000000.0,1.53,1807000000.0,4037000000.0,44000000.0,169000000.0,8.81084560320928,0.117535131994626,0.159058283089291,6.0,0.824746470977934,-16.3,5.7733133744775,0.958137230616795,6161000000.0,0.958137230616795,2.23490263741681,3.2087323486447
5,2018-09-30 00:00:00+00:00,3,2018,2120000000.0,1898000000.0,292000000.0,7827000000.0,4860000000.0,29355000000.0,510000000.0,2480000000.0,0.0,-77000000.0,3683000000.0,0.0,0.0,703363010.0,26388000000.0,34215000000.0,25672000000.0,153000000.0,24346000000.0,16486000000.0,5367000000.0,502000000.0,1313000000.0,19742000000.0,1898000000.0,20244000000.0,-31000000.0,1860000000.0,977000000.0,-996000000.0,-64000000.0,252000000.0,1924000000.0,-3000000.0,169000000.0,0.0,83000000.0,-913000000.0,33000000.0,0.0,1740000000.0,1.5,2055000000.0,746000000.0,1081000000.0,1082000000.0,0.0,1082000000.0,3735000000.0,0.0,193000000.0,1378000000.0,1082000000.0,702000000.0,719700000.0,0.0,1571000000.0,1.54,1680000000.0,3892000000.0,296000000.0,157000000.0,6.90966105823506,0.0874006467406087,0.184058411925768,5.0,0.567531766668302,0.222222222222222,5.53341581042199,0.959660842754368,4860000000.0,0.959660842754368,2.12516969861526,4.06213991769547
6,2018-06-30 00:00:00+00:00,2,2018,2064000000.0,1907000000.0,294000000.0,6853000000.0,3430000000.0,30014000000.0,555000000.0,1503000000.0,0.0,-119000000.0,4502000000.0,0.0,0.0,724827113.0,26591000000.0,33444000000.0,25512000000.0,127000000.0,24474000000.0,15404000000.0,5171000000.0,1497000000.0,1292000000.0,19754000000.0,1907000000.0,21251000000.0,-128000000.0,1149000000.0,-1316000000.0,995000000.0,-80000000.0,295000000.0,1229000000.0,-18000000.0,170000000.0,0.0,-3394000000.0,-2399000000.0,-48000000.0,0.0,1669000000.0,1.43,2202000000.0,790000000.0,1251000000.0,1045000000.0,0.0,1045000000.0,3688000000.0,0.0,192000000.0,1307000000.0,1045000000.0,716100000.0,732600000.0,0.0,1499000000.0,1.46,1486000000.0,3814000000.0,262000000.0,126000000.0,4.73216293717754,0.0861738414037897,0.166004280036686,6.0,0.441098805817207,0.0354609929078014,5.26194444384698,0.966963817514421,3430000000.0,0.966963817514421,1.52221235006664,5.75918367346939
7,2018-03-31 00:00:00+00:00,1,2018,1991000000.0,1921000000.0,320000000.0,7872000000.0,5172000000.0,29384000000.0,536000000.0,2819000000.0,0.0,-328000000.0,3115000000.0,0.0,0.0,752175608.0,26684000000.0,34556000000.0,26269000000.0,104000000.0,24617000000.0,14359000000.0,5345000000.0,0.0,1251000000.0,20271000000.0,1921000000.0,20271000000.0,-5658000000.0,-413000000.0,-4194000000.0,4452000000.0,-88000000.0,217000000.0,-325000000.0,33000000.0,126000000.0,-8648000000.0,-2656000000.0,1756000000.0,3078000000.0,0.0,1322000000.0,1.1,3185000000.0,864000000.0,2203000000.0,846000000.0,0.0,846000000.0,3403000000.0,0.0,166000000.0,1030000000.0,846000000.0,748300000.0,768300000.0,0.0,1196000000.0,1.13,218000000.0,3538000000.0,184000000.0,135000000.0,6.87605386959052,0.0900748782931852,0.194463200540176,2.0,0.375674608398052,-0.0583333333333333,4.70368882262398,0.96184284906727,5172000000.0,0.96184284906727,2.52712680577849,3.91937354988399
