,date,quarter,year,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.acctPay,statementData.balanceSheet.ppeq,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debt,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfx,statementData.cashFlow.ncf,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.capex,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.opex,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.opinc,statementData.incomeStatement.costRev,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.taxExp,statementData.incomeStatement.epsDil,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.overview.bookVal,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roa,statementData.overview.longTermDebtEquity,statementData.overview.piotroskiFScore,statementData.overview.currentRatio,statementData.overview.revenueQoQ,statementData.overview.grossMargin,statementData.overview.roe
0,2020-03-31 00:00:00+00:00,1,2020,0.0,7474100000.0,18037300000.0,1199900000.0,80952100000.0,1618800000.0,77495400000.0,2049500000.0,329002015.0,57997700000.0,22971300000.0,30404700000.0,7433400000.0,597900000.0,0.0,5289500000.0,2396400000.0,882500000.0,20107800000.0,999500000.0,2070500000.0,1079000000.0,0.0,88426200000.0,430700000.0,4220000000.0,51600000.0,1795000000.0,-243500000.0,9700000.0,1679100000.0,-57600000.0,-31000000.0,-1503800000.0,116500000.0,58200000.0,-3268400000.0,-3034600000.0,1509100000.0,-58300000.0,-1488800000.0,378000000.0,378000000.0,430000000.0,1373400000.0,329100000.0,4280900000.0,184500000.0,0.0,331900000.0,0.0,1000000.0,2981300000.0,1.15,-1299600000.0,623100000.0,204800000.0,379000000.0,-1866800000.0,1.14,3604400000.0,-1304300000.0,58021500000.0,10.9555560016859,-1.15862068965517,176.356062743263,0.827127954722006,-0.0266477290853529,0.311000263803565,4.0,1.00547528721716,0.00202941258235811,0.827127954722006,-0.0424204041290331
1,2019-12-31 00:00:00+00:00,4,2019,0.0,11126700000.0,18562600000.0,1133100000.0,83572400000.0,3411600000.0,80138900000.0,3819600000.0,328277336.0,58173600000.0,25432000000.0,36502700000.0,11070700000.0,576900000.0,0.0,6348700000.0,2416900000.0,991500000.0,23219500000.0,2503300000.0,4656900000.0,1207200000.0,0.0,94699100000.0,408000000.0,6133600000.0,52600000.0,-97100000.0,-243000000.0,39900000.0,-226100000.0,-12300000.0,19100000.0,1265800000.0,1670300000.0,1553600000.0,-197500000.0,5600000.0,1608800000.0,-116700000.0,-421900000.0,-317200000.0,-317200000.0,452500000.0,1639600000.0,328100000.0,3923600000.0,191900000.0,0.0,328100000.0,0.0,-100000.0,3647000000.0,-0.98,-276600000.0,704000000.0,1378800000.0,-317300000.0,-104700000.0,-0.98,4351000000.0,-230000000.0,58196400000.0,13.2540371291425,-0.923197492163009,177.27815361582,0.838198115375776,-0.0551035609278014,0.319089758928449,5.0,1.00505839739131,0.066499987744197,0.838198115375776,-0.0886383271218399
3,2019-09-30 00:00:00+00:00,3,2019,0.0,9593600000.0,19223400000.0,1083100000.0,84815300000.0,3318400000.0,81592300000.0,3686300000.0,328032715.0,58475200000.0,26272000000.0,35910700000.0,9638700000.0,487400000.0,3012300000.0,5692200000.0,2335200000.0,1551700000.0,23081000000.0,1237500000.0,3857600000.0,1041100000.0,0.0,94408900000.0,367900000.0,6326600000.0,49900000.0,-2995100000.0,-242600000.0,20600000.0,-3095300000.0,0.0,-12700000.0,-413900000.0,2924100000.0,2823900000.0,-230000000.0,-8000000.0,1617600000.0,-100200000.0,-768700000.0,-786800000.0,-786800000.0,474500000.0,1994100000.0,328000000.0,4008300000.0,193900000.0,0.0,328000000.0,0.0,1200000.0,3411700000.0,-2.4,-596600000.0,639000000.0,1042800000.0,-785600000.0,18100000.0,-2.4,4050700000.0,-574800000.0,58498200000.0,12.3484634756628,20.8181818181818,178.330383906983,0.842249487742859,-0.0949795170041582,0.32874449339207,5.0,0.995320945770695,0.0356138467045048,0.842249487742859,-0.151200542470364
4,2019-06-30 00:00:00+00:00,2,2019,0.0,8572800000.0,20024100000.0,1004500000.0,86907900000.0,322300000.0,83572200000.0,657500000.0,327801905.0,59674700000.0,27480900000.0,35784600000.0,8303700000.0,689100000.0,3086300000.0,4995300000.0,2278900000.0,2581100000.0,23241500000.0,1651400000.0,3217400000.0,1281700000.0,0.0,95480700000.0,335200000.0,6726400000.0,59500000.0,692900000.0,-242700000.0,9600000.0,567400000.0,-38500000.0,-3200000.0,862900000.0,1410300000.0,1323300000.0,-1111600000.0,-878500000.0,1488600000.0,-87000000.0,-1457400000.0,-1759000000.0,-1759000000.0,450000000.0,1197500000.0,327800000.0,4700700000.0,195400000.0,0.0,327800000.0,0.0,4100000.0,3437800000.0,-5.37,-1262900000.0,652300000.0,226600000.0,-1754900000.0,301600000.0,-5.37,4090100000.0,-1262000000.0,59696100000.0,12.4773527475382,2.86330935251799,182.110290054599,0.840517346764138,-0.0846570747928752,0.335554263364541,5.0,1.03240724014596,-0.00826827020998011,0.840517346764138,-0.132453610944772
5,2019-03-31 00:00:00+00:00,1,2019,0.0,6289300000.0,19969300000.0,943200000.0,91747000000.0,995200000.0,85601200000.0,2974700000.0,332614474.0,61542000000.0,27627500000.0,36476700000.0,8849200000.0,1032600000.0,2731200000.0,4634400000.0,2236500000.0,4582800000.0,24057200000.0,788500000.0,4087900000.0,1216400000.0,0.0,98036300000.0,1979500000.0,6980700000.0,52300000.0,30900000.0,-246100000.0,-819500000.0,-104800000.0,-88100000.0,5900000.0,-91900000.0,1234000000.0,1186400000.0,-1227000000.0,-161400000.0,1477000000.0,-47600000.0,-2476600000.0,-2408000000.0,-2408000000.0,435000000.0,1112300000.0,332000000.0,5408500000.0,201800000.0,0.0,332000000.0,0.0,700000.0,3099300000.0,-7.25,-2309200000.0,497800000.0,-797800000.0,-2407300000.0,-68600000.0,-7.25,3597100000.0,-2274800000.0,61559600000.0,10.8146225771281,6.32323232323232,185.077935002913,0.8616107419866,-0.069536242019993,0.324482467258133,5.0,0.710719613072368,-0.0204242803845212,0.8616107419866,-0.107572294951629
6,2018-12-31 00:00:00+00:00,4,2018,0.0,6475400000.0,22929400000.0,846900000.0,95312200000.0,1026900000.0,89608700000.0,2997500000.0,337285952.0,65114100000.0,30928700000.0,36656600000.0,5727900000.0,1063700000.0,2868100000.0,4787200000.0,1787000000.0,7258900000.0,23797700000.0,880400000.0,868300000.0,1345200000.0,0.0,101787600000.0,1970600000.0,7189700000.0,54600000.0,-957300000.0,-241700000.0,-747700000.0,-1039900000.0,0.0,-8400000.0,-307500000.0,1498600000.0,1416000000.0,-757800000.0,242000000.0,1615700000.0,-82600000.0,-5596600000.0,-4299900000.0,-4299900000.0,678100000.0,1193600000.0,335200000.0,8873800000.0,210200000.0,0.0,335200000.0,0.0,4000000.0,3489700000.0,-12.76,-5384100000.0,590000000.0,-3770700000.0,-4295900000.0,-1296700000.0,-12.76,4079700000.0,-5386400000.0,65131000000.0,12.0956712718352,-2.4037403740374,193.103209943354,0.855381523151212,-0.0479280315332674,0.352141855604239,3.0,1.13050157998568,-0.056956612191119,0.855381523151212,-0.0736808512238653
8,2018-09-30 00:00:00+00:00,3,2018,0.0,5740200000.0,22231800000.0,894600000.0,100802300000.0,22000000.0,97583800000.0,324800000.0,339444422.0,70507800000.0,29789700000.0,36021600000.0,6231900000.0,989400000.0,2826900000.0,4695600000.0,1756600000.0,11800600000.0,23583400000.0,1187900000.0,1351600000.0,1504200000.0,0.0,106542500000.0,302800000.0,6990500000.0,57800000.0,549500000.0,-244400000.0,-422400000.0,504000000.0,0.0,-1900000.0,-486800000.0,1443000000.0,1397500000.0,-2431900000.0,-1765100000.0,1633000000.0,-45500000.0,175500000.0,-37900000.0,-37900000.0,424200000.0,1044800000.0,339000000.0,3057100000.0,220400000.0,0.0,339000000.0,0.0,1600000.0,3314600000.0,-0.11,257500000.0,596800000.0,2028900000.0,-36300000.0,213400000.0,-0.11,3911400000.0,395900000.0,70520900000.0,11.5229467520901,-0.990886495443248,207.753892623989,0.847420360996063,0.0198203311389758,0.315309795511986,5.0,0.921099504164059,-0.0304637731452793,0.847420360996063,0.0306884015056601
9,2018-06-30 00:00:00+00:00,2,2018,0.0,6103700000.0,24002000000.0,922500000.0,102755100000.0,21500000.0,99615500000.0,319400000.0,339063627.0,71243500000.0,31469500000.0,37594800000.0,6125300000.0,899900000.0,2760800000.0,4683800000.0,1761400000.0,12082900000.0,25350500000.0,1674700000.0,1348500000.0,1592900000.0,0.0,108858800000.0,297900000.0,6807100000.0,54900000.0,761800000.0,-244200000.0,-98800000.0,702100000.0,0.0,20300000.0,679900000.0,1240200000.0,1180500000.0,-1282700000.0,-1032900000.0,1746200000.0,-59700000.0,-477700000.0,-472500000.0,-472500000.0,689200000.0,1187500000.0,339100000.0,4109400000.0,230000000.0,0.0,339100000.0,0.0,2400000.0,3642400000.0,-1.39,-467000000.0,481800000.0,1498500000.0,-470100000.0,-5200000.0,-1.39,4124200000.0,-247700000.0,71264000000.0,12.1634987406066,-0.413502109704641,210.178840563161,0.883177343484797,-0.0155263426672382,0.33690091025848,6.0,0.996473642107325,0.0291460797524579,0.883177343484797,-0.0246555299064051
10,2018-03-31 00:00:00+00:00,1,2018,0.0,6393300000.0,25936400000.0,948400000.0,105628000000.0,1037400000.0,102626000000.0,1304500000.0,330320420.0,72327900000.0,33859300000.0,39675300000.0,5816000000.0,893600000.0,2639200000.0,5072300000.0,1769500000.0,12799500000.0,26562600000.0,994800000.0,626200000.0,2041500000.0,0.0,112021300000.0,267100000.0,7213600000.0,72500000.0,2967600000.0,-319500000.0,-1404100000.0,2932300000.0,0.0,-5300000.0,-822400000.0,1458300000.0,1423000000.0,-5207700000.0,-3622400000.0,1753700000.0,-35300000.0,-968300000.0,-286100000.0,-332500000.0,474700000.0,1095900000.0,334600000.0,3803300000.0,250600000.0,46400000.0,334600000.0,0.0,2200000.0,3149300000.0,-0.99,-654000000.0,522800000.0,1036000000.0,-283900000.0,-682200000.0,-0.99,3672100000.0,-717700000.0,72346000000.0,11.1167816994178,-0.874045801526718,219.017643535329,0.857629149532965,-0.0177316244061264,0.358594677849073,3.0,1.09926066024759,0.0277645610008677,0.857629149532965,-0.0287369995706406
