,date,year,quarter,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,2020,3,337685000.0,139022000.0,189174000.0,76501000.0,211185000.0,-2191955000.0,15348000.0,12892000.0,0.0,42925000.0,-1080000.0,1043856000.0,1097878000.0,197715000.0,0.0,1508666000.0,464810000.0,126500000.0,3001000.0,0.0,154370000.0,15484000.0,900163000.0,55843000.0,178899759.0,1170981000.0,23667000.0,-54585000.0,48668000.0,-52675000.0,113000.0,1531000.0,3245000.0,0.0,1531000.0,50578000.0,0.0,-2363000.0,-1910000.0,0.0,179090000.0,-105320000.0,-108565000.0,-0.61,127513000.0,24463000.0,-0.61,-108565000.0,0.0,-103050000.0,21000.0,-108586000.0,0.0,179090000.0,-108586000.0,5570000.0,26982000.0,30033000.0,-108586000.0,0.0,100531000.0,0.0,3.0,0.0278937641180095,0.814537342256851,8.25182608695652,1170981000.0,0.814537342256851,0.167876134478191,0.0892857142857142,0.118722677823124,-0.343670684444139,6.54545878957836,-0.252940485157271
1,2020-06-30 00:00:00+00:00,2020,2,338638000.0,141633000.0,192830000.0,76501000.0,214680000.0,-2083369000.0,15139000.0,12584000.0,0.0,47245000.0,715000.0,1151968000.0,1152357000.0,172166000.0,0.0,1594878000.0,442910000.0,123958000.0,4281000.0,0.0,156772000.0,19246000.0,980191000.0,58206000.0,177989857.0,1256240000.0,23371000.0,-86597000.0,157038000.0,-83903000.0,-7000.0,8043000.0,3190000.0,0.0,-241957000.0,159732000.0,0.0,-168829000.0,-2694000.0,-250000000.0,178327000.0,-76019000.0,-79209000.0,-0.45,120783000.0,43074000.0,-0.45,-79856000.0,0.0,-77709000.0,144000.0,-80000000.0,647000.0,178327000.0,-80000000.0,5773000.0,24347000.0,48847000.0,-80000000.0,0.0,96436000.0,0.0,3.0,1.09508899849882,0.881814645730546,9.29321221704126,1256240000.0,0.881814645730546,0.2744369865975,-0.285714285714286,0.11274358402853,-0.316278571071872,7.05793027295932,-0.228218175863928
2,2020-03-31 00:00:00+00:00,2020,1,591507000.0,142297000.0,196208000.0,76501000.0,214036000.0,-2003369000.0,269757000.0,14320000.0,0.0,42031000.0,-6877000.0,1429324000.0,1304747000.0,185900000.0,0.0,1887933000.0,458609000.0,377471000.0,5561000.0,0.0,412054000.0,21789000.0,1118847000.0,227035000.0,177557144.0,1296426000.0,25236000.0,-78975000.0,197767000.0,-78075000.0,-97000.0,11077000.0,4502000.0,0.0,11077000.0,198667000.0,0.0,130672000.0,-900000.0,0.0,177185000.0,-127745000.0,-132247000.0,-0.78,180393000.0,46762000.0,-0.78,-138451000.0,0.0,-133631000.0,200000.0,-138651000.0,6204000.0,177185000.0,-138651000.0,3811000.0,26217000.0,50573000.0,-138651000.0,0.0,108987000.0,0.0,3.0,0.791970802919708,0.924643584521385,3.78657963128293,1296426000.0,0.924643584521385,0.284826613340886,0.130434782608696,0.109760989057609,-0.320797093367884,7.30145783376646,-0.2289564095725
3,2019-12-31 00:00:00+00:00,2019,4,571965000.0,142730000.0,199842000.0,76501000.0,218072000.0,-1864718000.0,265407000.0,12665000.0,0.0,36802000.0,-1005000.0,1421550000.0,1507618000.0,279119000.0,0.0,1977356000.0,555806000.0,353893000.0,8071000.0,0.0,408137000.0,19234000.0,1228499000.0,96363000.0,175922206.0,1405391000.0,25008000.0,-128894000.0,135481000.0,-125223000.0,-25000.0,4906000.0,3574000.0,0.0,4906000.0,139152000.0,0.0,15139000.0,-3671000.0,0.0,176145000.0,-102884000.0,-106458000.0,-0.65,137511000.0,27873000.0,-0.65,-111886000.0,0.0,-109638000.0,1552000.0,-113438000.0,5428000.0,176145000.0,-113438000.0,5989000.0,27142000.0,33862000.0,-113438000.0,0.0,110369000.0,0.0,2.0,-0.14975141867122,0.823135077668183,4.01689211145742,1405391000.0,0.823135077668183,0.192482806860664,0.0655737704918034,0.101558925594372,-0.290522826835797,7.9887072357426,-0.212171101390638
5,2019-09-30 00:00:00+00:00,2019,3,599583000.0,393356000.0,199502000.0,76501000.0,474233000.0,-1751280000.0,9318000.0,13720000.0,0.0,41205000.0,-1186000.0,1578824000.0,1645530000.0,231082000.0,0.0,2088294000.0,509470000.0,125350000.0,15171000.0,0.0,402674000.0,21963000.0,1414448000.0,81224000.0,175274453.0,1488711000.0,24880000.0,-73964000.0,58253000.0,-68641000.0,-61000.0,6249000.0,3450000.0,0.0,6249000.0,63576000.0,0.0,-4200000.0,-5323000.0,0.0,175402000.0,-89611000.0,-93061000.0,-0.56,123031000.0,24291000.0,-0.56,-98486000.0,0.0,-98740000.0,99000.0,-98585000.0,5425000.0,175402000.0,-98585000.0,4927000.0,23983000.0,29218000.0,-98585000.0,0.0,99048000.0,0.0,2.0,0.0524457892082704,0.831371072626463,12.5953250897487,1488711000.0,0.831371072626463,0.166698566162406,0.0,0.264225897437448,-0.266823949906143,8.49359946369366,-0.200698421948308
6,2019-06-30 00:00:00+00:00,2019,2,542498000.0,342643000.0,147630000.0,76501000.0,429128000.0,-1652472000.0,3749000.0,13188000.0,0.0,37299000.0,-788000.0,1596817000.0,1706260000.0,276305000.0,0.0,2099653000.0,502836000.0,113370000.0,17921000.0,0.0,346392000.0,9346000.0,1429955000.0,85424000.0,174306995.0,1557155000.0,24522000.0,-65565000.0,25290000.0,-53922000.0,-2000.0,7306000.0,3055000.0,0.0,7306000.0,36933000.0,0.0,-21328000.0,-11643000.0,0.0,174549000.0,-101901000.0,-104956000.0,-0.63,129267000.0,18297000.0,-0.63,-110187000.0,0.0,-110970000.0,99000.0,-110286000.0,5231000.0,174549000.0,-110286000.0,5018000.0,22581000.0,23315000.0,-110286000.0,0.0,106686000.0,0.0,1.0,-0.978565196645819,0.784773750804203,14.0850048513716,1557155000.0,0.784773750804203,0.133758257951725,-1.11111111111111,0.220044247361374,-0.253359216274185,8.93340511090791,-0.195846818469535
7,2019-03-31 00:00:00+00:00,2019,1,532971000.0,342410000.0,141633000.0,76501000.0,433253000.0,-1542563000.0,1649000.0,11778000.0,0.0,42894000.0,-2716000.0,1490114000.0,1737780000.0,455867000.0,0.0,2166482000.0,676368000.0,99718000.0,20432000.0,0.0,344059000.0,11012000.0,1281913000.0,106752000.0,174104459.0,1633511000.0,25385000.0,-86543000.0,-12138000.0,-80895000.0,-14000.0,4894000.0,3077000.0,0.0,4894000.0,-6490000.0,0.0,-88153000.0,-5648000.0,0.0,173859000.0,-111192000.0,-114269000.0,-0.69,143469000.0,22782000.0,-0.69,-119495000.0,0.0,-120687000.0,137000.0,-119632000.0,5226000.0,173859000.0,-119632000.0,5440000.0,25006000.0,28222000.0,-119632000.0,0.0,118463000.0,0.0,2.0,-0.25766742069546,0.807242576713202,14.9432800497403,1633511000.0,0.807242576713202,0.162098088481467,0.15,0.209615974425639,0.375611822517697,9.38236165450536,0.296197734861506
8,2018-12-31 00:00:00+00:00,2018,4,432597000.0,246950000.0,48851000.0,76501000.0,350595000.0,-1424051000.0,0.0,11381000.0,0.0,43213000.0,-6316000.0,1437687000.0,1723334000.0,582889000.0,0.0,2150172000.0,712485000.0,82002000.0,24636000.0,0.0,246950000.0,5854000.0,1140445000.0,194905000.0,173085231.0,1717575000.0,24206000.0,-126237000.0,87540000.0,-117550000.0,-14000.0,2668000.0,3071000.0,0.0,2668000.0,96227000.0,0.0,-27356000.0,-8687000.0,0.0,181619000.0,-91564000.0,-94635000.0,-0.61,132660000.0,32365000.0,-0.56,-100050000.0,0.0,-100295000.0,-1838000.0,-98212000.0,5415000.0,173311000.0,-98212000.0,7461000.0,23777000.0,39826000.0,-98212000.0,0.0,108883000.0,0.0,4.0,-0.582825299059351,0.812660071310199,17.5323406746177,1717575000.0,0.812660071310199,0.230094732923804,1.9047619047619,0.14377829206876,0.502221548969721,9.92329033549951,0.378026970458502
10,2018-09-30 00:00:00+00:00,2018,3,458976000.0,246514000.0,44881000.0,76501000.0,350893000.0,-1325839000.0,0.0,13296000.0,0.0,31937000.0,-5378000.0,1505182000.0,1817289000.0,619140000.0,0.0,2249098000.0,743916000.0,108083000.0,27086000.0,0.0,246514000.0,7494000.0,1198149000.0,222261000.0,172468773.0,1790122000.0,23287000.0,-73234000.0,-621271000.0,-71412000.0,-40000.0,3859000.0,2684000.0,0.0,3859000.0,-619449000.0,0.0,-688864000.0,-1822000.0,0.0,172698000.0,-88917000.0,-91601000.0,-0.56,121613000.0,22979000.0,-0.56,-97043000.0,0.0,-98634000.0,-900000.0,-96143000.0,5442000.0,172698000.0,-96143000.0,4783000.0,18718000.0,27762000.0,-96143000.0,0.0,102895000.0,0.0,5.0,-0.818463590709353,0.827714141632447,13.9261678524837,1790122000.0,0.827714141632447,0.160968269890805,-2.43589743589744,0.137707932755421,0.785639539309291,10.3793977823452,0.53571860259659
11,2018-06-30 00:00:00+00:00,2018,2,452673000.0,246078000.0,45000000.0,76501000.0,355776000.0,-1229696000.0,0.0,11884000.0,0.0,35315000.0,-4002000.0,1905947000.0,1194960000.0,282277000.0,0.0,2313087000.0,407140000.0,96897000.0,31768000.0,0.0,246078000.0,10674000.0,912683000.0,911125000.0,171402476.0,1860414000.0,20659000.0,959530000.0,-894415000.0,959642000.0,6000.0,811087000.0,2574000.0,0.0,811087000.0,-894303000.0,0.0,876320000.0,-112000.0,0.0,182291000.0,983304000.0,980730000.0,5.67,108595000.0,1082195000.0,5.33,975345000.0,0.0,973600000.0,3885000.0,971460000.0,5385000.0,171378000.0,971460000.0,5522000.0,20261000.0,1087717000.0,971460000.0,0.0,88334000.0,0.0,7.0,30.4469050854318,0.994923311854094,19.6698246591742,1860414000.0,0.994923311854094,6.34598183984227,-15.5384615384615,0.132270559133612,1.72711266679326,10.8540672422958,0.925670080839869
