,date,quarter,year,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,3,2021,514000000.0,0.0,1193000000.0,-365000000.0,2643000000.0,3220000000.0,0.0,1393000000.0,0.0,0.0,2245000000.0,0.0,2652000000.0,577000000.0,7018000000.0,3525000000.0,69000000.0,4366000000.0,2823000000.0,2824000000.0,0.0,0.0,176000000.0,1542000000.0,104391265.0,4195000000.0,66000000.0,0.0,8000000.0,33000000.0,-21000000.0,20000000.0,44000000.0,-33000000.0,-10000000.0,0.0,-16000000.0,2000000.0,-33000000.0,0.0,2000000.0,1456000000.0,279000000.0,0.0,371000000.0,104400000.0,105300000.0,2.52,369000000.0,265000000.0,2.54,265000000.0,650000000.0,265000000.0,0.0,2106000000.0,0.0,104000000.0,415000000.0,0.0,371000000.0,424000000.0,0.0489108548416621,0.0900621118012421,2652000000.0,1.83073929961089,1.18965517241379,0.308641975308642,20.174101731596,0.996606334841629,0.308641975308642,25.4044244027506,4.0,0.135744767323715
1,2020-08-01 00:00:00+00:00,2,2021,630000000.0,0.0,1194000000.0,-367000000.0,2703000000.0,3290000000.0,0.0,1373000000.0,0.0,0.0,1996000000.0,0.0,2403000000.0,587000000.0,6912000000.0,3592000000.0,70000000.0,4509000000.0,2833000000.0,2837000000.0,0.0,0.0,177000000.0,1672000000.0,104233930.0,4079000000.0,722000000.0,-330000000.0,6000000.0,691000000.0,-332000000.0,363000000.0,44000000.0,-33000000.0,2000000.0,0.0,0.0,4000000.0,-31000000.0,-2000000.0,2000000.0,1539000000.0,466000000.0,0.0,72000000.0,104500000.0,105100000.0,0.43,70000000.0,45000000.0,0.43,45000000.0,538000000.0,45000000.0,0.0,2077000000.0,0.0,25000000.0,116000000.0,0.0,72000000.0,387000000.0,0.0288282933353147,0.170800450958286,2403000000.0,1.69437799043062,-0.218181818181818,0.259027443428021,19.9263330088389,1.12484394506866,0.259027443428021,23.0539134425805,5.0,0.0806904440054071
2,2020-05-02 00:00:00+00:00,1,2021,468000000.0,0.0,1458000000.0,-404000000.0,2712000000.0,3623000000.0,0.0,1012000000.0,0.0,0.0,1951000000.0,0.0,2314000000.0,911000000.0,6796000000.0,3594000000.0,63000000.0,4482000000.0,2738000000.0,2839000000.0,0.0,0.0,175000000.0,1643000000.0,104191210.0,4058000000.0,-116000000.0,330000000.0,-9000000.0,-168000000.0,288000000.0,105000000.0,44000000.0,-58000000.0,0.0,0.0,-42000000.0,3000000.0,-52000000.0,-6000000.0,1000000.0,905000000.0,375000000.0,0.0,-104000000.0,104300000.0,104300000.0,-1.06,-105000000.0,-110000000.0,-1.06,-110000000.0,271000000.0,-110000000.0,0.0,1176000000.0,0.0,5000000.0,-60000000.0,0.0,-104000000.0,316000000.0,0.0312804011075357,-0.434071222329163,2314000000.0,1.66646378575776,-1.69281045751634,0.230442176870748,11.2869406161998,1.17199654278306,0.230442176870748,22.2091671648693,2.0,0.085955171704709
3,2020-02-01 00:00:00+00:00,4,2020,333000000.0,0.0,1208000000.0,-394000000.0,2800000000.0,3318000000.0,0.0,907000000.0,0.0,0.0,2103000000.0,0.0,2473000000.0,518000000.0,6589000000.0,3723000000.0,81000000.0,4116000000.0,2386000000.0,2922000000.0,0.0,0.0,176000000.0,1194000000.0,104565333.0,4203000000.0,299000000.0,0.0,-1000000.0,240000000.0,-74000000.0,163000000.0,45000000.0,-61000000.0,-35000000.0,0.0,-39000000.0,-1000000.0,-59000000.0,-2000000.0,-2000000.0,1521000000.0,512000000.0,0.0,188000000.0,104800000.0,104900000.0,1.27,182000000.0,134000000.0,1.28,134000000.0,700000000.0,134000000.0,0.0,2221000000.0,0.0,48000000.0,225000000.0,0.0,180000000.0,430000000.0,0.0731253257874749,-0.0224471830985915,2473000000.0,1.99832495812395,-0.079136690647482,0.315173345339937,21.2403091567642,1.13222806308128,0.315173345339937,23.6502857022413,7.0,0.196125424405832
5,2019-11-02 00:00:00+00:00,3,2020,396000000.0,0.0,1304000000.0,-382000000.0,2841000000.0,3349000000.0,0.0,744000000.0,0.0,0.0,2310000000.0,0.0,2427000000.0,508000000.0,6621000000.0,3770000000.0,93000000.0,4194000000.0,2347000000.0,2957000000.0,0.0,0.0,177000000.0,1237000000.0,107039179.0,4274000000.0,69000000.0,0.0,2000000.0,24000000.0,-218000000.0,-195000000.0,44000000.0,-48000000.0,-177000000.0,0.0,-41000000.0,6000000.0,-45000000.0,-3000000.0,-3000000.0,1312000000.0,452000000.0,0.0,168000000.0,106900000.0,107200000.0,1.16,171000000.0,125000000.0,1.16,125000000.0,620000000.0,125000000.0,0.0,1932000000.0,0.0,46000000.0,212000000.0,0.0,168000000.0,411000000.0,0.0855162107185852,0.0387096774193549,2427000000.0,1.89733225545675,0.0175438596491229,0.320910973084886,18.0494657942023,1.17058096415328,0.320910973084886,22.6739407259467,4.0,0.205036329252513
6,2019-08-03 00:00:00+00:00,2,2020,420000000.0,0.0,1227000000.0,-384000000.0,2873000000.0,3370000000.0,0.0,939000000.0,0.0,0.0,2226000000.0,0.0,2512000000.0,497000000.0,6720000000.0,3772000000.0,92000000.0,4208000000.0,2446000000.0,2979000000.0,0.0,0.0,177000000.0,1229000000.0,109701174.0,4274000000.0,10000000.0,0.0,-3000000.0,-26000000.0,-158000000.0,-187000000.0,46000000.0,-36000000.0,-117000000.0,0.0,-41000000.0,6000000.0,-36000000.0,0.0,-2000000.0,1240000000.0,451000000.0,0.0,83000000.0,110800000.0,111100000.0,0.55,85000000.0,60000000.0,0.55,60000000.0,534000000.0,60000000.0,0.0,1774000000.0,0.0,25000000.0,129000000.0,0.0,83000000.0,393000000.0,0.0983544543219217,-0.00448933782267114,2512000000.0,1.99023596419854,-0.276315789473684,0.301014656144307,16.1712034184794,1.1437101910828,0.301014656144307,22.8985698913304,4.0,0.206533611359349
7,2019-05-04 00:00:00+00:00,1,2020,451000000.0,0.0,1211000000.0,-384000000.0,2927000000.0,3426000000.0,0.0,1126000000.0,0.0,0.0,2207000000.0,0.0,2602000000.0,499000000.0,6928000000.0,3835000000.0,89000000.0,4326000000.0,2592000000.0,3036000000.0,0.0,0.0,178000000.0,1290000000.0,112310616.0,4336000000.0,318000000.0,0.0,-5000000.0,273000000.0,-43000000.0,180000000.0,44000000.0,-90000000.0,2000000.0,0.0,-43000000.0,7000000.0,-45000000.0,-45000000.0,-4000000.0,1389000000.0,459000000.0,0.0,230000000.0,112400000.0,113100000.0,1.52,234000000.0,172000000.0,1.53,172000000.0,689000000.0,172000000.0,0.0,2078000000.0,0.0,62000000.0,274000000.0,0.0,230000000.0,416000000.0,0.120043811610077,0.0261728395061729,2602000000.0,2.0093023255814,0.100719424460432,0.331568816169394,18.5022580590244,1.12490392006149,0.331568816169394,23.1678900238603,6.0,0.218304949706205
8,2019-02-02 00:00:00+00:00,4,2019,387000000.0,0.0,1269000000.0,0.0,124000000.0,124000000.0,0.0,891000000.0,0.0,0.0,2104000000.0,0.0,2506000000.0,0.0,3820000000.0,836000000.0,87000000.0,1314000000.0,2518000000.0,550000000.0,0.0,0.0,181000000.0,764000000.0,112890202.0,1302000000.0,359000000.0,0.0,2000000.0,325000000.0,-99000000.0,145000000.0,45000000.0,-117000000.0,-61000000.0,0.0,-38000000.0,6000000.0,-34000000.0,-83000000.0,-4000000.0,1537000000.0,511000000.0,0.0,224000000.0,112600000.0,113100000.0,1.38,223000000.0,158000000.0,1.39,158000000.0,735000000.0,158000000.0,0.0,2272000000.0,0.0,65000000.0,264000000.0,0.0,219000000.0,451000000.0,0.141484145145472,0.0280542986425338,2506000000.0,3.29581151832461,-5.08823529411765,0.323503521126761,20.1257501514613,0.0494812450119713,0.323503521126761,22.198560686427,8.0,0.216790222400321
10,2018-11-03 00:00:00+00:00,3,2019,383000000.0,0.0,1305000000.0,-361000000.0,124000000.0,124000000.0,0.0,748000000.0,0.0,0.0,2323000000.0,0.0,2451000000.0,0.0,3680000000.0,824000000.0,107000000.0,1229000000.0,2378000000.0,534000000.0,0.0,0.0,196000000.0,695000000.0,114896024.0,1302000000.0,-5000000.0,0.0,-7000000.0,-43000000.0,-147000000.0,-203000000.0,44000000.0,-44000000.0,-108000000.0,0.0,-39000000.0,7000000.0,-38000000.0,-6000000.0,-2000000.0,1272000000.0,444000000.0,0.0,144000000.0,114500000.0,115000000.0,1.14,146000000.0,130000000.0,1.14,130000000.0,588000000.0,130000000.0,0.0,1860000000.0,0.0,16000000.0,188000000.0,0.0,144000000.0,398000000.0,0.0865509199274423,-0.00534759358288772,2451000000.0,3.42158273381295,0.407407407407407,0.316129032258064,16.1885497447675,0.0505915952672379,0.316129032258064,21.3323308733468,3.0,0.133666833416708
11,2018-08-04 00:00:00+00:00,2,2019,408000000.0,0.0,1254000000.0,-340000000.0,124000000.0,124000000.0,0.0,950000000.0,0.0,0.0,2232000000.0,0.0,2482000000.0,0.0,3832000000.0,842000000.0,108000000.0,1350000000.0,2524000000.0,629000000.0,0.0,0.0,199000000.0,721000000.0,116909047.0,1308000000.0,12000000.0,0.0,-7000000.0,-39000000.0,-127000000.0,-172000000.0,44000000.0,-50000000.0,-87000000.0,0.0,-40000000.0,4000000.0,-51000000.0,0.0,-1000000.0,1243000000.0,427000000.0,0.0,112000000.0,116600000.0,117100000.0,0.75,115000000.0,88000000.0,0.76,88000000.0,539000000.0,88000000.0,0.0,1782000000.0,0.0,27000000.0,158000000.0,0.0,114000000.0,380000000.0,0.0786177660736078,0.0476190476190477,2482000000.0,3.50069348127601,0.948717948717949,0.302469135802469,15.2426184775931,0.0499597099113618,0.302469135802469,21.2301790467935,3.0,0.119988236447407
