,year,quarter,date,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.depamor,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.epsDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.opex,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,1,2020-11-30 00:00:00+00:00,741803000.0,4178723000.0,83148000.0,38268311000.0,1513442000.0,-1479202000.0,0.0,19842095000.0,8547711000.0,8127411000.0,4606945000.0,4193048000.0,8594003000.0,19642217000.0,2349554000.0,382054000.0,17906501000.0,13276702000.0,0.0,18626094000.0,298906000.0,3428869000.0,2687066000.0,7022996000.0,12819099000.0,659410538.0,-446407000.0,-93115000.0,21686000.0,-999451000.0,311321000.0,178673000.0,-558052000.0,-354841000.0,-82000.0,-430004000.0,0.0,1509730000.0,1602845000.0,468200000.0,2442140000.0,1500276000.0,2.32,1522057000.0,21781000.0,646879735.0,8854000.0,0.0,2.37,0.0,3898296000.0,634271482.0,2007627000.0,1965086000.0,1500276000.0,11762185000.0,1973940000.0,464810000.0,1890669000.0,2007627000.0,7863889000.0,0.0,0.145958797618637,0.0354985906277672,18426216000.0,1.45299556544497,0.112676056338028,0.331426176343936,17.8374234595565,0.150060919215876,0.331426176343936,27.9434660778806,7.0,0.316352108655804
1,2020,4,2020-08-31 00:00:00+00:00,763877000.0,4153146000.0,94309000.0,37078593000.0,1349874000.0,-1561837000.0,0.0,19579420000.0,7846892000.0,7709820000.0,4728914000.0,4327672000.0,8415330000.0,19328837000.0,2226349000.0,418823000.0,17000536000.0,12375533000.0,0.0,17749756000.0,324514000.0,3485513000.0,2721636000.0,6916830000.0,12662590000.0,664289845.0,-246342000.0,-188718000.0,76819000.0,-1013542000.0,259706000.0,1973069000.0,-509201000.0,-59726000.0,-6512000.0,-484149000.0,0.0,2967416000.0,3156134000.0,486890000.0,2266819000.0,1287929000.0,1.99,1305424000.0,17495000.0,647111005.0,14069000.0,0.0,2.03,0.0,3440540000.0,635864136.0,1895837000.0,1765860000.0,1287929000.0,10835271000.0,1779929000.0,477931000.0,1544703000.0,1895837000.0,7394731000.0,0.0,0.147189309500593,-0.0199336086073637,17499173000.0,1.40174766773622,0.146892655367232,0.31753151351729,16.311059218435,0.16009118771314,0.31753151351729,26.3426772691369,5.0,0.320960743450954
3,2020,3,2020-05-31 00:00:00+00:00,747339000.0,4242528000.0,3676000.0,35057319000.0,1405977000.0,-1993819000.0,0.0,18573674000.0,8345601000.0,7334594000.0,4667970000.0,4175342000.0,6442261000.0,18911083000.0,2223314000.0,274660000.0,16014606000.0,12565857000.0,0.0,16146236000.0,270984000.0,3512221000.0,2764882000.0,6745393000.0,11828281000.0,662396470.0,-884995000.0,-149981000.0,-52616000.0,-798050000.0,290866000.0,1005805000.0,-508913000.0,-736376000.0,159000.0,-277523000.0,0.0,2591485000.0,2741466000.0,444660000.0,2105957000.0,1228202000.0,1.9,1252639000.0,24437000.0,645607914.0,4961000.0,0.0,1.93,0.0,3528688000.0,636146240.0,1815955000.0,1656336000.0,1228202000.0,10991305000.0,1661297000.0,428134000.0,1712733000.0,1815955000.0,7462617000.0,0.0,0.150556159551323,-0.00976450869610024,16483645000.0,1.36505346803986,-0.0153061224489796,0.321043588545673,16.5932421107256,0.172647519395732,0.321043588545673,24.8848623846078,4.0,0.324264921406072
4,2020,2,2020-02-29 00:00:00+00:00,744478000.0,4254782000.0,3643000.0,33503430000.0,1526135000.0,-1802257000.0,0.0,17582624000.0,8517949000.0,6698690000.0,4607091000.0,4223647000.0,5436456000.0,18098137000.0,1405321000.0,287904000.0,15474589000.0,11867507000.0,0.0,15405293000.0,284261000.0,3410209000.0,2665731000.0,6405049000.0,11177575000.0,657539739.0,-597289000.0,-165370000.0,-18157000.0,-1289276000.0,372305000.0,-374081000.0,-511238000.0,-434456000.0,204000.0,-770056000.0,0.0,1365271000.0,1530641000.0,442116000.0,1942897000.0,1234740000.0,1.91,1252082000.0,17342000.0,648833880.0,8567000.0,0.0,1.94,0.0,3359171000.0,637485626.0,1870226000.0,1492214000.0,1234740000.0,11141505000.0,1500781000.0,257474000.0,1488945000.0,1870226000.0,7782334000.0,0.0,0.159577459809102,0.0657516278974557,15920806000.0,1.37823212995663,0.102272727272727,0.301500650046829,16.9442306512824,0.172265059834546,0.301500650046829,24.2126902082187,4.0,0.338276247562451
5,2020,1,2019-11-30 00:00:00+00:00,714485000.0,4300909000.0,3303000.0,33170712000.0,1581112000.0,-1779968000.0,0.0,17569504000.0,8577386000.0,6300004000.0,4540941000.0,3571825000.0,5810537000.0,17564608000.0,1498621000.0,282068000.0,15167138000.0,11236275000.0,0.0,15606104000.0,278765000.0,3382071000.0,2667586000.0,6370096000.0,11199408000.0,655705490.0,-165893000.0,-95063000.0,10890000.0,-948224000.0,274929000.0,-316316000.0,-508381000.0,-70648000.0,-570000.0,-428811000.0,0.0,691848000.0,786911000.0,399458000.0,2187379000.0,1356968000.0,2.09,1375168000.0,18200000.0,649389444.0,5474000.0,0.0,2.13,0.0,3647759000.0,635722309.0,1880496000.0,1782447000.0,1356968000.0,11358958000.0,1787921000.0,425479000.0,1767263000.0,1880496000.0,7711199000.0,0.0,0.164086625651986,0.0710394354048345,15601208000.0,1.39347579800647,0.0649999999999999,0.321135001995782,17.3232620028849,0.175879325420524,0.321135001995782,23.7930110971009,5.0,0.343252733342897
6,2019,4,2019-08-31 00:00:00+00:00,6411000.0,4349464000.0,3313000.0,29789880000.0,1646641000.0,-1840577000.0,0.0,14962189000.0,8095071000.0,6205550000.0,1391166000.0,3754059000.0,6126853000.0,14339279000.0,1850636000.0,243626000.0,14409008000.0,10421538000.0,0.0,15450601000.0,240313000.0,22658000.0,16247000.0,3900293000.0,11061896000.0,672636779.0,-375868000.0,-241260000.0,-31672000.0,-351018000.0,236301000.0,1357695000.0,0.0,-137120000.0,-3789000.0,-312535000.0,0.0,1874993000.0,2116253000.0,240168000.0,1793290000.0,1130427000.0,1.74,1145548000.0,15121000.0,650384699.0,7491000.0,0.0,1.77,0.0,3434616000.0,637073379.0,1863123000.0,1545631000.0,1130427000.0,11055650000.0,1553122000.0,415204000.0,1571493000.0,1863123000.0,7621034000.0,0.0,0.170617279851657,0.052519390970305,14827691000.0,1.39674075764227,0.0993788819875776,0.310666129987834,16.4362852956633,0.00112755853838099,0.310666129987834,22.0441276227032,6.0,0.352948007800493
8,2019,3,2019-05-31 00:00:00+00:00,4137000.0,4222011000.0,3338000.0,28156360000.0,1562995000.0,-1466509000.0,0.0,14013402000.0,8134147000.0,6078816000.0,1341548000.0,3827553000.0,4769158000.0,14014700000.0,1537866000.0,238624000.0,13737324000.0,11709317000.0,0.0,14141660000.0,235286000.0,23992000.0,19855000.0,3461415000.0,10551987000.0,671124614.0,-655165000.0,-140261000.0,-42046000.0,-1122062000.0,263674000.0,304269000.0,-931515000.0,-514727000.0,-111000.0,-180277000.0,0.0,1983281000.0,2123542000.0,221309000.0,1911831000.0,1249516000.0,1.93,1268649000.0,19133000.0,649297717.0,5348000.0,0.0,1.96,0.0,3528298000.0,637831341.0,1810355000.0,1685174000.0,1249516000.0,11099688000.0,1690522000.0,435658000.0,1717943000.0,1810355000.0,7571390000.0,0.0,0.175374641069498,0.0378393783410484,14142958000.0,1.34018929325823,0.202453987730062,0.317873619510747,16.5389374319685,0.00144533243883598,0.317873619510747,21.0735200363252,8.0,0.37337580699105
9,2019,2,2019-02-28 00:00:00+00:00,4365000.0,4258979000.0,3111000.0,27390208000.0,1472130000.0,-1465013000.0,0.0,13661663000.0,8151411000.0,5782856000.0,1282765000.0,3942789000.0,4464889000.0,13556908000.0,1520725000.0,232196000.0,13337033000.0,11421964000.0,0.0,13833300000.0,229085000.0,24118000.0,19753000.0,3442614000.0,10219049000.0,666191880.0,-451675000.0,-139797000.0,25047000.0,-831923000.0,346762000.0,101099000.0,0.0,-313297000.0,-503000.0,-827712000.0,0.0,1219853000.0,1359650000.0,219598000.0,1585200000.0,1124449000.0,1.73,1140720000.0,16271000.0,649170699.0,5619000.0,0.0,1.76,0.0,3054349000.0,638639729.0,1667723000.0,1359983000.0,1124449000.0,10454129000.0,1365602000.0,235534000.0,1386626000.0,1667723000.0,7399780000.0,0.0,0.17571186340245,0.0549881837533825,13728545000.0,1.35367782266236,0.257142857142857,0.292166760138506,15.6923692915621,0.00148106404175501,0.292166760138506,20.6074937448952,7.0,0.387346025865539
10,2019,1,2018-11-30 00:00:00+00:00,4727000.0,4219300000.0,3116000.0,26706412000.0,1355538000.0,-1476546000.0,0.0,13650844000.0,8023057000.0,5522687000.0,1243268000.0,3451845000.0,4363790000.0,13166004000.0,1539168000.0,235096000.0,12678856000.0,10384064000.0,0.0,13540408000.0,231980000.0,24623000.0,19896000.0,3474509000.0,10176335000.0,664252389.0,-272868000.0,-77691000.0,9958000.0,-1462168000.0,246516000.0,-697570000.0,-932838000.0,-199976000.0,-369000.0,-522145000.0,0.0,949817000.0,1027508000.0,211685000.0,1810070000.0,1274720000.0,1.96,1291324000.0,16604000.0,652151450.0,4505000.0,0.0,2.0,0.0,3297425000.0,638877445.0,1668413000.0,1593880000.0,1274720000.0,10605546000.0,1598385000.0,319160000.0,1629012000.0,1668413000.0,7308121000.0,0.0,0.172688072384222,0.0729674384046721,13055568000.0,1.33057805192144,0.0989010989010988,0.310915157031991,15.9661390393584,0.00156922675042606,0.310915157031991,19.6545292364767,6.0,0.39610615474162
11,2018,4,2018-08-31 00:00:00+00:00,5337000.0,2086807000.0,3192000.0,24449083000.0,1348802000.0,-1576171000.0,0.0,13724495000.0,7496368000.0,5383012000.0,1264020000.0,3455806000.0,5061360000.0,10863524000.0,1580450000.0,218724000.0,10364753000.0,7952413000.0,0.0,13585559000.0,215532000.0,25013000.0,19676000.0,3572744000.0,10151751000.0,674684553.0,-374968000.0,-179383000.0,-70159000.0,-531616000.0,225082000.0,1132515000.0,0.0,-195272000.0,-3739000.0,-465508000.0,0.0,1929875000.0,2109258000.0,235090000.0,1678010000.0,1029524000.0,1.58,1048371000.0,18847000.0,653965896.0,5153000.0,0.0,1.61,0.0,3237656000.0,640710576.0,1767972000.0,1437767000.0,1029524000.0,10503987000.0,1442920000.0,408243000.0,1469684000.0,1767972000.0,7266331000.0,0.0,0.173117428497453,0.16037062089074,10724588000.0,1.33824785497595,0.066225165562914,0.308231150704966,15.5687379432266,0.00189835686388282,0.308231150704966,15.8957070416284,6.0,0.416968490042659
