,year,quarter,date,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.acctRec,statementData.balanceSheet.equity,statementData.balanceSheet.accoci,statementData.balanceSheet.investments,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.deferredRev,statementData.balanceSheet.deposits,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debt,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.intangibles,statementData.balanceSheet.acctPay,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.incomeStatement.ebitda,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.eps,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.costRev,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,4,2020-09-30 00:00:00+00:00,137159781.0,3362000000.0,7114000000.0,11000000.0,31142000000.0,535000000.0,47482000000.0,262000000.0,40306000000.0,0.0,0.0,26801000000.0,6484000000.0,3423000000.0,0.0,9634000000.0,600000000.0,8305000000.0,-1965000000.0,0.0,797000000.0,23000000.0,-1000000.0,31000000.0,-51000000.0,1335000000.0,-1915000000.0,-27000000.0,1372000000.0,1399000000.0,-50000000.0,28000000.0,287000000.0,2053000000.0,256000000.0,256000000.0,139300000.0,0.0,47000000.0,0.0,136700000.0,0.0,1.53,0.0,209000000.0,209000000.0,0.0,209000000.0,1.5,26000000.0,256000000.0,2079000000.0,1600000000.0,1797000000.0,0.0179654856226699,5.0,7176000000.0,-0.194736842105263,15.1575045165755,0.987493987493988,0.481163902164746,0.027681660899654,52.3185437282085,0.987493987493988,0.11804177639886
2,2020,3,2020-06-30 00:00:00+00:00,137030516.0,3434000000.0,6965000000.0,1000000.0,29478000000.0,537000000.0,44682000000.0,222000000.0,37667000000.0,0.0,0.0,25372000000.0,6326000000.0,3316000000.0,0.0,8837000000.0,602000000.0,7388000000.0,-930000000.0,-5000000.0,-5856000000.0,23000000.0,-2000000.0,30000000.0,-51000000.0,-4693000000.0,-878000000.0,-26000000.0,-314000000.0,-288000000.0,0.0,55000000.0,228000000.0,1811000000.0,198000000.0,198000000.0,139400000.0,0.0,26000000.0,0.0,137100000.0,0.0,1.25,0.0,172000000.0,172000000.0,0.0,172000000.0,1.23,23000000.0,198000000.0,1834000000.0,1453000000.0,1613000000.0,0.0201527597636547,3.0,7015000000.0,-0.320652173913043,13.3838801278396,0.987459105779717,0.476094759511845,-0.0482615464452517,51.1929766067582,0.987459105779717,0.128595600676819
3,2020,2,2020-03-31 00:00:00+00:00,139283886.0,3782000000.0,6798000000.0,-11000000.0,28623000000.0,543000000.0,49809000000.0,224000000.0,42975000000.0,0.0,0.0,30023000000.0,6205000000.0,3174000000.0,0.0,14693000000.0,603000000.0,8394000000.0,-1588000000.0,0.0,8003000000.0,31000000.0,487000000.0,28000000.0,-52000000.0,7297000000.0,-1561000000.0,-35000000.0,2362000000.0,2397000000.0,-203000000.0,-103000000.0,267000000.0,2042000000.0,239000000.0,239000000.0,141100000.0,0.0,70000000.0,0.0,138400000.0,0.0,1.22,0.0,169000000.0,169000000.0,0.0,169000000.0,1.2,26000000.0,239000000.0,2068000000.0,1618000000.0,1803000000.0,0.022953364781752,4.0,6834000000.0,-0.340540540540541,14.8473743760998,0.98742746615087,0.466902030008826,0.112426035502958,49.0652594227591,0.98742746615087,0.143846125060809
4,2020,1,2019-12-31 00:00:00+00:00,138723230.0,3288000000.0,6842000000.0,-5000000.0,27329000000.0,536000000.0,40154000000.0,217000000.0,33251000000.0,0.0,0.0,22975000000.0,6086000000.0,2859000000.0,0.0,6690000000.0,609000000.0,5939000000.0,-502000000.0,0.0,719000000.0,43000000.0,5000000.0,30000000.0,-51000000.0,654000000.0,-448000000.0,-36000000.0,510000000.0,546000000.0,-19000000.0,21000000.0,389000000.0,1983000000.0,359000000.0,359000000.0,141500000.0,0.0,91000000.0,0.0,138300000.0,0.0,1.93,0.0,268000000.0,268000000.0,0.0,268000000.0,1.89,26000000.0,359000000.0,2009000000.0,1546000000.0,1624000000.0,0.0270282410467347,6.0,6903000000.0,0.115606936416185,14.4820734061628,0.987058237929318,0.417860274773458,0.0403935784567582,49.7609520770242,0.987058237929318,0.160206914913849
5,2019,4,2019-09-30 00:00:00+00:00,138843196.0,3501000000.0,6581000000.0,-23000000.0,26378000000.0,527000000.0,38830000000.0,231000000.0,32187000000.0,0.0,0.0,22281000000.0,5874000000.0,3213000000.0,0.0,5971000000.0,611000000.0,5108000000.0,-511000000.0,0.0,19000000.0,24000000.0,-51000000.0,31000000.0,-48000000.0,-137000000.0,-504000000.0,-36000000.0,642000000.0,678000000.0,-162000000.0,-11000000.0,385000000.0,1999000000.0,354000000.0,354000000.0,141600000.0,0.0,89000000.0,0.0,138600000.0,0.0,1.9,0.0,265000000.0,265000000.0,0.0,265000000.0,1.87,24000000.0,354000000.0,2023000000.0,1527000000.0,1645000000.0,0.0268176129990209,8.0,6643000000.0,0.0497237569060773,14.5703934962719,0.988136431043005,0.488223674213645,0.0652975250131649,47.8453405811834,0.988136431043005,0.16161300406377
7,2019,3,2019-06-30 00:00:00+00:00,140805319.0,3518000000.0,6502000000.0,-14000000.0,26879000000.0,518000000.0,38677000000.0,210000000.0,32113000000.0,0.0,0.0,22166000000.0,5659000000.0,2947000000.0,0.0,5952000000.0,635000000.0,5203000000.0,-476000000.0,-5000000.0,-167000000.0,23000000.0,49000000.0,28000000.0,-48000000.0,411000000.0,-440000000.0,-43000000.0,-164000000.0,-121000000.0,-95000000.0,19000000.0,370000000.0,1903000000.0,342000000.0,342000000.0,143600000.0,0.0,83000000.0,0.0,140400000.0,0.0,1.84,0.0,259000000.0,259000000.0,0.0,259000000.0,1.8,24000000.0,342000000.0,1927000000.0,1481000000.0,1561000000.0,0.0270139388783457,4.0,6564000000.0,0.157232704402516,13.6855625461138,0.987545407368967,0.453245155336819,0.0489929232444202,46.6175571108929,0.987545407368967,0.162654162890579
8,2019,2,2019-03-31 00:00:00+00:00,141037985.0,3603000000.0,6366000000.0,-25000000.0,26172000000.0,498000000.0,38176000000.0,188000000.0,31741000000.0,0.0,0.0,21618000000.0,5448000000.0,2977000000.0,0.0,6119000000.0,630000000.0,5230000000.0,-377000000.0,0.0,-985000000.0,28000000.0,-302000000.0,27000000.0,-48000000.0,-427000000.0,-337000000.0,-32000000.0,-237000000.0,-205000000.0,-41000000.0,24000000.0,374000000.0,1837000000.0,347000000.0,347000000.0,143900000.0,0.0,86000000.0,0.0,140800000.0,0.0,1.85,0.0,261000000.0,261000000.0,0.0,261000000.0,1.81,22000000.0,347000000.0,1859000000.0,1413000000.0,1490000000.0,0.0267114765639784,5.0,6435000000.0,0.107784431137725,13.1808462805251,0.988165680473373,0.467640590637763,0.0259381898454747,45.6260063556637,0.988165680473373,0.160579280567275
9,2019,1,2018-12-31 00:00:00+00:00,143284861.0,3723000000.0,6143000000.0,-39000000.0,25568000000.0,490000000.0,38544000000.0,186000000.0,32319000000.0,0.0,0.0,21673000000.0,5236000000.0,3183000000.0,0.0,7104000000.0,633000000.0,6102000000.0,-533000000.0,0.0,1163000000.0,37000000.0,299000000.0,26000000.0,-47000000.0,1526000000.0,-472000000.0,-27000000.0,198000000.0,225000000.0,-480000000.0,-55000000.0,358000000.0,1907000000.0,332000000.0,332000000.0,147300000.0,0.0,83000000.0,0.0,144200000.0,0.0,1.73,0.0,249000000.0,249000000.0,0.0,249000000.0,1.69,24000000.0,332000000.0,1931000000.0,1451000000.0,1575000000.0,0.0266123849509794,7.0,6225000000.0,1.10975609756098,13.4766505444005,0.98757120662869,0.518150740680449,0.118771726535342,43.4449247223683,0.98757120662869,0.160426829639954
10,2018,4,2018-09-30 00:00:00+00:00,145888459.0,4192000000.0,6368000000.0,-27000000.0,24998000000.0,486000000.0,37413000000.0,203000000.0,30961000000.0,0.0,0.0,19942000000.0,5032000000.0,2870000000.0,0.0,5941000000.0,639000000.0,6290000000.0,-978000000.0,0.0,74000000.0,24000000.0,-1000000.0,27000000.0,-44000000.0,378000000.0,-935000000.0,-38000000.0,622000000.0,660000000.0,-38000000.0,14000000.0,377000000.0,1875000000.0,350000000.0,350000000.0,148800000.0,0.0,87000000.0,0.0,145600000.0,0.0,1.81,0.0,263000000.0,263000000.0,0.0,263000000.0,1.76,24000000.0,350000000.0,1899000000.0,1428000000.0,1525000000.0,0.0234966917062484,7.0,6452000000.0,0.350746268656716,13.016793878123,0.987361769352291,0.450690954773869,0.123659330632764,44.2255682473142,0.987361769352291,0.141869225543844
12,2018,3,2018-06-30 00:00:00+00:00,145861837.0,3808307000.0,6157363000.0,-26593000.0,27145480000.0,471603000.0,36364109000.0,231816000.0,30114058000.0,0.0,0.0,19478561000.0,4814603000.0,2824164000.0,0.0,3179751000.0,641787000.0,6126859000.0,-683000000.0,0.0,-352000000.0,19000000.0,-2000000.0,25000000.0,-36000000.0,730000000.0,-706000000.0,-26000000.0,-408000000.0,-382000000.0,-1000000.0,-17000000.0,343000000.0,1814000000.0,318000000.0,318000000.0,149400000.0,0.0,86000000.0,0.0,145600000.0,0.0,1.59,0.0,232000000.0,232000000.0,0.0,232000000.0,1.55,23000000.0,318000000.0,1837000000.0,1403000000.0,1496000000.0,0.0219652814298719,5.0,6250051000.0,0.251968503937008,12.5941098630206,0.987479586281982,0.458664528955009,0.130776764230275,42.8491175522491,0.987479586281982,0.134706825494718
