,year,quarter,date,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,2,2020-11-30 00:00:00+00:00,8045000000.0,493000000.0,23607000000.0,34836000000.0,499000000.0,24196000000.0,2691000000.0,11229000000.0,1730000000.0,3207000000.0,6090000000.0,15325000000.0,12805000000.0,3177000000.0,2154000000.0,0.0,12306000000.0,8871000000.0,10640000000.0,3177000000.0,3713000000.0,8635000000.0,-429000000.0,0.0,0.0,1569826533.0,-44000000.0,46000000.0,-2074000000.0,487000000.0,-1988000000.0,-385000000.0,189000000.0,479000000.0,0.0,-168000000.0,2473000000.0,-97000000.0,2305000000.0,247000000.0,1251000000.0,4847000000.0,1573000000.0,1251000000.0,1580000000.0,0.8,3267000000.0,1609500000.0,70000000.0,6396000000.0,0.0,0.78,0.0,11243000000.0,3267000000.0,0.0,0.0,205000000.0,1456000000.0,1526000000.0,1773000000.0,1251000000.0,0.0899598904946839,0.0888049583575441,10640000000.0,2.66114305038891,0.126760563380282,0.431112692341902,7.16193780883177,1.15657894736842,0.431112692341902,6.7778189349791,4.0,0.305811059409155
1,2021,1,2020-08-31 00:00:00+00:00,8127000000.0,495000000.0,21937000000.0,33258000000.0,597000000.0,24034000000.0,2699000000.0,11321000000.0,927000000.0,3343000000.0,6705000000.0,15415000000.0,12966000000.0,1332000000.0,1983000000.0,0.0,12369000000.0,8619000000.0,9224000000.0,1332000000.0,3813000000.0,8148000000.0,-401000000.0,0.0,0.0,1559888549.0,-248000000.0,55000000.0,-715000000.0,-200000000.0,-889000000.0,-384000000.0,136000000.0,302000000.0,0.0,-176000000.0,882000000.0,-113000000.0,706000000.0,217000000.0,1518000000.0,4741000000.0,1561800000.0,1518000000.0,1766000000.0,0.97,2975000000.0,1593300000.0,65000000.0,5853000000.0,0.0,0.95,0.0,10594000000.0,2975000000.0,0.0,0.0,197000000.0,1715000000.0,1780000000.0,1997000000.0,1518000000.0,0.0916352983256971,-0.00619136960600375,9224000000.0,2.54519085740805,0.114942528735632,0.447517462714744,6.79151084658677,1.34095836947095,0.447517462714744,5.91324297233494,4.0,0.301611772950245
2,2020,4,2020-05-31 00:00:00+00:00,7963000000.0,497000000.0,20556000000.0,31342000000.0,696000000.0,23287000000.0,2326000000.0,10786000000.0,-191000000.0,2840000000.0,7367000000.0,15003000000.0,13015000000.0,439000000.0,2248000000.0,0.0,12319000000.0,8284000000.0,8055000000.0,439000000.0,2749000000.0,8348000000.0,-56000000.0,0.0,0.0,1555034734.0,5801000000.0,-45000000.0,18000000.0,5485000000.0,-270000000.0,-381000000.0,126000000.0,5000000.0,0.0,-289000000.0,-1000000.0,6183000000.0,-290000000.0,223000000.0,-790000000.0,2353000000.0,1555800000.0,-790000000.0,-838000000.0,-0.5,3191000000.0,1582600000.0,50000000.0,3960000000.0,0.0,-0.49,0.0,6313000000.0,3191000000.0,0.0,0.0,-14000000.0,-804000000.0,-754000000.0,-531000000.0,-790000000.0,0.0919819224185558,-0.380106048703849,8055000000.0,2.48140994688556,-1.79365079365079,0.372722952637415,4.05971639216131,1.52936064556176,0.372722952637415,5.17994860428629,4.0,0.284872794592017
4,2020,3,2020-02-29 00:00:00+00:00,7690000000.0,498000000.0,15744000000.0,26220000000.0,435000000.0,17175000000.0,2288000000.0,10476000000.0,1128000000.0,2942000000.0,5807000000.0,8895000000.0,6656000000.0,319000000.0,2221000000.0,0.0,6221000000.0,8280000000.0,9045000000.0,319000000.0,4473000000.0,2863000000.0,-57000000.0,0.0,0.0,1557372768.0,-1442000000.0,25000000.0,166000000.0,-207000000.0,30000000.0,-382000000.0,113000000.0,-749000000.0,0.0,-275000000.0,1180000000.0,-291000000.0,905000000.0,553000000.0,847000000.0,4473000000.0,1556300000.0,847000000.0,1190000000.0,0.54,3283000000.0,1591600000.0,12000000.0,5631000000.0,0.0,0.53,0.0,10104000000.0,3283000000.0,0.0,0.0,34000000.0,881000000.0,893000000.0,1446000000.0,847000000.0,0.168035179203798,0.0512953906981584,9045000000.0,1.90144927536232,-0.228571428571428,0.442695961995249,6.48784941384053,0.687783305693753,0.442695961995249,5.80785807088159,5.0,0.471448848127525
5,2020,2,2019-11-30 00:00:00+00:00,7550000000.0,501000000.0,16369000000.0,26602000000.0,737000000.0,17251000000.0,2182000000.0,10233000000.0,1577000000.0,3030000000.0,6199000000.0,8987000000.0,6922000000.0,432000000.0,2627000000.0,0.0,6185000000.0,8264000000.0,9351000000.0,432000000.0,4792000000.0,3070000000.0,52000000.0,0.0,0.0,1561052333.0,-858000000.0,10000000.0,-202000000.0,-376000000.0,-440000000.0,-344000000.0,110000000.0,-550000000.0,0.0,-238000000.0,912000000.0,49000000.0,674000000.0,187000000.0,1115000000.0,4544000000.0,1560600000.0,1115000000.0,1220000000.0,0.71,3324000000.0,1594400000.0,12000000.0,5782000000.0,0.0,0.7,0.0,10326000000.0,3324000000.0,0.0,0.0,134000000.0,1249000000.0,1261000000.0,1448000000.0,1115000000.0,0.18381931670838,0.10155749946661,9351000000.0,1.98075992255566,0.314814814814815,0.440054232035638,6.61476862864405,0.661426585391937,0.440054232035638,5.99018995220322,5.0,0.500328299409061
6,2020,1,2019-08-31 00:00:00+00:00,7447000000.0,503000000.0,16228000000.0,26249000000.0,683000000.0,17049000000.0,2071000000.0,10021000000.0,1721000000.0,3057000000.0,5835000000.0,8979000000.0,6821000000.0,198000000.0,2716000000.0,0.0,6138000000.0,8070000000.0,9200000000.0,198000000.0,4656000000.0,3446000000.0,180000000.0,0.0,0.0,1566888373.0,-1010000000.0,-56000000.0,45000000.0,-1020000000.0,-348000000.0,-345000000.0,80000000.0,-888000000.0,0.0,-284000000.0,394000000.0,239000000.0,110000000.0,175000000.0,1367000000.0,4871000000.0,1562400000.0,1367000000.0,1543000000.0,0.87,3328000000.0,1597500000.0,15000000.0,5789000000.0,0.0,0.86,0.0,10660000000.0,3328000000.0,0.0,0.0,194000000.0,1561000000.0,1576000000.0,1751000000.0,1367000000.0,0.180151521493449,0.0715721753116205,9200000000.0,2.01090458488228,0.260869565217391,0.456941838649156,6.80329255337451,0.667173913043478,0.456941838649156,5.87150952073597,6.0,0.479153910381297
7,2019,4,2019-05-31 00:00:00+00:00,4744000000.0,437000000.0,16525000000.0,23717000000.0,15000000.0,14677000000.0,2011000000.0,7192000000.0,1643000000.0,3576000000.0,5622000000.0,6811000000.0,3479000000.0,197000000.0,2612000000.0,0.0,3464000000.0,7866000000.0,9040000000.0,197000000.0,4272000000.0,4466000000.0,231000000.0,0.0,0.0,1571749591.0,-1026000000.0,-70000000.0,130000000.0,771000000.0,-143000000.0,-346000000.0,99000000.0,-668000000.0,0.0,-273000000.0,2010000000.0,-5000000.0,1737000000.0,184000000.0,989000000.0,4633000000.0,1570400000.0,989000000.0,1227000000.0,0.63,3406000000.0,1609100000.0,12000000.0,5551000000.0,0.0,0.62,0.0,10184000000.0,3406000000.0,0.0,0.0,254000000.0,1243000000.0,1255000000.0,1439000000.0,989000000.0,0.175559380378657,0.040351414853407,9040000000.0,2.10081362827358,-0.1,0.454929300864101,6.47940362657934,0.383185840707965,0.454929300864101,5.7515523158167,8.0,0.45115055148088
9,2019,3,2019-02-28 00:00:00+00:00,4688000000.0,437000000.0,15796000000.0,22921000000.0,22000000.0,13960000000.0,2000000000.0,7125000000.0,1851000000.0,3428000000.0,5415000000.0,6679000000.0,3487000000.0,351000000.0,2307000000.0,0.0,3465000000.0,7281000000.0,8961000000.0,351000000.0,4549000000.0,3695000000.0,197000000.0,0.0,0.0,1573797545.0,-977000000.0,57000000.0,339000000.0,272000000.0,124000000.0,-348000000.0,93000000.0,-621000000.0,0.0,-216000000.0,1068000000.0,7000000.0,852000000.0,187000000.0,1101000000.0,4339000000.0,1572800000.0,1101000000.0,1248000000.0,0.7,3091000000.0,1609600000.0,12000000.0,5272000000.0,0.0,0.68,0.0,9611000000.0,3091000000.0,0.0,0.0,190000000.0,1291000000.0,1303000000.0,1490000000.0,1101000000.0,0.184380414271053,0.0697907390917185,8961000000.0,2.1694822139816,-2.2280701754386,0.451461866611175,6.10688460566889,0.386675594241714,0.451461866611175,5.69387087206315,8.0,0.45782868416726
10,2019,2,2018-11-30 00:00:00+00:00,4588000000.0,438000000.0,15566000000.0,22677000000.0,15000000.0,13948000000.0,2085000000.0,7111000000.0,1810000000.0,3415000000.0,5388000000.0,6670000000.0,3481000000.0,618000000.0,2574000000.0,0.0,3466000000.0,7278000000.0,8729000000.0,618000000.0,4346000000.0,3423000000.0,209000000.0,0.0,0.0,1588108352.0,-1458000000.0,-13000000.0,375000000.0,141000000.0,88000000.0,-318000000.0,92000000.0,-1124000000.0,0.0,-287000000.0,1524000000.0,-6000000.0,1237000000.0,171000000.0,847000000.0,4105000000.0,1581400000.0,847000000.0,963000000.0,0.54,3142000000.0,1620700000.0,14000000.0,5269000000.0,0.0,0.52,0.0,9374000000.0,3142000000.0,0.0,0.0,150000000.0,997000000.0,1011000000.0,1182000000.0,847000000.0,0.0955145820405992,0.0958615852232874,8729000000.0,2.13877438856829,0.148936170212766,0.437913377426926,5.90261992400881,0.397067247107343,0.437913377426926,5.49647635125591,6.0,0.231006297735495
11,2019,1,2018-08-31 00:00:00+00:00,4487000000.0,438000000.0,15501000000.0,22483000000.0,19000000.0,13491000000.0,2057000000.0,6982000000.0,2494000000.0,3498000000.0,5227000000.0,6783000000.0,3486000000.0,987000000.0,2333000000.0,0.0,3467000000.0,6708000000.0,8992000000.0,987000000.0,4330000000.0,3282000000.0,-30000000.0,0.0,0.0,1600554538.0,-1832000000.0,-103000000.0,6000000.0,-967000000.0,-333000000.0,-320000000.0,41000000.0,-1173000000.0,0.0,-343000000.0,1301000000.0,-321000000.0,958000000.0,178000000.0,1092000000.0,4397000000.0,1594000000.0,1092000000.0,1334000000.0,0.69,3063000000.0,1634400000.0,11000000.0,5551000000.0,0.0,0.67,0.0,9948000000.0,3063000000.0,0.0,0.0,178000000.0,1270000000.0,1281000000.0,1459000000.0,1092000000.0,0.090585641630105,0.0968026460859979,8992000000.0,2.3108228980322,0.189655172413793,0.44199839163651,6.21534584659058,0.385564946619217,0.44199839163651,5.61805286012691,6.0,0.205730715843744
