,date,quarter,year,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.inventory,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.payDiv,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayEquity,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.incomeStatement.opex,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.sga,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.ebt,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.revenue,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.nonControllingInterests,statementData.overview.currentRatio,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.piotroskiFScore,statementData.overview.grossMargin,statementData.overview.roa,statementData.overview.epsQoQ,statementData.overview.bvps
0,2020-06-30 00:00:00+00:00,2,2020,132000000.0,40000000.0,58000000.0,1914000000.0,-402000000.0,550000000.0,50000000.0,1435000000.0,3505000000.0,1972000000.0,3769000000.0,1754000000.0,0.0,480000000.0,40000000.0,2015000000.0,2481000000.0,0.0,260000000.0,86349731.0,0.0,0.0,703000000.0,118000000.0,1024000000.0,373000000.0,-61000000.0,-15000000.0,0.0,10000000.0,0.0,-43000000.0,53000000.0,-53000000.0,-16000000.0,4000000.0,0.0,0.0,-53000000.0,-2000000.0,86000000.0,22000000.0,0.0,602000000.0,-1.23,74000000.0,-102000000.0,-4000000.0,0.0,26000000.0,27000000.0,-60000000.0,-79000000.0,0.0,-106000000.0,628000000.0,-1.23,86330000.0,-106000000.0,86330000.0,-57000000.0,4000000.0,1.712890625,-0.43978590544157,264000000.0,-0.727622714148219,7.27274992900673,14.5,0.0414012738853503,3.0,0.0414012738853503,-0.0492893467205633,-4.96774193548387,3.05733436506015
1,2020-03-31 00:00:00+00:00,1,2020,233000000.0,41000000.0,49000000.0,1935000000.0,-403000000.0,611000000.0,54000000.0,1478000000.0,3698000000.0,1984000000.0,4064000000.0,1998000000.0,0.0,672000000.0,41000000.0,2066000000.0,2502000000.0,0.0,260000000.0,86071640.0,0.0,0.0,777000000.0,224000000.0,1196000000.0,450000000.0,420000000.0,486000000.0,0.0,31000000.0,0.0,-52000000.0,56000000.0,-84000000.0,477000000.0,4000000.0,1000000.0,0.0,-83000000.0,-4000000.0,141000000.0,16000000.0,0.0,824000000.0,-0.66,95000000.0,-54000000.0,35000000.0,0.0,121000000.0,20000000.0,-20000000.0,-37000000.0,0.0,-57000000.0,945000000.0,-0.66,86170000.0,-57000000.0,86280000.0,-21000000.0,3000000.0,1.67056856187291,-0.178974804517811,366000000.0,-0.177215189873418,10.9792261423159,8.30472103004292,0.128042328042328,3.0,0.128042328042328,-0.0144777662874871,-4.66666666666667,4.25227171226202
2,2019-12-31 00:00:00+00:00,4,2019,315000000.0,42000000.0,40000000.0,1455000000.0,-376000000.0,191000000.0,60000000.0,1509000000.0,3292000000.0,1495000000.0,3747000000.0,1648000000.0,0.0,717000000.0,42000000.0,2099000000.0,2069000000.0,0.0,269000000.0,86071640.0,0.0,0.0,821000000.0,281000000.0,1223000000.0,447000000.0,86000000.0,-15000000.0,0.0,142000000.0,-1000000.0,100000000.0,43000000.0,-43000000.0,-16000000.0,3000000.0,0.0,0.0,-42000000.0,3000000.0,164000000.0,16000000.0,0.0,907000000.0,-0.46,102000000.0,-34000000.0,33000000.0,0.0,149000000.0,14000000.0,-15000000.0,-26000000.0,0.0,-40000000.0,1056000000.0,-0.46,86060000.0,-40000000.0,86130000.0,-10000000.0,6000000.0,1.34750613246116,-0.0982066609735269,455000000.0,0.0490974729241877,12.2688495304609,4.61904761904762,0.141098484848485,5.0,0.141098484848485,0.00442564269443541,-1.30065359477124,5.28629406852245
4,2019-09-30 00:00:00+00:00,3,2019,359000000.0,40000000.0,43000000.0,1465000000.0,-369000000.0,105000000.0,63000000.0,1481000000.0,3266000000.0,1508000000.0,3758000000.0,1657000000.0,0.0,728000000.0,40000000.0,2101000000.0,2035000000.0,0.0,252000000.0,87111264.0,0.0,0.0,842000000.0,321000000.0,1231000000.0,518000000.0,-58000000.0,-6000000.0,0.0,59000000.0,-15000000.0,-29000000.0,54000000.0,-88000000.0,-24000000.0,5000000.0,0.0,0.0,-88000000.0,-5000000.0,105000000.0,16000000.0,0.0,883000000.0,0.16,89000000.0,17000000.0,105000000.0,0.0,150000000.0,21000000.0,45000000.0,35000000.0,0.0,14000000.0,1033000000.0,0.16,86900000.0,14000000.0,86910000.0,51000000.0,3000000.0,1.34606011372868,-0.108714408973253,492000000.0,0.563876651982379,11.8583975546492,4.08077994428969,0.145208131655373,5.0,0.145208131655373,0.0495132486622397,-0.636363636363636,5.64794927094618
5,2019-06-30 00:00:00+00:00,2,2019,357000000.0,39000000.0,39000000.0,1475000000.0,-367000000.0,163000000.0,68000000.0,1509000000.0,3403000000.0,1514000000.0,3903000000.0,1778000000.0,0.0,832000000.0,39000000.0,2125000000.0,2089000000.0,0.0,273000000.0,87957223.0,0.0,0.0,884000000.0,317000000.0,1314000000.0,553000000.0,-55000000.0,-10000000.0,0.0,70000000.0,-15000000.0,-30000000.0,52000000.0,-99000000.0,-26000000.0,5000000.0,0.0,0.0,-100000000.0,0.0,110000000.0,18000000.0,0.0,955000000.0,0.31,103000000.0,31000000.0,111000000.0,0.0,166000000.0,14000000.0,56000000.0,41000000.0,0.0,27000000.0,1121000000.0,0.31,87770000.0,27000000.0,88110000.0,59000000.0,4000000.0,1.3531202435312,-0.0900974025974026,500000000.0,0.719734660033168,12.7448316552695,4.13165266106443,0.148082069580732,5.0,0.148082069580732,0.0560036131363314,-0.680412371134021,5.68458146979015
6,2019-03-31 00:00:00+00:00,1,2019,354000000.0,45000000.0,44000000.0,1479000000.0,-354000000.0,218000000.0,71000000.0,1469000000.0,3461000000.0,1523000000.0,3957000000.0,1863000000.0,0.0,840000000.0,45000000.0,2094000000.0,2135000000.0,0.0,0.0,88531666.0,0.0,0.0,914000000.0,301000000.0,1326000000.0,549000000.0,-142000000.0,-9000000.0,0.0,21000000.0,-14000000.0,-108000000.0,50000000.0,-131000000.0,-32000000.0,4000000.0,0.0,0.0,-129000000.0,0.0,113000000.0,18000000.0,0.0,983000000.0,0.18,104000000.0,19000000.0,92000000.0,0.0,168000000.0,8000000.0,55000000.0,24000000.0,0.0,16000000.0,1151000000.0,0.18,88450000.0,16000000.0,88550000.0,42000000.0,3000000.0,1.40497737556561,-0.111882716049383,496000000.0,1.09741550695825,13.0009978576479,4.17796610169492,0.145960034752389,6.0,0.145960034752389,0.0723175684527709,-0.836363636363636,5.60251514977703
7,2018-12-31 00:00:00+00:00,4,2018,292000000.0,44000000.0,43000000.0,1488000000.0,-412000000.0,360000000.0,76000000.0,1445000000.0,3455000000.0,1531000000.0,3893000000.0,1931000000.0,0.0,906000000.0,44000000.0,1962000000.0,2078000000.0,0.0,280000000.0,88491963.0,0.0,0.0,878000000.0,296000000.0,1377000000.0,521000000.0,18000000.0,-5000000.0,-15000000.0,126000000.0,-1000000.0,49000000.0,51000000.0,-83000000.0,-21000000.0,-6000000.0,0.0,0.0,-77000000.0,-4000000.0,119000000.0,20000000.0,0.0,959000000.0,1.53,107000000.0,142000000.0,143000000.0,0.0,212000000.0,-63000000.0,93000000.0,72000000.0,0.0,135000000.0,1171000000.0,1.52,88500000.0,135000000.0,88620000.0,92000000.0,7000000.0,1.40232389251997,-0.0915438324282389,438000000.0,1.81036662452592,13.2328401393921,5.0958904109589,0.181041844577284,5.0,0.181041844577284,0.0949161529793862,1.390625,4.94960203335076
9,2018-09-30 00:00:00+00:00,3,2018,203000000.0,42000000.0,34000000.0,1501000000.0,-401000000.0,342000000.0,76000000.0,1355000000.0,3379000000.0,1535000000.0,3746000000.0,1981000000.0,0.0,842000000.0,42000000.0,1765000000.0,2098000000.0,0.0,168000000.0,88785658.0,0.0,0.0,947000000.0,176000000.0,1281000000.0,554000000.0,-30000000.0,-5000000.0,-15000000.0,54000000.0,-9000000.0,-7000000.0,47000000.0,-53000000.0,-31000000.0,5000000.0,0.0,0.0,-61000000.0,0.0,113000000.0,20000000.0,0.0,965000000.0,0.44,105000000.0,43000000.0,118000000.0,0.0,194000000.0,12000000.0,81000000.0,51000000.0,0.0,39000000.0,1159000000.0,0.44,88740000.0,39000000.0,88970000.0,71000000.0,4000000.0,1.54644808743169,-0.0381742738589211,367000000.0,1.96825396825397,13.0539101258899,7.39408866995074,0.167385677308024,5.0,0.167385677308024,0.0744645359311403,-0.5,4.13355048852597
10,2018-06-30 00:00:00+00:00,2,2018,157000000.0,42000000.0,28000000.0,1498000000.0,-405000000.0,372000000.0,77000000.0,1282000000.0,3350000000.0,1526000000.0,3670000000.0,1991000000.0,0.0,814000000.0,42000000.0,1679000000.0,2099000000.0,0.0,165000000.0,88785733.0,0.0,0.0,973000000.0,161000000.0,1251000000.0,519000000.0,55000000.0,-5000000.0,-15000000.0,164000000.0,0.0,107000000.0,48000000.0,-66000000.0,-23000000.0,5000000.0,0.0,0.0,-57000000.0,-20000000.0,119000000.0,19000000.0,0.0,991000000.0,0.97,105000000.0,90000000.0,173000000.0,0.0,241000000.0,20000000.0,122000000.0,106000000.0,0.0,86000000.0,1232000000.0,0.97,88780000.0,86000000.0,89050000.0,125000000.0,4000000.0,1.59152677857714,0.0379106992417859,320000000.0,0.813819577735125,13.8761032698801,9.54140127388535,0.195616883116883,6.0,0.195616883116883,0.0833005893909627,0.796296296296296,3.60418266750132
11,2018-03-31 00:00:00+00:00,1,2018,139000000.0,39000000.0,23000000.0,1507000000.0,-351000000.0,317000000.0,79000000.0,1336000000.0,3476000000.0,1530000000.0,3778000000.0,2005000000.0,0.0,819000000.0,39000000.0,1773000000.0,2167000000.0,0.0,179000000.0,88613262.0,0.0,0.0,1058000000.0,90000000.0,1309000000.0,498000000.0,-22000000.0,-6000000.0,-15000000.0,75000000.0,0.0,10000000.0,50000000.0,-72000000.0,-33000000.0,5000000.0,0.0,0.0,-65000000.0,8000000.0,112000000.0,20000000.0,0.0,1046000000.0,1.1,97000000.0,105000000.0,190000000.0,0.0,250000000.0,22000000.0,138000000.0,120000000.0,0.0,98000000.0,1296000000.0,1.1,88710000.0,98000000.0,88920000.0,140000000.0,7000000.0,1.53170359052712,0.10958904109589,302000000.0,0.460526315789474,14.6253503228445,10.841726618705,0.192901234567901,4.0,0.192901234567901,0.0772467066694255,-0.0517241379310344,3.40806774498382
