,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.debt,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.ppeq,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.acctPay,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.payDiv,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.shareswa,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.sga,statementData.incomeStatement.epsDil,statementData.incomeStatement.opinc,statementData.incomeStatement.ebitda,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.taxExp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.ebt,statementData.incomeStatement.costRev,statementData.incomeStatement.grossProfit,statementData.incomeStatement.revenue,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,2,2020-11-29 00:00:00+00:00,22276700000.0,948500000.0,9266700000.0,0.0,15672200000.0,3351400000.0,13807200000.0,8279700000.0,0.0,0.0,0.0,8392000000.0,5938700000.0,2478000000.0,0.0,0.0,1598100000.0,987000000.0,0.0,1622800000.0,2797700000.0,68000000.0,10455800000.0,-85100000.0,19479000000.0,488518073.0,0.0,256900000.0,120800000.0,-103800000.0,900000.0,0.0,-127600000.0,-136100000.0,8600000.0,97800000.0,-500400000.0,-370200000.0,-397500000.0,14400000.0,567300000.0,0.0,488518073.0,0.0,0.77,357700000.0,0.77,544900000.0,665100000.0,107700000.0,0.0,379500000.0,80700000.0,600000.0,378900000.0,378900000.0,459600000.0,2106300000.0,888900000.0,2995200000.0,344000000.0,0.0499640534274861,0.0618264322178106,8469500000.0,0.834785462791669,0.452830188679245,0.29677483974359,6.13119588719904,0.986618207816969,0.29677483974359,17.3371272591587,6.0,0.138457474086621
1,2021,1,2020-08-30 00:00:00+00:00,22377300000.0,807800000.0,9616800000.0,0.0,15742500000.0,3101900000.0,14178300000.0,8897600000.0,0.0,0.0,0.0,8121400000.0,5694600000.0,2430700000.0,0.0,0.0,1523300000.0,719200000.0,0.0,1579600000.0,2935100000.0,438200000.0,11076400000.0,-95800000.0,19442200000.0,487243684.0,1900000.0,284500000.0,139600000.0,-103500000.0,2900000.0,0.0,-142900000.0,-144900000.0,0.0,95200000.0,-259600000.0,-115100000.0,-133900000.0,16500000.0,529400000.0,0.0,487243684.0,0.0,0.67,300300000.0,0.67,523700000.0,624600000.0,113700000.0,0.0,329800000.0,86700000.0,800000.0,329000000.0,329000000.0,415700000.0,1868700000.0,810200000.0,2678900000.0,286500000.0,0.0445443967060508,0.120550466390597,8199000000.0,0.946226506334827,0.861111111111111,0.302437567658367,5.49807024281509,1.0955746546162,0.302437567658367,16.8273089405506,6.0,0.126811617284501
2,2020,4,2020-05-31 00:00:00+00:00,22304000000.0,860800000.0,9747400000.0,0.0,15694100000.0,3287400000.0,14353300000.0,8900800000.0,0.0,0.0,0.0,7876100000.0,5471200000.0,2392700000.0,0.0,0.0,1520200000.0,846600000.0,0.0,1367800000.0,2885900000.0,553300000.0,11065900000.0,-109600000.0,19418100000.0,487076305.0,1800000.0,936100000.0,837200000.0,-103500000.0,-2100000.0,0.0,-93900000.0,-98900000.0,3200000.0,96400000.0,-385800000.0,454300000.0,-281400000.0,30200000.0,386500000.0,0.0,487076305.0,0.0,0.41,532000000.0,0.41,363500000.0,482900000.0,125300000.0,0.0,201300000.0,59800000.0,-100000.0,201400000.0,201400000.0,261200000.0,2365100000.0,922800000.0,3287900000.0,559300000.0,0.0376080543282166,0.25818919332619,7950700000.0,0.877867007361441,0.64,0.280665470361021,6.75027704334745,1.13010246187834,0.280665470361021,16.3233150912566,6.0,0.109411883451143
4,2020,3,2020-02-23 00:00:00+00:00,22202100000.0,854200000.0,10018300000.0,0.0,15922500000.0,3127100000.0,14338200000.0,9093700000.0,0.0,0.0,0.0,7785000000.0,5375200000.0,2317800000.0,0.0,0.0,1357400000.0,924600000.0,0.0,1646500000.0,2709400000.0,99000000.0,11211100000.0,-72000000.0,19492700000.0,486813813.0,3100000.0,479000000.0,400300000.0,-103400000.0,800000.0,0.0,-19700000.0,-78700000.0,52400000.0,99100000.0,-553100000.0,-93000000.0,-454600000.0,8000000.0,391000000.0,0.0,486813813.0,0.0,0.42,319900000.0,0.42,380900000.0,490100000.0,117700000.0,0.0,204700000.0,68900000.0,300000.0,204400000.0,204400000.0,273300000.0,1870600000.0,684400000.0,2555000000.0,303500000.0,0.0342896832954304,-0.0561855860514943,7863900000.0,0.866425761888011,-0.16,0.267866927592955,5.24841311353669,1.16810533076429,0.267866927592955,16.1538144358283,4.0,0.101277885499871
5,2020,2,2019-11-24 00:00:00+00:00,22492600000.0,947600000.0,10470200000.0,0.0,15937000000.0,3425800000.0,14802000000.0,9295900000.0,0.0,0.0,0.0,7612100000.0,5274700000.0,2322200000.0,0.0,0.0,1441600000.0,1174300000.0,0.0,1770400000.0,3029600000.0,192000000.0,11376200000.0,-131000000.0,19463000000.0,486654153.0,800000.0,220500000.0,148200000.0,-103400000.0,200000.0,0.0,67300000.0,-72300000.0,139000000.0,96700000.0,-160700000.0,127300000.0,-60600000.0,10800000.0,466000000.0,0.0,486654153.0,0.0,0.53,369800000.0,0.53,439400000.0,562700000.0,121400000.0,0.0,261500000.0,84100000.0,1000000.0,260500000.0,260500000.0,344600000.0,2022900000.0,797900000.0,2820800000.0,358500000.0,0.0357644438256996,0.183370390569283,7690600000.0,0.884348181446669,0.709677419354839,0.282863017583664,5.79631342424812,1.22120045716688,0.282863017583664,15.8030090827151,3.0,0.107722963589155
6,2020,1,2019-08-25 00:00:00+00:00,22354500000.0,776300000.0,10529500000.0,0.0,15987100000.0,2449900000.0,14837700000.0,10323400000.0,0.0,0.0,0.0,7440100000.0,5118000000.0,2348000000.0,0.0,0.0,1316900000.0,206100000.0,0.0,1755700000.0,2728000000.0,64700000.0,12387800000.0,-132400000.0,19626500000.0,486129815.0,1300000.0,207000000.0,101400000.0,-103300000.0,-600000.0,0.0,-107500000.0,-105600000.0,0.0,96700000.0,-270800000.0,-171900000.0,-150800000.0,10200000.0,285000000.0,0.0,486129815.0,0.0,0.36,400800000.0,0.36,273200000.0,381700000.0,122700000.0,0.0,174300000.0,-11500000.0,500000.0,173800000.0,173800000.0,162300000.0,1726200000.0,664500000.0,2390700000.0,391300000.0,0.0298510437787993,0.303259921500218,7516800000.0,1.1135148373403,-0.2,0.277952064248965,4.91782220763398,1.38753511377535,0.277952064248965,15.462536483182,4.0,0.0916191395495857
7,2019,4,2019-05-26 00:00:00+00:00,22213800000.0,818200000.0,10677300000.0,0.0,15974700000.0,2142600000.0,14750100000.0,10655700000.0,0.0,0.0,0.0,7384600000.0,5047900000.0,2327400000.0,0.0,0.0,1252100000.0,21600000.0,0.0,1548900000.0,2733800000.0,236600000.0,12607500000.0,-110300000.0,19480000000.0,485914676.0,-8800000.0,369200000.0,256000000.0,-103200000.0,2500000.0,0.0,138300000.0,-113200000.0,249300000.0,100400000.0,-555600000.0,-45600000.0,-454600000.0,11200000.0,329200000.0,0.0,485914676.0,0.0,0.25,394700000.0,0.25,318700000.0,429600000.0,130900000.0,0.0,125200000.0,71800000.0,-1300000.0,126500000.0,126500000.0,198300000.0,1905200000.0,708000000.0,2613200000.0,389300000.0,0.0345929350445353,0.329061133150239,7463700000.0,1.27592644450667,0.315789473684211,0.270932190417878,5.37789889680138,1.44296238117163,0.270932190417878,15.3601040854341,4.0,0.1054972743038
9,2019,3,2019-02-24 00:00:00+00:00,22726600000.0,870200000.0,11127600000.0,0.0,16311800000.0,2241700000.0,15275100000.0,11107700000.0,0.0,0.0,0.0,7373000000.0,5025300000.0,2358600000.0,0.0,0.0,1189200000.0,19900000.0,0.0,1638600000.0,2946100000.0,282200000.0,13033400000.0,-85700000.0,19780500000.0,485641986.0,0.0,494400000.0,392600000.0,-86700000.0,-1400000.0,-200000.0,-101800000.0,-101800000.0,0.0,92300000.0,-551300000.0,-160100000.0,-464900000.0,3800000.0,440100000.0,0.0,485641986.0,0.0,0.5,334100000.0,0.5,428000000.0,532400000.0,130900000.0,0.0,242600000.0,67200000.0,600000.0,242000000.0,242000000.0,309200000.0,1954800000.0,752300000.0,2707100000.0,324300000.0,0.0373168948428039,0.35728252694911,7451500000.0,1.31422581076861,-0.450549450549451,0.277898858557128,5.57427091981293,1.50653736606537,0.277898858557128,15.343607461485,4.0,0.112931512326327
10,2019,2,2018-11-25 00:00:00+00:00,23006800000.0,958100000.0,11563500000.0,0.0,16299400000.0,2234500000.0,15703500000.0,11545400000.0,0.0,0.0,0.0,7224100000.0,4886400000.0,2360800000.0,0.0,0.0,1246100000.0,18100000.0,0.0,1729700000.0,3275400000.0,442300000.0,13469000000.0,-91500000.0,19731400000.0,391739943.0,0.0,167200000.0,120500000.0,-83300000.0,-2000000.0,555900000.0,-5164000000.0,-46700000.0,-5117300000.0,76600000.0,5366300000.0,367500000.0,4893100000.0,7300000.0,234600000.0,1900000.0,391739943.0,0.0,0.31,487300000.0,0.31,199600000.0,311200000.0,80600000.0,0.0,132400000.0,22400000.0,800000.0,131600000.0,131600000.0,154000000.0,1706500000.0,677200000.0,2383700000.0,477600000.0,0.0546292633109146,0.0967608355571914,7303300000.0,1.46583128216603,-0.436363636363636,0.284096153039393,6.08490413753902,1.5981783197907,0.284096153039393,18.6432354690979,5.0,0.161723129218349
11,2019,1,2018-08-26 00:00:00+00:00,10485000000.0,599200000.0,3845300000.0,0.0,5774600000.0,2433400000.0,6670000000.0,3233700000.0,0.0,0.0,0.0,3736500000.0,4841500000.0,1636300000.0,0.0,0.0,984000000.0,611600000.0,0.0,1108500000.0,2046500000.0,74800000.0,4236600000.0,-155700000.0,8438500000.0,390888172.0,0.0,94700000.0,25800000.0,-83000000.0,200000.0,0.0,-38500000.0,-68900000.0,30300000.0,63700000.0,-109600000.0,-53200000.0,-8300000.0,11400000.0,284600000.0,0.0,390888172.0,0.0,0.45,257300000.0,0.45,268400000.0,348300000.0,49000000.0,0.0,178200000.0,57400000.0,0.0,178200000.0,178200000.0,235600000.0,1318900000.0,515500000.0,1834400000.0,247100000.0,0.0799371313293945,0.0167387207626648,3815000000.0,0.84100435604504,0.216216216216216,0.281018316615787,4.69290229636317,0.865435568044962,0.281018316615787,9.75982460784206,5.0,0.224962746697773
