,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctPay,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.ncfx,statementData.cashFlow.ncf,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayEquity,statementData.cashFlow.sbcomp,statementData.incomeStatement.eps,statementData.incomeStatement.epsDil,statementData.incomeStatement.grossProfit,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.ebt,statementData.incomeStatement.sga,statementData.incomeStatement.opex,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.opinc,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,21031000000.0,50995000000.0,106280000000.0,3978388996.0,226782000000.0,33125000000.0,36118000000.0,21466000000.0,157275000000.0,0.0,259943000000.0,88295000000.0,0.0,10583000000.0,62415000000.0,0.0,150710000000.0,517000000.0,111765000000.0,-8613000000.0,24263000000.0,10114000000.0,148178000000.0,93159000000.0,10907000000.0,133623000000.0,11088000000.0,1345000000.0,218000000.0,-6709000000.0,9832000000.0,-19300000000.0,-1256000000.0,0.0,2594000000.0,-19360000000.0,1868000000.0,0.0,0.0,63000000.0,0.6,0.6,4617000000.0,2385000000.0,2385000000.0,3249000000.0,4005000000.0,0.0,5117000000.0,32884000000.0,2390000000.0,366000000.0,37501000000.0,0.0,2751000000.0,2266000000.0,2266000000.0,0.0,3976000000.0,498000000.0,2351000000.0,5000000.0,4.0,0.0138145444714788,0.12311671688755,1.19972305413326,33161000000.0,0.12311671688755,9.4261772887731,4.45454545454545,3.20845283018868,-0.00514260474507824,8.3352834610545,-0.000619774219673839
1,2020,2,2020-06-30 00:00:00+00:00,18645000000.0,55344000000.0,119886000000.0,3977039943.0,238511000000.0,30824000000.0,35276000000.0,16360000000.0,175230000000.0,0.0,269366000000.0,86354000000.0,0.0,10220000000.0,68861000000.0,0.0,155215000000.0,454000000.0,124111000000.0,-8471000000.0,30989000000.0,9107000000.0,145255000000.0,92780000000.0,11066000000.0,145731000000.0,9115000000.0,-11101000000.0,70000000.0,5021000000.0,7940000000.0,7048000000.0,-1175000000.0,0.0,-10347000000.0,6937000000.0,2358000000.0,0.0,0.0,69000000.0,0.28,0.28,-794000000.0,1117000000.0,1117000000.0,1533000000.0,3992000000.0,0.0,3891000000.0,20165000000.0,1118000000.0,-34000000.0,19371000000.0,0.0,1083000000.0,1965000000.0,1965000000.0,0.0,3975000000.0,450000000.0,-2759000000.0,1000000.0,3.0,-0.501428461122693,-0.0409891074286304,1.33769131278293,30855000000.0,-0.0409891074286304,4.87070793294268,6.0,3.88937191798599,-0.0658253751705321,7.75828265298365,-0.0080860018472496
2,2020,1,2020-03-31 00:00:00+00:00,17527000000.0,52912000000.0,114414000000.0,3989839270.0,234452000000.0,29650000000.0,35294000000.0,18439000000.0,167326000000.0,0.0,264150000000.0,81930000000.0,0.0,11312000000.0,75288000000.0,0.0,157218000000.0,439000000.0,124276000000.0,-8461000000.0,25971000000.0,6625000000.0,139874000000.0,94494000000.0,10922000000.0,139958000000.0,-473000000.0,-3114000000.0,-448000000.0,8419000000.0,-2253000000.0,13121000000.0,-1780000000.0,-596000000.0,-2590000000.0,12454000000.0,2444000000.0,1340000000.0,0.0,38000000.0,-0.5,-0.5,874000000.0,-1993000000.0,-1993000000.0,-919000000.0,3963000000.0,0.0,1525000000.0,33446000000.0,-1993000000.0,847000000.0,34320000000.0,0.0,-1146000000.0,2432000000.0,2432000000.0,0.0,3963000000.0,227000000.0,-1558000000.0,0.0,2.0,-0.149273709781369,0.0254662004662005,1.31517345016615,29698000000.0,0.0254662004662005,8.60185026952226,-2.72413793103448,3.85881956155143,-0.0921053611456572,7.44340761376084,-0.0118577833001607
3,2019,4,2019-12-31 00:00:00+00:00,20320000000.0,53946000000.0,101361000000.0,3964896995.0,225307000000.0,33185000000.0,36469000000.0,20673000000.0,155307000000.0,0.0,258537000000.0,85452000000.0,0.0,10786000000.0,70798000000.0,0.0,156250000000.0,490000000.0,114047000000.0,-7728000000.0,17504000000.0,9237000000.0,144490000000.0,98132000000.0,11863000000.0,127175000000.0,2900000000.0,-5350000000.0,199000000.0,-2940000000.0,626000000.0,-41000000.0,-2274000000.0,-595000000.0,-3091000000.0,-689000000.0,2379000000.0,0.0,0.0,-10000000.0,-0.42,-0.42,2535000000.0,-1672000000.0,-1672000000.0,-2181000000.0,3998000000.0,0.0,198000000.0,37180000000.0,-1672000000.0,-764000000.0,39715000000.0,0.0,-2436000000.0,2992000000.0,2992000000.0,0.0,3960000000.0,255000000.0,-457000000.0,0.0,4.0,-0.0497212451846003,0.0638297872340425,1.1621795133086,33230000000.0,0.0638297872340425,10.0166536608853,20.0,3.05442217869519,0.00133305915804551,8.38105001010247,0.000180394738230923
5,2019,3,2019-09-30 00:00:00+00:00,22590000000.0,54604000000.0,99507000000.0,3989843301.0,222770000000.0,35349000000.0,35404000000.0,22228000000.0,154111000000.0,0.0,258157000000.0,85605000000.0,0.0,12451000000.0,67991000000.0,0.0,153596000000.0,447000000.0,115754000000.0,-7842000000.0,20523000000.0,10621000000.0,142403000000.0,99087000000.0,10677000000.0,123683000000.0,4732000000.0,-4547000000.0,-178000000.0,-1625000000.0,2927000000.0,-773000000.0,-1805000000.0,-598000000.0,-2685000000.0,-1632000000.0,2322000000.0,0.0,-237000000.0,69000000.0,0.11,0.11,2340000000.0,425000000.0,425000000.0,259000000.0,4007000000.0,0.0,2581000000.0,34650000000.0,423000000.0,-442000000.0,36990000000.0,0.0,-17000000.0,2601000000.0,2601000000.0,0.0,3970000000.0,276000000.0,-261000000.0,-2000000.0,3.0,-0.0179472203047841,0.0632603406326034,1.16820571820723,35387000000.0,0.0632603406326034,9.27104079268701,-0.56,2.81498769413562,0.0445971511239706,8.86927062802961,0.0061644243877396
6,2019,2,2019-06-30 00:00:00+00:00,22769000000.0,52851000000.0,103213000000.0,3989545901.0,226048000000.0,36097000000.0,36581000000.0,22980000000.0,156064000000.0,0.0,262184000000.0,86310000000.0,0.0,12437000000.0,69687000000.0,0.0,155997000000.0,469000000.0,118351000000.0,-7436000000.0,22117000000.0,10941000000.0,143833000000.0,98334000000.0,10153000000.0,127714000000.0,6463000000.0,-2490000000.0,-5000000.0,1287000000.0,4543000000.0,-2017000000.0,-1920000000.0,-599000000.0,-520000000.0,-2681000000.0,2559000000.0,0.0,0.0,84000000.0,0.04,0.04,2815000000.0,148000000.0,148000000.0,447000000.0,4013000000.0,0.0,3006000000.0,36038000000.0,150000000.0,55000000.0,38853000000.0,0.0,203000000.0,2725000000.0,2725000000.0,0.0,3984000000.0,244000000.0,90000000.0,2000000.0,4.0,-0.00172147995889005,0.0724525776645304,1.20356133178758,36136000000.0,0.0724525776645304,9.73870233959742,-0.851851851851852,2.85932348948666,0.0598274685036927,9.05767245112842,0.00833452612993061
7,2019,1,2019-03-31 00:00:00+00:00,23226000000.0,54548000000.0,102612000000.0,3985542086.0,226712000000.0,36398000000.0,36145000000.0,23325000000.0,157160000000.0,0.0,263281000000.0,86166000000.0,0.0,12333000000.0,72326000000.0,0.0,158492000000.0,647000000.0,121195000000.0,-7501000000.0,20848000000.0,12016000000.0,142086000000.0,99237000000.0,10316000000.0,127475000000.0,3544000000.0,-1334000000.0,29000000.0,4112000000.0,1911000000.0,2554000000.0,-1633000000.0,-597000000.0,245000000.0,1873000000.0,2429000000.0,0.0,0.0,85000000.0,0.29,0.29,4045000000.0,1146000000.0,1146000000.0,1818000000.0,3997000000.0,0.0,4247000000.0,36297000000.0,1183000000.0,427000000.0,40342000000.0,0.0,1573000000.0,2843000000.0,2843000000.0,0.0,3973000000.0,245000000.0,1202000000.0,37000000.0,5.0,-0.0385376200576754,0.100267711070349,1.22126827695315,36569000000.0,0.100267711070349,10.1220860624479,-0.340909090909091,2.81916588823562,0.0849471316240257,9.17541433785276,0.0119089641284409
8,2018,4,2018-12-31 00:00:00+00:00,22668000000.0,53493000000.0,100720000000.0,3977903385.0,220474000000.0,35932000000.0,36178000000.0,21520000000.0,154213000000.0,0.0,256540000000.0,87372000000.0,0.0,11220000000.0,71586000000.0,0.0,158958000000.0,597000000.0,114649000000.0,-7366000000.0,16718000000.0,11195000000.0,141891000000.0,95569000000.0,10412000000.0,124905000000.0,1357000000.0,-3666000000.0,-65000000.0,-1848000000.0,-759000000.0,1131000000.0,-2116000000.0,-597000000.0,-1574000000.0,526000000.0,2455000000.0,0.0,0.0,-8000000.0,-0.02,-0.03,3628000000.0,-116000000.0,-116000000.0,274000000.0,3995000000.0,0.0,2729000000.0,38165000000.0,-112000000.0,95000000.0,41793000000.0,0.0,-21000000.0,2996000000.0,2996000000.0,0.0,3968000000.0,295000000.0,632000000.0,4000000.0,5.0,0.0113003920050332,0.0868087957313426,1.19964632883048,36066000000.0,0.0868087957313426,10.5062883521994,-1.03174603174603,2.80307247022153,0.101181180905733,9.06658521069133,0.0141312336966704
10,2018,3,2018-09-30 00:00:00+00:00,23384000000.0,50763000000.0,102668000000.0,3985726538.0,222248000000.0,36590000000.0,35762000000.0,23273000000.0,153431000000.0,0.0,258966000000.0,89441000000.0,0.0,12810000000.0,68598000000.0,0.0,158039000000.0,602000000.0,114843000000.0,-7429000000.0,18562000000.0,11244000000.0,144123000000.0,94750000000.0,10553000000.0,127498000000.0,5179000000.0,-3573000000.0,-16000000.0,1734000000.0,3198000000.0,907000000.0,-1981000000.0,-597000000.0,-1572000000.0,144000000.0,6930000000.0,0.0,-75000000.0,199000000.0,0.25,0.25,3746000000.0,991000000.0,991000000.0,1435000000.0,4000000000.0,0.0,8365000000.0,33920000000.0,993000000.0,101000000.0,37666000000.0,0.0,1092000000.0,2882000000.0,2882000000.0,0.0,3976000000.0,343000000.0,864000000.0,2000000.0,5.0,0.0333324188636801,0.0994530876652684,1.21206332453826,36718000000.0,0.0994530876652684,9.45022184560119,-0.375,2.80590325225471,0.174140915391458,9.21237311439453,0.0242162469036826
11,2018,2,2018-06-30 00:00:00+00:00,22993000000.0,50884000000.0,101959000000.0,3984953664.0,221511000000.0,36441000000.0,35580000000.0,22743000000.0,152843000000.0,0.0,258079000000.0,88803000000.0,0.0,12565000000.0,71002000000.0,0.0,159805000000.0,584000000.0,115025000000.0,-7204000000.0,16828000000.0,11026000000.0,143054000000.0,94861000000.0,10371000000.0,126650000000.0,4972000000.0,-2478000000.0,-404000000.0,-1116000000.0,3063000000.0,-2583000000.0,-1909000000.0,-598000000.0,-538000000.0,-3206000000.0,0.0,0.0,0.0,0.0,0.27,0.27,3364000000.0,1066000000.0,1066000000.0,1647000000.0,3999000000.0,0.0,1647000000.0,35556000000.0,1069000000.0,280000000.0,38920000000.0,0.0,1346000000.0,2778000000.0,2778000000.0,0.0,3977000000.0,301000000.0,586000000.0,3000000.0,4.0,-0.023411035555667,0.0864337101747174,1.21256364575537,36568000000.0,0.0864337101747174,9.76673840692367,-0.470588235294118,2.7979199253588,0.19466740083441,9.1765182442031,0.0266414704978755
