,year,quarter,date,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.balanceSheet.intangibles,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.ppeq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.incomeStatement.ebit,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,1,2020-09-30 00:00:00+00:00,742394000.0,884450000.0,778591000.0,2134315000.0,1795779000.0,7057723000.0,610320000.0,3328223000.0,1264991000.0,128561616.0,7942173000.0,11715211000.0,13738533000.0,2292880000.0,14916433000.0,812054000.0,6528964000.0,13241668000.0,0.0,9913445000.0,129751000.0,4869484000.0,19785917000.0,-2388472000.0,0.0,33463000.0,-21750000.0,-113542000.0,38381000.0,-692734000.0,0.0,56880000.0,3908000.0,8332000.0,701847000.0,-557442000.0,-35527000.0,148442000.0,737374000.0,58461000.0,480945000.0,369851000.0,2.47,414987000.0,2.5,0.0,0.0,846212000.0,93578000.0,629387000.0,65958000.0,128561616.0,308000.0,2384328000.0,321717000.0,321409000.0,476361000.0,0.0,321409000.0,369851000.0,3230540000.0,6.0,-0.0311802840056608,0.26194134726702,1.46308826061234,6544249000.0,0.26194134726702,25.1283400171323,-0.0530303030303031,1.08098666189613,0.18819054662467,50.9035994071512,0.0587570702445067
1,2020,4,2020-06-30 00:00:00+00:00,685514000.0,809529000.0,764563000.0,2099268000.0,1814631000.0,7652256000.0,577842000.0,3148373000.0,1111759000.0,128217414.0,8461785000.0,11668848000.0,13530666000.0,2292735000.0,14852985000.0,835368000.0,6113983000.0,13609660000.0,0.0,10461287000.0,126839000.0,4885204000.0,19738189000.0,-2558875000.0,0.0,70805000.0,-21252000.0,-113547000.0,22712000.0,-823435000.0,0.0,-12103000.0,21208000.0,10034000.0,730948000.0,-687436000.0,-49142000.0,146582000.0,780090000.0,19518000.0,445138000.0,351566000.0,2.28,370589000.0,2.3,0.0,0.0,803284000.0,74873000.0,591720000.0,74549000.0,128217414.0,-21000.0,2357319000.0,295695000.0,295716000.0,451718000.0,0.0,295716000.0,352793000.0,3160603000.0,7.0,-0.141482729574922,0.254155298846454,1.55165985732948,6128529000.0,0.254155298846454,24.6503411775252,-0.283489096573209,1.2515991621174,0.194283119974889,47.7979457610961,0.0597819662798898
3,2020,3,2020-03-31 00:00:00+00:00,697617000.0,1035191000.0,750743000.0,2496612000.0,2011367000.0,8097922000.0,648949000.0,3673609000.0,1422011000.0,128363097.0,9133113000.0,11711606000.0,13348291000.0,2296990000.0,14883854000.0,843279000.0,6295990000.0,14057853000.0,0.0,10384244000.0,124515000.0,5481426000.0,20365280000.0,-2195462000.0,0.0,92536000.0,-57282000.0,-113266000.0,49286000.0,-781560000.0,-459000.0,-250738000.0,109887000.0,-43956000.0,405387000.0,-611012000.0,-59504000.0,137649000.0,464891000.0,18788000.0,534806000.0,413460000.0,2.83,454041000.0,2.86,0.0,0.0,935739000.0,86788000.0,672455000.0,80765000.0,128363097.0,116000.0,2766693000.0,367369000.0,367253000.0,522279000.0,0.0,367253000.0,413460000.0,3702432000.0,6.0,0.00404445483384763,0.252736309539243,1.49210925822536,6307427000.0,0.252736309539243,28.8434299773867,-0.10625,1.28620312294016,0.214592896423905,49.1373856459696,0.067433040286859
4,2020,2,2019-12-31 00:00:00+00:00,948355000.0,1604318000.0,941588000.0,2292313000.0,2014260000.0,8141220000.0,734847000.0,4091122000.0,1311733000.0,128464710.0,9745538000.0,11991278000.0,13094252000.0,2335940000.0,15382838000.0,1086708000.0,6330175000.0,14701488000.0,0.0,10610366000.0,114032000.0,5661151000.0,21043989000.0,-1945732000.0,0.0,145120000.0,-62907000.0,-113673000.0,142250000.0,215928000.0,-3379149000.0,-2679038000.0,-3302134000.0,30331000.0,310298000.0,392508000.0,-66539000.0,144229000.0,376837000.0,20436000.0,337513000.0,491121000.0,1.57,254622000.0,1.59,0.0,0.0,815209000.0,50148000.0,481742000.0,82891000.0,128464710.0,124000.0,2682765000.0,204598000.0,204474000.0,324088000.0,0.0,204474000.0,491121000.0,3497974000.0,4.0,0.00746793316330874,0.233051760819263,1.38376489383597,6342501000.0,0.233051760819263,27.2290654764254,-0.334728033472803,1.2860971458135,0.224321110378742,49.3715433600403,0.0742956400828738
5,2020,1,2019-09-30 00:00:00+00:00,3627393000.0,1736779000.0,892508000.0,2272004000.0,1790044000.0,7366912000.0,367025000.0,4157328000.0,1287420000.0,128441799.0,9103691000.0,8512369000.0,13003084000.0,1880157000.0,11430510000.0,1174610000.0,6096616000.0,13465797000.0,0.0,9308469000.0,145476000.0,8138079000.0,19568589000.0,-2130594000.0,0.0,282102000.0,-71985000.0,-113352000.0,-133507000.0,1838377000.0,-1696456000.0,407626000.0,-1852954000.0,-26928000.0,418070000.0,2023714000.0,-31061000.0,109071000.0,449131000.0,52633000.0,502969000.0,399179000.0,2.6,433013000.0,2.64,0.0,0.0,854770000.0,94115000.0,612040000.0,69956000.0,128441799.0,143000.0,2479741000.0,339041000.0,338898000.0,455591000.0,0.0,338898000.0,399179000.0,3334511000.0,6.0,-0.041612752472197,0.256340434924341,1.9575263246008,6102792000.0,0.256340434924341,25.9612604772065,-0.0704225352112675,1.20836083492875,0.247121937020668,47.5140651058617,0.0868854072758434
6,2019,4,2019-06-30 00:00:00+00:00,3219767000.0,587014000.0,747773000.0,2441762000.0,1678132000.0,6520831000.0,360378000.0,3151773000.0,1413155000.0,128285393.0,7107845000.0,7237082000.0,12777538000.0,1768287000.0,9903604000.0,898704000.0,5961969000.0,11608538000.0,0.0,8456765000.0,150462000.0,7673086000.0,17576690000.0,-2059048000.0,0.0,150931000.0,-87757000.0,-113462000.0,-80239000.0,1592490000.0,138000.0,2121038000.0,-102415000.0,-6580000.0,596959000.0,1793709000.0,-40584000.0,105388000.0,637543000.0,19553000.0,563350000.0,402078000.0,3.19,513278000.0,3.21,0.0,0.0,941889000.0,99610000.0,668738000.0,50072000.0,128285393.0,70000.0,2739578000.0,413738000.0,413668000.0,539811000.0,0.0,413668000.0,391493000.0,3681467000.0,8.0,-0.0356282434707531,0.25584610700028,2.43453002484633,5968152000.0,0.25584610700028,28.6974761031445,0.206766917293233,1.09373782386322,0.253236782697776,46.5224594977855,0.0948378576731683
8,2019,3,2019-03-31 00:00:00+00:00,1098729000.0,1017278000.0,769391000.0,2434515000.0,1755991000.0,4284235000.0,463325000.0,3548950000.0,1423659000.0,129365355.0,5301513000.0,7294398000.0,12427212000.0,1779892000.0,9940144000.0,839581000.0,6009978000.0,9461887000.0,0.0,5912937000.0,96463000.0,5537791000.0,15477935000.0,-1728915000.0,0.0,70190000.0,-204485000.0,-98547000.0,-38220000.0,-430201000.0,0.0,51344000.0,-84785000.0,14773000.0,503949000.0,-127169000.0,-47608000.0,108258000.0,551557000.0,19910000.0,577276000.0,360865000.0,3.14,529067000.0,3.2,0.0,0.0,920774000.0,117819000.0,685534000.0,48209000.0,129365355.0,133000.0,2766744000.0,411381000.0,411248000.0,559909000.0,0.0,411248000.0,360865000.0,3687518000.0,8.0,-0.0165546055556459,0.249700204853237,1.5604026543062,6016048000.0,0.249700204853237,28.5046796338943,0.163636363636364,0.712853690978569,0.244164730373823,46.5043210371123,0.0943887065509732
9,2019,2,2018-12-31 00:00:00+00:00,1047385000.0,1144347000.0,733987000.0,2262963000.0,1804564000.0,4303331000.0,469239000.0,3508934000.0,1307178000.0,132348854.0,5447678000.0,7346380000.0,12114448000.0,1793805000.0,9972951000.0,764943000.0,5815209000.0,9486521000.0,0.0,5977587000.0,98779000.0,5334736000.0,15307687000.0,-1795497000.0,0.0,30956000.0,-500480000.0,-99590000.0,304000.0,-252736000.0,15025000.0,95263000.0,-16247000.0,-17406000.0,352484000.0,347334000.0,-29168000.0,110052000.0,381652000.0,21674000.0,478496000.0,397259000.0,2.36,430978000.0,2.39,0.0,0.0,869706000.0,119241000.0,588548000.0,47518000.0,132348854.0,176000.0,2602339000.0,311913000.0,311737000.0,472447000.0,0.0,311737000.0,397259000.0,3472045000.0,9.0,0.0300747061491875,0.250488112913283,1.52032953597873,5821166000.0,0.250488112913283,26.234039019333,4.69047619047619,0.740013127645111,0.237950593585401,43.9835013607296,0.0903314320207159
10,2019,1,2018-09-30 00:00:00+00:00,952122000.0,796861000.0,757795000.0,2377320000.0,1762640000.0,4313221000.0,503841000.0,3308521000.0,1404716000.0,132360024.0,5110082000.0,7441245000.0,11902300000.0,1828034000.0,10126960000.0,798582000.0,6101380000.0,9317936000.0,0.0,6009415000.0,99886000.0,5298082000.0,15425042000.0,-1775983000.0,0.0,40787000.0,-64855000.0,-100869000.0,11283000.0,-7247000.0,2473000.0,129985000.0,-15063000.0,-7093000.0,128251000.0,158477000.0,-31137000.0,112491000.0,159388000.0,42941000.0,503874000.0,394322000.0,2.79,459535000.0,2.84,0.0,0.0,884471000.0,83824000.0,616365000.0,44339000.0,132360024.0,188000.0,2594823000.0,375899000.0,375711000.0,490149000.0,0.0,375711000.0,394322000.0,3479294000.0,8.0,0.0340727760472037,0.254209905802729,1.60134452826505,6107106000.0,0.254209905802729,26.2865923928814,0.327102803738318,0.706925482431843,0.197235382308846,46.1401094940871,0.073147281380504
11,2018,4,2018-06-30 00:00:00+00:00,822137000.0,638466000.0,801049000.0,2473916000.0,1621304000.0,4318559000.0,433736000.0,3197483000.0,1430306000.0,132959431.0,4957025000.0,7519940000.0,11625975000.0,1856237000.0,10234849000.0,834044000.0,5859866000.0,9454594000.0,0.0,6257111000.0,57623000.0,5085238000.0,15320087000.0,-1763086000.0,0.0,32995000.0,-177998000.0,-100956000.0,61526000.0,-1146444000.0,177741000.0,-267392000.0,203072000.0,-19482000.0,659780000.0,-867490000.0,-35682000.0,114769000.0,695462000.0,29260000.0,550895000.0,413727000.0,2.61,497855000.0,2.66,0.0,0.0,987279000.0,144599000.0,665664000.0,53040000.0,132959431.0,72000.0,2830198000.0,353328000.0,353256000.0,573552000.0,0.0,353256000.0,418210000.0,3817477000.0,9.0,0.0918813307332051,0.258620811598865,1.59038781441528,5865493000.0,0.258620811598865,28.7115924856808,0.209090909090909,0.736972313018762,0.186362422568665,44.1149075013716,0.067081954033886
