,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.ppeq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.opinc,statementData.incomeStatement.ebitda,statementData.incomeStatement.intexp,statementData.incomeStatement.opex,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.eps,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswa,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.sga,statementData.incomeStatement.netIncComStock,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.piotroskiFScore,statementData.overview.roa,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.epsQoQ,statementData.overview.bvps,statementData.overview.grossMargin
0,2019-12-31 00:00:00+00:00,4,2019,9791000000.0,671000000.0,0.0,12552000000.0,0.0,0.0,3967000000.0,1796000000.0,13082000000.0,0.0,0.0,4292000000.0,12223000000.0,0.0,21480000000.0,21484000000.0,5466000000.0,1499000000.0,1364000000.0,22343000000.0,-9260000000.0,0.0,4228000000.0,278479000.0,14882000000.0,34566000000.0,159000000.0,0.0,-263000000.0,1636000000.0,-858000000.0,2508000000.0,2791000000.0,0.0,0.0,62000000.0,-283000000.0,-2000000.0,-297000000.0,0.0,-2000000.0,1279000000.0,1275000000.0,46000000.0,731000000.0,7842000000.0,1116000000.0,5832000000.0,0.0,3.17,881000000.0,3.16,185000000.0,278479000.0,0.0,885000000.0,2010000000.0,1070000000.0,-4000000.0,731000000.0,885000000.0,0.0654891304347827,0.256312165263963,28.160112611723,0.32455207395893,7.0,0.101963475542339,1.33612501276683,12223000000.0,0.272247897876499,0.0819112627986347,43.8919990376294,0.256312165263963
2,2019-09-29 00:00:00+00:00,3,2019,7815000000.0,802000000.0,0.0,12020000000.0,0.0,0.0,4950000000.0,1470000000.0,12029000000.0,0.0,0.0,2646000000.0,12982000000.0,0.0,20987000000.0,20788000000.0,5450000000.0,500000000.0,1473000000.0,19835000000.0,-8042000000.0,0.0,3958000000.0,278534000.0,14881000000.0,32817000000.0,155000000.0,0.0,-263000000.0,476000000.0,-564000000.0,1041000000.0,1277000000.0,0.0,-300000000.0,31000000.0,-236000000.0,-1000000.0,-237000000.0,0.0,1000000.0,1206000000.0,1235000000.0,45000000.0,741000000.0,7446000000.0,1080000000.0,5499000000.0,0.0,3.08,860000000.0,3.08,175000000.0,278534000.0,0.0,860000000.0,1947000000.0,1035000000.0,0.0,741000000.0,860000000.0,0.094034675286512,0.261482675261886,26.7328225638522,0.381297180711755,7.0,0.101818969585838,1.53921944977607,12982000000.0,0.272091965430261,0.368888888888889,46.6083135272534,0.261482675261886
3,2019-06-30 00:00:00+00:00,2,2019,7871000000.0,932000000.0,0.0,12111000000.0,0.0,0.0,4977000000.0,1368000000.0,11526000000.0,0.0,0.0,2173000000.0,12204000000.0,0.0,20383000000.0,20660000000.0,5777000000.0,800000000.0,1607000000.0,19982000000.0,-8182000000.0,0.0,3870000000.0,279871000.0,14882000000.0,32186000000.0,151000000.0,0.0,-265000000.0,81000000.0,-565000000.0,644000000.0,823000000.0,0.0,0.0,32000000.0,-179000000.0,-300000000.0,-177000000.0,0.0,0.0,1176000000.0,1165000000.0,45000000.0,778000000.0,7159000000.0,1014000000.0,5205000000.0,0.0,2.92,813000000.0,2.92,152000000.0,279871000.0,0.0,817000000.0,1954000000.0,969000000.0,-4000000.0,778000000.0,817000000.0,0.0806037735849057,0.272943148484425,25.5796420493727,0.407817109144543,8.0,0.0971508936049176,1.46436285097192,12204000000.0,0.263331477277595,0.050359712230216,43.6058041026044,0.272943148484425
4,2019-03-31 00:00:00+00:00,1,2019,7680000000.0,882000000.0,0.0,12188000000.0,0.0,0.0,4908000000.0,1361000000.0,10956000000.0,0.0,0.0,2093000000.0,11708000000.0,0.0,20104000000.0,20620000000.0,5708000000.0,800000000.0,1424000000.0,19868000000.0,-8399000000.0,0.0,3715000000.0,282239000.0,14882000000.0,31576000000.0,140000000.0,0.0,-245000000.0,-1519000000.0,-816000000.0,-695000000.0,-411000000.0,-8000000.0,0.0,59000000.0,-284000000.0,-566000000.0,-292000000.0,0.0,0.0,1113000000.0,1111000000.0,44000000.0,739000000.0,6729000000.0,971000000.0,4877000000.0,0.0,2.77,775000000.0,2.77,146000000.0,282239000.0,0.0,781000000.0,1852000000.0,927000000.0,-6000000.0,739000000.0,781000000.0,0.0737194830062231,0.275226631000149,23.8414960370466,0.41920054663478,5.0,0.097731741236273,1.4265625,11708000000.0,0.271148856908442,0.259090909090909,41.4825732800924,0.275226631000149
5,2018-12-31 00:00:00+00:00,4,2018,8463000000.0,758000000.0,0.0,12735000000.0,0.0,0.0,5402000000.0,1964000000.0,12137000000.0,0.0,0.0,3608000000.0,11472000000.0,0.0,20087000000.0,20533000000.0,5702000000.0,300000000.0,1648000000.0,21198000000.0,-8618000000.0,0.0,3645000000.0,284577000.0,14864000000.0,32670000000.0,151000000.0,0.0,-247000000.0,1539000000.0,-649000000.0,2201000000.0,2432000000.0,0.0,0.0,28000000.0,-231000000.0,-402000000.0,-244000000.0,0.0,1000000.0,1214000000.0,1128000000.0,46000000.0,753000000.0,7360000000.0,977000000.0,5393000000.0,0.0,2.93,827000000.0,2.92,99000000.0,284577000.0,0.0,832000000.0,1967000000.0,931000000.0,-5000000.0,753000000.0,832000000.0,0.0850656051894443,0.267255434782609,25.862947462374,0.470885634588563,8.0,0.0938092051693419,1.43412501477018,11472000000.0,0.26672167973227,1.15441176470588,40.3124637620047,0.267255434782609
7,2018-09-30 00:00:00+00:00,3,2018,7156000000.0,804000000.0,0.0,11668000000.0,0.0,0.0,4753000000.0,1392000000.0,10635000000.0,0.0,0.0,2073000000.0,11310000000.0,0.0,19720000000.0,19499000000.0,5053000000.0,300000000.0,1527000000.0,18824000000.0,-8413000000.0,0.0,2639000000.0,285260000.0,14865000000.0,30134000000.0,143000000.0,0.0,-248000000.0,-1017000000.0,-373000000.0,-638000000.0,-444000000.0,0.0,0.0,36000000.0,-194000000.0,-125000000.0,-200000000.0,0.0,0.0,1183000000.0,827000000.0,45000000.0,752000000.0,6806000000.0,684000000.0,4871000000.0,0.0,2.25,641000000.0,2.25,-5000000.0,285260000.0,0.0,644000000.0,1935000000.0,639000000.0,-3000000.0,752000000.0,644000000.0,0.0830681094844048,0.284307963561563,23.8589357077754,0.420247568523431,5.0,0.0808318811411367,1.48616545556177,11310000000.0,0.234584609540091,0.142131979695431,39.6480403842109,0.284307963561563
8,2018-07-01 00:00:00+00:00,2,2018,7017000000.0,725000000.0,0.0,13114000000.0,0.0,0.0,4752000000.0,1380000000.0,11315000000.0,0.0,0.0,3094000000.0,10607000000.0,0.0,19467000000.0,19423000000.0,5052000000.0,300000000.0,1317000000.0,20131000000.0,-8863000000.0,0.0,2554000000.0,287250000.0,14865000000.0,30738000000.0,139000000.0,0.0,-250000000.0,333000000.0,-669000000.0,993000000.0,1156000000.0,11000000.0,0.0,38000000.0,-163000000.0,-419000000.0,-154000000.0,0.0,-1000000.0,1100000000.0,1022000000.0,46000000.0,748000000.0,6625000000.0,883000000.0,4777000000.0,0.0,2.78,791000000.0,2.78,37000000.0,287250000.0,0.0,800000000.0,1848000000.0,837000000.0,-9000000.0,748000000.0,800000000.0,0.0547683489890145,0.278943396226415,23.0635335073977,0.448006033751296,8.0,0.0783833035064924,1.6125124697164,10607000000.0,0.230222734254992,0.463157894736842,36.9260226283725,0.278943396226415
9,2018-04-01 00:00:00+00:00,1,2018,6779000000.0,640000000.0,0.0,13481000000.0,0.0,0.0,4751000000.0,1255000000.0,10960000000.0,0.0,0.0,2748000000.0,10237000000.0,0.0,19329000000.0,19537000000.0,5051000000.0,300000000.0,1639000000.0,20260000000.0,-9095000000.0,0.0,2478000000.0,288506000.0,14871000000.0,30497000000.0,135000000.0,0.0,-230000000.0,-346000000.0,-707000000.0,53000000.0,284000000.0,0.0,0.0,63000000.0,-231000000.0,-472000000.0,77000000.0,309000000.0,1000000.0,1041000000.0,948000000.0,47000000.0,694000000.0,6267000000.0,813000000.0,4532000000.0,0.0,2.2,623000000.0,2.19,133000000.0,288506000.0,0.0,633000000.0,1735000000.0,766000000.0,-10000000.0,694000000.0,633000000.0,0.0445,0.276846976224669,21.7222518769107,0.46410081078441,7.0,0.0706032954769251,1.6167576338693,10237000000.0,0.205483377913642,0.264367816091954,35.4827975847989,0.276846976224669
