,date,quarter,year,statementData.balanceSheet.equity,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.taxAssets,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsCurrent,statementData.cashFlow.sbcomp,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.opinc,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.revenue,statementData.overview.currentRatio,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.piotroskiFScore,statementData.overview.grossMargin,statementData.overview.roa,statementData.overview.epsQoQ,statementData.overview.bvps
0,2020-07-03 00:00:00+00:00,4,2020,22102000000.0,7046000000.0,668000000.0,37852000000.0,27351000000.0,2905000000.0,30926000000.0,11039000000.0,0.0,2250000000.0,-624000000.0,1094000000.0,0.0,15626000000.0,7714000000.0,1148000000.0,859000000.0,1947000000.0,215870340.0,1523000000.0,323000000.0,0.0,4587000000.0,1106000000.0,6926000000.0,0.0,75000000.0,-184000000.0,4000000.0,-250000000.0,742000000.0,-430000000.0,0.0,285000000.0,9000000.0,802000000.0,903000000.0,1284000000.0,-60000000.0,963000000.0,296000000.0,341000000.0,1270000000.0,283000000.0,1.31,283000000.0,58000000.0,278000000.0,974000000.0,694000000.0,409000000.0,3175000000.0,-5000000.0,0.0,0.0,904000000.0,0.0,215900000.0,68000000.0,1.3,217800000.0,4445000000.0,1.50991933725747,1.38337801608579,22226000000.0,0.0591763652641003,20.5910640618809,0.318794679214551,0.285714285714286,6.0,0.285714285714286,0.0345079613677891,-0.420353982300885,102.959952719767
1,2020-04-03 00:00:00+00:00,3,2020,21898000000.0,7023000000.0,898000000.0,38105000000.0,27436000000.0,2816000000.0,30894000000.0,10955000000.0,0.0,2151000000.0,-651000000.0,1422000000.0,0.0,16078000000.0,7921000000.0,1278000000.0,990000000.0,663000000.0,216896195.0,1439000000.0,317000000.0,0.0,5123000000.0,1138000000.0,7211000000.0,0.0,87000000.0,-183000000.0,-667000000.0,244000000.0,485000000.0,-612000000.0,0.0,230000000.0,-24000000.0,533000000.0,-58000000.0,-161000000.0,-48000000.0,0.0,189000000.0,243000000.0,1328000000.0,217000000.0,1.0,217000000.0,26000000.0,194000000.0,1139000000.0,541000000.0,311000000.0,3298000000.0,-23000000.0,0.0,1000000.0,815000000.0,0.0,217300000.0,68000000.0,0.99,219300000.0,4626000000.0,1.4075736872926,1.67708333333333,22027000000.0,0.0740289715523711,21.3281749825072,0.320714220476756,0.287073065283182,5.0,0.287073065283182,0.0416557109278515,-0.514563106796116,101.555492939837
2,2020-01-03 00:00:00+00:00,2,2020,22587000000.0,7475000000.0,260000000.0,38336000000.0,28459000000.0,2954000000.0,32024000000.0,11583000000.0,0.0,2183000000.0,-508000000.0,1261000000.0,0.0,15592000000.0,7735000000.0,1216000000.0,1219000000.0,824000000.0,221064649.0,1505000000.0,304000000.0,0.0,4009000000.0,1214000000.0,6312000000.0,0.0,84000000.0,-160000000.0,-736000000.0,-12000000.0,769000000.0,-957000000.0,0.0,241000000.0,16000000.0,858000000.0,-94000000.0,-177000000.0,-89000000.0,-5000000.0,420000000.0,461000000.0,1348000000.0,393000000.0,1.79,393000000.0,68000000.0,399000000.0,928000000.0,770000000.0,529000000.0,3484000000.0,6000000.0,0.0,0.0,928000000.0,0.0,221064649.0,68000000.0,1.77,219300000.0,4832000000.0,1.57445747069095,1.90036014405762,22744000000.0,0.101891840244602,21.8578593269338,0.330942577588879,0.278973509933775,6.0,0.278973509933775,0.0548604823442259,-0.06282722513089,102.883930573631
3,2019-09-27 00:00:00+00:00,1,2020,22773000000.0,7138000000.0,659000000.0,38947000000.0,28265000000.0,3007000000.0,31920000000.0,11304000000.0,0.0,2019000000.0,-756000000.0,1423000000.0,0.0,16022000000.0,7797000000.0,1275000000.0,1339000000.0,1001000000.0,223280849.0,1216000000.0,415000000.0,0.0,4718000000.0,1210000000.0,7027000000.0,0.0,143000000.0,-172000000.0,-655000000.0,-97000000.0,-3000000.0,-1014000000.0,0.0,201000000.0,-10000000.0,81000000.0,1414000000.0,471000000.0,-84000000.0,1498000000.0,419000000.0,434000000.0,1189000000.0,429000000.0,1.93,429000000.0,5000000.0,435000000.0,770000000.0,702000000.0,501000000.0,3242000000.0,6000000.0,0.0,0.0,999000000.0,0.0,222600000.0,67000000.0,1.9,225400000.0,4431000000.0,1.48940228910555,1.87354085603113,22925000000.0,0.140551952948273,19.8449621624289,0.313441355991745,0.268336718573685,5.0,0.268336718573685,0.0678232520230541,0.0662983425414363,102.673382435947
4,2019-06-28 00:00:00+00:00,4,2019,3363000000.0,2763000000.0,759000000.0,10117000000.0,6210000000.0,894000000.0,7539000000.0,4486000000.0,0.0,2173000000.0,-707000000.0,525000000.0,0.0,6754000000.0,3522000000.0,457000000.0,360000000.0,530000000.0,118125597.0,20000000.0,364000000.0,0.0,2268000000.0,496000000.0,2578000000.0,0.0,34000000.0,-81000000.0,26000000.0,-3000000.0,254000000.0,-59000000.0,0.0,65000000.0,-1000000.0,311000000.0,-55000000.0,196000000.0,-57000000.0,0.0,293000000.0,301000000.0,642000000.0,268000000.0,2.26,268000000.0,33000000.0,268000000.0,349000000.0,405000000.0,340000000.0,1223000000.0,0.0,0.0,1000000.0,349000000.0,0.0,118300000.0,39000000.0,2.2,121100000.0,1865000000.0,1.13668430335097,0.122817579771222,3363000000.0,0.278585057977396,15.7882799948939,0.821587867975022,0.344235924932976,7.0,0.344235924932976,0.0957377049180328,0.255555555555555,28.4696973848945
6,2019-03-29 00:00:00+00:00,3,2019,3607000000.0,3412000000.0,109000000.0,9792000000.0,6273000000.0,904000000.0,7507000000.0,4579000000.0,0.0,1986000000.0,-217000000.0,523000000.0,0.0,6185000000.0,3521000000.0,453000000.0,433000000.0,334000000.0,117829781.0,75000000.0,168000000.0,0.0,1606000000.0,466000000.0,2285000000.0,0.0,37000000.0,-81000000.0,6000000.0,-301000000.0,368000000.0,-380000000.0,0.0,64000000.0,3000000.0,405000000.0,-37000000.0,-9000000.0,-37000000.0,0.0,279000000.0,283000000.0,589000000.0,243000000.0,2.06,243000000.0,40000000.0,243000000.0,310000000.0,390000000.0,326000000.0,1139000000.0,0.0,0.0,0.0,310000000.0,0.0,117900000.0,43000000.0,2.02,120300000.0,1728000000.0,1.4227895392279,0.106274007682458,3607000000.0,0.264086847352485,14.6652228777375,0.94593845300804,0.340856481481481,7.0,0.340856481481481,0.0907982937233394,0.248484848484849,30.611955393518
7,2018-12-28 00:00:00+00:00,2,2019,3412000000.0,3411000000.0,408000000.0,9852000000.0,6300000000.0,901000000.0,7541000000.0,4618000000.0,0.0,1824000000.0,-211000000.0,521000000.0,0.0,6440000000.0,3819000000.0,494000000.0,425000000.0,343000000.0,117658904.0,71000000.0,201000000.0,0.0,1822000000.0,479000000.0,2311000000.0,0.0,32000000.0,-81000000.0,3000000.0,-193000000.0,316000000.0,-273000000.0,0.0,64000000.0,-5000000.0,352000000.0,-36000000.0,38000000.0,-36000000.0,0.0,267000000.0,271000000.0,571000000.0,225000000.0,1.91,225000000.0,46000000.0,225000000.0,304000000.0,378000000.0,314000000.0,1095000000.0,0.0,0.0,0.0,304000000.0,0.0,117700000.0,43000000.0,1.87,120000000.0,1666000000.0,1.26838638858397,0.085342019543974,3412000000.0,0.25919975518323,14.1595743574154,0.999706916764361,0.342737094837935,9.0,0.342737094837935,0.0854218143310978,0.736363636363636,28.9990802566034
8,2018-09-28 00:00:00+00:00,1,2019,3244000000.0,3410000000.0,599000000.0,9889000000.0,6333000000.0,898000000.0,7601000000.0,4689000000.0,0.0,1680000000.0,-202000000.0,480000000.0,0.0,6645000000.0,4009000000.0,432000000.0,413000000.0,305000000.0,117322936.0,105000000.0,268000000.0,0.0,1956000000.0,410000000.0,2288000000.0,0.0,38000000.0,-82000000.0,-185000000.0,216000000.0,86000000.0,-69000000.0,0.0,65000000.0,0.0,117000000.0,-31000000.0,17000000.0,-31000000.0,0.0,253000000.0,254000000.0,532000000.0,213000000.0,1.81,213000000.0,41000000.0,213000000.0,279000000.0,363000000.0,298000000.0,1010000000.0,0.0,0.0,0.0,279000000.0,0.0,117900000.0,44000000.0,1.77,120600000.0,1542000000.0,1.16973415132924,0.0936170212765957,3244000000.0,0.238046313127322,13.1432101221879,1.05117139334155,0.345006485084306,7.0,0.345006485084306,0.0759340493117531,0.360902255639098,27.6501774554977
9,2018-06-29 00:00:00+00:00,4,2018,3278000000.0,3408000000.0,382000000.0,9851000000.0,6361000000.0,900000000.0,7627000000.0,4723000000.0,0.0,1648000000.0,-202000000.0,622000000.0,0.0,6573000000.0,3790000000.0,466000000.0,411000000.0,288000000.0,118728914.0,94000000.0,293000000.0,0.0,1850000000.0,372000000.0,2224000000.0,0.0,32000000.0,-67000000.0,-72000000.0,-456000000.0,464000000.0,-609000000.0,0.0,67000000.0,-7000000.0,521000000.0,-60000000.0,-155000000.0,-57000000.0,0.0,272000000.0,252000000.0,564000000.0,213000000.0,1.8,213000000.0,39000000.0,213000000.0,292000000.0,365000000.0,298000000.0,1097000000.0,0.0,0.0,-8000000.0,292000000.0,0.0,118728914.0,46000000.0,1.76,120600000.0,1661000000.0,1.20216216216216,0.0792722547108513,3278000000.0,0.225556631171346,13.989852547628,1.03965832824893,0.339554485249849,7.0,0.339554485249849,0.0701173638278664,0.782178217821782,27.6091129747889
11,2018-03-30 00:00:00+00:00,3,2018,3137000000.0,3391000000.0,828000000.0,10070000000.0,6396000000.0,879000000.0,7656000000.0,4787000000.0,0.0,1543000000.0,-249000000.0,494000000.0,0.0,6933000000.0,4219000000.0,743000000.0,963000000.0,443000000.0,118729803.0,71000000.0,298000000.0,0.0,2146000000.0,296000000.0,2414000000.0,0.0,26000000.0,-68000000.0,-34000000.0,300000000.0,-179000000.0,198000000.0,0.0,62000000.0,2000000.0,-143000000.0,-36000000.0,21000000.0,-36000000.0,0.0,203000000.0,206000000.0,534000000.0,196000000.0,1.65,196000000.0,10000000.0,196000000.0,331000000.0,309000000.0,247000000.0,1028000000.0,0.0,0.0,2000000.0,331000000.0,0.0,118400000.0,41000000.0,1.62,121000000.0,1562000000.0,1.12488350419385,0.0490261920752182,3137000000.0,0.201560684044496,13.1559217697009,1.08096907873765,0.341869398207426,6.0,0.341869398207426,0.0605259877851178,1.35714285714286,26.4213358460639
