,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,223063000000.0,91025000000.0,131774000000.0,10502000000.0,198260000000.0,530000000.0,28000000.0,24803000000.0,71361000000.0,5681000000.0,163509000000.0,0.0,142383000000.0,34280000000.0,37683000000.0,12278000000.0,9537000000.0,6866000000.0,0.0,1867267832.0,37655000000.0,4416000000.0,-4507000000.0,19664000000.0,34810000000.0,0.0,0.0,689000000.0,5000000.0,-1696000000.0,12000000.0,-1503000000.0,36000000.0,-360000000.0,3537000000.0,-1827000000.0,2034000000.0,4017000000.0,-2000000.0,-2390000000.0,120000000.0,-0.12,0.0,832000000.0,-207000000.0,122000000.0,24451000000.0,1853533000.0,-0.12,164000000.0,-207000000.0,-2000000.0,4139000000.0,117000000.0,0.0,19143000000.0,-209000000.0,5308000000.0,1853533000.0,5188000000.0,165000000.0,-42000000.0,4.0,-0.322987041754347,0.217087235695882,1.26134052074858,132038000000.0,0.217087235695882,13.0945328682768,-1.08695652173913,0.260142364958186,-0.0829406084453148,70.7118698974085,-0.0499168450885374
1,2020-06-30 00:00:00+00:00,2,2020,223403000000.0,89017000000.0,134118000000.0,9382000000.0,199671000000.0,3751000000.0,59000000.0,23732000000.0,68192000000.0,5511000000.0,166122000000.0,0.0,143850000000.0,30302000000.0,37349000000.0,12529000000.0,8250000000.0,6855000000.0,0.0,1866978650.0,37290000000.0,4416000000.0,-4750000000.0,20825000000.0,34053000000.0,0.0,0.0,1643000000.0,23000000.0,-733000000.0,-1911000000.0,-614000000.0,-1000000.0,-675000000.0,80000000.0,-1290000000.0,-534000000.0,6717000000.0,32000000.0,-2394000000.0,-10425000000.0,-4.44,0.0,1569000000.0,-8270000000.0,-10418000000.0,13494000000.0,1853313000.0,-4.44,172000000.0,-8270000000.0,-7000000.0,-3701000000.0,895000000.0,0.0,14639000000.0,-8277000000.0,-1145000000.0,1853313000.0,9280000000.0,-2320000000.0,-10590000000.0,4.0,-0.652664092664093,-0.0848525270490588,1.13959183673469,134386000000.0,-0.0848525270490588,7.22772057409441,-2.94736842105263,0.225935370345517,-0.0602039086527983,71.9804696213318,-0.0364804595171087
2,2020-03-31 00:00:00+00:00,1,2020,236677000000.0,91763000000.0,143930000000.0,11410000000.0,208115000000.0,8688000000.0,50000000.0,28562000000.0,63528000000.0,6574000000.0,176113000000.0,0.0,149220000000.0,23663000000.0,39743000000.0,15735000000.0,11006000000.0,8492000000.0,0.0,1879324765.0,39693000000.0,4454000000.0,-4884000000.0,28235000000.0,32351000000.0,0.0,0.0,5358000000.0,-1573000000.0,1378000000.0,2779000000.0,-2759000000.0,0.0,-399000000.0,4722000000.0,-3158000000.0,1963000000.0,4288000000.0,-163000000.0,-2402000000.0,4307000000.0,1.93,0.0,683000000.0,3599000000.0,4325000000.0,31501000000.0,1862273000.0,1.93,162000000.0,3599000000.0,-18000000.0,8613000000.0,158000000.0,0.0,21967000000.0,3581000000.0,9534000000.0,1865649000.0,5227000000.0,564000000.0,4163000000.0,6.0,-0.105085227272727,0.302657058506079,1.01158137063928,144914000000.0,0.302657058506079,16.7618713841617,0.378571428571429,0.164406308622247,0.0258103631206288,77.109610163627,0.0157077403397802
3,2019-12-31 00:00:00+00:00,4,2019,237428000000.0,92220000000.0,144213000000.0,14836000000.0,209099000000.0,3282000000.0,63000000.0,28329000000.0,65690000000.0,5848000000.0,174945000000.0,0.0,150494000000.0,23691000000.0,38751000000.0,16244000000.0,14103000000.0,5686000000.0,0.0,1890872188.0,38688000000.0,4463000000.0,-4990000000.0,26530000000.0,26973000000.0,0.0,0.0,-5951000000.0,-1090000000.0,-9271000000.0,-5909000000.0,-2347000000.0,0.0,-275000000.0,5657000000.0,-2622000000.0,3310000000.0,16429000000.0,327000000.0,-2228000000.0,-8227000000.0,-3.51,0.0,1129000000.0,-6610000000.0,-8170000000.0,36350000000.0,1890872188.0,-3.48,178000000.0,-6610000000.0,-57000000.0,8259000000.0,272000000.0,0.0,26649000000.0,-6667000000.0,9701000000.0,1865649000.0,17928000000.0,-1738000000.0,-8348000000.0,5.0,-0.141717038156403,0.26687757909216,1.06781002638522,145208000000.0,0.26687757909216,19.2239328658421,-2.78172588832487,0.164277839029768,0.0191269252028638,76.7941910201706,0.01161871232561
5,2019-09-30 00:00:00+00:00,3,2019,256537000000.0,99645000000.0,155841000000.0,14550000000.0,222549000000.0,7795000000.0,58000000.0,33988000000.0,69412000000.0,5951000000.0,183783000000.0,0.0,164363000000.0,25056000000.0,38385000000.0,19785000000.0,13230000000.0,11697000000.0,0.0,1898418471.0,38327000000.0,4507000000.0,-3269000000.0,30233000000.0,32851000000.0,0.0,0.0,2157000000.0,-1005000000.0,-1093000000.0,3129000000.0,-3218000000.0,0.0,-350000000.0,7817000000.0,-3568000000.0,4599000000.0,4361000000.0,-27000000.0,-2237000000.0,4246000000.0,1.38,0.0,954000000.0,2580000000.0,4246000000.0,36116000000.0,1880607000.0,1.36,197000000.0,2580000000.0,0.0,8607000000.0,168000000.0,0.0,26266000000.0,2580000000.0,9850000000.0,1893928000.0,5604000000.0,1469000000.0,4049000000.0,5.0,-0.178939232045832,0.272732307010743,1.12420203089339,156892000000.0,0.272732307010743,19.0242565333742,-0.352112676056338,0.16077925577993,0.085321668931469,82.6435279663901,0.0518587373312338
6,2019-06-30 00:00:00+00:00,2,2019,255878000000.0,98427000000.0,156395000000.0,16167000000.0,222791000000.0,5588000000.0,58000000.0,33087000000.0,69598000000.0,6809000000.0,183442000000.0,0.0,165411000000.0,25061000000.0,37475000000.0,18719000000.0,14805000000.0,8513000000.0,0.0,1904726061.0,37417000000.0,4507000000.0,-3357000000.0,28829000000.0,30649000000.0,0.0,0.0,-2482000000.0,-825000000.0,-5559000000.0,-4000000.0,-2941000000.0,0.0,-299000000.0,8783000000.0,-3240000000.0,5842000000.0,4334000000.0,12000000.0,-2250000000.0,6133000000.0,2.28,0.0,1076000000.0,4305000000.0,6148000000.0,38850000000.0,1889265000.0,2.27,198000000.0,4305000000.0,-15000000.0,10482000000.0,141000000.0,0.0,27069000000.0,4290000000.0,11781000000.0,1902977000.0,5648000000.0,1645000000.0,5950000000.0,6.0,-0.080168576569751,0.303243243243243,1.14769849804017,157451000000.0,0.303243243243243,20.3966338233454,0.273743016759776,0.160241695706384,0.0951048228688007,82.6633305564878,0.0575904358670623
7,2019-03-31 00:00:00+00:00,1,2019,256809000000.0,100691000000.0,155045000000.0,16947000000.0,223138000000.0,7023000000.0,56000000.0,33671000000.0,70740000000.0,6723000000.0,181387000000.0,0.0,166732000000.0,26064000000.0,36416000000.0,18917000000.0,14230000000.0,8699000000.0,0.0,1900062760.0,36360000000.0,4507000000.0,-3459000000.0,29951000000.0,33087000000.0,0.0,0.0,-1570000000.0,-15000000.0,-3835000000.0,-786000000.0,-2659000000.0,952000000.0,-321000000.0,5057000000.0,-2028000000.0,2398000000.0,4094000000.0,20000000.0,-2244000000.0,4182000000.0,1.4,0.0,984000000.0,2649000000.0,4189000000.0,35200000000.0,1888002000.0,1.39,225000000.0,2649000000.0,-7000000.0,8283000000.0,189000000.0,0.0,25650000000.0,2642000000.0,9550000000.0,1900748000.0,5368000000.0,1315000000.0,3964000000.0,5.0,-0.0678953500688486,0.271306818181818,1.12420286467898,156118000000.0,0.271306818181818,18.5257038562242,-0.270833333333333,0.168106033732142,0.0899293435515428,82.1646543927844,0.0539793427083506
8,2018-12-31 00:00:00+00:00,4,2018,253863000000.0,98221000000.0,154554000000.0,16992000000.0,219842000000.0,5726000000.0,53000000.0,34021000000.0,71050000000.0,5704000000.0,180987000000.0,0.0,169207000000.0,28733000000.0,35599000000.0,18486000000.0,13953000000.0,10292000000.0,0.0,1910774369.0,35546000000.0,4518000000.0,-3544000000.0,27171000000.0,34459000000.0,0.0,0.0,-1691000000.0,-941000000.0,-4756000000.0,-260000000.0,-3715000000.0,-950000000.0,33000000.0,9151000000.0,-4632000000.0,5436000000.0,5252000000.0,-23000000.0,-2120000000.0,5088000000.0,1.97,0.0,1080000000.0,3730000000.0,5095000000.0,42352000000.0,1910774369.0,1.95,190000000.0,3730000000.0,-7000000.0,10347000000.0,250000000.0,0.0,30466000000.0,3723000000.0,11886000000.0,1900748000.0,6798000000.0,1175000000.0,4905000000.0,8.0,0.125903870693322,0.28064790328674,1.25210702587317,155642000000.0,0.28064790328674,22.1648357268707,0.193939393939394,0.185909132083285,0.0970978396320186,81.4549339394033,0.057858787713204
10,2018-09-30 00:00:00+00:00,3,2018,256606000000.0,101933000000.0,153575000000.0,19248000000.0,221023000000.0,6121000000.0,60000000.0,35583000000.0,72750000000.0,6029000000.0,178816000000.0,0.0,171645000000.0,29989000000.0,34732000000.0,18322000000.0,15335000000.0,9686000000.0,0.0,1916147100.0,34672000000.0,4518000000.0,-3265000000.0,29183000000.0,36110000000.0,0.0,0.0,-2444000000.0,-671000000.0,-5276000000.0,2043000000.0,-2251000000.0,-2000000.0,26000000.0,9569000000.0,-2227000000.0,7318000000.0,5380000000.0,-23000000.0,-2129000000.0,5881000000.0,2.13,0.0,1018000000.0,4047000000.0,5872000000.0,43987000000.0,1900717000.0,2.11,182000000.0,4047000000.0,9000000.0,11252000000.0,625000000.0,0.0,30925000000.0,4056000000.0,13062000000.0,1917474000.0,7181000000.0,1643000000.0,5690000000.0,8.0,0.214942687474106,0.296951371996272,1.21930576020286,154673000000.0,0.296951371996272,22.9559619926883,1.06796116504854,0.195272668077487,0.0940334594946157,80.7208381861706,0.0554458846409435
11,2018-06-30 00:00:00+00:00,2,2018,257929000000.0,104549000000.0,152198000000.0,19245000000.0,223673000000.0,8598000000.0,58000000.0,34256000000.0,72687000000.0,6644000000.0,176899000000.0,0.0,174242000000.0,29919000000.0,34300000000.0,17871000000.0,15722000000.0,7628000000.0,0.0,1910956734.0,34242000000.0,4518000000.0,-3368000000.0,31862000000.0,38517000000.0,0.0,0.0,-1323000000.0,442000000.0,-3054000000.0,1181000000.0,-2548000000.0,-20000000.0,26000000.0,6855000000.0,-2542000000.0,4307000000.0,4498000000.0,-78000000.0,-2129000000.0,5122000000.0,1.79,0.0,1017000000.0,3409000000.0,5109000000.0,42236000000.0,1900375000.0,1.78,217000000.0,3409000000.0,13000000.0,9607000000.0,177000000.0,0.0,31320000000.0,3422000000.0,10916000000.0,1918949000.0,5794000000.0,1483000000.0,4892000000.0,8.0,0.224941995359629,0.258452504972062,1.07513652626954,153380000000.0,0.258452504972062,22.102017930878,1.32467532467532,0.196579455709011,0.0810859219506153,80.2634603238484,0.0473353352805576
