,date,quarter,year,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,33821000000.0,296312000000.0,-1359000000.0,0.0,3617000000.0,0.0,106185000000.0,44917000000.0,0.0,20383000000.0,428398000000.0,0.0,23514000000.0,253226000000.0,0.0,383051000000.0,885861714.0,43119000000.0,9000000.0,6000000.0,-278000000.0,-15255000000.0,40000000.0,-333000000.0,14446000000.0,14921000000.0,431000000.0,778000000.0,-3103000000.0,0.0,0.0,445000000.0,876000000.0,1974000000.0,1150000000.0,1581000000.0,61000000.0,0.0,891069000.0,1285000000.0,3847000000.0,1150000000.0,0.98,213000000.0,3847000000.0,7000000.0,0.0,937000000.0,0.0,0.0,0.98,889499000.0,944000000.0,2562000000.0,0.00956069512670769,4.0,45347000000.0,-0.0841121495327104,4.34266425470556,1.0,0.959970612462987,-0.00362600362600363,51.1897052139675,1.0,0.0960512023919366
1,2020-06-30 00:00:00+00:00,2,2020,33224000000.0,305470000000.0,-1943000000.0,0.0,3598000000.0,0.0,130773000000.0,43697000000.0,0.0,20298000000.0,442316000000.0,0.0,25012000000.0,260565000000.0,0.0,398350000000.0,885442821.0,44371000000.0,-2819000000.0,3000000.0,-278000000.0,-29490000000.0,6000000.0,-359000000.0,19855000000.0,20140000000.0,390000000.0,6810000000.0,1928000000.0,0.0,0.0,6451000000.0,901000000.0,1958000000.0,1166000000.0,1556000000.0,49000000.0,0.0,890561000.0,1444000000.0,4010000000.0,1166000000.0,1.01,216000000.0,4010000000.0,15000000.0,0.0,950000000.0,0.0,0.0,1.01,889020000.0,965000000.0,2566000000.0,0.0101804825640019,5.0,43966000000.0,0.0,4.52880739997552,1.0,1.01542439984438,0.0219164118246686,49.654250909557,1.0,0.10123921287587
2,2020-03-31 00:00:00+00:00,1,2020,32601000000.0,336717000000.0,-2827000000.0,0.0,3514000000.0,0.0,169207000000.0,41145000000.0,0.0,20310000000.0,468155000000.0,0.0,24016000000.0,241782000000.0,0.0,426776000000.0,890210117.0,43287000000.0,2538000000.0,-952000000.0,-282000000.0,82880000000.0,-56000000.0,-264000000.0,-78601000000.0,-77988000000.0,354000000.0,-1685000000.0,4475000000.0,0.0,0.0,-1949000000.0,944000000.0,1989000000.0,1245000000.0,1599000000.0,36000000.0,0.0,896689000.0,1501000000.0,4108000000.0,1245000000.0,1.05,265000000.0,4108000000.0,-18000000.0,0.0,980000000.0,0.0,0.0,1.05,894122000.0,962000000.0,2607000000.0,0.0107381613080806,2.0,41379000000.0,0.117021276595745,4.61464088258615,1.0,1.05205978855268,0.0536034880738652,46.4822845863029,1.0,0.104210405309745
3,2019-12-31 00:00:00+00:00,4,2019,31894000000.0,259466000000.0,-2638000000.0,0.0,3625000000.0,0.0,95042000000.0,41483000000.0,0.0,20493000000.0,381508000000.0,0.0,18758000000.0,221617000000.0,0.0,339780000000.0,922198877.0,43460000000.0,-1725000000.0,-1025000000.0,-286000000.0,6005000000.0,59000000.0,-98000000.0,-5318000000.0,-5308000000.0,344000000.0,-2471000000.0,-85000000.0,0.0,0.0,-2569000000.0,1391000000.0,2222000000.0,1813000000.0,2157000000.0,49000000.0,0.0,914739000.0,1933000000.0,4778000000.0,1813000000.0,1.52,373000000.0,4778000000.0,9000000.0,0.0,1440000000.0,0.0,0.0,1.52,911324000.0,1449000000.0,2845000000.0,0.0115305511020421,5.0,41728000000.0,0.788235294117647,5.18109501016016,1.0,1.04765807680255,0.19241327676566,45.2483743373719,1.0,0.103337546338012
5,2019-09-30 00:00:00+00:00,3,2019,30789000000.0,249660000000.0,-2893000000.0,0.0,3149000000.0,0.0,95946000000.0,41120000000.0,0.0,20372000000.0,373168000000.0,0.0,18364000000.0,230997000000.0,0.0,331698000000.0,942662027.0,44026000000.0,1400000000.0,-962000000.0,-294000000.0,-9791000000.0,-46000000.0,-395000000.0,6156000000.0,6903000000.0,336000000.0,5081000000.0,-7467000000.0,0.0,0.0,4686000000.0,1002000000.0,1980000000.0,1284000000.0,1620000000.0,36000000.0,0.0,935677000.0,1382000000.0,3861000000.0,1284000000.0,1.07,246000000.0,3861000000.0,3000000.0,0.0,1038000000.0,0.0,0.0,1.07,933264000.0,1041000000.0,2479000000.0,0.0101493773495036,5.0,41470000000.0,0.0,4.09584759904623,1.0,1.07067120622568,-0.0511182108626198,43.992437174941,1.0,0.0902769335505361
6,2019-06-30 00:00:00+00:00,2,2019,30081000000.0,252877000000.0,-2688000000.0,0.0,2970000000.0,0.0,90747000000.0,41533000000.0,0.0,20497000000.0,381168000000.0,0.0,18946000000.0,242222000000.0,0.0,339333000000.0,957517268.0,50775000000.0,-701000000.0,-743000000.0,-270000000.0,33082000000.0,-22000000.0,-453000000.0,-32196000000.0,-32254000000.0,333000000.0,-1565000000.0,3728000000.0,0.0,0.0,-2018000000.0,969000000.0,1952000000.0,1281000000.0,1614000000.0,48000000.0,0.0,953928000.0,1392000000.0,3924000000.0,1281000000.0,1.01,264000000.0,3924000000.0,4000000.0,0.0,1017000000.0,0.0,0.0,1.01,951281000.0,1021000000.0,2532000000.0,0.0105170829678675,2.0,41835000000.0,-0.0288461538461539,4.09809841674834,1.0,1.22252185009511,-0.0517158047365878,43.6911180592933,1.0,0.0918062998617813
7,2019-03-31 00:00:00+00:00,1,2019,29382000000.0,222382000000.0,-2990000000.0,0.0,3010000000.0,0.0,80360000000.0,41225000000.0,0.0,20560000000.0,346132000000.0,0.0,19310000000.0,217871000000.0,0.0,304663000000.0,954548741.0,46340000000.0,35000000.0,-511000000.0,-270000000.0,-19837000000.0,11000000.0,-264000000.0,20810000000.0,20645000000.0,302000000.0,-949000000.0,-2867000000.0,0.0,0.0,-1213000000.0,910000000.0,2031000000.0,1183000000.0,1485000000.0,36000000.0,0.0,965960000.0,1305000000.0,3899000000.0,1183000000.0,0.94,237000000.0,3899000000.0,10000000.0,0.0,946000000.0,0.0,0.0,0.94,962397000.0,956000000.0,2594000000.0,0.0109711461971817,3.0,41469000000.0,-0.153153153153153,4.08465260340226,1.0,1.12407519708914,-0.0667783628530397,43.4435647115897,1.0,0.0939076445479239
8,2018-12-31 00:00:00+00:00,4,2018,28652000000.0,238778000000.0,-3171000000.0,0.0,1832000000.0,0.0,88000000000.0,40638000000.0,0.0,20570000000.0,362873000000.0,0.0,19731000000.0,230039000000.0,0.0,322005000000.0,988777495.0,48572000000.0,1909000000.0,-1356000000.0,-278000000.0,13458000000.0,-15000000.0,-289000000.0,-14718000000.0,-14439000000.0,328000000.0,3184000000.0,7389000000.0,0.0,0.0,2895000000.0,832000000.0,2245000000.0,1031000000.0,1359000000.0,49000000.0,0.0,988838000.0,1135000000.0,4007000000.0,1031000000.0,0.85,150000000.0,4007000000.0,-11000000.0,0.0,881000000.0,0.0,0.0,0.84,984787000.0,870000000.0,2872000000.0,0.0113871347889892,6.0,40868000000.0,-0.212962962962963,4.05247896545218,1.0,1.19523598602293,0.0748390557939915,41.3318468580234,1.0,0.0990624489968627
10,2018-09-30 00:00:00+00:00,3,2018,28098000000.0,231590000000.0,-2983000000.0,0.0,1832000000.0,0.0,94291000000.0,41560000000.0,0.0,20648000000.0,349770000000.0,0.0,18683000000.0,209014000000.0,0.0,307909000000.0,999944587.0,41940000000.0,-671000000.0,-588000000.0,-283000000.0,-4721000000.0,3000000.0,-291000000.0,2803000000.0,2898000000.0,334000000.0,1244000000.0,-5426000000.0,0.0,0.0,953000000.0,1075000000.0,2000000000.0,1331000000.0,1665000000.0,36000000.0,0.0,1003665000.0,1437000000.0,4069000000.0,1331000000.0,1.07,220000000.0,4069000000.0,3000000.0,0.0,1111000000.0,0.0,0.0,1.06,999808000.0,1114000000.0,2632000000.0,0.0121293902916537,7.0,41861000000.0,0.138297872340426,4.06922548799197,1.0,1.00914340712223,0.0131972111553784,41.8633197721385,1.0,0.105779191057792
11,2018-06-30 00:00:00+00:00,2,2018,27306000000.0,230560000000.0,-2795000000.0,0.0,1752000000.0,0.0,96611000000.0,41505000000.0,0.0,20726000000.0,352928000000.0,0.0,19123000000.0,210241000000.0,0.0,311182000000.0,1010676179.0,47021000000.0,1148000000.0,-629000000.0,-245000000.0,-17806000000.0,-110000000.0,-332000000.0,16644000000.0,16834000000.0,342000000.0,2420000000.0,-8902000000.0,0.0,0.0,2088000000.0,1055000000.0,2035000000.0,1389000000.0,1731000000.0,48000000.0,0.0,1014357000.0,1501000000.0,4138000000.0,1389000000.0,1.04,286000000.0,4138000000.0,5000000.0,0.0,1103000000.0,0.0,0.0,1.03,1010179000.0,1108000000.0,2637000000.0,0.0118374315059063,7.0,41746000000.0,0.181818181818182,4.09428864158477,1.0,1.1328996506445,0.0460060667340749,41.3050202106327,1.0,0.104213760628337
