,date,quarter,year,statementData.balanceSheet.taxAssets,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctPay,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.cashFlow.ncff,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.ncf,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.depamor,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.costRev,statementData.incomeStatement.ebitda,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.ebt,statementData.incomeStatement.epsDil,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswaDil,statementData.overview.grossMargin,statementData.overview.roa,statementData.overview.bvps,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.longTermDebtEquity,statementData.overview.piotroskiFScore,statementData.overview.currentRatio,statementData.overview.rps,statementData.overview.bookVal,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,456000000.0,5887000000.0,4202000000.0,433079455.0,13856000000.0,-4024000000.0,1269000000.0,1392000000.0,6425000000.0,2503000000.0,10473000000.0,0.0,0.0,667000000.0,2189000000.0,0.0,6271000000.0,0.0,-819000000.0,1733000000.0,2958000000.0,6291000000.0,448000000.0,7565000000.0,-3241000000.0,538000000.0,-409000000.0,348000000.0,33000000.0,0.0,-147000000.0,-175000000.0,311000000.0,-241000000.0,-37000000.0,48000000.0,-86000000.0,0.0,-34000000.0,17000000.0,979000000.0,266000000.0,461000000.0,44000000.0,310000000.0,0.61,0.0,2289000000.0,456000000.0,103000000.0,3268000000.0,39000000.0,369000000.0,0.61,518000000.0,37000000.0,0.0,266000000.0,481000000.0,433079455.0,408000000.0,,0.299571603427173,0.0968971962616822,-7.81149962424332,-0.0247687257535064,0.299571603427173,-1.46297216699801,8.0,0.996820855189954,7.54595943601157,-3383000000.0,-0.34144199525775
1,2020-06-30 00:00:00+00:00,2,2020,427000000.0,6637000000.0,4049000000.0,433079455.0,14017000000.0,-4242000000.0,1234000000.0,1349000000.0,6670000000.0,0.0,10441000000.0,0.0,0.0,629000000.0,2097000000.0,0.0,6392000000.0,0.0,-843000000.0,1912000000.0,2865000000.0,5762000000.0,439000000.0,8255000000.0,-3418000000.0,33000000.0,76000000.0,664000000.0,17000000.0,0.0,-50000000.0,707000000.0,628000000.0,-35000000.0,-36000000.0,49000000.0,-87000000.0,0.0,-11000000.0,16000000.0,891000000.0,224000000.0,413000000.0,41000000.0,265000000.0,0.61,0.0,2138000000.0,423000000.0,109000000.0,3029000000.0,41000000.0,333000000.0,0.61,478000000.0,37000000.0,0.0,224000000.0,441000000.0,433079455.0,374000000.0,,0.294156487289534,0.104571119189419,-8.25714533144963,-0.0232183166720413,0.294156487289534,-1.56459217350306,9.0,1.10933703575148,6.99409765351256,-3576000000.0,-0.70003451846738
2,2020-03-31 00:00:00+00:00,1,2020,428000000.0,6637000000.0,4010000000.0,433100000.0,13713000000.0,-4821000000.0,1223000000.0,1102000000.0,6704000000.0,0.0,9524000000.0,0.0,0.0,599000000.0,2070000000.0,0.0,5514000000.0,0.0,-862000000.0,1207000000.0,2888000000.0,5355000000.0,839000000.0,8358000000.0,-3418000000.0,67000000.0,-256000000.0,159000000.0,-50000000.0,0.0,-92000000.0,-239000000.0,120000000.0,6293000000.0,-39000000.0,43000000.0,0.0,-51000000.0,-5000000.0,11000000.0,897000000.0,165000000.0,394000000.0,37000000.0,202000000.0,0.61,0.0,2069000000.0,338000000.0,125000000.0,2966000000.0,5000000.0,290000000.0,0.61,503000000.0,38000000.0,0.0,165000000.0,465000000.0,433100000.0,295000000.0,433100000.0,0.302427511800405,0.104571119189419,-9.67213114754098,-0.0232183166720413,0.302427511800405,-1.37668533499274,4.0,1.0296918767507,6.84830293234819,-4189000000.0,-0.70003451846738
3,2019-12-31 00:00:00+00:00,4,2019,373000000.0,391000000.0,4029000000.0,433100000.0,7361000000.0,1700000000.0,1256000000.0,1331000000.0,425000000.0,2270000000.0,9687000000.0,0.0,0.0,571000000.0,2137000000.0,0.0,5658000000.0,0.0,-758000000.0,1446000000.0,2861000000.0,5374000000.0,695000000.0,1987000000.0,0.0,34000000.0,-256000000.0,159000000.0,-50000000.0,0.0,-92000000.0,-239000000.0,120000000.0,6293000000.0,-39000000.0,43000000.0,0.0,-51000000.0,-5000000.0,11000000.0,897000000.0,165000000.0,394000000.0,37000000.0,202000000.0,0.61,0.0,2069000000.0,338000000.0,125000000.0,2966000000.0,5000000.0,290000000.0,0.61,503000000.0,38000000.0,0.0,165000000.0,465000000.0,433100000.0,295000000.0,433100000.0,0.302427511800405,0.104571119189419,5.37058416070192,-0.0232183166720413,0.302427511800405,0.23,4.0,1.05284704131001,6.84830293234819,2326000000.0,-0.70003451846738
5,2019-09-30 00:00:00+00:00,3,2019,373000000.0,391000000.0,4029000000.0,433100000.0,7361000000.0,1700000000.0,1256000000.0,1331000000.0,425000000.0,2270000000.0,9687000000.0,0.0,0.0,571000000.0,2137000000.0,0.0,5658000000.0,0.0,-758000000.0,1446000000.0,2861000000.0,5374000000.0,695000000.0,1987000000.0,0.0,34000000.0,-341000000.0,364000000.0,-45000000.0,0.0,-58000000.0,-80000000.0,329000000.0,2000000.0,-35000000.0,44000000.0,0.0,0.0,-7000000.0,13000000.0,975000000.0,317000000.0,492000000.0,44000000.0,361000000.0,0.73,0.0,2338000000.0,498000000.0,143000000.0,3313000000.0,-6000000.0,460000000.0,0.73,483000000.0,39000000.0,0.0,317000000.0,444000000.0,433100000.0,454000000.0,433100000.0,0.294295200724419,0.104571119189419,5.37058416070192,-0.0232183166720413,0.294295200724419,0.23,4.0,1.05284704131001,6.84830293234819,2326000000.0,-0.70003451846738
6,2019-06-30 00:00:00+00:00,2,2019,373000000.0,391000000.0,4029000000.0,433100000.0,7361000000.0,1700000000.0,1256000000.0,1331000000.0,425000000.0,2270000000.0,9687000000.0,0.0,0.0,571000000.0,2137000000.0,0.0,5658000000.0,0.0,-758000000.0,1446000000.0,2861000000.0,5374000000.0,695000000.0,1987000000.0,0.0,34000000.0,-41000000.0,354000000.0,-16000000.0,0.0,-74000000.0,223000000.0,319000000.0,1000000.0,-35000000.0,46000000.0,0.0,0.0,-13000000.0,9000000.0,984000000.0,308000000.0,500000000.0,44000000.0,352000000.0,0.73,0.0,2367000000.0,494000000.0,143000000.0,3351000000.0,-3000000.0,451000000.0,0.73,484000000.0,40000000.0,0.0,308000000.0,444000000.0,433100000.0,448000000.0,433100000.0,0.293643688451209,0.104571119189419,5.37058416070192,-0.0232183166720413,0.293643688451209,0.23,4.0,1.05284704131001,6.84830293234819,2326000000.0,-0.70003451846738
7,2019-03-31 00:00:00+00:00,1,2019,373000000.0,391000000.0,4029000000.0,433100000.0,7361000000.0,1700000000.0,1256000000.0,1331000000.0,425000000.0,2270000000.0,9687000000.0,0.0,0.0,571000000.0,2137000000.0,0.0,5658000000.0,0.0,-758000000.0,1446000000.0,2861000000.0,5374000000.0,695000000.0,1987000000.0,0.0,34000000.0,-312000000.0,297000000.0,20000000.0,0.0,-18000000.0,-13000000.0,269000000.0,15000000.0,-28000000.0,45000000.0,0.0,0.0,-19000000.0,7000000.0,901000000.0,273000000.0,421000000.0,27000000.0,300000000.0,0.73,0.0,2200000000.0,444000000.0,125000000.0,3101000000.0,1000000.0,398000000.0,0.73,480000000.0,39000000.0,0.0,273000000.0,441000000.0,433100000.0,399000000.0,433100000.0,0.290551435020961,0.104571119189419,5.37058416070192,-0.0232183166720413,0.290551435020961,0.23,4.0,1.05284704131001,6.84830293234819,2326000000.0,-0.70003451846738
8,2018-12-31 00:00:00+00:00,4,2018,364000000.0,0.0,3523000000.0,433100000.0,6920000000.0,1569000000.0,678000000.0,1351000000.0,27000000.0,0.0,9135000000.0,0.0,0.0,637000000.0,2257000000.0,0.0,5612000000.0,0.0,-708000000.0,1329000000.0,2720000000.0,5303000000.0,750000000.0,1617000000.0,0.0,27000000.0,-312000000.0,297000000.0,20000000.0,0.0,-18000000.0,-13000000.0,269000000.0,15000000.0,-28000000.0,45000000.0,0.0,0.0,-19000000.0,7000000.0,901000000.0,273000000.0,421000000.0,27000000.0,300000000.0,0.73,0.0,2200000000.0,444000000.0,125000000.0,3101000000.0,1000000.0,398000000.0,0.73,480000000.0,39000000.0,0.0,273000000.0,441000000.0,433100000.0,399000000.0,433100000.0,0.290551435020961,0.104571119189419,5.37058416070192,-0.0232183166720413,0.290551435020961,0.0,4.0,1.05826890439374,6.84830293234819,2215000000.0,-0.70003451846738
