,year,quarter,date,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.acctRec,statementData.balanceSheet.equity,statementData.balanceSheet.accoci,statementData.balanceSheet.investments,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.deferredRev,statementData.balanceSheet.deposits,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debt,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.intangibles,statementData.balanceSheet.acctPay,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.incomeStatement.ebitda,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.eps,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.costRev,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,4,2020-09-30 00:00:00+00:00,363702563.0,0.0,11840000000.0,0.0,1529000000.0,683700000.0,18912300000.0,144900000.0,6790800000.0,12237400000.0,0.0,0.0,9757800000.0,4283300000.0,0.0,3040100000.0,163500000.0,900500000.0,-65700000.0,700000.0,667400000.0,18600000.0,-43900000.0,23000000.0,-63700000.0,-99600000.0,0.0,-66400000.0,766300000.0,832700000.0,8400000.0,0.0,1076900000.0,1646800000.0,1053900000.0,1049100000.0,369600000.0,2200000.0,224900000.0,0.0,364000000.0,0.0,2.27,0.0,829000000.0,831200000.0,0.0,829000000.0,2.24,4753500000.0,1053900000.0,6400300000.0,597700000.0,597700000.0,0.13498608881831,8.0,12121500000.0,0.669117647058823,17.5976213838229,0.25730043904192,0.361765202702703,0.270178015042966,33.3280576854225,0.25730043904192,0.21790358337885
2,2020,3,2020-06-30 00:00:00+00:00,363537810.0,0.0,11048000000.0,0.0,1502600000.0,631900000.0,17973900000.0,158600000.0,6646800000.0,12138700000.0,0.0,0.0,8992500000.0,4297300000.0,0.0,2372700000.0,163500000.0,761200000.0,-65800000.0,-2900000.0,835400000.0,21300000.0,-19200000.0,18600000.0,-63600000.0,-82800000.0,-3100000.0,-59800000.0,924200000.0,984000000.0,2100000.0,0.0,798800000.0,1305300000.0,780200000.0,777800000.0,367700000.0,2200000.0,149500000.0,0.0,363800000.0,0.0,1.73,0.0,630700000.0,632900000.0,0.0,630700000.0,1.72,4084700000.0,780200000.0,5390000000.0,527500000.0,527500000.0,0.122327078739852,7.0,11327100000.0,0.3515625,14.8265183200614,0.242170686456401,0.388966328747285,0.0985875303181623,31.1579695107917,0.242170686456401,0.196386958947941
3,2020,2,2020-03-31 00:00:00+00:00,366363723.0,0.0,10458000000.0,0.0,1379400000.0,589700000.0,17130000000.0,149500000.0,6395200000.0,12224500000.0,0.0,0.0,8425400000.0,4306600000.0,0.0,1537300000.0,163500000.0,707000000.0,-16800000.0,-4400000.0,-58600000.0,21300000.0,512900000.0,19800000.0,-64100000.0,239500000.0,0.0,-12400000.0,-293700000.0,-281300000.0,-188500000.0,0.0,639800000.0,1049200000.0,620000000.0,610900000.0,370100000.0,1300000.0,137300000.0,0.0,365800000.0,0.0,1.32,0.0,482700000.0,484000000.0,0.0,482700000.0,1.3,3450800000.0,620000000.0,4500000000.0,466800000.0,438300000.0,0.117859170704769,5.0,10734800000.0,0.404255319148936,12.2828755073002,0.233155555555556,0.411799579269459,0.0899314554218034,29.3009359990591,0.233155555555556,0.187773088104449
4,2020,1,2019-12-31 00:00:00+00:00,368493204.0,0.0,10227400000.0,0.0,1025100000.0,563400000.0,16322900000.0,154100000.0,5820000000.0,11899200000.0,0.0,0.0,8006800000.0,3783300000.0,0.0,1595900000.0,163500000.0,659300000.0,-17800000.0,1200000.0,81900000.0,16600000.0,457100000.0,19000000.0,-64600000.0,213500000.0,-600000.0,-18400000.0,-132200000.0,-113800000.0,-159000000.0,0.0,541100000.0,936500000.0,522100000.0,511800000.0,373400000.0,1200000.0,90800000.0,0.0,368300000.0,0.0,1.17,0.0,431300000.0,432500000.0,0.0,431300000.0,1.16,3084200000.0,522100000.0,4020700000.0,455800000.0,424700000.0,0.113428946034861,5.0,10502900000.0,0.519480519480519,10.9111917298752,0.232919640858557,0.36991806324188,0.14256891162262,28.5022895564717,0.232919640858557,0.179633639907263
5,2019,4,2019-09-30 00:00:00+00:00,369819919.0,0.0,10020900000.0,0.0,1072000000.0,499200000.0,15606600000.0,163100000.0,5311500000.0,11282000000.0,0.0,0.0,7640100000.0,3399400000.0,0.0,1514000000.0,163500000.0,634000000.0,-67700000.0,-4900000.0,628700000.0,19300000.0,-57600000.0,19600000.0,-55500000.0,-115000000.0,-300000.0,-62500000.0,748900000.0,811400000.0,-102400000.0,0.0,681100000.0,1157400000.0,661500000.0,651900000.0,375000000.0,-1400000.0,156200000.0,0.0,369900000.0,0.0,1.36,0.0,505300000.0,503900000.0,0.0,505300000.0,1.35,3881500000.0,661500000.0,5038900000.0,505500000.0,505500000.0,0.107239280875352,7.0,10295100000.0,0.0967741935483872,13.6252801461459,0.229692988549088,0.339231007194963,0.118487935894875,27.8381435695463,0.229692988549088,0.169716605982442
7,2019,3,2019-06-30 00:00:00+00:00,373176964.0,0.0,9642400000.0,0.0,954900000.0,454200000.0,15224000000.0,173900000.0,5409300000.0,11702300000.0,0.0,0.0,7190400000.0,3450600000.0,0.0,885300000.0,163500000.0,681200000.0,-5200000.0,-1300000.0,154100000.0,18000000.0,-186100000.0,18300000.0,-56000000.0,-383100000.0,-400000.0,-3500000.0,538900000.0,542400000.0,-140800000.0,0.0,646200000.0,1074700000.0,627900000.0,617300000.0,376900000.0,-1200000.0,153100000.0,0.0,372300000.0,0.0,1.28,0.0,474800000.0,473600000.0,0.0,474800000.0,1.26,3831600000.0,627900000.0,4906300000.0,480000000.0,457400000.0,0.107300437829264,7.0,9814700000.0,0.0666666666666667,13.1473817338843,0.219044901453234,0.357856965070937,0.106193493112078,26.300390824767,0.219044901453234,0.170242348794723
8,2019,2,2019-03-31 00:00:00+00:00,373423120.0,0.0,9360300000.0,0.0,796500000.0,437900000.0,15007000000.0,171900000.0,5473000000.0,11920300000.0,0.0,0.0,6771600000.0,3622400000.0,0.0,731200000.0,163500000.0,658500000.0,-10700000.0,-16600000.0,-37100000.0,17800000.0,198600000.0,17200000.0,-55900000.0,62200000.0,-1000000.0,6900000.0,-81700000.0,-88600000.0,-61900000.0,0.0,476900000.0,872000000.0,459700000.0,457100000.0,377700000.0,3100000.0,108400000.0,0.0,373300000.0,0.0,0.94,0.0,351300000.0,354400000.0,0.0,351300000.0,0.93,3256700000.0,459700000.0,4128700000.0,444200000.0,414900000.0,0.108889308097005,3.0,9534000000.0,0.010752688172043,11.0563588028508,0.211204495361736,0.386996143286006,0.0880174980894406,25.5313597079902,0.211204495361736,0.1728464206595
9,2019,1,2018-12-31 00:00:00+00:00,388133243.0,0.0,9124700000.0,0.0,622200000.0,391100000.0,14535800000.0,181400000.0,5237600000.0,11595600000.0,0.0,0.0,6476200000.0,3342300000.0,0.0,768300000.0,158400000.0,697200000.0,-310400000.0,-288600000.0,-737700000.0,18100000.0,138400000.0,16900000.0,-56000000.0,-54200000.0,-600000.0,-21200000.0,-394300000.0,-373100000.0,-132000000.0,0.0,393100000.0,767900000.0,376200000.0,367100000.0,380100000.0,-500000.0,89000000.0,0.0,375100000.0,0.0,0.77,0.0,287200000.0,286700000.0,0.0,287200000.0,0.76,2751100000.0,376200000.0,3519000000.0,402800000.0,400800000.0,0.112379849951047,4.0,9298200000.0,0.54,9.06647411286026,0.21821540210287,0.366291494514888,0.0559006211180124,23.9562061938611,0.21821540210287,0.178563140841076
10,2018,4,2018-09-30 00:00:00+00:00,377068508.0,0.0,8984400000.0,0.0,807400000.0,401100000.0,14114600000.0,194000000.0,4955700000.0,10395000000.0,0.0,0.0,6217900000.0,3203500000.0,0.0,1506000000.0,109200000.0,624700000.0,11500000.0,1000000.0,269100000.0,9500000.0,108400000.0,15800000.0,-47100000.0,18900000.0,6900000.0,3600000.0,242300000.0,238700000.0,-41400000.0,0.0,620800000.0,1046000000.0,605000000.0,593400000.0,382800000.0,2700000.0,138800000.0,0.0,376600000.0,0.0,1.24,0.0,466200000.0,468900000.0,0.0,466200000.0,1.22,3459100000.0,605000000.0,4505100000.0,456900000.0,452600000.0,0.108404443669108,6.0,9158900000.0,0.493975903614458,11.9476962525865,0.232181305631396,0.356562486086995,0.0831910749921858,24.2897505511121,0.232181305631396,0.17352195017616
12,2018,3,2018-06-30 00:00:00+00:00,377415017.0,0.0,8597300000.0,0.0,712100000.0,385200000.0,13593400000.0,204600000.0,4823500000.0,10303300000.0,0.0,0.0,5798800000.0,3093600000.0,0.0,1236900000.0,109200000.0,655300000.0,-23900000.0,300000.0,170700000.0,15300000.0,-139800000.0,13500000.0,-47200000.0,-210700000.0,-800000.0,-23400000.0,381900000.0,405300000.0,-23500000.0,0.0,629800000.0,1038100000.0,616300000.0,603200000.0,383400000.0,-100000.0,162500000.0,0.0,377400000.0,0.0,1.2,0.0,453800000.0,453700000.0,0.0,453800000.0,1.18,3397200000.0,616300000.0,4435300000.0,434900000.0,434900000.0,0.100659437110949,6.0,8769900000.0,0.558441558441558,11.7517846408321,0.234054066241291,0.359833901341119,0.174478339158987,23.2367542492354,0.234054066241291,0.161281468482944
