,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.intangibles,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.accoci,statementData.balanceSheet.debt,statementData.balanceSheet.debtCurrent,statementData.cashFlow.ncff,statementData.cashFlow.capex,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.opinc,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.overview.rps,statementData.overview.profitMargin,statementData.overview.revenueQoQ,statementData.overview.longTermDebtEquity,statementData.overview.epsQoQ,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.bvps,statementData.overview.roe,statementData.overview.grossMargin
0,2020,3,2020-09-30 00:00:00+00:00,0.0,14088000000.0,4273000000.0,0.0,41690000000.0,1102000000.0,24106000000.0,62000000.0,214000000.0,21024000000.0,0.0,4374000000.0,17344000000.0,9610000000.0,908000000.0,152000000.0,748569000.0,7734000000.0,27602000000.0,5627000000.0,2994000000.0,2768000000.0,289000000.0,-3796000000.0,3244000000.0,2142000000.0,481000000.0,-99000000.0,-31000000.0,-97000000.0,-193000000.0,-368000000.0,616000000.0,-467000000.0,0.0,4000000.0,-49000000.0,-96000000.0,31000000.0,285000000.0,284000000.0,1863000000.0,-0.52,748569000.0,-213000000.0,0.0,-509000000.0,11000000.0,-392000000.0,1092000000.0,2000000.0,-392000000.0,0.0,-390000000.0,566000000.0,-526000000.0,-498000000.0,597000000.0,1297000000.0,-0.52,-117000000.0,2.48874853219944,0.303811057434246,-0.0251177394034537,0.0457147598108355,-0.212121212121212,0.0146296788679134,4.0,1.82156710628394,24346000000.0,32.5233879575564,0.0255782481585934,0.303811057434246
1,2020,2,2020-06-30 00:00:00+00:00,508000000.0,14422000000.0,4293000000.0,0.0,42180000000.0,1102000000.0,24561000000.0,62000000.0,122000000.0,21139000000.0,0.0,3589000000.0,17379000000.0,9850000000.0,1121000000.0,60000000.0,748370000.0,7529000000.0,27758000000.0,6772000000.0,2891000000.0,2809000000.0,290000000.0,-3845000000.0,2631000000.0,1529000000.0,-130000000.0,-74000000.0,3000000.0,-97000000.0,-122000000.0,1061000000.0,28000000.0,987000000.0,0.0,7000000.0,831000000.0,-54000000.0,22000000.0,300000000.0,273000000.0,5191000000.0,1.01,748370000.0,1152000000.0,0.0,838000000.0,14000000.0,760000000.0,1593000000.0,6000000.0,760000000.0,0.0,766000000.0,2362000000.0,769000000.0,852000000.0,965000000.0,2829000000.0,1.01,78000000.0,6.93640846105536,0.455018300905413,-0.0656947444204463,0.0448678799723138,-2.24691358024691,0.0121084372621348,8.0,1.9155266303626,24801000000.0,33.1400243195211,0.0211646709651008,0.455018300905413
2,2020,1,2020-03-31 00:00:00+00:00,-155000000.0,14679000000.0,4358000000.0,0.0,42978000000.0,614000000.0,23825000000.0,64000000.0,74000000.0,21268000000.0,0.0,4401000000.0,18899000000.0,9700000000.0,1054000000.0,10000000.0,749403000.0,9199000000.0,28299000000.0,6775000000.0,3021000000.0,1963000000.0,273000000.0,-3933000000.0,2610000000.0,1996000000.0,2344000000.0,-128000000.0,-36000000.0,-97000000.0,-130000000.0,-1930000000.0,2493000000.0,-2058000000.0,0.0,11000000.0,167000000.0,-9000000.0,-117000000.0,283000000.0,280000000.0,3956000000.0,0.36,749403000.0,692000000.0,0.0,399000000.0,10000000.0,272000000.0,1270000000.0,10000000.0,272000000.0,-1000000.0,282000000.0,1687000000.0,417000000.0,409000000.0,757000000.0,2269000000.0,0.36,127000000.0,5.27886864610897,0.42644084934277,0.16489988221437,0.0257712486883526,0.636363636363636,-0.0197296733359609,2.0,1.5957169257528,24079000000.0,32.130909537325,-0.0343980840550127,0.42644084934277
3,2019,4,2019-12-31 00:00:00+00:00,-425000000.0,13519000000.0,4546000000.0,0.0,42397000000.0,115000000.0,24309000000.0,66000000.0,71000000.0,21653000000.0,0.0,5032000000.0,17842000000.0,9604000000.0,1015000000.0,5000000.0,748400792.0,8238000000.0,28878000000.0,5528000000.0,3702000000.0,1764000000.0,287000000.0,-3270000000.0,122000000.0,7000000.0,-3690000000.0,-148000000.0,4000000.0,-97000000.0,60000000.0,3373000000.0,-3598000000.0,3225000000.0,0.0,127000000.0,-227000000.0,92000000.0,30000000.0,289000000.0,290000000.0,2983000000.0,-0.03,748400792.0,147000000.0,0.0,-166000000.0,24000000.0,-21000000.0,1303000000.0,3000000.0,-21000000.0,-24000000.0,-18000000.0,1015000000.0,-288000000.0,-142000000.0,747000000.0,1968000000.0,-0.03,-145000000.0,3.98583223305835,0.340261481729802,0.0596802841918296,0.00473075815541569,-0.957746478873239,-0.0160062756617819,2.0,1.64105365379947,24555000000.0,32.8099599338746,-0.0256237266624361,0.340261481729802
5,2019,3,2019-09-30 00:00:00+00:00,-397000000.0,14117000000.0,4503000000.0,0.0,43235000000.0,116000000.0,25015000000.0,70000000.0,187000000.0,21835000000.0,0.0,4403000000.0,17974000000.0,8981000000.0,1454000000.0,117000000.0,748893017.0,8993000000.0,29118000000.0,6574000000.0,3014000000.0,1980000000.0,270000000.0,-2667000000.0,3720000000.0,3604000000.0,1446000000.0,-181000000.0,-21000000.0,-97000000.0,-290000000.0,-1215000000.0,1556000000.0,-1396000000.0,0.0,17000000.0,-113000000.0,-125000000.0,-54000000.0,226000000.0,289000000.0,1911000000.0,-0.66,748893017.0,-353000000.0,0.0,-598000000.0,19000000.0,-494000000.0,1233000000.0,-11000000.0,-494000000.0,-22000000.0,-505000000.0,562000000.0,-671000000.0,-579000000.0,646000000.0,1349000000.0,-0.66,-104000000.0,2.55176634929152,0.294086865515437,-0.0184899845916795,0.00463721766939836,-0.903367496339678,-0.0192062547803178,2.0,1.56977649282775,25261000000.0,33.7311197014406,-0.0293717759027472,0.294086865515437
6,2019,2,2019-06-30 00:00:00+00:00,97000000.0,14445000000.0,4543000000.0,0.0,43922000000.0,117000000.0,25810000000.0,64000000.0,70000000.0,22081000000.0,0.0,3918000000.0,17855000000.0,9241000000.0,1712000000.0,6000000.0,748795953.0,8614000000.0,29477000000.0,7434000000.0,3139000000.0,2077000000.0,325000000.0,-2375000000.0,2175000000.0,2058000000.0,-1997000000.0,-171000000.0,4000000.0,0.0,-172000000.0,453000000.0,-7238000000.0,282000000.0,0.0,-9000000.0,-1800000000.0,4000000.0,-84000000.0,358000000.0,269000000.0,5556000000.0,-0.81,748795953.0,54000000.0,0.0,-338000000.0,34000000.0,-608000000.0,1709000000.0,14000000.0,-608000000.0,1077000000.0,-594000000.0,2509000000.0,800000000.0,-304000000.0,937000000.0,3047000000.0,-0.81,270000000.0,7.4199118968796,0.451583873290137,-0.030535683126854,0.00453312669507943,-1.8804347826087,-0.0654858938378698,2.0,1.67692129092176,26067000000.0,34.8118868639238,-0.0989060465569063,0.451583873290137
7,2019,1,2019-03-31 00:00:00+00:00,97000000.0,24061000000.0,4521000000.0,0.0,110102000000.0,6297000000.0,74571000000.0,77000000.0,82000000.0,22164000000.0,0.0,5019000000.0,35028000000.0,20950000000.0,1718000000.0,5000000.0,748795953.0,14078000000.0,86041000000.0,6507000000.0,3120000000.0,1759000000.0,294000000.0,-3434000000.0,9498000000.0,3201000000.0,1312000000.0,-663000000.0,35000000.0,0.0,-502000000.0,-1541000000.0,1530000000.0,-2204000000.0,0.0,125000000.0,-711000000.0,41000000.0,20000000.0,726000000.0,299000000.0,3396000000.0,0.22,748795953.0,882000000.0,0.0,97000000.0,59000000.0,164000000.0,1408000000.0,12000000.0,164000000.0,-360000000.0,176000000.0,1185000000.0,-223000000.0,156000000.0,735000000.0,2211000000.0,0.22,-67000000.0,7.4199118968796,0.348939929328622,-0.030535683126854,0.0844430140403106,-1.8804347826087,-0.0431345909007068,2.0,1.70912061372354,75074000000.0,34.8118868639238,-0.0643636803028879,0.348939929328622
8,2018,4,2018-12-31 00:00:00+00:00,0.0,22972000000.0,4544000000.0,0.0,108683000000.0,5784000000.0,74660000000.0,138000000.0,143000000.0,22248000000.0,0.0,5310000000.0,33530000000.0,20220000000.0,1666000000.0,5000000.0,748795953.0,13310000000.0,85711000000.0,5260000000.0,3798000000.0,2270000000.0,304000000.0,-3360000000.0,7938000000.0,2154000000.0,-2033000000.0,-481000000.0,4000000.0,0.0,-277000000.0,3263000000.0,-6777000000.0,2782000000.0,0.0,-23000000.0,896000000.0,226000000.0,-57000000.0,698000000.0,345000000.0,2815000000.0,-0.71,748795953.0,409000000.0,0.0,-375000000.0,86000000.0,-531000000.0,1669000000.0,9000000.0,-531000000.0,-548000000.0,-522000000.0,791000000.0,-878000000.0,-289000000.0,694000000.0,2024000000.0,-0.71,156000000.0,7.4199118968796,0.280994671403197,-0.030535683126854,0.077471202785963,-1.8804347826087,-0.0431345909007068,2.0,1.7259203606311,75153000000.0,34.8118868639238,-0.0643636803028879,0.280994671403197
10,2018,3,2018-09-30 00:00:00+00:00,0.0,23340000000.0,4384000000.0,0.0,109648000000.0,10215000000.0,71496000000.0,144000000.0,286000000.0,22341000000.0,0.0,4898000000.0,37649000000.0,24407000000.0,1818000000.0,142000000.0,748795953.0,13242000000.0,86308000000.0,6547000000.0,3642000000.0,1657000000.0,366000000.0,-2271000000.0,14586000000.0,4371000000.0,621000000.0,-352000000.0,24000000.0,0.0,-230000000.0,-1190000000.0,1164000000.0,-1542000000.0,0.0,16000000.0,-883000000.0,110000000.0,-84000000.0,682000000.0,325000000.0,1947000000.0,-6.83,748795953.0,-4365000000.0,0.0,-5129000000.0,82000000.0,-5121000000.0,6037000000.0,5000000.0,-5121000000.0,-526000000.0,-5116000000.0,462000000.0,-5575000000.0,-5047000000.0,633000000.0,1485000000.0,-6.83,-8000000.0,7.4199118968796,0.23728813559322,-0.030535683126854,0.142875125881168,-1.8804347826087,-0.0431345909007068,2.0,1.76257362936112,71999000000.0,34.8118868639238,-0.0643636803028879,0.23728813559322
11,2018,2,2018-06-30 00:00:00+00:00,0.0,24641000000.0,4463000000.0,0.0,116129000000.0,9736000000.0,77205000000.0,195000000.0,244000000.0,26930000000.0,0.0,4362000000.0,38426000000.0,25377000000.0,1636000000.0,49000000.0,748795953.0,13049000000.0,91488000000.0,7331000000.0,3629000000.0,2696000000.0,419000000.0,-2185000000.0,13451000000.0,3715000000.0,621000000.0,-352000000.0,24000000.0,0.0,-230000000.0,-1190000000.0,1164000000.0,-1542000000.0,0.0,16000000.0,-883000000.0,110000000.0,-84000000.0,682000000.0,354000000.0,5731000000.0,0.92,748795953.0,-4365000000.0,0.0,627000000.0,88000000.0,694000000.0,1776000000.0,4000000.0,694000000.0,-323000000.0,698000000.0,2044000000.0,268000000.0,715000000.0,965000000.0,3687000000.0,0.92,-67000000.0,7.4199118968796,0.356656778921654,-0.030535683126854,0.126105822161777,-1.8804347826087,-0.0431345909007068,2.0,1.8883439344011,77703000000.0,34.8118868639238,-0.0643636803028879,0.356656778921654
