,date,quarter,year,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-11-29 00:00:00+00:00,2,2021,6685800000.0,1843700000.0,1109700000.0,9927600000.0,0.0,7472500000.0,21800000.0,8817900000.0,223200000.0,98800000.0,203000000.0,5926400000.0,5152200000.0,0.0,235600000.0,0.0,5152200000.0,1546100000.0,2455100000.0,0.0,46200000.0,777300000.0,-7100000.0,439900000.0,0.0,130199935.0,-34800000.0,0.0,0.0,122700000.0,-65700000.0,-39100000.0,22300000.0,6000000.0,0.0,-62900000.0,223200000.0,-1700000.0,160300000.0,86000000.0,96000000.0,315400000.0,130300000.0,96000000.0,120700000.0,0.74,194700000.0,131500000.0,14600000.0,1341100000.0,0.0,0.73,900000.0,1656500000.0,108700000.0,0.0,0.0,8800000.0,104800000.0,119400000.0,205400000.0,96000000.0,-0.0116660149104992,-0.194466057187318,2455100000.0,0.717741413880085,2.7,0.190401448837911,12.7227406065909,2.0985703230011,0.190401448837911,18.8563842216972,4.0,-0.0486608787161273
1,2020-08-30 00:00:00+00:00,1,2021,6691000000.0,1843700000.0,971000000.0,9789500000.0,0.0,7414500000.0,16200000.0,8818500000.0,166600000.0,101500000.0,190100000.0,5870600000.0,5193400000.0,0.0,248800000.0,0.0,5193400000.0,1543900000.0,2375000000.0,0.0,47200000.0,654600000.0,-12500000.0,448500000.0,0.0,129893801.0,-273600000.0,0.0,0.0,-108700000.0,-44000000.0,0.0,19100000.0,-2400000.0,0.0,-39900000.0,208900000.0,-271200000.0,169000000.0,87600000.0,36100000.0,301300000.0,130000000.0,36100000.0,56600000.0,0.28,244700000.0,130900000.0,16600000.0,1226100000.0,0.0,0.28,1200000.0,1527400000.0,157100000.0,0.0,0.0,-4800000.0,31300000.0,47900000.0,135500000.0,36100000.0,-0.0189498017824372,-0.284221378696284,2375000000.0,0.628926743960101,-0.798561151079137,0.197263323294487,11.758836743872,2.18669473684211,0.197263323294487,18.284167386864,5.0,-0.0802051260044415
2,2020-05-31 00:00:00+00:00,4,2020,6726100000.0,1843300000.0,1101400000.0,9946100000.0,270000000.0,7614900000.0,18400000.0,8844700000.0,143500000.0,105700000.0,206900000.0,5822100000.0,5475100000.0,0.0,249400000.0,0.0,5205100000.0,1792800000.0,2331200000.0,0.0,49800000.0,763300000.0,-17600000.0,467900000.0,0.0,120823455.0,746800000.0,0.0,0.0,441600000.0,-96600000.0,0.0,10400000.0,478200000.0,-5700000.0,-83900000.0,-208600000.0,268600000.0,-292500000.0,94400000.0,-480000000.0,10500000.0,124500000.0,-480000000.0,-592100000.0,-3.93,602600000.0,119700000.0,19900000.0,1259600000.0,0.0,-3.89,300000.0,1270100000.0,118200000.0,0.0,0.0,-130600000.0,-610600000.0,-590700000.0,-496300000.0,-480000000.0,-0.00532228248725293,-0.430218473823516,2331200000.0,0.614346273984828,-3.32544378698225,0.00826706558538698,10.5120317905162,2.23279855868222,0.00826706558538698,19.2942669947652,3.0,-0.0224714282651114
4,2020-02-23 00:00:00+00:00,3,2020,6825300000.0,2156300000.0,686000000.0,9973300000.0,0.0,7632100000.0,19600000.0,9287300000.0,648600000.0,246100000.0,229600000.0,5949000000.0,5245900000.0,0.0,360100000.0,0.0,5245900000.0,1683100000.0,2341200000.0,0.0,51200000.0,321700000.0,-400000.0,475700000.0,0.0,121510096.0,-174300000.0,0.0,0.0,164400000.0,-137700000.0,-106600000.0,14600000.0,-66500000.0,-13100000.0,-118000000.0,476400000.0,-1300000.0,358400000.0,87700000.0,232300000.0,538000000.0,121300000.0,232300000.0,278300000.0,1.92,259700000.0,122800000.0,13200000.0,1808500000.0,0.0,1.89,1000000.0,2346500000.0,171900000.0,0.0,0.0,31800000.0,264100000.0,277300000.0,365000000.0,232300000.0,0.0719649685945828,0.0445136879590473,2341200000.0,0.407581248885984,0.0607734806629834,0.229277647560196,19.31115254818,2.24068853579361,0.229277647560196,19.2675347734068,8.0,0.270790729379686
5,2019-11-24 00:00:00+00:00,2,2020,6759600000.0,2150200000.0,535500000.0,9742700000.0,0.0,7469000000.0,42900000.0,9207200000.0,584500000.0,253900000.0,212200000.0,5911500000.0,5234400000.0,0.0,340200000.0,0.0,5234400000.0,1557500000.0,2273700000.0,0.0,56800000.0,157300000.0,-500000.0,390300000.0,0.0,122601536.0,-241100000.0,0.0,0.0,-193500000.0,-142800000.0,-107600000.0,13800000.0,-132500000.0,0.0,-137700000.0,190400000.0,-1200000.0,52700000.0,87600000.0,24700000.0,405500000.0,122200000.0,24700000.0,160200000.0,0.2,245300000.0,123700000.0,13100000.0,1650900000.0,0.0,0.2,700000.0,2056400000.0,157700000.0,0.0,0.0,-31600000.0,-6900000.0,6200000.0,93800000.0,24700000.0,0.0807527823577906,0.0420593898854769,2273700000.0,0.343820224719101,-0.78494623655914,0.197189262789341,16.7730361877359,2.30215067950917,0.197189262789341,18.5454446508729,5.0,0.267811562162913
6,2019-08-25 00:00:00+00:00,1,2020,6607700000.0,2150500000.0,670300000.0,9719500000.0,0.0,7338200000.0,1000000.0,9049200000.0,789900000.0,247000000.0,199000000.0,5789600000.0,5193500000.0,0.0,343700000.0,0.0,5193500000.0,1548600000.0,2381300000.0,0.0,51100000.0,350800000.0,-101000000.0,388800000.0,0.0,123080471.0,-192700000.0,0.0,0.0,-106500000.0,-166900000.0,-108100000.0,14200000.0,-83600000.0,-37000000.0,-114500000.0,253100000.0,-1300000.0,138600000.0,86200000.0,170600000.0,454400000.0,122900000.0,170600000.0,201500000.0,1.39,252900000.0,124600000.0,11100000.0,1679500000.0,0.0,1.37,1200000.0,2133900000.0,166700000.0,0.0,0.0,18600000.0,189200000.0,200300000.0,286500000.0,170600000.0,0.106897797038642,0.0351702726302512,2381300000.0,0.432842567480305,0.0373134328358207,0.212943436899574,17.3374377158501,2.18095158106916,0.212943436899574,19.3475047718984,6.0,0.307412284928104
7,2019-05-26 00:00:00+00:00,4,2019,2552600000.0,2134500000.0,892600000.0,5892800000.0,0.0,3500200000.0,41600000.0,5000200000.0,806600000.0,222700000.0,207300000.0,2026100000.0,927700000.0,0.0,332600000.0,0.0,927700000.0,1474100000.0,2392600000.0,0.0,88300000.0,457300000.0,-98200000.0,428500000.0,0.0,122975802.0,-80400000.0,0.0,0.0,154400000.0,-112900000.0,-92400000.0,14500000.0,-27600000.0,0.0,-104600000.0,347700000.0,39600000.0,243100000.0,87900000.0,208000000.0,503800000.0,122900000.0,208000000.0,229800000.0,1.69,274000000.0,124800000.0,11900000.0,1725300000.0,0.0,1.67,700000.0,2229100000.0,171500000.0,0.0,0.0,9200000.0,217200000.0,229100000.0,317000000.0,208000000.0,0.126060777410135,0.0445152523311936,2392600000.0,0.605522013431925,0.190140845070423,0.226010497510206,18.1263302515401,0.387737189668143,0.226010497510206,19.455860104901,9.0,0.309038532348546
9,2019-02-24 00:00:00+00:00,3,2019,2539900000.0,2134500000.0,687200000.0,5697800000.0,0.0,3382100000.0,5200000.0,5010600000.0,728400000.0,188500000.0,209500000.0,1939200000.0,927400000.0,0.0,303200000.0,0.0,927400000.0,1442900000.0,2315700000.0,0.0,73900000.0,302900000.0,-81000000.0,471700000.0,0.0,123509077.0,-209100000.0,0.0,0.0,163200000.0,-107900000.0,-92400000.0,13700000.0,-70000000.0,0.0,-102000000.0,480200000.0,-46700000.0,378200000.0,85300000.0,223600000.0,517600000.0,123300000.0,223600000.0,265500000.0,1.81,252100000.0,125000000.0,12400000.0,1728900000.0,0.0,1.79,1500000.0,2246500000.0,165200000.0,0.0,0.0,28000000.0,251600000.0,264000000.0,349300000.0,223600000.0,0.122430053796115,0.0554876902837813,2315700000.0,0.476263081294615,0.0284090909090908,0.230402848876029,18.188946550058,0.400483655050309,0.230402848876029,18.7492292570529,8.0,0.300973882248783
10,2018-11-25 00:00:00+00:00,2,2019,2521100000.0,2134500000.0,561200000.0,5549200000.0,45000000.0,3298900000.0,20700000.0,4988000000.0,662500000.0,186400000.0,209400000.0,1913600000.0,972100000.0,0.0,301300000.0,0.0,927100000.0,1385300000.0,2250300000.0,0.0,80500000.0,139700000.0,-78700000.0,388600000.0,0.0,124110456.0,-102300000.0,0.0,0.0,-12100000.0,-132600000.0,-93000000.0,13700000.0,-52600000.0,0.0,-126600000.0,222800000.0,43400000.0,96200000.0,82800000.0,115600000.0,386700000.0,123900000.0,115600000.0,148100000.0,0.93,238600000.0,125800000.0,12800000.0,1586700000.0,0.0,0.92,300000.0,1973400000.0,153100000.0,0.0,0.0,19400000.0,135000000.0,147800000.0,230600000.0,115600000.0,0.122728762334778,0.0488440074408716,2250300000.0,0.40511080632354,0.347826086956522,0.195956217695348,15.9003525053522,0.411989512509443,0.195956217695348,18.1314296355498,7.0,0.304843304843305
11,2018-08-26 00:00:00+00:00,1,2019,2473600000.0,2134500000.0,544600000.0,5496900000.0,0.0,3221700000.0,18500000.0,4952300000.0,693500000.0,183800000.0,194600000.0,1897400000.0,926800000.0,0.0,268700000.0,0.0,926800000.0,1324300000.0,2275200000.0,0.0,68800000.0,151800000.0,-76400000.0,382500000.0,0.0,123540453.0,-92400000.0,0.0,0.0,4900000.0,-109200000.0,-93000000.0,17900000.0,2000000.0,0.0,-105600000.0,206500000.0,-1600000.0,100900000.0,80700000.0,166200000.0,440900000.0,123800000.0,166200000.0,189100000.0,1.34,251800000.0,125800000.0,13100000.0,1620500000.0,0.0,1.32,2700000.0,2061400000.0,171000000.0,0.0,0.0,7100000.0,173300000.0,186400000.0,267100000.0,166200000.0,0.118350598929104,0.0647177315221321,2275200000.0,0.411236124745148,0.410526315789474,0.213883768312797,16.6860323881118,0.407348804500703,0.213883768312797,18.416639608728,8.0,0.300175008750438
