,year,quarter,date,statementData.balanceSheet.equity,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.acctRec,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.taxExp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,2,2020-10-02 00:00:00+00:00,-476000000.0,40000000.0,1297000000.0,66000000.0,22000000.0,1748000000.0,0.0,591002949.0,5041000000.0,0.0,-3148000000.0,75000000.0,1009000000.0,160000000.0,0.0,40000000.0,3637000000.0,6313000000.0,1035000000.0,3616000000.0,0.0,4521000000.0,6789000000.0,1792000000.0,3712000000.0,96000000.0,-86000000.0,-64000000.0,18000000.0,-82000000.0,0.0,44000000.0,20000000.0,-113000000.0,1000000.0,3000000.0,3000000.0,134000000.0,0.0,116000000.0,90000000.0,306000000.0,592000000.0,64000000.0,37000000.0,0.0,600000000.0,64000000.0,0.11,0.11,166000000.0,129000000.0,536000000.0,210000000.0,65000000.0,0.0,63000000.0,64000000.0,626000000.0,230000000.0,211000000.0,102000000.0,6.0,0.0296052631578947,0.856230031948882,1.02517162471396,-476000000.0,0.856230031948882,1.05921637287803,-0.913385826771654,-7.64075630252101,1.69071094966269,-0.805410532731538,0.334153846153846
1,2021,1,2020-07-03 00:00:00+00:00,-503000000.0,58000000.0,1361000000.0,60000000.0,-4000000.0,2548000000.0,0.0,589028713.0,4360000000.0,0.0,-3212000000.0,789000000.0,1073000000.0,150000000.0,0.0,58000000.0,2902000000.0,6405000000.0,1028000000.0,3630000000.0,0.0,4455000000.0,6908000000.0,1950000000.0,3691000000.0,102000000.0,-1305000000.0,-1104000000.0,29000000.0,-105000000.0,0.0,52000000.0,25000000.0,170000000.0,8000000.0,169000000.0,2000000.0,23000000.0,-1179000000.0,-1000000.0,86000000.0,408000000.0,590000000.0,118000000.0,40000000.0,0.0,614000000.0,118000000.0,0.2,0.19,108000000.0,68000000.0,528000000.0,160000000.0,-50000000.0,0.0,65000000.0,118000000.0,614000000.0,120000000.0,198000000.0,31000000.0,8.0,-0.0553846153846154,0.859934853420195,0.76530612244898,-503000000.0,0.859934853420195,1.04239400635127,4.0,-5.76938369781312,1.11331841074426,-0.853948184356167,0.325374110720419
2,2020,4,2020-04-03 00:00:00+00:00,10000000.0,86000000.0,1459000000.0,87000000.0,-16000000.0,2622000000.0,0.0,600384184.0,5103000000.0,0.0,-3330000000.0,784000000.0,2177000000.0,326000000.0,0.0,86000000.0,3538000000.0,7735000000.0,1049000000.0,3652000000.0,0.0,4656000000.0,7725000000.0,3079000000.0,4322000000.0,111000000.0,-9086000000.0,-10472000000.0,34000000.0,-7304000000.0,346000000.0,62000000.0,42000000.0,-1766000000.0,-8000000.0,-1769000000.0,-663000000.0,388000000.0,-1112000000.0,-3000000.0,97000000.0,473000000.0,600000000.0,231000000.0,50000000.0,0.0,640000000.0,231000000.0,0.42,0.37,389000000.0,339000000.0,517000000.0,451000000.0,108000000.0,0.0,70000000.0,231000000.0,614000000.0,44000000.0,247000000.0,-82000000.0,5.0,-0.00486223662884933,0.842019543973941,1.1742944317315,10000000.0,0.842019543973941,1.02267850546843,7.4,353.8,0.7755000249389,0.0166560017177268,0.268624740843124
4,2020,3,2020-01-03 00:00:00+00:00,8677000000.0,119000000.0,1251000000.0,157000000.0,12000000.0,4713000000.0,0.0,623004728.0,5157000000.0,0.0,3812000000.0,781000000.0,12649000000.0,472000000.0,0.0,119000000.0,3811000000.0,18547000000.0,1019000000.0,3795000000.0,0.0,4976000000.0,9870000000.0,13571000000.0,4592000000.0,171000000.0,-403000000.0,10952000000.0,393000000.0,-79000000.0,10572000000.0,88000000.0,120000000.0,399000000.0,4000000.0,389000000.0,-324000000.0,10952000000.0,-2000000.0,-10000000.0,103000000.0,453000000.0,621000000.0,2845000000.0,51000000.0,0.0,647000000.0,2845000000.0,4.58,4.4,2953000000.0,2902000000.0,515000000.0,3041000000.0,57000000.0,0.0,72000000.0,2845000000.0,618000000.0,62000000.0,263000000.0,-2492000000.0,5.0,0.00487804878048781,0.833333333333333,2.87948228304689,8677000000.0,0.833333333333333,0.991966789696659,44.8,0.439207099227844,0.572603483725802,13.9276631621325,0.223355477202911
5,2020,2,2019-10-04 00:00:00+00:00,6112000000.0,134000000.0,1607000000.0,120000000.0,-2000000.0,5056000000.0,0.0,618031627.0,5061000000.0,0.0,1298000000.0,1281000000.0,1697000000.0,830000000.0,0.0,134000000.0,3356000000.0,16229000000.0,990000000.0,3821000000.0,0.0,6469000000.0,10117000000.0,9760000000.0,4637000000.0,593000000.0,-9000000.0,165000000.0,28000000.0,-47000000.0,0.0,104000000.0,70000000.0,181000000.0,-8000000.0,154000000.0,51000000.0,1000000.0,0.0,-27000000.0,97000000.0,402000000.0,620000000.0,785000000.0,46000000.0,0.0,644000000.0,785000000.0,1.27,1.22,853000000.0,807000000.0,511000000.0,957000000.0,22000000.0,0.0,85000000.0,785000000.0,608000000.0,109000000.0,279000000.0,-747000000.0,7.0,-0.00653594771241828,0.840460526315789,1.93037974683544,6112000000.0,0.840460526315789,0.983768424524333,-128.0,0.549083769633508,0.15821959488829,9.88946153074461,0.056882110263783
6,2020,1,2019-07-05 00:00:00+00:00,5250000000.0,162000000.0,1626000000.0,135000000.0,-12000000.0,3608000000.0,0.0,618193875.0,6511000000.0,0.0,561000000.0,539000000.0,1532000000.0,967000000.0,0.0,162000000.0,4127000000.0,15369000000.0,2211000000.0,10586000000.0,0.0,12808000000.0,10119000000.0,2561000000.0,4666000000.0,438000000.0,-625000000.0,-259000000.0,92000000.0,-51000000.0,0.0,170000000.0,80000000.0,325000000.0,3000000.0,276000000.0,-522000000.0,38000000.0,0.0,-49000000.0,96000000.0,414000000.0,619000000.0,26000000.0,49000000.0,0.0,642000000.0,26000000.0,0.04,0.04,129000000.0,80000000.0,554000000.0,299000000.0,54000000.0,0.0,101000000.0,26000000.0,650000000.0,140000000.0,280000000.0,12000000.0,7.0,-0.437716262975779,0.852307692307692,0.709811529933481,5250000000.0,0.852307692307692,1.05145008109309,-1.4,0.786095238095238,0.0204867798984416,8.4924814242134,0.00731284278950576
7,2019,4,2019-03-29 00:00:00+00:00,5738000000.0,252000000.0,1653000000.0,165000000.0,-7000000.0,3766000000.0,0.0,639217123.0,6434000000.0,0.0,933000000.0,491000000.0,1791000000.0,663000000.0,0.0,252000000.0,3961000000.0,15938000000.0,1032000000.0,3879000000.0,0.0,12752000000.0,10200000000.0,3186000000.0,4452000000.0,708000000.0,-880000000.0,-518000000.0,20000000.0,-48000000.0,-139000000.0,158000000.0,87000000.0,547000000.0,-5000000.0,493000000.0,-223000000.0,-180000000.0,-600000000.0,-54000000.0,124000000.0,421000000.0,635000000.0,34000000.0,51000000.0,0.0,635000000.0,34000000.0,0.05,0.05,68000000.0,17000000.0,493000000.0,226000000.0,-17000000.0,0.0,98000000.0,34000000.0,617000000.0,72000000.0,268000000.0,3000000.0,7.0,-1.57934272300469,0.79902755267423,0.84599044078598,5738000000.0,0.79902755267423,0.965243229255609,-1.5,0.690310212617637,0.00527390268798911,8.976605590711,0.00191133855354831
9,2019,3,2018-12-28 00:00:00+00:00,5906000000.0,270000000.0,1681000000.0,201000000.0,-14000000.0,3643000000.0,0.0,638888439.0,6907000000.0,0.0,1116000000.0,598000000.0,2309000000.0,791000000.0,0.0,270000000.0,4447000000.0,16456000000.0,2214000000.0,10673000000.0,0.0,12732000000.0,10550000000.0,3724000000.0,5045000000.0,723000000.0,-172000000.0,162000000.0,20000000.0,-59000000.0,-24000000.0,152000000.0,55000000.0,377000000.0,-2000000.0,345000000.0,2000000.0,-41000000.0,0.0,-32000000.0,110000000.0,443000000.0,637000000.0,65000000.0,53000000.0,0.0,637000000.0,65000000.0,0.1,0.1,128000000.0,75000000.0,505000000.0,280000000.0,10000000.0,0.0,110000000.0,65000000.0,615000000.0,62000000.0,264000000.0,-84000000.0,4.0,-0.491315136476427,0.821138211382114,1.02223442217952,5906000000.0,0.821138211382114,0.962609373496583,-0.953917050691244,0.752963088384694,-0.0108786243804009,9.24418042255418,-0.00383325347388596
10,2019,2,2018-09-28 00:00:00+00:00,5950000000.0,289000000.0,1718000000.0,158000000.0,-17000000.0,3411000000.0,0.0,621538648.0,6873000000.0,0.0,1100000000.0,597000000.0,2147000000.0,778000000.0,0.0,289000000.0,4442000000.0,16234000000.0,2113000000.0,10761000000.0,0.0,12816000000.0,10284000000.0,3418000000.0,5039000000.0,537000000.0,-59000000.0,146000000.0,35000000.0,-50000000.0,-12000000.0,153000000.0,97000000.0,240000000.0,-5000000.0,189000000.0,2000000.0,-30000000.0,0.0,-51000000.0,116000000.0,453000000.0,630000000.0,-8000000.0,52000000.0,0.0,630000000.0,-8000000.0,-0.01,-0.01,74000000.0,22000000.0,496000000.0,227000000.0,30000000.0,0.0,105000000.0,-8000000.0,612000000.0,43000000.0,276000000.0,-54000000.0,6.0,-0.506451612903226,0.810457516339869,1.00205218411023,5950000000.0,0.810457516339869,0.984653169950584,-0.5,0.746554621848739,0.222435809419195,9.57301693007512,0.0756761806885598
11,2019,1,2018-06-29 00:00:00+00:00,5918000000.0,324000000.0,1710000000.0,170000000.0,-20000000.0,2875000000.0,0.0,621538648.0,7455000000.0,0.0,1158000000.0,0.0,2001000000.0,758000000.0,0.0,324000000.0,5032000000.0,16248000000.0,2137000000.0,10854000000.0,0.0,12920000000.0,10330000000.0,3328000000.0,5032000000.0,502000000.0,-98000000.0,227000000.0,64000000.0,-60000000.0,-5000000.0,152000000.0,113000000.0,331000000.0,-16000000.0,287000000.0,4000000.0,10000000.0,0.0,-44000000.0,249000000.0,905000000.0,624000000.0,-60000000.0,52000000.0,0.0,624000000.0,-60000000.0,-0.1,-0.1,-12000000.0,-64000000.0,907000000.0,140000000.0,-4000000.0,0.0,237000000.0,-60000000.0,1156000000.0,2000000.0,519000000.0,-5000000.0,6.0,-0.0161702127659574,0.784602076124567,1.1575652173913,5918000000.0,0.784602076124567,1.85990043212888,-0.545454545454545,0.850287259209192,0.249253884943913,9.52153179700581,0.0757076098338621
