,date,quarter,year,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.balanceSheet.intangibles,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.ppeq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.incomeStatement.ebit,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,1,2021,1539000000.0,78000000.0,314000000.0,1240000000.0,203000000.0,2341000000.0,263000000.0,2738000000.0,322000000.0,588623948.0,2419000000.0,5866000000.0,-3207000000.0,3273000000.0,10965000000.0,314000000.0,7639000000.0,5946000000.0,0.0,3208000000.0,337000000.0,3435000000.0,14400000000.0,-1235000000.0,409000000.0,0.0,0.0,-20000000.0,-7000000.0,-50000000.0,-1000000.0,9000000.0,-96000000.0,13000000.0,64000000.0,4000000.0,-91000000.0,164000000.0,155000000.0,0.0,67000000.0,889000000.0,0.06,59000000.0,0.06,0.0,0.0,953000000.0,25000000.0,231000000.0,8000000.0,588623948.0,13000000.0,1164000000.0,47000000.0,34000000.0,64000000.0,0.0,34000000.0,685000000.0,2117000000.0,2.0,-0.0952991452991453,0.450165328294757,1.254565376187,8454000000.0,0.450165328294757,3.59652373504858,-1.15384615384615,0.306453724309465,-0.125956702383556,14.3623106547476,-0.0679119435414596
1,2020-06-30 00:00:00+00:00,4,2020,1517000000.0,76000000.0,297000000.0,1203000000.0,348000000.0,2329000000.0,258000000.0,2682000000.0,351000000.0,588487106.0,2405000000.0,5815000000.0,-3241000000.0,3317000000.0,10800000000.0,297000000.0,7582000000.0,5872000000.0,0.0,3190000000.0,332000000.0,3461000000.0,14261000000.0,-1331000000.0,398000000.0,0.0,0.0,-58000000.0,-1000000.0,-131000000.0,-23000000.0,136000000.0,-100000000.0,32000000.0,241000000.0,-64000000.0,-77000000.0,160000000.0,318000000.0,0.0,-385000000.0,1235000000.0,-0.68,-397000000.0,-0.68,0.0,0.0,891000000.0,0.0,-225000000.0,12000000.0,588487106.0,-4000000.0,1032000000.0,-401000000.0,-397000000.0,-344000000.0,0.0,-397000000.0,696000000.0,1923000000.0,3.0,-0.220194647201946,0.463338533541342,1.29045488441462,8389000000.0,0.463338533541342,3.2677011618331,7.5,0.307174887892377,-0.15341836426283,14.2551976321466,-0.0829357558329521
3,2020-03-31 00:00:00+00:00,3,2020,1388000000.0,0.0,325000000.0,1237000000.0,363000000.0,2364000000.0,238000000.0,2689000000.0,342000000.0,588266168.0,2364000000.0,5677000000.0,-2845000000.0,3416000000.0,10687000000.0,325000000.0,7832000000.0,5860000000.0,0.0,3171000000.0,306000000.0,3741000000.0,14428000000.0,-1466000000.0,387000000.0,0.0,0.0,-19000000.0,12000000.0,-13000000.0,-7000000.0,115000000.0,-93000000.0,-38000000.0,172000000.0,8000000.0,-98000000.0,160000000.0,270000000.0,0.0,-731000000.0,2028000000.0,-1.24,-740000000.0,-1.24,0.0,0.0,985000000.0,-10000000.0,-571000000.0,9000000.0,588266168.0,-306000000.0,1281000000.0,-1036000000.0,-730000000.0,-1043000000.0,0.0,-730000000.0,743000000.0,2266000000.0,3.0,-0.0777370777370777,0.43468667255075,1.39122350316103,8568000000.0,0.43468667255075,3.85199782558293,-63.0,0.301838610827375,-0.10655737704918,14.5648355558669,-0.0589268043540716
4,2019-12-31 00:00:00+00:00,2,2020,1272000000.0,0.0,325000000.0,1570000000.0,358000000.0,2544000000.0,268000000.0,2727000000.0,375000000.0,588187507.0,2544000000.0,7233000000.0,-2114000000.0,3775000000.0,12564000000.0,325000000.0,8958000000.0,6155000000.0,0.0,3428000000.0,283000000.0,3718000000.0,16282000000.0,-1117000000.0,411000000.0,0.0,0.0,-59000000.0,-3000000.0,-233000000.0,-2000000.0,-184000000.0,-116000000.0,15000000.0,52000000.0,-153000000.0,-113000000.0,162000000.0,165000000.0,0.0,145000000.0,965000000.0,0.14,137000000.0,0.15,0.0,0.0,1129000000.0,52000000.0,307000000.0,8000000.0,588187507.0,18000000.0,1350000000.0,103000000.0,85000000.0,164000000.0,0.0,85000000.0,774000000.0,2479000000.0,5.0,-0.0563380281690141,0.45542557482856,1.36340300696736,10127000000.0,0.45542557482856,4.21464238953991,-0.0625,0.283991962491628,-0.020274200249273,17.2172987006336,-0.0113869703192085
5,2019-09-30 00:00:00+00:00,1,2020,1441000000.0,622000000.0,329000000.0,1540000000.0,402000000.0,2036000000.0,274000000.0,3492000000.0,406000000.0,585275672.0,2658000000.0,7124000000.0,-2200000000.0,3723000000.0,12434000000.0,329000000.0,8714000000.0,6404000000.0,0.0,2912000000.0,305000000.0,3799000000.0,16233000000.0,-1266000000.0,448000000.0,0.0,0.0,-22000000.0,-5000000.0,-95000000.0,0.0,-186000000.0,-118000000.0,-16000000.0,-87000000.0,-91000000.0,-114000000.0,162000000.0,27000000.0,0.0,-252000000.0,1240000000.0,-0.39,-248000000.0,-0.39,0.0,0.0,1002000000.0,-21000000.0,-90000000.0,-4000000.0,585275672.0,16000000.0,1338000000.0,-211000000.0,-227000000.0,-238000000.0,0.0,-227000000.0,781000000.0,2340000000.0,3.0,-0.0729001584786054,0.428205128205128,1.08791523482245,9829000000.0,0.428205128205128,3.99811595107613,-3.29411764705882,0.23364700481983,-0.0190052456675181,16.79379559108,-0.010773949462081
6,2019-06-30 00:00:00+00:00,4,2019,1643000000.0,449000000.0,335000000.0,1544000000.0,348000000.0,1004000000.0,295000000.0,3340000000.0,411000000.0,585161964.0,1453000000.0,7573000000.0,-1979000000.0,2554000000.0,11661000000.0,335000000.0,9144000000.0,5400000000.0,0.0,2060000000.0,269000000.0,4050000000.0,15711000000.0,-1126000000.0,428000000.0,0.0,0.0,-59000000.0,-2000000.0,-109000000.0,-51000000.0,27000000.0,-154000000.0,-9000000.0,166000000.0,-84000000.0,-101000000.0,165000000.0,267000000.0,0.0,-23000000.0,1064000000.0,-0.09,-37000000.0,-0.08,0.0,0.0,1051000000.0,14000000.0,142000000.0,14000000.0,585161964.0,9000000.0,1415000000.0,-42000000.0,-51000000.0,-13000000.0,0.0,-51000000.0,782000000.0,2466000000.0,5.0,-0.084292610471593,0.426196269261963,1.2125748502994,10311000000.0,0.426196269261963,4.21421786054433,-0.875,0.109798775153106,0.016775799556253,17.6207625142225,0.00964470163648808
8,2019-03-31 00:00:00+00:00,3,2019,1648000000.0,678000000.0,347000000.0,1631000000.0,404000000.0,868000000.0,321000000.0,3679000000.0,432000000.0,584955729.0,1546000000.0,7737000000.0,-1927000000.0,2557000000.0,11811000000.0,347000000.0,9289000000.0,5600000000.0,0.0,1921000000.0,257000000.0,4247000000.0,16058000000.0,-1019000000.0,460000000.0,0.0,0.0,-21000000.0,-23000000.0,-168000000.0,43000000.0,-2000000.0,-114000000.0,9000000.0,167000000.0,-144000000.0,-136000000.0,168000000.0,303000000.0,0.0,31000000.0,1012000000.0,0.02,17000000.0,0.02,0.0,0.0,1057000000.0,7000000.0,199000000.0,14000000.0,584955729.0,13000000.0,1400000000.0,23000000.0,10000000.0,45000000.0,0.0,10000000.0,810000000.0,2457000000.0,4.0,0.173913043478261,0.43019943019943,1.15438977983148,10458000000.0,0.43019943019943,4.20031786713213,-1.01030927835052,0.0934438583270535,-0.0177873601940439,17.8782760498444,-0.0101665151958595
9,2018-12-31 00:00:00+00:00,2,2019,1618000000.0,744000000.0,345000000.0,1853000000.0,400000000.0,936000000.0,384000000.0,3712000000.0,625000000.0,584845051.0,1680000000.0,7796000000.0,-1937000000.0,2517000000.0,11798000000.0,345000000.0,9264000000.0,5793000000.0,0.0,2081000000.0,228000000.0,4429000000.0,16227000000.0,-1076000000.0,430000000.0,0.0,0.0,-58000000.0,-3000000.0,-209000000.0,-186000000.0,-252000000.0,-288000000.0,-16000000.0,146000000.0,-146000000.0,-99000000.0,163000000.0,245000000.0,0.0,165000000.0,955000000.0,0.16,150000000.0,0.16,0.0,0.0,1143000000.0,55000000.0,328000000.0,15000000.0,584845051.0,24000000.0,1484000000.0,119000000.0,95000000.0,188000000.0,0.0,95000000.0,773000000.0,2627000000.0,3.0,0.205045871559633,0.435097068899886,1.19315732758621,10434000000.0,0.435097068899886,4.49178803087794,-2.14285714285714,0.101036269430052,-0.138945909199968,17.8406228832053,-0.0837497790561278
10,2018-09-30 00:00:00+00:00,1,2019,1886000000.0,671000000.0,390000000.0,1648000000.0,388000000.0,1186000000.0,401000000.0,3545000000.0,537000000.0,583019265.0,1857000000.0,7760000000.0,-2032000000.0,2512000000.0,11819000000.0,390000000.0,9261000000.0,5858000000.0,0.0,2313000000.0,260000000.0,4469000000.0,16288000000.0,-970000000.0,436000000.0,0.0,0.0,-23000000.0,-10000000.0,-124000000.0,6000000.0,-132000000.0,-121000000.0,-16000000.0,-20000000.0,-61000000.0,-133000000.0,163000000.0,113000000.0,0.0,167000000.0,1007000000.0,0.17,151000000.0,0.17,0.0,0.0,1184000000.0,50000000.0,330000000.0,16000000.0,583019265.0,27000000.0,1340000000.0,128000000.0,101000000.0,177000000.0,0.0,101000000.0,826000000.0,2524000000.0,3.0,0.226433430515063,0.469096671949287,1.26064880112835,10430000000.0,0.469096671949287,4.32918799004009,0.416666666666667,0.128063923982291,-0.151481831897103,17.8896318288899,-0.0981363372815373
11,2018-06-30 00:00:00+00:00,4,2018,2034000000.0,462000000.0,393000000.0,1612000000.0,376000000.0,1490000000.0,389000000.0,3295000000.0,605000000.0,582897740.0,1952000000.0,7889000000.0,-2163000000.0,2560000000.0,11952000000.0,393000000.0,9291000000.0,5869000000.0,0.0,2574000000.0,279000000.0,4394000000.0,16346000000.0,-874000000.0,516000000.0,0.0,0.0,-59000000.0,-9000000.0,-164000000.0,-15000000.0,-49000000.0,-177000000.0,-29000000.0,129000000.0,-25000000.0,-163000000.0,175000000.0,292000000.0,0.0,-292000000.0,1167000000.0,-0.64,-308000000.0,-0.64,0.0,0.0,1228000000.0,63000000.0,-117000000.0,16000000.0,582897740.0,16000000.0,1465000000.0,-355000000.0,-371000000.0,61000000.0,0.0,-371000000.0,914000000.0,2693000000.0,3.0,0.294711538461538,0.455997029335314,1.33353566009105,10477000000.0,0.455997029335314,4.62002134370945,-0.135135135135135,0.160370250780325,-0.148580681567261,17.9739931741715,-0.103100154922624
