,date,year,quarter,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debt,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.incomeStatement.ebitda,statementData.incomeStatement.epsDil,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.intexp,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opinc,statementData.incomeStatement.revenue,statementData.incomeStatement.taxExp,statementData.incomeStatement.costRev,statementData.overview.bvps,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.piotroskiFScore,statementData.overview.roe,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.profitMargin,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.currentRatio,statementData.overview.longTermDebtEquity
0,2019-09-30 00:00:00+00:00,2019,3,2180000000.0,1082000000.0,5555300000.0,7400500000.0,4856400000.0,9005300000.0,0.0,2885000000.0,0.0,13000000.0,6404000000.0,0.0,2060300000.0,50312077.0,6461200000.0,13861700000.0,2601300000.0,48700000.0,3122100000.0,2842500000.0,105800000.0,0.0,477300000.0,2029100000.0,3142300000.0,2029100000.0,-819800000.0,350900000.0,-472200000.0,-50000000.0,-50200000.0,17100000.0,401100000.0,0.0,59900000.0,0.0,-2400000.0,-53500000.0,-769600000.0,0.0,403000000.0,4.74,662900000.0,567400000.0,0.0,241000000.0,0.0,241000000.0,985600000.0,0.0,29400000.0,313700000.0,241000000.0,50313901.0,50846402.0,0.0,343100000.0,4.79,322700000.0,7140200000.0,72700000.0,6154600000.0,96.5255320308084,0.048510890160614,0.41163678060932,5.0,0.139539768612949,0.748175182481752,141.918211804295,0.138035349149884,4856400000.0,0.138035349149884,1.15560587133042,0.41781978420229
1,2019-06-30 00:00:00+00:00,2019,2,2047000000.0,929300000.0,5063800000.0,7266700000.0,4603300000.0,8602200000.0,0.0,3275200000.0,0.0,15600000.0,5930300000.0,0.0,1539200000.0,50303407.0,5938800000.0,13205500000.0,2671900000.0,32700000.0,3173600000.0,2601500000.0,139700000.0,0.0,472300000.0,2078200000.0,2468500000.0,2078200000.0,-521400000.0,467100000.0,-168700000.0,-50000000.0,-69400000.0,19000000.0,536500000.0,0.0,68100000.0,-8600000.0,-400000.0,-183800000.0,-443400000.0,0.0,343000000.0,3.6,586600000.0,486800000.0,0.0,182800000.0,0.0,182800000.0,859800000.0,0.0,31100000.0,243800000.0,182800000.0,50307031.0,50811807.0,0.0,274900000.0,3.63,273200000.0,7010100000.0,61000000.0,6150300000.0,91.5107002593284,0.0411339281834951,0.511123086872171,6.0,0.119722479292288,0.070796460176991,139.356366060852,0.122651602687551,4603300000.0,0.122651602687551,1.22535116267305,0.451458736124085
2,2019-03-31 00:00:00+00:00,2019,1,2449200000.0,968600000.0,5008600000.0,7780700000.0,4391200000.0,8814700000.0,0.0,3509600000.0,0.0,4900000.0,6077300000.0,0.0,1057600000.0,49994718.0,5425200000.0,13205900000.0,2737400000.0,16900000.0,3192400000.0,2418700000.0,149000000.0,0.0,424900000.0,2127300000.0,2026200000.0,2127300000.0,-487500000.0,-68100000.0,-382300000.0,0.0,-38100000.0,22800000.0,-30000000.0,0.0,69600000.0,0.0,-36800000.0,135200000.0,-449400000.0,0.0,284000000.0,2.98,605100000.0,503800000.0,0.0,151400000.0,0.0,151400000.0,818700000.0,0.0,29500000.0,184900000.0,151400000.0,50100509.0,50842304.0,0.0,214400000.0,3.02,213600000.0,6762200000.0,33500000.0,5943500000.0,87.8332787075627,0.0411660201625196,0.455425939477422,4.0,0.126604377485371,0.324561403508772,135.258288685617,0.121070065954867,4391200000.0,0.121070065954867,1.28028894410347,0.484446165057388
3,2018-12-31 00:00:00+00:00,2018,4,1871300000.0,830100000.0,4320900000.0,6832400000.0,4240000000.0,7524700000.0,0.0,3888600000.0,0.0,-8900000.0,5015600000.0,0.0,813200000.0,49991867.0,4932300000.0,11764700000.0,2509100000.0,1400000.0,3223900000.0,2267300000.0,134200000.0,0.0,428200000.0,2126400000.0,1643300000.0,2126400000.0,55000000.0,15000000.0,-656000000.0,0.0,-66000000.0,19300000.0,81000000.0,0.0,62600000.0,-107200000.0,-100000.0,-792000000.0,228200000.0,0.0,181500000.0,1.0,75700000.0,534000000.0,0.0,55900000.0,0.0,55900000.0,850600000.0,0.0,29700000.0,89200000.0,55900000.0,49992092.0,50555296.0,0.0,118900000.0,1.0,774900000.0,6070800000.0,33300000.0,5220200000.0,84.8137958120268,0.0399554838856208,0.397160019332121,6.0,0.12957493352582,-0.264705882352941,121.435752739541,0.140113329379983,4240000000.0,0.140113329379983,1.36222984289018,0.501509433962264
5,2018-09-30 00:00:00+00:00,2018,3,1732300000.0,1034400000.0,4214400000.0,7682200000.0,4162400000.0,8296100000.0,0.0,4541400000.0,0.0,-11400000.0,5804400000.0,0.0,844400000.0,44767364.0,4776300000.0,12458500000.0,2491700000.0,20800000.0,3080100000.0,2211400000.0,117200000.0,0.0,384100000.0,2125400000.0,1878800000.0,2125400000.0,-2256800000.0,-613600000.0,-786800000.0,935300000.0,-35000000.0,21400000.0,-578600000.0,0.0,46200000.0,-2035700000.0,1339300000.0,2048600000.0,-186100000.0,0.0,285000000.0,2.7,597400000.0,433200000.0,0.0,130600000.0,0.0,130600000.0,829600000.0,0.0,23600000.0,215200000.0,130600000.0,47712712.0,48384427.0,0.0,238800000.0,2.74,232200000.0,5058100000.0,84600000.0,4228500000.0,92.9784474243335,0.0437717979074009,0.148811010924618,4.0,0.151309408341416,-0.290155440414508,112.986326378296,0.16401415551294,4162400000.0,0.16401415551294,1.32351319688512,0.510618873726696
6,2018-06-30 00:00:00+00:00,2018,2,1239400000.0,793500000.0,3401800000.0,7603000000.0,2671900000.0,7462500000.0,0.0,5327800000.0,0.0,-10600000.0,5977300000.0,0.0,722000000.0,44754547.0,2531400000.0,10134400000.0,1485200000.0,580000000.0,1024000000.0,2080800000.0,56100000.0,0.0,331100000.0,1183800000.0,1515500000.0,1183800000.0,-125600000.0,302600000.0,273900000.0,0.0,-28300000.0,18000000.0,330900000.0,0.0,34500000.0,0.0,-100000.0,68600000.0,-97300000.0,0.0,281500000.0,3.35,522000000.0,377900000.0,0.0,151600000.0,0.0,151600000.0,773000000.0,0.0,17100000.0,229900000.0,151600000.0,44759808.0,45282294.0,0.0,247000000.0,3.39,251000000.0,4639000000.0,78300000.0,3866000000.0,59.7011963946367,0.0520766027952567,0.0775842044134727,6.0,0.195719640482044,1.02994011976048,103.654272268693,0.166630739383488,2671900000.0,0.166630739383488,1.27197898716812,0.443055503574236
7,2018-03-31 00:00:00+00:00,2018,1,1129500000.0,708600000.0,3148600000.0,7177200000.0,2502400000.0,7169000000.0,0.0,5037400000.0,0.0,-10600000.0,5679800000.0,0.0,725800000.0,44529151.0,2494200000.0,9671400000.0,1489200000.0,592900000.0,1019100000.0,1929200000.0,71500000.0,0.0,317100000.0,1183000000.0,1434400000.0,1183000000.0,-240600000.0,421500000.0,622500000.0,0.0,-24200000.0,12100000.0,445700000.0,0.0,36400000.0,0.0,-20200000.0,417400000.0,-216400000.0,0.0,212000000.0,2.25,505900000.0,355900000.0,0.0,101700000.0,0.0,101700000.0,684200000.0,0.0,17100000.0,158500000.0,101700000.0,44605892.0,45196127.0,0.0,175600000.0,2.28,178300000.0,4646200000.0,56800000.0,3962000000.0,56.1968944793041,0.0457541987129179,0.175003793434829,7.0,0.173570942497448,0.5,104.340637439955,0.147260126555034,2502400000.0,0.147260126555034,1.26363604352266,0.472746163682864
