,year,quarter,date,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debt,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalAssets,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.revenue,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.taxExp,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.eps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,2,2020-09-30 00:00:00+00:00,1040786000.0,1095944000.0,179844000.0,609037000.0,2901282000.0,2084780000.0,-34824000.0,2325835000.0,3932098000.0,117692000.0,114338838.0,1904056000.0,150793000.0,1469911000.0,1040786000.0,29051000.0,1124496000.0,787818000.0,289714000.0,2934872000.0,26934000.0,0.0,0.0,0.0,85103000.0,5836154000.0,0.0,-16116000.0,181322000.0,7041000.0,48751000.0,0.0,-255159000.0,-9696000.0,45308000.0,-163561000.0,-76492000.0,-75482000.0,0.0,165206000.0,841142000.0,432505000.0,205124000.0,18097000.0,74216000.0,99321000.0,99321000.0,114712000.0,0.86,114338838.0,-2706000.0,0.0,0.87,0.0,115367000.0,293270000.0,408637000.0,163463000.0,0.0,117418000.0,99321000.0,6.0,-0.0194663113560671,0.485812145868355,1.69061777813129,2901282000.0,0.485812145868355,7.35657292581546,0.380952380952381,0.0519746098448893,0.180754172857351,25.3744226436865,0.0901765058814692
1,2021,1,2020-06-30 00:00:00+00:00,880825000.0,960951000.0,181108000.0,569473000.0,2651028000.0,2161272000.0,-52131000.0,2148740000.0,3686933000.0,120892000.0,113942760.0,1682308000.0,153506000.0,1370590000.0,880825000.0,27602000.0,878247000.0,685169000.0,286922000.0,2718213000.0,19486000.0,0.0,0.0,0.0,56410000.0,5369241000.0,0.0,-8905000.0,445423000.0,1925000.0,69739000.0,6503000.0,-247465000.0,-32003000.0,53411000.0,-238560000.0,167880000.0,0.0,0.0,436518000.0,831310000.0,476689000.0,186952000.0,1856000.0,73108000.0,88505000.0,88505000.0,82143000.0,0.77,113942760.0,-8218000.0,0.0,0.78,0.0,82143000.0,272478000.0,354621000.0,151882000.0,0.0,90361000.0,88505000.0,6.0,0.538155530761815,0.426580938518723,1.71585813081155,2651028000.0,0.426580938518723,7.2958562702887,0.902439024390244,0.0579043299429504,0.18280368362412,23.2663137175192,0.0892795851778388
2,2020,4,2020-03-31 00:00:00+00:00,644003000.0,806123000.0,177246000.0,371049000.0,2539244000.0,1993392000.0,-58376000.0,2038539000.0,3493351000.0,116676000.0,113424323.0,1455481000.0,152059000.0,1282085000.0,644003000.0,25187000.0,879848000.0,592555000.0,286172000.0,2409588000.0,19108000.0,0.0,0.0,0.0,65684000.0,4948832000.0,0.0,-18594000.0,245703000.0,-9163000.0,85474000.0,0.0,31126000.0,-16708000.0,81283000.0,49720000.0,250958000.0,0.0,0.0,227109000.0,760541000.0,395640000.0,162181000.0,1912000.0,68718000.0,122722000.0,122722000.0,116551000.0,1.07,113424323.0,-8083000.0,0.0,1.09,0.0,121884000.0,243017000.0,364901000.0,202025000.0,0.0,124634000.0,122722000.0,6.0,0.411003938724358,0.479791359045732,1.71365423962946,2539244000.0,0.479791359045732,6.70527255428274,1.13725490196078,0.0598835716457339,0.1756728392575,22.387120617859,0.0851053756594363
4,2020,3,2019-12-31 00:00:00+00:00,699269000.0,874776000.0,175508000.0,381267000.0,2402035000.0,1742434000.0,-38487000.0,2096331000.0,3435037000.0,110831000.0,113346942.0,1444596000.0,151400000.0,1159363000.0,699269000.0,24108000.0,948965000.0,647460000.0,280470000.0,2477598000.0,24426000.0,0.0,0.0,0.0,82491000.0,4879633000.0,0.0,-9258000.0,295817000.0,6358000.0,55527000.0,10515000.0,9123000.0,733000.0,63399000.0,21706000.0,312031000.0,-3325000.0,0.0,286559000.0,930129000.0,437093000.0,221599000.0,25134000.0,82520000.0,163642000.0,163642000.0,176833000.0,1.43,113346942.0,-11943000.0,0.0,1.44,0.0,176833000.0,316203000.0,493036000.0,232360000.0,0.0,188776000.0,163642000.0,6.0,-0.255144794184208,0.530072710344479,1.6385947638994,2402035000.0,0.530072710344479,8.20603523648657,-0.0943396226415095,0.0630298892397488,0.155471686849687,21.1918818242137,0.0739874183998049
5,2020,2,2019-09-30 00:00:00+00:00,742613000.0,927191000.0,141062000.0,343120000.0,2181763000.0,1430403000.0,-54462000.0,2290228000.0,3388333000.0,110167000.0,113178103.0,1426778000.0,118789000.0,995721000.0,742613000.0,22273000.0,1034887000.0,858597000.0,248481000.0,2633348000.0,39293000.0,0.0,0.0,0.0,114946000.0,4815111000.0,0.0,-15561000.0,35623000.0,-4862000.0,53910000.0,0.0,-202993000.0,-9360000.0,55767000.0,-187432000.0,-181592000.0,0.0,0.0,20062000.0,857841000.0,468248000.0,226225000.0,11059000.0,76197000.0,71815000.0,71815000.0,74820000.0,0.63,113178103.0,-8054000.0,0.0,0.63,0.0,74820000.0,314773000.0,389593000.0,128730000.0,0.0,82874000.0,71815000.0,5.0,0.741218713654456,0.454155257209669,1.47947409602887,2181763000.0,0.454155257209669,7.57956687081069,1.86363636363636,0.0544463353718988,0.170281750407893,19.27725365745,0.0796949935541854
6,2020,1,2019-06-30 00:00:00+00:00,557653000.0,848182000.0,146922000.0,337889000.0,2086327000.0,1611995000.0,-43988000.0,1942006000.0,2821079000.0,108979000.0,112541501.0,1545143000.0,125128000.0,923906000.0,557653000.0,21794000.0,1111079000.0,352625000.0,251252000.0,2279895000.0,23847000.0,0.0,0.0,0.0,55379000.0,4366222000.0,0.0,-9971000.0,108535000.0,-3201000.0,41632000.0,0.0,166793000.0,-52118000.0,57432000.0,185479000.0,220009000.0,-8715000.0,0.0,98564000.0,540459000.0,241469000.0,166654000.0,15875000.0,68963000.0,46280000.0,46280000.0,51730000.0,0.41,112541501.0,-10425000.0,0.0,0.41,0.0,51730000.0,247260000.0,298990000.0,93362000.0,0.0,62155000.0,46280000.0,6.0,0.393000190730498,0.553214952475581,1.45266235016782,2086327000.0,0.553214952475581,4.80230843908862,-0.349206349206349,0.0599752579533314,0.15233096504389,18.538290154847,0.0740888162580542
7,2019,4,2019-03-31 00:00:00+00:00,744485000.0,864360000.0,0.0,250691000.0,2040580000.0,1391986000.0,-37189000.0,1951794000.0,2827835000.0,134732000.0,113161938.0,1415230000.0,0.0,877626000.0,744485000.0,0.0,1087148000.0,395729000.0,127882000.0,2202485000.0,28200000.0,0.0,0.0,0.0,72797000.0,4243065000.0,0.0,-23323000.0,453316000.0,4485000.0,75890000.0,-100000000.0,-245854000.0,-115456000.0,69091000.0,-197531000.0,96491000.0,-25000000.0,0.0,429993000.0,539007000.0,258914000.0,153148000.0,7698000.0,56588000.0,56830000.0,56830000.0,58062000.0,0.49,113161938.0,-6466000.0,0.0,0.51,0.0,58062000.0,222031000.0,280093000.0,133952000.0,0.0,64528000.0,56830000.0,6.0,0.197064454087955,0.51964631257108,1.44883886311773,2040580000.0,0.51964631257108,4.76314748162054,-0.37037037037037,0.0,0.169790777539766,18.0323882399398,0.0848304771526936
9,2019,3,2018-12-31 00:00:00+00:00,545734000.0,887548000.0,0.0,260335000.0,2027467000.0,1295495000.0,-50954000.0,2099358000.0,2974773000.0,146216000.0,113872075.0,1412387000.0,0.0,820796000.0,545734000.0,0.0,1094052000.0,823482000.0,114672000.0,2359693000.0,39786000.0,0.0,0.0,0.0,74615000.0,4387160000.0,0.0,-14502000.0,596234000.0,-5660000.0,149914000.0,-108892000.0,2589000.0,-130762000.0,123668000.0,17091000.0,462401000.0,0.0,0.0,581732000.0,1248738000.0,898484000.0,231960000.0,-120098000.0,62305000.0,179948000.0,179948000.0,51779000.0,1.57,113872075.0,-8071000.0,0.0,1.59,0.0,51779000.0,298475000.0,350254000.0,201693000.0,0.0,59850000.0,179948000.0,8.0,1.59699276266534,0.280486379048287,1.41699176605419,2027467000.0,0.280486379048287,10.9661477583508,6.22727272727273,0.0,0.20120712460316,17.8047778614731,0.0965755621121653
10,2019,2,2018-09-30 00:00:00+00:00,562952000.0,574431000.0,0.0,220961000.0,1944439000.0,833094000.0,-37199000.0,1489789000.0,2191736000.0,0.0,113828217.0,1463453000.0,0.0,640849000.0,562952000.0,0.0,1308166000.0,534633000.0,110900000.0,1710750000.0,40541000.0,0.0,0.0,0.0,77298000.0,3655189000.0,0.0,-14855000.0,-194852000.0,-361000.0,23034000.0,0.0,59687000.0,-5564000.0,30343000.0,74542000.0,-141090000.0,0.0,0.0,-209707000.0,492667000.0,234880000.0,161485000.0,5594000.0,60565000.0,25367000.0,25367000.0,25986000.0,0.22,113828217.0,-4975000.0,0.0,0.22,0.0,25986000.0,231801000.0,257787000.0,49020000.0,0.0,30961000.0,25367000.0,6.0,0.110706056875927,0.523247954500707,1.47117209215533,1944439000.0,0.523247954500707,4.32816232200141,-8.33333333333333,0.0,0.127453886481195,17.0822231187193,0.0586452572055853
11,2019,1,2018-06-30 00:00:00+00:00,637456000.0,466429000.0,5232000.0,212583000.0,1852205000.0,974184000.0,-41015000.0,1391216000.0,2074347000.0,0.0,114379624.0,1381657000.0,5232000.0,615482000.0,637456000.0,0.0,1211828000.0,239736000.0,105852000.0,1603799000.0,10642000.0,0.0,0.0,0.0,33767000.0,3456004000.0,0.0,-14289000.0,-11183000.0,-9103000.0,15988000.0,-153500000.0,-39998000.0,-211903000.0,24598000.0,-22560000.0,-272187000.0,-3149000.0,0.0,-25472000.0,387982000.0,131365000.0,126041000.0,5754000.0,50712000.0,71693000.0,71693000.0,70846000.0,0.62,114379624.0,-6601000.0,0.0,0.63,0.0,70846000.0,185771000.0,256617000.0,86834000.0,0.0,77447000.0,71693000.0,4.0,-0.0722927865026685,0.661414704805893,1.49103158675576,1852205000.0,0.661414704805893,3.39205521430985,0.105263157894737,0.00282474132182993,0.119045301097878,16.193487399469,0.0507656883509626
12,2018,4,2018-03-31 00:00:00+00:00,615406000.0,1132741000.0,8068000.0,521942000.0,1488970000.0,1246371000.0,-15732000.0,1726929000.0,2409177000.0,4930000.0,114398287.0,1328664000.0,8068000.0,73516000.0,615406000.0,0.0,1175864000.0,247649000.0,102478000.0,2248871000.0,15162000.0,0.0,0.0,0.0,35029000.0,3737841000.0,0.0,-14079000.0,252454000.0,10369000.0,59451000.0,-44656000.0,-89312000.0,-76401000.0,20238000.0,-75233000.0,97110000.0,0.0,0.0,238375000.0,450274000.0,189211000.0,107901000.0,423000.0,54128000.0,90853000.0,90853000.0,87825000.0,0.8,114398287.0,-3451000.0,0.0,0.81,0.0,87825000.0,173238000.0,261063000.0,147276000.0,0.0,91276000.0,90853000.0,6.0,-0.212196180251804,0.579786974153515,1.39506430200663,1488970000.0,0.579786974153515,3.93602047555135,-0.263636363636364,0.00541851078262154,0.127084061471357,13.0156669216559,0.0484174514928817
