,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,17939400000.0,11558400000.0,6366700000.0,2312600000.0,10965900000.0,775100000.0,0.0,6973500000.0,7388300000.0,1229200000.0,8489300000.0,0.0,1314100000.0,4494200000.0,0.0,635500000.0,1458800000.0,3190100000.0,0.0,239354158.0,0.0,8377300000.0,-761000000.0,4170100000.0,5269300000.0,0.0,12000000.0,0.0,35500000.0,-103700000.0,823300000.0,-29500000.0,0.0,0.0,930500000.0,-30000000.0,901000000.0,74500000.0,26500000.0,-127000000.0,566900000.0,1.67,5500000.0,567800000.0,400600000.0,552900000.0,3495500000.0,240400000.0,1.64,62400000.0,400600000.0,4000000.0,627400000.0,0.0,0.0,2360800000.0,404600000.0,1134700000.0,243700000.0,567800000.0,89900000.0,490500000.0,4.0,0.0070874989195886,0.324617365183808,1.6722620560658,6381000000.0,0.324617365183808,14.6038825028475,-0.121052631578947,0.705891592190617,0.143040901522266,26.6592402376398,0.0494631666414248
1,2020,2,2020-06-30 00:00:00+00:00,17223600000.0,11264100000.0,5936900000.0,2316400000.0,10878900000.0,649900000.0,0.0,6344700000.0,7434900000.0,1353000000.0,8222100000.0,0.0,1314700000.0,4618200000.0,0.0,580800000.0,1368200000.0,2366800000.0,0.0,239207928.0,0.0,8348000000.0,-876100000.0,3829200000.0,5268100000.0,0.0,16500000.0,-618600000.0,3700000.0,-434800000.0,-280900000.0,-24900000.0,0.0,-14300000.0,205200000.0,-68300000.0,180300000.0,74200000.0,17000000.0,-127400000.0,423500000.0,1.0,36200000.0,554800000.0,238800000.0,383600000.0,3138800000.0,240000000.0,0.99,61300000.0,238800000.0,3300000.0,457800000.0,0.0,0.0,2160500000.0,242100000.0,978300000.0,242300000.0,554800000.0,83500000.0,322300000.0,3.0,-0.132352941176471,0.311679622785778,1.65692572861172,5959500000.0,0.311679622785778,13.1216386774606,-0.468085106382979,0.777880712156176,0.147169336288418,24.9134719314152,0.0509923551119241
2,2020,1,2020-03-31 00:00:00+00:00,17635600000.0,11845800000.0,5772600000.0,2091800000.0,11075800000.0,949700000.0,0.0,6559800000.0,7605000000.0,1463700000.0,8127900000.0,0.0,1326200000.0,4624800000.0,0.0,561200000.0,1446700000.0,2647700000.0,0.0,238401033.0,0.0,8371300000.0,-926000000.0,4240800000.0,5574500000.0,0.0,29000000.0,0.0,-5600000.0,1769400000.0,1369100000.0,-34700000.0,0.0,1000000.0,-327600000.0,-40500000.0,-362300000.0,75000000.0,-32200000.0,-125900000.0,154400000.0,-0.12,0.0,588100000.0,-29200000.0,84900000.0,2641300000.0,239500000.0,-0.12,63100000.0,-29200000.0,3300000.0,159900000.0,0.0,0.0,1898800000.0,-25900000.0,742500000.0,242300000.0,588100000.0,51000000.0,21800000.0,2.0,-0.0579234582872633,0.281111573846212,1.54683078664403,5789800000.0,0.281111573846212,11.0792305165892,-1.14634146341463,0.80116412015383,0.172473301883006,24.2859685930975,0.0597605129553591
3,2019,4,2019-12-31 00:00:00+00:00,20492300000.0,13179900000.0,7267600000.0,2184600000.0,11198500000.0,650300000.0,0.0,9293800000.0,7941300000.0,1278600000.0,9730800000.0,0.0,1352000000.0,4922900000.0,0.0,572000000.0,1381300000.0,1278600000.0,0.0,239596850.0,0.0,8449300000.0,-1006600000.0,5238600000.0,5573200000.0,0.0,66400000.0,-200000.0,-133200000.0,-344100000.0,472700000.0,-64100000.0,0.0,-2900000.0,866400000.0,-66000000.0,802300000.0,105600000.0,16400000.0,-127000000.0,425400000.0,1.24,-23900000.0,821200000.0,296100000.0,433900000.0,4150900000.0,239596850.0,1.22,63300000.0,296100000.0,5000000.0,539500000.0,0.0,0.0,2904300000.0,301100000.0,1246600000.0,242300000.0,821200000.0,74500000.0,370600000.0,6.0,0.0656722548843418,0.300320412440676,1.77409995036842,7312400000.0,0.300320412440676,17.3245182480488,0.192307692307692,0.677376300291706,0.197871780937188,30.5195999029203,0.0694615731133643
5,2019,3,2019-09-30 00:00:00+00:00,20306900000.0,13027800000.0,7237600000.0,2968900000.0,14203800000.0,650500000.0,0.0,6103100000.0,8251700000.0,1890600000.0,9762700000.0,0.0,1779100000.0,4921900000.0,0.0,666300000.0,1758800000.0,830900000.0,0.0,241576691.0,0.0,10887200000.0,-1069800000.0,4776100000.0,5572400000.0,0.0,13200000.0,-359000000.0,-234900000.0,-544700000.0,-44700000.0,-58500000.0,0.0,-58100000.0,659400000.0,-126700000.0,600900000.0,72700000.0,-32700000.0,-123700000.0,536500000.0,1.9,-77100000.0,567800000.0,458800000.0,603200000.0,3470900000.0,241700000.0,1.88,63900000.0,458800000.0,4600000.0,675900000.0,0.0,0.0,2366600000.0,463400000.0,1104300000.0,244600000.0,567800000.0,80500000.0,539300000.0,5.0,-0.138926790543055,0.318159555158604,1.27784175373212,7279100000.0,0.318159555158604,14.3676941083691,-0.0909090909090909,0.680045871559633,0.193630068678695,30.1316321945978,0.0695966971059001
6,2019,2,2019-06-30 00:00:00+00:00,20667600000.0,13494700000.0,7130500000.0,3108300000.0,14316100000.0,829200000.0,0.0,6351500000.0,8314500000.0,1950500000.0,9497200000.0,0.0,1794100000.0,4920600000.0,0.0,725100000.0,1889900000.0,875600000.0,0.0,241158226.0,0.0,11089900000.0,-939200000.0,5180200000.0,5749800000.0,0.0,11500000.0,293900000.0,14900000.0,29200000.0,-1031800000.0,-44100000.0,0.0,-400000.0,446300000.0,-1510900000.0,402200000.0,72200000.0,3600000.0,-131700000.0,566900000.0,1.88,-47700000.0,587900000.0,456100000.0,612500000.0,3617600000.0,242100000.0,1.86,64500000.0,456100000.0,4200000.0,684700000.0,0.0,0.0,2462800000.0,460300000.0,1154800000.0,244900000.0,587900000.0,91900000.0,548000000.0,5.0,-0.169837299492852,0.31921716054843,1.22611096096676,7172900000.0,0.31921716054843,15.0009396735237,0.0386740331491713,0.690077834653951,0.201092880753234,29.7435427311528,0.0743517504043408
7,2019,1,2019-03-31 00:00:00+00:00,19781000000.0,12858200000.0,6885800000.0,2710300000.0,12696300000.0,374400000.0,0.0,7084700000.0,8369700000.0,1983700000.0,9298300000.0,0.0,1738400000.0,5226500000.0,0.0,527200000.0,1800100000.0,1907400000.0,0.0,242168631.0,0.0,9577100000.0,-958600000.0,4488500000.0,5600900000.0,0.0,29700000.0,3033000000.0,-243700000.0,1130100000.0,1004000000.0,-49000000.0,0.0,-22000000.0,-52600000.0,-76400000.0,-101600000.0,70900000.0,2900000.0,-127700000.0,236500000.0,0.82,0.0,578000000.0,199900000.0,271100000.0,2803700000.0,242500000.0,0.82,51000000.0,199900000.0,3800000.0,342000000.0,0.0,0.0,1989200000.0,203700000.0,814500000.0,245200000.0,578000000.0,20200000.0,220100000.0,4.0,-0.171605850199439,0.290508970289261,1.57841149604545,6922800000.0,0.290508970289261,11.57746975082,0.708333333333333,0.759025821255337,0.202416109299843,28.5866917255687,0.0762104000763664
8,2018,4,2018-12-31 00:00:00+00:00,17914900000.0,10850100000.0,7022700000.0,2679200000.0,12182900000.0,350600000.0,0.0,5732000000.0,6534400000.0,1677800000.0,9439800000.0,0.0,1730800000.0,3740700000.0,0.0,538400000.0,1705300000.0,903400000.0,0.0,245656287.0,0.0,9594200000.0,-964100000.0,4315700000.0,4091300000.0,0.0,78800000.0,-200000.0,-317200000.0,-509900000.0,-119100000.0,-92300000.0,0.0,-3700000.0,510400000.0,-108800000.0,418100000.0,88500000.0,-10800000.0,-128300000.0,446700000.0,1.04,-5500000.0,703400000.0,254000000.0,424400000.0,3895100000.0,245656287.0,1.03,49000000.0,254000000.0,7400000.0,512900000.0,0.0,0.0,2745000000.0,261400000.0,1150100000.0,245200000.0,703400000.0,121400000.0,375400000.0,6.0,0.076559520190155,0.295268414161382,1.32817387677549,7064800000.0,0.295268414161382,15.855893808246,-0.428571428571429,0.532658379255842,0.189739916166051,28.758881306384,0.0733309211319803
10,2018,3,2018-09-30 00:00:00+00:00,18304500000.0,10961300000.0,7308100000.0,2752100000.0,12221900000.0,350600000.0,0.0,6082600000.0,6637300000.0,1821400000.0,9624800000.0,0.0,1673400000.0,3739800000.0,0.0,610200000.0,1748700000.0,1022500000.0,0.0,245309566.0,0.0,9668700000.0,-919800000.0,4324000000.0,4090400000.0,0.0,0.0,-498400000.0,-14000000.0,-377500000.0,53000000.0,-87800000.0,0.0,0.0,519700000.0,-75700000.0,431900000.0,85200000.0,-13500000.0,-129400000.0,587000000.0,2.09,11700000.0,725600000.0,515100000.0,562500000.0,4030900000.0,246400000.0,2.06,48500000.0,515100000.0,4300000.0,647700000.0,0.0,0.0,2718300000.0,519400000.0,1312600000.0,249500000.0,725600000.0,-1100000.0,514000000.0,8.0,0.0981882577305544,0.325634473690739,1.40670675300648,7343200000.0,0.325634473690739,16.4318907971163,0.441379310344828,0.511733555917407,0.218037731051483,29.9344217175779,0.0843203024277255
11,2018,2,2018-06-30 00:00:00+00:00,18377900000.0,11554200000.0,6787100000.0,2946900000.0,12216200000.0,599600000.0,0.0,6161700000.0,6801500000.0,1733300000.0,9109900000.0,0.0,1646800000.0,3738900000.0,0.0,735400000.0,1832100000.0,969500000.0,0.0,247965196.0,0.0,9706000000.0,-904600000.0,4752700000.0,4338500000.0,0.0,0.0,-28700000.0,-250100000.0,-395000000.0,-205600000.0,-110600000.0,0.0,-79900000.0,443900000.0,-187200000.0,333300000.0,94400000.0,-67300000.0,-110200000.0,640300000.0,1.81,5900000.0,753300000.0,448100000.0,626400000.0,4357700000.0,247500000.0,1.79,50300000.0,448100000.0,4500000.0,720800000.0,0.0,0.0,2964100000.0,452600000.0,1393600000.0,250100000.0,753300000.0,128000000.0,576100000.0,7.0,0.114957527376932,0.319801730270556,1.29646306310097,6823700000.0,0.319801730270556,17.5738372573867,0.292857142857143,0.550883293306419,0.200890430926818,27.518781305099,0.0768401590878742
