,date,quarter,year,statementData.balanceSheet.debt,statementData.balanceSheet.inventory,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncfo,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.payDiv,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.costRev,statementData.incomeStatement.ebt,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.opex,statementData.incomeStatement.ebit,statementData.incomeStatement.intexp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.eps,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,3,2021,6783000000.0,3607000000.0,15444000000.0,115000000.0,9448000000.0,2184000000.0,3743000000.0,0.0,4838000000.0,0.0,13125000000.0,74000000.0,0.0,157775065.0,0.0,0.0,0.0,6496000000.0,287000000.0,9298000000.0,0.0,1939000000.0,5996000000.0,10606000000.0,6863000000.0,0.0,-1028000000.0,-1027000000.0,-489000000.0,606000000.0,0.0,0.0,0.0,-68000000.0,12000000.0,0.0,247000000.0,-67000000.0,0.0,538000000.0,0.0,1302000000.0,157775065.0,0.0,2424000000.0,-56000000.0,0.0,-12000000.0,-12000000.0,1533000000.0,22000000.0,78000000.0,-12000000.0,-0.08,3979000000.0,22000000.0,-44000000.0,269000000.0,0.0,1555000000.0,-0.08,-0.0157766394448718,-0.139675675675676,4838000000.0,1.60192359070265,-1.10126582278481,0.390801708972104,25.2194476991659,1.34270359652749,0.390801708972104,30.6639075065505,4.0,-0.0484057243283957
1,2020-08-01 00:00:00+00:00,2,2021,7729000000.0,2698000000.0,15235000000.0,205000000.0,9547000000.0,1064000000.0,2566000000.0,0.0,4837000000.0,0.0,13137000000.0,208000000.0,0.0,157736808.0,0.0,0.0,0.0,7443000000.0,286000000.0,9388000000.0,0.0,2428000000.0,5688000000.0,10398000000.0,7832000000.0,0.0,-21000000.0,-21000000.0,389000000.0,251000000.0,0.0,0.0,0.0,-34000000.0,-1000000.0,0.0,256000000.0,159000000.0,0.0,217000000.0,0.0,1050000000.0,157736808.0,0.0,2149000000.0,40000000.0,0.0,47000000.0,47000000.0,1267000000.0,118000000.0,78000000.0,47000000.0,0.31,3407000000.0,-9000000.0,-7000000.0,374000000.0,0.0,1258000000.0,0.3,-0.00690576240268413,-0.230925507900677,4837000000.0,2.21667965705378,-0.796052631578947,0.369239800410919,21.5992706027118,1.5387636965061,0.369239800410919,30.6650049619363,4.0,-0.0207517619420517
2,2020-05-02 00:00:00+00:00,1,2021,7688000000.0,3557000000.0,15869000000.0,174000000.0,9699000000.0,1866000000.0,3287000000.0,0.0,4790000000.0,0.0,13090000000.0,233000000.0,0.0,155246500.0,0.0,0.0,0.0,7405000000.0,283000000.0,9542000000.0,0.0,2039000000.0,6170000000.0,11079000000.0,7792000000.0,0.0,1425000000.0,1580000000.0,1316000000.0,53000000.0,0.0,0.0,0.0,-162000000.0,15000000.0,-108000000.0,264000000.0,-162000000.0,-8000000.0,-109000000.0,0.0,1066000000.0,155246500.0,0.0,1787000000.0,-776000000.0,0.0,-541000000.0,-541000000.0,1359000000.0,-718000000.0,58000000.0,-541000000.0,-3.52,2428000000.0,-718000000.0,-235000000.0,-454000000.0,0.0,641000000.0,-3.52,0.00579853389341899,-0.405921213604111,4790000000.0,1.87709157286279,-10.2631578947368,0.264003294892916,15.6396440499464,1.54592901878914,0.264003294892916,30.8541577426866,5.0,0.0167220902612827
3,2020-02-01 00:00:00+00:00,4,2020,6124000000.0,3537000000.0,14555000000.0,15000000.0,9906000000.0,1206000000.0,2769000000.0,0.0,5450000000.0,0.0,13745000000.0,308000000.0,0.0,156567901.0,0.0,0.0,0.0,5842000000.0,282000000.0,9743000000.0,0.0,723000000.0,4649000000.0,9105000000.0,6336000000.0,0.0,-212000000.0,-25000000.0,233000000.0,612000000.0,0.0,0.0,0.0,-177000000.0,9000000.0,-104000000.0,268000000.0,-167000000.0,-84000000.0,435000000.0,0.0,1743000000.0,156567901.0,0.0,4400000000.0,351000000.0,0.0,265000000.0,265000000.0,2031000000.0,401000000.0,50000000.0,265000000.0,1.7,6832000000.0,401000000.0,86000000.0,669000000.0,0.0,2432000000.0,1.7,0.0466088833428889,0.00131906785871316,5450000000.0,1.67894546767786,0.0179640718562875,0.355971896955504,43.6360196206501,1.07192660550459,0.355971896955504,34.8091784151849,7.0,0.127361533499217
5,2019-11-02 00:00:00+00:00,3,2020,6103000000.0,4887000000.0,15739000000.0,25000000.0,9958000000.0,2454000000.0,4075000000.0,0.0,5355000000.0,0.0,13585000000.0,260000000.0,0.0,159126736.0,0.0,0.0,0.0,5831000000.0,272000000.0,9791000000.0,0.0,490000000.0,5781000000.0,10384000000.0,6309000000.0,0.0,-273000000.0,-30000000.0,-135000000.0,369000000.0,0.0,0.0,0.0,-239000000.0,20000000.0,-105000000.0,266000000.0,-231000000.0,-133000000.0,130000000.0,0.0,1419000000.0,159126736.0,0.0,2775000000.0,161000000.0,0.0,123000000.0,123000000.0,1646000000.0,213000000.0,52000000.0,123000000.0,0.79,4625000000.0,204000000.0,38000000.0,479000000.0,0.0,1850000000.0,0.78,0.0487975391498881,-0.000648228176318044,5355000000.0,1.41865030674847,-0.193877551020408,0.4,29.0648832261601,1.08888888888889,0.4,33.6524215515864,4.0,0.128196886909408
6,2019-08-03 00:00:00+00:00,2,2020,6049000000.0,3656000000.0,14542000000.0,16000000.0,9864000000.0,1330000000.0,2840000000.0,0.0,5455000000.0,0.0,13568000000.0,288000000.0,0.0,162025878.0,0.0,0.0,0.0,5772000000.0,277000000.0,9704000000.0,0.0,625000000.0,4678000000.0,9087000000.0,6247000000.0,0.0,-257000000.0,-16000000.0,82000000.0,540000000.0,0.0,0.0,0.0,-201000000.0,12000000.0,-106000000.0,266000000.0,-201000000.0,-133000000.0,339000000.0,0.0,1269000000.0,162025878.0,0.0,2550000000.0,323000000.0,0.0,241000000.0,241000000.0,1504000000.0,376000000.0,53000000.0,241000000.0,1.52,4430000000.0,376000000.0,82000000.0,642000000.0,0.0,1880000000.0,1.51,0.0529544023743142,-0.0306345733041575,5455000000.0,1.64718309859155,-0.141242937853107,0.424379232505643,27.3413114909953,1.05811182401467,0.424379232505643,33.6674614409434,6.0,0.13457055354939
7,2019-05-04 00:00:00+00:00,1,2020,6033000000.0,3680000000.0,14466000000.0,15000000.0,9831000000.0,1295000000.0,2792000000.0,0.0,5442000000.0,0.0,13436000000.0,273000000.0,0.0,163166004.0,0.0,0.0,0.0,5760000000.0,273000000.0,9664000000.0,0.0,543000000.0,4635000000.0,9024000000.0,6232000000.0,0.0,-289000000.0,-37000000.0,-391000000.0,136000000.0,0.0,0.0,0.0,-238000000.0,15000000.0,-108000000.0,267000000.0,-238000000.0,-119000000.0,-102000000.0,0.0,1275000000.0,163166004.0,0.0,2415000000.0,66000000.0,0.0,62000000.0,62000000.0,1554000000.0,118000000.0,52000000.0,62000000.0,0.38,4087000000.0,118000000.0,4000000.0,385000000.0,0.0,1672000000.0,0.38,0.0583308627334717,-0.028754752851711,5442000000.0,1.66010028653295,-0.173913043478261,0.409102030829459,25.0481098991675,1.05843439911797,0.409102030829459,33.3525358628014,6.0,0.143685243507234
8,2019-02-02 00:00:00+00:00,4,2019,3499000000.0,3475000000.0,12469000000.0,0.0,7634000000.0,1187000000.0,2730000000.0,0.0,5527000000.0,0.0,13395000000.0,248000000.0,0.0,165129371.0,0.0,0.0,0.0,3384000000.0,115000000.0,7428000000.0,0.0,934000000.0,4835000000.0,6942000000.0,4212000000.0,0.0,-677000000.0,-455000000.0,-113000000.0,684000000.0,0.0,0.0,0.0,-120000000.0,16000000.0,-99000000.0,239000000.0,-120000000.0,-118000000.0,564000000.0,0.0,1694000000.0,165129371.0,0.0,4345000000.0,361000000.0,0.0,272000000.0,272000000.0,2037000000.0,420000000.0,59000000.0,272000000.0,1.67,6823000000.0,441000000.0,89000000.0,659000000.0,0.0,2478000000.0,1.65,0.0610477316952192,-0.0331585659628737,5527000000.0,1.77106227106227,-0.405693950177936,0.363183350432361,41.319118208232,0.612267052650624,0.363183350432361,33.4707264160777,7.0,0.146634284928745
10,2018-11-03 00:00:00+00:00,3,2019,3921000000.0,4844000000.0,14118000000.0,0.0,7781000000.0,2583000000.0,4007000000.0,0.0,5453000000.0,-8000000.0,13224000000.0,215000000.0,0.0,166712843.0,0.0,0.0,0.0,3800000000.0,121000000.0,7538000000.0,0.0,1047000000.0,6337000000.0,8665000000.0,4658000000.0,0.0,-249000000.0,-33000000.0,-19000000.0,376000000.0,0.0,0.0,0.0,-146000000.0,21000000.0,-99000000.0,242000000.0,-146000000.0,-109000000.0,230000000.0,0.0,1375000000.0,166712843.0,0.0,2752000000.0,195000000.0,0.0,161000000.0,161000000.0,1618000000.0,258000000.0,63000000.0,161000000.0,0.98,4628000000.0,258000000.0,34000000.0,500000000.0,0.0,1876000000.0,0.98,0.0746934643218718,0.0133566892927524,5453000000.0,1.58148240578987,0.4,0.405358686257563,27.7603087843688,0.696864111498258,0.405358686257563,32.7089377271312,8.0,0.18346764909049
11,2018-08-04 00:00:00+00:00,2,2019,3932000000.0,3572000000.0,12915000000.0,0.0,7873000000.0,1404000000.0,2770000000.0,0.0,5487000000.0,-8000000.0,13163000000.0,258000000.0,0.0,167096325.0,0.0,0.0,0.0,3810000000.0,122000000.0,7635000000.0,0.0,1066000000.0,5042000000.0,7428000000.0,4658000000.0,0.0,-243000000.0,-59000000.0,244000000.0,660000000.0,0.0,0.0,0.0,-179000000.0,20000000.0,-101000000.0,240000000.0,-173000000.0,-79000000.0,481000000.0,0.0,1272000000.0,167096325.0,0.0,2605000000.0,387000000.0,0.0,292000000.0,292000000.0,1513000000.0,452000000.0,65000000.0,292000000.0,1.77,4570000000.0,452000000.0,95000000.0,692000000.0,0.0,1965000000.0,1.76,0.0716233754020351,0.0398179749715586,5487000000.0,1.8202166064982,0.42741935483871,0.429978118161926,27.3494943709863,0.694368507381083,0.429978118161926,32.8373469614009,9.0,0.178913738019169
