,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncfo,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020,4,2020-10-31 00:00:00+00:00,54015000000.0,0.0,16556000000.0,2170000000.0,3430000000.0,17724000000.0,2170000000.0,37919000000.0,-8375000000.0,19181000000.0,148000000.0,4233000000.0,37459000000.0,15941000000.0,19120000000.0,-3939000000.0,5625000000.0,2674000000.0,0.0,5383000000.0,18738000000.0,1286383563.0,0.0,12186000000.0,16049000000.0,3755000000.0,-524000000.0,-1424000000.0,223000000.0,-3639000000.0,747000000.0,-4000000.0,-3483000000.0,-154000000.0,59000000.0,-853000000.0,-4316000000.0,-2000000.0,0.0,652000000.0,207000000.0,157000000.0,1294000000.0,1294000000.0,119000000.0,484000000.0,157000000.0,2268000000.0,0.12,0.0,244000000.0,0.0,-32000000.0,2061000000.0,0.0,157000000.0,7208000000.0,0.12,896000000.0,125000000.0,1166000000.0,4940000000.0,-0.00588092944254451,-0.000970200970200952,16096000000.0,0.88355214003629,-0.666666666666667,0.31465038845727,5.60330542718541,0.759299644837685,0.31465038845727,12.5125976908957,4.0,-0.0196332484794903
2,2020,3,2020-07-31 00:00:00+00:00,58239000000.0,0.0,21383000000.0,2269000000.0,3343000000.0,17255000000.0,2269000000.0,42033000000.0,-8377000000.0,20423000000.0,204000000.0,8465000000.0,36856000000.0,19457000000.0,18276000000.0,-3756000000.0,5709000000.0,3469000000.0,0.0,6001000000.0,21610000000.0,1284757155.0,0.0,13730000000.0,16155000000.0,5727000000.0,-548000000.0,-1050000000.0,924000000.0,2525000000.0,1472000000.0,-4000000.0,2666000000.0,-154000000.0,55000000.0,0.0,2947000000.0,13000000.0,0.0,642000000.0,77000000.0,9000000.0,1292000000.0,1300000000.0,136000000.0,455000000.0,9000000.0,2132000000.0,0.01,0.0,102000000.0,0.0,-43000000.0,2055000000.0,0.0,9000000.0,6816000000.0,0.01,744000000.0,-34000000.0,1131000000.0,4684000000.0,1.84500993999105e-05,-0.0555632534294028,16206000000.0,0.989495603887089,-1.5,0.312793427230047,5.30528277151334,0.849891674404209,0.312793427230047,12.6140570121985,5.0,6.0013202904639e-05
3,2020,2,2020-04-30 00:00:00+00:00,54515000000.0,0.0,17983000000.0,2276000000.0,3268000000.0,16535000000.0,2276000000.0,38257000000.0,-8385000000.0,18060000000.0,202000000.0,5131000000.0,36532000000.0,16715000000.0,18373000000.0,-3625000000.0,5588000000.0,3476000000.0,0.0,5482000000.0,20197000000.0,1288341672.0,0.0,11553000000.0,16210000000.0,5162000000.0,-502000000.0,-40000000.0,-402000000.0,2382000000.0,100000000.0,6000000.0,2699000000.0,-154000000.0,67000000.0,-7000000.0,2442000000.0,-155000000.0,0.0,641000000.0,-763000000.0,-821000000.0,1291000000.0,1291000000.0,139000000.0,450000000.0,-821000000.0,1985000000.0,-0.64,0.0,-772000000.0,0.0,-90000000.0,2748000000.0,0.0,-821000000.0,6009000000.0,-0.64,-131000000.0,-911000000.0,1109000000.0,4024000000.0,-0.00066882601924308,-0.15958041958042,16258000000.0,0.890379759370204,-3.06451612903226,0.330337826593443,4.66413540025584,0.712708204811844,0.330337826593443,12.6193232380362,4.0,-0.00205791562545936
4,2020,1,2020-01-31 00:00:00+00:00,52244000000.0,0.0,14751000000.0,2290000000.0,3267000000.0,16634000000.0,2290000000.0,35001000000.0,-7411000000.0,16247000000.0,173000000.0,3171000000.0,37493000000.0,13872000000.0,19313000000.0,-3700000000.0,5711000000.0,2560000000.0,0.0,5332000000.0,18754000000.0,1292925893.0,0.0,9362000000.0,17189000000.0,4510000000.0,-106000000.0,-64000000.0,-185000000.0,-385000000.0,-79000000.0,-51000000.0,17000000.0,-156000000.0,93000000.0,-6000000.0,-528000000.0,-247000000.0,0.0,690000000.0,421000000.0,333000000.0,1300000000.0,1315000000.0,92000000.0,485000000.0,333000000.0,2355000000.0,0.26,0.0,470000000.0,0.0,45000000.0,1934000000.0,0.0,333000000.0,6949000000.0,0.25,1160000000.0,378000000.0,1218000000.0,4594000000.0,0.0234040796904058,-0.0799682245465378,17243000000.0,0.786552202196865,1.0,0.338897683119873,5.37463132080688,0.544650648670661,0.338897683119873,13.3364178823821,4.0,0.0688394412865263
5,2019,4,2019-10-31 00:00:00+00:00,51803000000.0,0.0,15143000000.0,2254000000.0,3234000000.0,15447000000.0,2254000000.0,34654000000.0,-7632000000.0,15495000000.0,186000000.0,3753000000.0,36660000000.0,13820000000.0,19434000000.0,-3727000000.0,6054000000.0,2387000000.0,0.0,5595000000.0,19159000000.0,1305601258.0,0.0,9395000000.0,17098000000.0,4425000000.0,-554000000.0,-2058000000.0,878000000.0,691000000.0,1432000000.0,8000000.0,1098000000.0,-147000000.0,61000000.0,-1445000000.0,65000000.0,-260000000.0,0.0,616000000.0,535000000.0,480000000.0,1311000000.0,1324000000.0,113000000.0,438000000.0,480000000.0,2468000000.0,0.36,0.0,836000000.0,0.0,243000000.0,1933000000.0,0.0,480000000.0,7215000000.0,0.36,1452000000.0,723000000.0,1229000000.0,4747000000.0,0.0204223672619135,-0.0919959728165115,17149000000.0,0.790385719505193,-1.76595744680851,0.342065142065142,5.52618952822731,0.549479471283191,0.342065142065142,13.1349444517769,6.0,0.0589972160512921
7,2019,3,2019-07-31 00:00:00+00:00,50760000000.0,0.0,15117000000.0,2346000000.0,3225000000.0,15624000000.0,2346000000.0,33180000000.0,-7959000000.0,16022000000.0,160000000.0,3693000000.0,35643000000.0,12660000000.0,18205000000.0,-3150000000.0,6000000000.0,2216000000.0,0.0,5203000000.0,17158000000.0,1339148624.0,0.0,10453000000.0,17533000000.0,2207000000.0,-548000000.0,-335000000.0,648000000.0,-639000000.0,1196000000.0,2000000.0,73000000.0,-150000000.0,58000000.0,-5000000.0,222000000.0,-562000000.0,0.0,632000000.0,-2000000.0,-27000000.0,1334000000.0,1334000000.0,144000000.0,481000000.0,-27000000.0,2523000000.0,-0.02,0.0,-121000000.0,0.0,-238000000.0,2525000000.0,0.0,-27000000.0,7217000000.0,-0.02,511000000.0,-265000000.0,1253000000.0,4694000000.0,-0.00359548842702163,-0.0704533745492014,17580000000.0,0.881046742044527,-1.06666666666667,0.349591242898711,5.3892449804735,0.596190041635772,0.349591242898711,13.1277437656539,5.0,-0.00999162935306857
8,2019,2,2019-04-30 00:00:00+00:00,51140000000.0,0.0,15000000000.0,2421000000.0,3141000000.0,15913000000.0,2421000000.0,32899000000.0,-7765000000.0,16822000000.0,236000000.0,3585000000.0,36140000000.0,12446000000.0,18264000000.0,-3180000000.0,6138000000.0,2182000000.0,0.0,5483000000.0,16077000000.0,1370378287.0,0.0,10332000000.0,18198000000.0,2114000000.0,-585000000.0,-448000000.0,402000000.0,-655000000.0,987000000.0,-19000000.0,47000000.0,-154000000.0,74000000.0,0.0,-116000000.0,-548000000.0,0.0,648000000.0,509000000.0,419000000.0,1367000000.0,1382000000.0,93000000.0,457000000.0,419000000.0,2380000000.0,0.31,0.0,533000000.0,0.0,21000000.0,1871000000.0,0.0,419000000.0,7150000000.0,0.3,1181000000.0,440000000.0,1214000000.0,4770000000.0,0.00537275826293167,-0.0425816818425281,18241000000.0,0.933009889904833,-0.38,0.332867132867133,5.21753742585386,0.567754698318497,0.332867132867133,13.3109231027972,5.0,0.0142934595100794
9,2019,1,2019-01-31 00:00:00+00:00,51758000000.0,0.0,15432000000.0,2413000000.0,3152000000.0,16108000000.0,2413000000.0,33423000000.0,-8034000000.0,16964000000.0,295000000.0,3781000000.0,36326000000.0,12353000000.0,18334000000.0,-3294000000.0,6141000000.0,2300000000.0,0.0,5789000000.0,16459000000.0,1398678425.0,0.0,10280000000.0,18293000000.0,2073000000.0,-572000000.0,-616000000.0,-190000000.0,-945000000.0,382000000.0,-4000000.0,43000000.0,-157000000.0,75000000.0,-76000000.0,-1179000000.0,-831000000.0,0.0,639000000.0,529000000.0,177000000.0,1401000000.0,1412000000.0,124000000.0,466000000.0,177000000.0,2419000000.0,0.13,0.0,779000000.0,0.0,478000000.0,1890000000.0,0.0,177000000.0,7553000000.0,0.13,1418000000.0,655000000.0,1211000000.0,5134000000.0,0.0115562678062678,-0.0157675267135783,18335000000.0,0.937602527492557,-0.855555555555556,0.320270091354429,5.40009759570003,0.561963592631061,0.320270091354429,13.1088030474196,5.0,0.0298768557946829
10,2018,4,2018-10-31 00:00:00+00:00,55493000000.0,0.0,17272000000.0,2398000000.0,3177000000.0,18018000000.0,2398000000.0,34219000000.0,-5899000000.0,17021000000.0,378000000.0,4880000000.0,38221000000.0,12141000000.0,18326000000.0,-3218000000.0,6138000000.0,2447000000.0,0.0,6092000000.0,17198000000.0,1471648283.0,0.0,10136000000.0,21239000000.0,2005000000.0,-294000000.0,-240000000.0,1032000000.0,-1251000000.0,1326000000.0,1000000.0,-116000000.0,-164000000.0,44000000.0,0.0,-165000000.0,-971000000.0,0.0,645000000.0,724000000.0,-757000000.0,1460000000.0,1478000000.0,182000000.0,440000000.0,-757000000.0,2510000000.0,-0.47,0.0,773000000.0,-15000000.0,1348000000.0,1786000000.0,0.0,-757000000.0,7946000000.0,-0.46,1418000000.0,591000000.0,1237000000.0,5436000000.0,0.0325457034298361,0.0373368146214099,21274000000.0,1.00430282590999,-2.46875,0.31588220488296,5.39938794601237,0.477235274730449,0.31588220488296,14.4558997185335,7.0,0.0824653152958465
12,2018,3,2018-07-31 00:00:00+00:00,57513000000.0,0.0,17467000000.0,2513000000.0,3168000000.0,19204000000.0,2513000000.0,34051000000.0,-5021000000.0,16644000000.0,484000000.0,5193000000.0,40046000000.0,12289000000.0,18486000000.0,-2906000000.0,6184000000.0,2771000000.0,0.0,6143000000.0,17407000000.0,1513961241.0,0.0,9963000000.0,23426000000.0,2326000000.0,-498000000.0,-360000000.0,751000000.0,-2628000000.0,1249000000.0,-13000000.0,-1536000000.0,-170000000.0,56000000.0,-178000000.0,-1739000000.0,-921000000.0,0.0,641000000.0,559000000.0,451000000.0,1513000000.0,1531000000.0,133000000.0,435000000.0,451000000.0,2434000000.0,0.3,0.0,597000000.0,1000000.0,13000000.0,1875000000.0,0.0,451000000.0,7764000000.0,0.29,1238000000.0,464000000.0,1221000000.0,5330000000.0,0.0530584741321221,0.0350619917344355,23462000000.0,1.00344688918251,2.0,0.31349819680577,5.12826867012245,0.425296678903782,0.31349819680577,15.4970942218461,8.0,0.134592455816407
