,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,3,2020,18922000000.0,15336000000.0,3044000000.0,1626000000.0,14169000000.0,1653000000.0,250000000.0,4753000000.0,9302000000.0,1263000000.0,8318000000.0,0.0,4141000000.0,7523000000.0,648000000.0,587000000.0,2449000000.0,1329000000.0,0.0,342919265.0,398000000.0,9630000000.0,-1757000000.0,6034000000.0,9176000000.0,0.0,18000000.0,-9000000.0,45000000.0,-213000000.0,282000000.0,-108000000.0,-49000000.0,0.0,622000000.0,-134000000.0,514000000.0,121000000.0,7000000.0,-196000000.0,411000000.0,1.02,0.0,790000000.0,348000000.0,476000000.0,3429000000.0,343000000.0,1.01,63000000.0,348000000.0,4000000.0,597000000.0,0.0,0.0,2228000000.0,352000000.0,1201000000.0,346000000.0,790000000.0,65000000.0,413000000.0,8.0,0.0169039145907472,0.350247885680957,0.787703016241299,3586000000.0,0.350247885680957,9.9994382059579,0.397260273972603,2.47141918528252,0.420291133656815,10.4572719179251,0.0650135786126615
1,2020-06-27 00:00:00+00:00,2,2020,18551000000.0,15145000000.0,2870000000.0,1692000000.0,14059000000.0,1632000000.0,200000000.0,4492000000.0,9289000000.0,1230000000.0,8166000000.0,0.0,4098000000.0,7461000000.0,599000000.0,597000000.0,2393000000.0,1047000000.0,0.0,342670027.0,399000000.0,9562000000.0,-1717000000.0,5856000000.0,9093000000.0,0.0,18000000.0,-19000000.0,14000000.0,-243000000.0,31000000.0,-106000000.0,-204000000.0,0.0,580000000.0,-313000000.0,474000000.0,117000000.0,7000000.0,-195000000.0,506000000.0,1.02,0.0,691000000.0,351000000.0,529000000.0,3465000000.0,343000000.0,1.02,69000000.0,351000000.0,3000000.0,646000000.0,0.0,0.0,2268000000.0,354000000.0,1197000000.0,345000000.0,691000000.0,109000000.0,460000000.0,8.0,0.00115573533660784,0.345454545454545,0.76707650273224,3406000000.0,0.345454545454545,10.1117685440285,0.214285714285714,2.59965156794425,0.395716100925758,9.93959124414462,0.0606785982687116
2,2020-03-28 00:00:00+00:00,1,2020,18240000000.0,15028000000.0,2674000000.0,1748000000.0,13950000000.0,1395000000.0,0.0,4290000000.0,9433000000.0,1189000000.0,8010000000.0,0.0,4036000000.0,7637000000.0,402000000.0,592000000.0,2329000000.0,1016000000.0,0.0,342054365.0,402000000.0,9512000000.0,-1727000000.0,5595000000.0,9032000000.0,0.0,19000000.0,546000000.0,46000000.0,477000000.0,619000000.0,-112000000.0,-63000000.0,0.0,391000000.0,-202000000.0,279000000.0,117000000.0,-47000000.0,-195000000.0,459000000.0,1.01,0.0,685000000.0,347000000.0,505000000.0,3412000000.0,342000000.0,1.01,64000000.0,347000000.0,3000000.0,622000000.0,0.0,0.0,2268000000.0,350000000.0,1144000000.0,344000000.0,685000000.0,94000000.0,441000000.0,6.0,-0.0312322544009086,0.335287221570926,0.766756032171582,3212000000.0,0.335287221570926,9.97502253771853,0.231707317073171,2.85602094240838,0.379699944434154,9.39032016153339,0.0569665981214917
3,2019-12-28 00:00:00+00:00,4,2019,17564000000.0,14250000000.0,2747000000.0,1576000000.0,14133000000.0,841000000.0,0.0,3431000000.0,9472000000.0,1226000000.0,7859000000.0,0.0,4153000000.0,7628000000.0,404000000.0,596000000.0,2387000000.0,397000000.0,0.0,341094178.0,404000000.0,9576000000.0,-1448000000.0,4778000000.0,8469000000.0,0.0,14000000.0,-3000000.0,24000000.0,-174000000.0,-56000000.0,-150000000.0,-1000000.0,0.0,251000000.0,-157000000.0,101000000.0,124000000.0,24000000.0,-195000000.0,360000000.0,0.42,0.0,728000000.0,145000000.0,292000000.0,3223000000.0,341094178.0,0.42,63000000.0,145000000.0,7000000.0,416000000.0,0.0,0.0,2135000000.0,152000000.0,1088000000.0,344000000.0,728000000.0,84000000.0,229000000.0,7.0,-0.0283388604160386,0.337573689109525,0.718082879866053,3314000000.0,0.337573689109525,9.44900326032536,-2.68,2.77684746996724,0.360326545932251,9.71579174828367,0.0531878055874898
5,2019-09-28 00:00:00+00:00,3,2019,17499000000.0,14211000000.0,2727000000.0,1643000000.0,14007000000.0,296000000.0,0.0,3492000000.0,9822000000.0,1200000000.0,7910000000.0,0.0,3957000000.0,8049000000.0,405000000.0,589000000.0,2338000000.0,453000000.0,0.0,340631924.0,405000000.0,9645000000.0,-1483000000.0,4389000000.0,8345000000.0,0.0,13000000.0,-1370000000.0,28000000.0,-1554000000.0,113000000.0,-142000000.0,65000000.0,1332000000.0,405000000.0,1258000000.0,263000000.0,117000000.0,4000000.0,-194000000.0,263000000.0,0.73,0.0,737000000.0,247000000.0,410000000.0,3372000000.0,341000000.0,0.72,72000000.0,247000000.0,1000000.0,527000000.0,0.0,0.0,2372000000.0,248000000.0,1000000000.0,342000000.0,737000000.0,91000000.0,338000000.0,6.0,-0.0279619486883829,0.29655990510083,0.795625427204375,3288000000.0,0.29655990510083,9.89924831590359,-0.336363636363636,2.95159515951595,0.278184758824089,9.65264782404834,0.0403794898706033
6,2019-06-29 00:00:00+00:00,2,2019,18669000000.0,15457000000.0,2650000000.0,1643000000.0,15165000000.0,1179000000.0,0.0,3504000000.0,10468000000.0,1234000000.0,7858000000.0,0.0,3941000000.0,8583000000.0,407000000.0,778000000.0,2401000000.0,340000000.0,0.0,340496962.0,407000000.0,9629000000.0,-1469000000.0,4989000000.0,9762000000.0,0.0,16000000.0,-10000000.0,5000000.0,-201000000.0,68000000.0,-146000000.0,0.0,-8000000.0,450000000.0,-164000000.0,304000000.0,119000000.0,-17000000.0,-188000000.0,397000000.0,0.84,0.0,789000000.0,286000000.0,435000000.0,3461000000.0,340000000.0,0.84,75000000.0,286000000.0,6000000.0,554000000.0,0.0,0.0,2275000000.0,292000000.0,1186000000.0,341000000.0,789000000.0,74000000.0,360000000.0,7.0,0.0300595238095238,0.342675527304247,0.702345159350571,3212000000.0,0.342675527304247,10.1645547134133,-0.511627906976744,3.2388679245283,0.319054652880355,9.43327065573055,0.0473243139617681
7,2019-03-30 00:00:00+00:00,1,2019,18465000000.0,15368000000.0,2533000000.0,1633000000.0,15092000000.0,1222000000.0,0.0,3373000000.0,10390000000.0,1319000000.0,7762000000.0,0.0,4171000000.0,8522000000.0,410000000.0,755000000.0,2370000000.0,272000000.0,0.0,343894654.0,410000000.0,10511000000.0,-1467000000.0,4978000000.0,9744000000.0,0.0,13000000.0,429000000.0,-213000000.0,24000000.0,-49000000.0,-148000000.0,0.0,0.0,70000000.0,-163000000.0,-78000000.0,124000000.0,20000000.0,-192000000.0,381000000.0,0.82,0.0,726000000.0,282000000.0,428000000.0,3522000000.0,342000000.0,0.82,74000000.0,282000000.0,3000000.0,552000000.0,0.0,0.0,2415000000.0,285000000.0,1107000000.0,343000000.0,726000000.0,72000000.0,354000000.0,4.0,0.0355777712437519,0.314310051107325,0.67758135797509,3097000000.0,0.314310051107325,10.2415084358944,-0.359375,3.36439005132254,0.426134301270417,9.00566485688958,0.0649875449764738
8,2018-12-29 00:00:00+00:00,4,2018,17780000000.0,14621000000.0,2601000000.0,1375000000.0,14623000000.0,686000000.0,0.0,3157000000.0,10092000000.0,1330000000.0,7652000000.0,0.0,3731000000.0,8207000000.0,413000000.0,730000000.0,2427000000.0,321000000.0,0.0,347021144.0,413000000.0,10479000000.0,-1500000000.0,4529000000.0,8893000000.0,0.0,17000000.0,-34000000.0,-193000000.0,-430000000.0,12000000.0,-189000000.0,-2000000.0,0.0,610000000.0,-163000000.0,421000000.0,142000000.0,-5000000.0,-194000000.0,326000000.0,-0.25,0.0,763000000.0,-84000000.0,-35000000.0,3317000000.0,347021144.0,-0.24,74000000.0,-84000000.0,2000000.0,107000000.0,0.0,0.0,2228000000.0,-82000000.0,1089000000.0,343000000.0,763000000.0,-25000000.0,-109000000.0,5.0,0.0414442700156985,0.328308712692192,0.697063369397218,3159000000.0,0.328308712692192,9.5584953751406,-1.20661157024793,3.15532487504806,0.484716553287982,9.10319170638202,0.0758046441692554
10,2018-09-29 00:00:00+00:00,3,2018,18114000000.0,14499000000.0,3048000000.0,1612000000.0,14711000000.0,208000000.0,0.0,3403000000.0,10469000000.0,1319000000.0,7929000000.0,0.0,3639000000.0,8715000000.0,422000000.0,752000000.0,2367000000.0,309000000.0,0.0,346672653.0,422000000.0,10650000000.0,-1512000000.0,4030000000.0,8923000000.0,0.0,12000000.0,-122000000.0,20000000.0,-298000000.0,52000000.0,-119000000.0,-2000000.0,-1000000.0,479000000.0,-124000000.0,360000000.0,140000000.0,-5000000.0,-194000000.0,396000000.0,1.1,0.0,780000000.0,380000000.0,521000000.0,3469000000.0,347000000.0,1.09,72000000.0,380000000.0,3000000.0,661000000.0,0.0,0.0,2293000000.0,383000000.0,1176000000.0,349000000.0,780000000.0,69000000.0,449000000.0,6.0,0.0686999383857054,0.33900259440761,0.844416873449132,3615000000.0,0.33900259440761,10.0065579732936,0.325301204819277,2.85925196850394,0.693076777966421,10.427704546975,0.106387907569352
11,2018-06-30 00:00:00+00:00,2,2018,17901000000.0,14497000000.0,2838000000.0,1530000000.0,14634000000.0,331000000.0,0.0,3267000000.0,10531000000.0,1291000000.0,7743000000.0,0.0,3638000000.0,8737000000.0,421000000.0,714000000.0,2306000000.0,257000000.0,0.0,346848322.0,421000000.0,10575000000.0,-1501000000.0,3966000000.0,9068000000.0,0.0,14000000.0,417000000.0,-30000000.0,200000000.0,-113000000.0,-138000000.0,-4000000.0,-416000000.0,219000000.0,-530000000.0,81000000.0,112000000.0,-2000000.0,-187000000.0,474000000.0,1.72,0.0,735000000.0,596000000.0,738000000.0,3360000000.0,347000000.0,1.71,72000000.0,596000000.0,3000000.0,850000000.0,0.0,0.0,2151000000.0,599000000.0,1209000000.0,348000000.0,735000000.0,70000000.0,666000000.0,6.0,0.0582677165354331,0.359821428571429,0.82375189107413,3404000000.0,0.359821428571429,9.68723152709962,1.12345679012346,3.07857646229739,0.736209260626516,9.81408813043068,0.104812673624146
