,year,quarter,date,statementData.balanceSheet.acctRec,statementData.balanceSheet.deposits,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.taxAssets,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctPay,statementData.balanceSheet.intangibles,statementData.balanceSheet.inventory,statementData.balanceSheet.debt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfi,statementData.cashFlow.depamor,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.ncfo,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.incomeStatement.revenue,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.rnd,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.grossProfit,statementData.incomeStatement.opinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.ebitda,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,7641000.0,0.0,0.0,21910671000.0,485043000.0,-10638000.0,0.0,126114573.0,9575551000.0,1661737000.0,0.0,10701814000.0,17600648000.0,1609340000.0,0.0,0.0,7823171000.0,-1320823000.0,257813000.0,-1636107000.0,-430000.0,-1467956000.0,176831000.0,1395812000.0,363000.0,12994000.0,-30956000.0,243503000.0,315284000.0,-133681000.0,1309235000.0,545042000.0,0.0,95799000.0,0.0,0.63,81056000.0,79326000.0,14743000.0,81056000.0,124374000.0,404599000.0,184761000.0,43318000.0,126114573.0,0.64,0.0,1730000.0,219838000.0,301205000.0,140443000.0,36913000.0,0.0261440494397701,7.0,12335120000.0,-2.45454545454545,4.32180030455323,0.742326279442685,0.731013545927821,0.395811352065642,97.808839268718,0.742326279442685,0.0546273744988018
1,2020,2,2020-06-30 00:00:00+00:00,7208000.0,0.0,0.0,20069108000.0,241540000.0,-13080000.0,0.0,126194841.0,9000132000.0,1645323000.0,0.0,9431440000.0,16281125000.0,1343181000.0,0.0,0.0,7523270000.0,-367345000.0,217392000.0,-569735000.0,-268000.0,-563468000.0,168027000.0,113294000.0,953000.0,9185000.0,11369000.0,-246831000.0,202390000.0,-129981000.0,0.0,436956000.0,0.0,243561000.0,0.0,1.82,229654000.0,226600000.0,13907000.0,229654000.0,274668000.0,313045000.0,100025000.0,45014000.0,126194841.0,1.82,0.0,3054000.0,213020000.0,442695000.0,123911000.0,31775000.0,0.0209654651640461,4.0,11068976000.0,1.67647058823529,3.46255042232669,0.716422248464376,0.797679887694774,0.16878156295472,87.7133796618516,0.716422248464376,0.0445357881670091
2,2020,1,2020-03-31 00:00:00+00:00,14976000.0,0.0,0.0,19701935000.0,488371000.0,-15606000.0,0.0,122699875.0,8787670000.0,1449147000.0,0.0,9322586000.0,15832182000.0,1352554000.0,0.0,0.0,7305135000.0,-664641000.0,535052000.0,-855908000.0,17632000.0,-833592000.0,175496000.0,889675000.0,-1668000.0,9929000.0,-150000.0,245682000.0,191267000.0,-126278000.0,504338000.0,439919000.0,0.0,30678000.0,0.0,0.14,18765000.0,16840000.0,11913000.0,18765000.0,64504000.0,310816000.0,101354000.0,45739000.0,122699875.0,0.14,0.0,1925000.0,209462000.0,240000000.0,129103000.0,31963000.0,0.0137088797590877,5.0,10914265000.0,-0.873873873873874,3.58532557592255,0.706530065762106,0.783595345754923,0.225940664693653,88.950905614207,0.706530065762106,0.0290390906074281
3,2019,4,2019-12-31 00:00:00+00:00,10691000.0,0.0,0.0,18390503000.0,242689000.0,-9749000.0,0.0,115150724.0,8224025000.0,1487484000.0,0.0,8865826000.0,14844038000.0,1320268000.0,0.0,0.0,6777479000.0,-1095368000.0,32582000.0,-1273659000.0,-2112000.0,-1290450000.0,140518000.0,901806000.0,72000.0,10239000.0,5327000.0,-210281000.0,178291000.0,-114571000.0,980958000.0,408114000.0,0.0,216053000.0,0.0,1.77,202441000.0,200587000.0,13612000.0,202441000.0,247934000.0,286262000.0,103628000.0,45493000.0,115150724.0,1.78,0.0,1854000.0,182634000.0,388452000.0,121852000.0,29782000.0,0.0209497226099386,2.0,10166478000.0,-6.39393939393939,3.54417224506552,0.701426562186056,0.764449809865432,0.198702942757363,88.288441851221,0.701426562186056,0.0440469419877868
5,2019,3,2019-09-30 00:00:00+00:00,10668000.0,0.0,0.0,17058154000.0,452970000.0,-11549000.0,0.0,113417511.0,8094534000.0,1330644000.0,0.0,7790232000.0,13618280000.0,1241276000.0,0.0,0.0,6737683000.0,-714463000.0,359706000.0,-911689000.0,-4005000.0,-898633000.0,135570000.0,916458000.0,-306000.0,10935000.0,17061000.0,214745000.0,197226000.0,-113544000.0,150093000.0,390484000.0,0.0,-36003000.0,0.0,-0.44,-47202000.0,-49773000.0,11199000.0,-47202000.0,-999000.0,274034000.0,110534000.0,46203000.0,113417511.0,-0.44,0.0,2571000.0,163500000.0,134571000.0,116450000.0,27930000.0,0.0076174933005023,3.0,8963620000.0,-1.21890547263682,3.44288987262293,0.70178035463681,0.864888619491692,0.142357301878458,79.0320641051627,0.70178035463681,0.0158345839463299
6,2019,2,2019-06-30 00:00:00+00:00,9228000.0,0.0,0.0,16039470000.0,238225000.0,-11134000.0,0.0,112935703.0,7628001000.0,1392016000.0,0.0,7629020000.0,12872824000.0,1157417000.0,0.0,0.0,6356205000.0,-461335000.0,512465000.0,-632945000.0,-43316000.0,-717904000.0,134437000.0,468412000.0,302000.0,11437000.0,-41143000.0,-77580000.0,171610000.0,-109572000.0,85394000.0,373856000.0,0.0,87179000.0,0.0,0.68,78767000.0,76330000.0,8412000.0,78767000.0,121646000.0,268167000.0,107296000.0,42879000.0,112935703.0,0.68,0.0,2437000.0,160871000.0,256083000.0,105689000.0,26434000.0,0.0252134299840383,5.0,8411469000.0,0.333333333333333,3.31034376259207,0.717300243944192,0.8331614021198,0.150205824621424,74.4801579709474,0.717300243944192,0.0515152066390245
7,2019,1,2019-03-31 00:00:00+00:00,9645000.0,0.0,0.0,15480206000.0,315805000.0,-10712000.0,0.0,112728422.0,7125292000.0,1291309000.0,0.0,7566577000.0,12410350000.0,1171377000.0,0.0,0.0,5843503000.0,-522677000.0,344866000.0,-659407000.0,-52634000.0,-734333000.0,134087000.0,640806000.0,472000.0,11029000.0,-22792000.0,43675000.0,136730000.0,-109342000.0,0.0,358842000.0,0.0,136818000.0,0.0,1.11,129159000.0,123598000.0,7659000.0,129159000.0,168259000.0,257341000.0,98577000.0,39100000.0,112728422.0,1.11,0.0,5561000.0,158764000.0,302346000.0,101501000.0,24677000.0,0.0246094808112306,5.0,8354914000.0,-0.165413533834586,3.1832433527722,0.717142920839812,0.772278270610343,0.120894361511718,74.1154169620151,0.717142920839812,0.0502030572712363
8,2018,4,2018-12-31 00:00:00+00:00,9798000.0,0.0,0.0,14464956000.0,272130000.0,-10435000.0,0.0,107526601.0,6570242000.0,1129771000.0,0.0,7341965000.0,11913693000.0,981707000.0,0.0,0.0,5478255000.0,-182954000.0,-206733000.0,-339205000.0,-38507000.0,-397611000.0,124990000.0,280627000.0,-1017000.0,9810000.0,-15399000.0,38250000.0,156251000.0,-100000000.0,596769000.0,340463000.0,0.0,-18631000.0,0.0,-0.33,-24684000.0,-30098000.0,6053000.0,-24684000.0,15555000.0,242781000.0,95406000.0,40239000.0,107526601.0,-0.33,0.0,5414000.0,147375000.0,140545000.0,97682000.0,22385000.0,0.0264399758430283,6.0,7894714000.0,-1.84615384615385,3.16631416629639,0.713090702954506,0.746156512595742,0.139468725630959,73.4210318802879,0.713090702954506,0.054074822869953
10,2018,3,2018-09-30 00:00:00+00:00,11041000.0,0.0,0.0,14105566000.0,233880000.0,-3811000.0,0.0,105757371.0,6692182000.0,1155326000.0,0.0,6872783000.0,11587312000.0,907094000.0,0.0,0.0,5684004000.0,-329183000.0,69747000.0,-485030000.0,35577000.0,-495250000.0,119600000.0,251320000.0,122000.0,9986000.0,-42797000.0,-87961000.0,155847000.0,-97592000.0,296325000.0,341823000.0,0.0,219359000.0,0.0,1.99,213636000.0,208940000.0,5723000.0,213636000.0,255880000.0,242064000.0,99804000.0,42244000.0,105757371.0,2.01,0.0,4696000.0,142260000.0,375480000.0,99759000.0,22660000.0,0.0327172648097685,4.0,7413384000.0,2.65454545454545,3.2321435070469,0.708155975460984,0.827030913095903,0.197823877772716,70.0980360035614,0.708155975460984,0.0675378481889927
11,2018,2,2018-06-30 00:00:00+00:00,8704000.0,0.0,0.0,13562190000.0,321841000.0,-2485000.0,0.0,102982599.0,6562055000.0,983725000.0,0.0,6460461000.0,11190771000.0,849274000.0,0.0,0.0,5614105000.0,-481043000.0,410250000.0,-610363000.0,-22161000.0,-670861000.0,118852000.0,605167000.0,-767000.0,7975000.0,-43837000.0,62859000.0,129320000.0,-91980000.0,300838000.0,325034000.0,0.0,60547000.0,0.0,0.51,54730000.0,52016000.0,5817000.0,54730000.0,92827000.0,233126000.0,85024000.0,38097000.0,102982599.0,0.51,0.0,2714000.0,148102000.0,211679000.0,91908000.0,22939000.0,0.021786328298902,5.0,7000135000.0,0.457142857142857,3.15620311738297,0.717235735338457,0.868994488164235,0.190343478881853,67.9739593676403,0.717235735338457,0.0453957142715545
