,year,quarter,date,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,2,2020-11-30 00:00:00+00:00,6627000000.0,46938000000.0,46251000000.0,110014000000.0,7251000000.0,101398000000.0,3401000000.0,63763000000.0,-17095000000.0,12214000000.0,0.0,80051000000.0,70782000000.0,10592000000.0,724000000.0,0.0,63531000000.0,21347000000.0,7917000000.0,10592000000.0,4423000000.0,28001000000.0,-1286000000.0,8062000000.0,0.0,3007161000.0,-4554000000.0,39000000.0,4420000000.0,725000000.0,3852000000.0,-717000000.0,488000000.0,-3854000000.0,0.0,-568000000.0,1388000000.0,0.0,820000000.0,731000000.0,2442000000.0,7861000000.0,2977000000.0,2442000000.0,3583000000.0,0.82,4278000000.0,3046000000.0,600000000.0,1939000000.0,0.0,0.8,0.0,9800000000.0,2160000000.0,1601000000.0,0.0,530000000.0,2972000000.0,3572000000.0,4303000000.0,2442000000.0,0.0952944902708732,0.019346785937175,8616000000.0,2.16662762917506,0.154929577464789,0.802142857142857,3.25888770172265,8.02463054187192,0.802142857142857,2.86516086102473,4.0,0.949744950476931
1,2021,1,2020-08-31 00:00:00+00:00,6401000000.0,47272000000.0,49939000000.0,113546000000.0,2997000000.0,103406000000.0,3152000000.0,63607000000.0,-15410000000.0,12690000000.0,0.0,84658000000.0,70766000000.0,15003000000.0,534000000.0,0.0,67769000000.0,18748000000.0,9491000000.0,15003000000.0,4576000000.0,27276000000.0,-1337000000.0,9875000000.0,0.0,3068682000.0,-6493000000.0,232000000.0,-9219000000.0,-9963000000.0,-9655000000.0,-730000000.0,428000000.0,-4856000000.0,0.0,-436000000.0,5953000000.0,-1000000000.0,5517000000.0,701000000.0,2251000000.0,7487000000.0,3041000000.0,2251000000.0,3211000000.0,0.74,4276000000.0,3107000000.0,614000000.0,1880000000.0,0.0,0.72,0.0,9367000000.0,2149000000.0,1589000000.0,0.0,344000000.0,2595000000.0,3209000000.0,3910000000.0,2251000000.0,0.096658815318852,0.0161640269038836,10140000000.0,2.66369746106251,0.15625,0.799295398740258,3.05245053087938,7.14034348329997,0.799295398740258,3.30435020637525,6.0,0.798162101123377
2,2020,4,2020-05-31 00:00:00+00:00,6244000000.0,47507000000.0,52140000000.0,115438000000.0,2371000000.0,102721000000.0,3252000000.0,63298000000.0,-12696000000.0,12463000000.0,0.0,85521000000.0,71597000000.0,5818000000.0,637000000.0,0.0,69226000000.0,17200000000.0,12074000000.0,5818000000.0,5551000000.0,37239000000.0,-1716000000.0,8002000000.0,0.0,3153584000.0,14133000000.0,-81000000.0,-3810000000.0,13410000000.0,-4256000000.0,-740000000.0,386000000.0,-4990000000.0,-13000000.0,-433000000.0,3614000000.0,19888000000.0,3181000000.0,722000000.0,3116000000.0,8470000000.0,3091000000.0,3116000000.0,4308000000.0,1.0,4162000000.0,3165000000.0,579000000.0,1969000000.0,0.0,0.98,0.0,10439000000.0,2237000000.0,1479000000.0,0.0,580000000.0,3696000000.0,4275000000.0,4997000000.0,3116000000.0,0.0972616082953068,-0.0626739696507138,12717000000.0,3.03139534883721,-0.0654205607476636,0.811380400421496,3.31020197971578,5.73347689249627,0.811380400421496,4.03255470601068,7.0,0.672249398888981
4,2020,3,2020-02-29 00:00:00+00:00,6248000000.0,47869000000.0,33442000000.0,96704000000.0,2355000000.0,81823000000.0,2883000000.0,63262000000.0,-10771000000.0,13168000000.0,0.0,66083000000.0,51675000000.0,2029000000.0,533000000.0,0.0,49320000000.0,15740000000.0,14235000000.0,2029000000.0,4162000000.0,23829000000.0,-1679000000.0,7814000000.0,0.0,3207649000.0,-4169000000.0,-34000000.0,876000000.0,-711000000.0,480000000.0,-768000000.0,361000000.0,-3389000000.0,0.0,-396000000.0,3012000000.0,0.0,2616000000.0,748000000.0,2571000000.0,7832000000.0,3190000000.0,2571000000.0,3528000000.0,0.81,4304000000.0,3271000000.0,456000000.0,1964000000.0,0.0,0.79,0.0,9796000000.0,2337000000.0,1500000000.0,0.0,505000000.0,3076000000.0,3532000000.0,4280000000.0,2571000000.0,0.104944096955509,0.0189307260245475,14881000000.0,2.12465057179161,0.0384615384615385,0.799510004083299,3.05395010488991,3.46469968387777,0.799510004083299,4.63922330654009,7.0,0.614659506398538
5,2020,2,2019-11-30 00:00:00+00:00,6270000000.0,48302000000.0,34540000000.0,98443000000.0,999000000.0,82258000000.0,2751000000.0,63903000000.0,-9174000000.0,13042000000.0,0.0,67666000000.0,51669000000.0,2904000000.0,534000000.0,0.0,50670000000.0,14592000000.0,15563000000.0,2904000000.0,4050000000.0,24540000000.0,-1637000000.0,8087000000.0,0.0,3288330000.0,-8294000000.0,5000000.0,1691000000.0,-6543000000.0,1233000000.0,-767000000.0,397000000.0,-4735000000.0,-109000000.0,-349000000.0,513000000.0,-2750000000.0,164000000.0,748000000.0,2311000000.0,7566000000.0,3245000000.0,2311000000.0,3183000000.0,0.71,4383000000.0,3331000000.0,465000000.0,2048000000.0,0.0,0.69,0.0,9614000000.0,2391000000.0,1531000000.0,0.0,499000000.0,2810000000.0,3275000000.0,4023000000.0,2311000000.0,0.103429599899721,0.0054381928466849,16185000000.0,2.36705043859649,0.126984126984127,0.786977324734762,2.92367250245565,3.25579901047356,0.786977324734762,4.92195126401547,5.0,0.550122649223222
6,2020,1,2019-08-31 00:00:00+00:00,6264000000.0,48594000000.0,42384000000.0,106229000000.0,3748000000.0,87210000000.0,2654000000.0,63845000000.0,-6446000000.0,13501000000.0,0.0,68335000000.0,54440000000.0,4621000000.0,486000000.0,0.0,50692000000.0,18875000000.0,18433000000.0,4621000000.0,3820000000.0,31083000000.0,-1571000000.0,10089000000.0,0.0,3335819000.0,-7802000000.0,-15000000.0,12774000000.0,10569000000.0,12386000000.0,-795000000.0,446000000.0,-5203000000.0,-2000000.0,-386000000.0,6000000000.0,-1750000000.0,5614000000.0,750000000.0,2137000000.0,7261000000.0,3317000000.0,2137000000.0,2877000000.0,0.64,4384000000.0,3410000000.0,494000000.0,1957000000.0,0.0,0.63,0.0,9218000000.0,2310000000.0,1557000000.0,0.0,345000000.0,2482000000.0,2976000000.0,3726000000.0,2137000000.0,0.0989848518389678,0.00271946045904503,19019000000.0,2.24550993377483,0.103448275862069,0.787697982208722,2.76333937782596,2.75006781316118,0.787697982208722,5.70144842990582,6.0,0.463684076864471
7,2019,4,2019-05-31 00:00:00+00:00,6252000000.0,49058000000.0,46386000000.0,108709000000.0,4494000000.0,86346000000.0,2696000000.0,62323000000.0,-3496000000.0,13295000000.0,0.0,67716000000.0,56167000000.0,17313000000.0,580000000.0,0.0,51673000000.0,18630000000.0,21785000000.0,17313000000.0,5134000000.0,20514000000.0,-1628000000.0,8374000000.0,0.0,3417654000.0,-6461000000.0,-73000000.0,8352000000.0,5794000000.0,7906000000.0,-806000000.0,394000000.0,-5614000000.0,-33000000.0,-413000000.0,4422000000.0,0.0,4009000000.0,754000000.0,3740000000.0,9074000000.0,3388000000.0,3740000000.0,4257000000.0,1.07,4817000000.0,3495000000.0,525000000.0,2063000000.0,0.0,1.04,0.0,11137000000.0,2648000000.0,1562000000.0,0.0,126000000.0,3866000000.0,4391000000.0,5145000000.0,3740000000.0,0.095373938036629,0.0111676048665335,22363000000.0,2.48985507246377,0.3375,0.81476160545928,3.25866808050201,2.37195317879275,0.81476160545928,6.54337741620421,7.0,0.388407016068268
9,2019,3,2019-02-28 00:00:00+00:00,6197000000.0,49454000000.0,47617000000.0,109438000000.0,4487000000.0,85200000000.0,2033000000.0,61821000000.0,-1284000000.0,13208000000.0,0.0,67214000000.0,56159000000.0,25310000000.0,603000000.0,0.0,51672000000.0,17986000000.0,23714000000.0,25310000000.0,3993000000.0,14720000000.0,-1734000000.0,8007000000.0,0.0,3588919000.0,-12239000000.0,75000000.0,13659000000.0,3896000000.0,13199000000.0,-670000000.0,427000000.0,-9551000000.0,-17000000.0,-443000000.0,2861000000.0,-2000000000.0,2418000000.0,741000000.0,2745000000.0,7638000000.0,3526000000.0,2745000000.0,3399000000.0,0.78,4239000000.0,3617000000.0,509000000.0,1976000000.0,0.0,0.76,0.0,9614000000.0,2367000000.0,1426000000.0,0.0,343000000.0,3088000000.0,3597000000.0,4338000000.0,2745000000.0,0.0859898980697013,-0.00640760644894589,24238000000.0,2.64744801512287,-1.79591836734694,0.794466403162055,2.67880105402212,2.17896601163869,0.794466403162055,6.75356562797879,7.0,0.306188502432871
10,2019,2,2018-11-30 00:00:00+00:00,6003000000.0,49881000000.0,56938000000.0,118318000000.0,6477000000.0,87263000000.0,1482000000.0,61380000000.0,5107000000.0,13001000000.0,0.0,66948000000.0,58038000000.0,38567000000.0,587000000.0,0.0,51561000000.0,20315000000.0,30572000000.0,38567000000.0,3975000000.0,10824000000.0,-1965000000.0,8246000000.0,0.0,3787960000.0,-10023000000.0,-74000000.0,2604000000.0,-7631000000.0,1920000000.0,-714000000.0,396000000.0,-9268000000.0,-263000000.0,-421000000.0,546000000.0,0.0,125000000.0,704000000.0,2333000000.0,7561000000.0,3720000000.0,2333000000.0,3101000000.0,0.63,4460000000.0,3817000000.0,519000000.0,2001000000.0,0.0,0.61,0.0,9562000000.0,2400000000.0,1475000000.0,0.0,441000000.0,2774000000.0,3293000000.0,3997000000.0,2333000000.0,0.0292848288211077,-0.00281572635311289,31055000000.0,2.80275658380507,0.188679245283019,0.790734156034302,2.52431387871044,1.68654324218239,0.790734156034302,8.19834422749976,4.0,0.094029484029484
11,2019,1,2018-08-31 00:00:00+00:00,5918000000.0,49997000000.0,67009000000.0,128358000000.0,3743000000.0,89794000000.0,1433000000.0,61349000000.0,12022000000.0,13513000000.0,0.0,70232000000.0,58129000000.0,41639000000.0,527000000.0,0.0,54386000000.0,19562000000.0,38067000000.0,41639000000.0,3729000000.0,18455000000.0,-1766000000.0,10349000000.0,0.0,3981155000.0,-13333000000.0,-86000000.0,3965000000.0,-3165000000.0,3532000000.0,-742000000.0,436000000.0,-10055000000.0,-50000000.0,-383000000.0,6722000000.0,-2500000000.0,6339000000.0,720000000.0,2265000000.0,7240000000.0,3904000000.0,2265000000.0,2778000000.0,0.58,4462000000.0,3999000000.0,529000000.0,1953000000.0,0.0,0.57,0.0,9193000000.0,2360000000.0,1564000000.0,0.0,275000000.0,2540000000.0,3069000000.0,3789000000.0,2265000000.0,0.0273062676279337,0.00977592267135319,38564000000.0,3.4254677435845,0.115384615384615,0.78755574893941,2.30912888345216,1.42869151758741,0.78755574893941,9.68663616463062,4.0,0.0788533514800953
