,date,quarter,year,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,14437000000.0,0.0,238000000.0,0.0,10468000000.0,8971000000.0,886000000.0,17372000000.0,913000000.0,765000000.0,79464000000.0,0.0,466000000.0,52772000000.0,7850000000.0,60844000000.0,280444197.0,10408000000.0,218000000.0,-187000000.0,-17000000.0,145000000.0,5000000.0,-144000000.0,-783000000.0,-604000000.0,0.0,851000000.0,359000000.0,0.0,36000000.0,707000000.0,139000000.0,876000000.0,160000000.0,297000000.0,0.0,2269000000.0,279490000.0,320000000.0,1196000000.0,297000000.0,0.5,21000000.0,3465000000.0,23000000.0,0.0,139000000.0,137000000.0,0.0,0.5,279400000.0,162000000.0,876000000.0,-0.0139135879774577,4.0,18620000000.0,1.08333333333333,12.3553991741181,0.345165945165945,0.599125028781948,-0.0571428571428572,66.394670309402,0.345165945165945,-0.0628918356660676
1,2020-06-30 00:00:00+00:00,2,2020,14316000000.0,0.0,5000000.0,0.0,10475000000.0,8848000000.0,668000000.0,17204000000.0,875000000.0,764000000.0,78439000000.0,0.0,985000000.0,51486000000.0,8431000000.0,60026000000.0,281430472.0,10005000000.0,-271000000.0,-33000000.0,-18000000.0,366000000.0,4000000.0,-207000000.0,-752000000.0,-79000000.0,0.0,111000000.0,446000000.0,0.0,-472000000.0,-96000000.0,-835000000.0,992000000.0,-1063000000.0,-940000000.0,0.0,2269000000.0,281480000.0,-951000000.0,41000000.0,-940000000.0,-2.96,-228000000.0,2310000000.0,-11000000.0,0.0,-835000000.0,123000000.0,0.0,-2.96,281480000.0,-846000000.0,992000000.0,-0.0146137981298556,4.0,18413000000.0,-4.60975609756098,8.20806639588054,0.0177489177489178,0.581550802139037,-0.362406845155948,65.4264617088088,0.0177489177489178,-0.0648062825784979
2,2020-03-31 00:00:00+00:00,1,2020,15167000000.0,0.0,-1093000000.0,0.0,14751000000.0,8593000000.0,939000000.0,16966000000.0,858000000.0,763000000.0,79254000000.0,0.0,249000000.0,47842000000.0,8136000000.0,60076000000.0,287770405.0,11968000000.0,603000000.0,-458000000.0,-18000000.0,-144000000.0,-9000000.0,-233000000.0,427000000.0,813000000.0,0.0,329000000.0,431000000.0,0.0,0.0,96000000.0,-632000000.0,2026000000.0,-709000000.0,-565000000.0,0.0,2050000000.0,287040000.0,-977000000.0,1049000000.0,-565000000.0,-2.2,-77000000.0,3099000000.0,-412000000.0,0.0,-632000000.0,144000000.0,0.0,-2.2,287040000.0,-1044000000.0,2026000000.0,-0.00115240917881651,3.0,19178000000.0,-2.73228346456693,10.7690017672248,0.338496289125524,0.705410821643287,-0.17513973915358,66.6434062251815,0.338496289125524,-0.00501206361055199
3,2019-12-31 00:00:00+00:00,4,2019,15823000000.0,0.0,-68000000.0,0.0,15568000000.0,8362000000.0,336000000.0,19119000000.0,1168000000.0,767000000.0,82243000000.0,0.0,108000000.0,51250000000.0,7675000000.0,60313000000.0,297438996.0,11533000000.0,-106000000.0,-408000000.0,-19000000.0,-397000000.0,8000000.0,-298000000.0,-187000000.0,191000000.0,943000000.0,470000000.0,46000000.0,0.0,3000000.0,172000000.0,217000000.0,1336000000.0,282000000.0,1367000000.0,0.0,2122000000.0,296210000.0,418000000.0,1754000000.0,424000000.0,0.74,65000000.0,3876000000.0,-6000000.0,0.0,217000000.0,142000000.0,0.0,0.73,295560000.0,211000000.0,1336000000.0,0.0113843184677587,8.0,21930000000.0,-2.45098039215686,13.0312435562417,0.452528379772962,0.603221925832941,0.179190751445087,73.7294043313675,0.452528379772962,0.0483590608379816
5,2019-09-30 00:00:00+00:00,3,2019,16427000000.0,0.0,17000000.0,0.0,15561000000.0,8315000000.0,442000000.0,19420000000.0,1141000000.0,772000000.0,82499000000.0,0.0,242000000.0,51387000000.0,7622000000.0,60241000000.0,302380038.0,11482000000.0,2000000.0,-165000000.0,-19000000.0,-262000000.0,-5000000.0,-238000000.0,-528000000.0,-288000000.0,0.0,797000000.0,-66000000.0,0.0,0.0,559000000.0,72000000.0,1234000000.0,93000000.0,237000000.0,0.0,2237000000.0,302350000.0,204000000.0,1438000000.0,237000000.0,0.24,21000000.0,3675000000.0,-33000000.0,0.0,72000000.0,144000000.0,0.0,0.24,301650000.0,39000000.0,1234000000.0,0.00679975644508733,7.0,22258000000.0,-0.727272727272727,12.1535800587471,0.391292517006803,0.59124613800206,0.018569844789357,73.6093564483248,0.391292517006803,0.0287623056910144
6,2019-06-30 00:00:00+00:00,2,2019,16374000000.0,0.0,3000000.0,0.0,15513000000.0,8243000000.0,440000000.0,19514000000.0,1227000000.0,768000000.0,82277000000.0,0.0,576000000.0,50740000000.0,8144000000.0,59883000000.0,304887983.0,11543000000.0,101000000.0,-161000000.0,-19000000.0,-36000000.0,0.0,-282000000.0,-256000000.0,178000000.0,0.0,393000000.0,158000000.0,0.0,-120000000.0,111000000.0,249000000.0,1231000000.0,299000000.0,463000000.0,0.0,1953000000.0,304540000.0,439000000.0,1670000000.0,463000000.0,0.82,50000000.0,3623000000.0,-24000000.0,0.0,249000000.0,164000000.0,0.0,0.82,303840000.0,225000000.0,1231000000.0,0.00945688579496946,8.0,22394000000.0,0.138888888888889,11.8830527997556,0.460943969086393,0.591524034026852,0.00919220055710301,73.4499266899607,0.460943969086393,0.0397784822614804
7,2019-03-31 00:00:00+00:00,1,2019,16144000000.0,0.0,-390000000.0,0.0,15407000000.0,7894000000.0,339000000.0,19037000000.0,1084000000.0,682000000.0,80449000000.0,0.0,307000000.0,49468000000.0,8012000000.0,58547000000.0,311299326.0,11361000000.0,-66000000.0,-317000000.0,-19000000.0,-449000000.0,2000000.0,-223000000.0,300000000.0,584000000.0,0.0,81000000.0,-18000000.0,0.0,0.0,-142000000.0,394000000.0,1149000000.0,506000000.0,647000000.0,0.0,1959000000.0,310360000.0,649000000.0,1798000000.0,647000000.0,1.27,112000000.0,3757000000.0,2000000.0,0.0,394000000.0,141000000.0,0.0,1.27,309830000.0,396000000.0,1149000000.0,0.00926397294970178,7.0,21902000000.0,0.426966292134831,12.0687701071348,0.478573329784402,0.596785207753322,0.049148282602625,70.3567215561527,0.478573329784402,0.0390888116895171
8,2018-12-31 00:00:00+00:00,4,2018,15773000000.0,0.0,-880000000.0,0.0,15511000000.0,7585000000.0,405000000.0,18518000000.0,841000000.0,665000000.0,78316000000.0,0.0,42000000.0,48186000000.0,7960000000.0,56930000000.0,314190649.0,11376000000.0,-166000000.0,-137000000.0,-20000000.0,-260000000.0,-6000000.0,-264000000.0,-727000000.0,-387000000.0,912000000.0,827000000.0,-91000000.0,0.0,-20000000.0,563000000.0,-165000000.0,1191000000.0,-186000000.0,870000000.0,0.0,2184000000.0,314530000.0,-88000000.0,1103000000.0,-42000000.0,-0.51,-21000000.0,3287000000.0,-46000000.0,0.0,-165000000.0,144000000.0,0.0,-0.5,313810000.0,-211000000.0,1191000000.0,0.00798596178415929,4.0,21386000000.0,-1.35664335664336,10.461800853914,0.335564344386979,0.614321200993628,-0.0753867791842475,68.0669525591132,0.335564344386979,0.0339593928957591
10,2018-09-30 00:00:00+00:00,3,2018,16790000000.0,0.0,-758000000.0,0.0,15467000000.0,4289000000.0,571000000.0,18952000000.0,911000000.0,657000000.0,78725000000.0,0.0,217000000.0,48695000000.0,7836000000.0,56839000000.0,315982102.0,11460000000.0,118000000.0,-90000000.0,-20000000.0,-1647000000.0,1000000.0,-251000000.0,520000000.0,695000000.0,0.0,1244000000.0,-15000000.0,0.0,104000000.0,993000000.0,278000000.0,1224000000.0,343000000.0,489000000.0,0.0,1884000000.0,316810000.0,500000000.0,1724000000.0,489000000.0,0.88,65000000.0,3608000000.0,11000000.0,0.0,278000000.0,146000000.0,0.0,0.88,315900000.0,289000000.0,1224000000.0,0.0160335679378668,7.0,21886000000.0,0.913043478260869,11.4183682466927,0.477827050997783,0.604685521317011,0.0247088895200227,69.2634166982027,0.477827050997783,0.0678315850738766
11,2018-06-30 00:00:00+00:00,2,2018,16532000000.0,0.0,-625000000.0,0.0,15471000000.0,4410000000.0,453000000.0,18911000000.0,879000000.0,658000000.0,80732000000.0,0.0,311000000.0,50469000000.0,8217000000.0,58874000000.0,319322226.0,11471000000.0,2000000.0,-302000000.0,-20000000.0,-337000000.0,-6000000.0,-250000000.0,-1293000000.0,-1002000000.0,0.0,1638000000.0,-2000000.0,0.0,-8000000.0,1388000000.0,230000000.0,1229000000.0,289000000.0,432000000.0,0.0,1911000000.0,319780000.0,450000000.0,1679000000.0,432000000.0,0.72,59000000.0,3590000000.0,18000000.0,0.0,230000000.0,143000000.0,0.0,0.72,318870000.0,248000000.0,1229000000.0,0.0144839394818343,4.0,21858000000.0,0.0434782608695652,11.2425622386836,0.467688022284123,0.60657818201047,0.0687704674010121,68.4512327056119,0.467688022284123,0.0613733678701697
