,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-27 00:00:00+00:00,21568000000.0,12927000000.0,7700000000.0,3628000000.0,10506000000.0,503000000.0,345000000.0,11062000000.0,7218000000.0,3470000000.0,15118000000.0,0.0,4087000000.0,3609000000.0,1763000000.0,0.0,2597000000.0,2967000000.0,1377000000.0,147675521.0,1418000000.0,2278000000.0,-2107000000.0,5709000000.0,4112000000.0,0.0,10000000.0,274000000.0,0.0,104000000.0,1216000000.0,-128000000.0,24000000.0,-13000000.0,1223000000.0,-103000000.0,1095000000.0,166000000.0,-8000000.0,-194000000.0,609000000.0,3.39,0.0,533000000.0,501000000.0,708000000.0,5118000000.0,147900000.0,3.36,25000000.0,501000000.0,3000000.0,874000000.0,224000000.0,0.0,3769000000.0,504000000.0,1349000000.0,148900000.0,740000000.0,182000000.0,683000000.0,6.0,-0.112690707350901,0.26357952325127,1.93764231914521,8641000000.0,0.26357952325127,34.6570641182976,-0.150375939849624,0.468701298701299,0.215563172362304,58.5134214627216,0.0777526164391946
1,2020,2,2020-06-28 00:00:00+00:00,20314000000.0,12184000000.0,7192000000.0,3441000000.0,10480000000.0,2202000000.0,353000000.0,9834000000.0,5268000000.0,3655000000.0,14811000000.0,0.0,4067000000.0,1639000000.0,1715000000.0,0.0,2281000000.0,1751000000.0,1352000000.0,147526086.0,1362000000.0,2301000000.0,-2242000000.0,6916000000.0,3841000000.0,0.0,8000000.0,374000000.0,0.0,226000000.0,60000000.0,-90000000.0,-38000000.0,-10000000.0,-22000000.0,-135000000.0,-112000000.0,165000000.0,-9000000.0,-193000000.0,266000000.0,1.87,0.0,470000000.0,276000000.0,392000000.0,3852000000.0,147600000.0,1.86,23000000.0,276000000.0,-7000000.0,557000000.0,189000000.0,0.0,2962000000.0,269000000.0,890000000.0,148000000.0,624000000.0,93000000.0,369000000.0,2.0,-0.380806944221186,0.231048805815161,1.42192018507808,8130000000.0,0.231048805815161,26.1106364605918,-0.564102564102564,0.227892102335929,0.231125536734625,55.1088978257039,0.0849477464491196
2,2020,1,2020-03-29 00:00:00+00:00,20076000000.0,12058000000.0,7068000000.0,3505000000.0,10286000000.0,1771000000.0,339000000.0,9790000000.0,5076000000.0,3579000000.0,14728000000.0,0.0,4128000000.0,1580000000.0,1643000000.0,0.0,2648000000.0,1691000000.0,1364000000.0,150269665.0,1304000000.0,2248000000.0,-2250000000.0,6982000000.0,3351000000.0,0.0,4000000.0,972000000.0,-550000000.0,234000000.0,562000000.0,-83000000.0,-15000000.0,-7000000.0,379000000.0,-99000000.0,296000000.0,168000000.0,48000000.0,-195000000.0,542000000.0,3.42,0.0,546000000.0,511000000.0,661000000.0,5011000000.0,149300000.0,3.41,23000000.0,511000000.0,17000000.0,829000000.0,238000000.0,0.0,3717000000.0,528000000.0,1294000000.0,149700000.0,752000000.0,127000000.0,638000000.0,4.0,-0.165389740173218,0.258231889842347,1.40217702663993,8018000000.0,0.258231889842347,33.3467170503109,-0.18957345971564,0.22354272778721,0.27498940090663,53.3574091617227,0.104858667130937
3,2019,4,2019-12-31 00:00:00+00:00,19737000000.0,11272000000.0,7507000000.0,3670000000.0,10350000000.0,791000000.0,341000000.0,9387000000.0,5012000000.0,3486000000.0,14416000000.0,0.0,4245000000.0,1576000000.0,1578000000.0,0.0,2534000000.0,1129000000.0,1354000000.0,153203601.0,1237000000.0,2289000000.0,-2028000000.0,6260000000.0,2367000000.0,0.0,12000000.0,-291000000.0,-465000000.0,-897000000.0,-431000000.0,-307000000.0,7000000.0,-4000000.0,838000000.0,-321000000.0,531000000.0,179000000.0,-51000000.0,-199000000.0,303000000.0,2.04,0.0,632000000.0,300000000.0,387000000.0,5578000000.0,153203601.0,2.03,22000000.0,300000000.0,-2000000.0,566000000.0,271000000.0,0.0,4265000000.0,298000000.0,1313000000.0,149700000.0,1010000000.0,65000000.0,365000000.0,5.0,-0.089454782892589,0.235389028325565,1.49952076677316,8465000000.0,0.235389028325565,36.4090658678447,-0.43801652892562,0.209937391767684,0.287760623905778,55.2532704502161,0.112742102440667
5,2019,3,2019-09-29 00:00:00+00:00,20346000000.0,11593000000.0,7810000000.0,3934000000.0,10118000000.0,1042000000.0,303000000.0,10228000000.0,4868000000.0,3821000000.0,14315000000.0,0.0,4056000000.0,1619000000.0,1553000000.0,0.0,2830000000.0,1560000000.0,1314000000.0,157786322.0,1250000000.0,2310000000.0,-2040000000.0,6725000000.0,2661000000.0,0.0,9000000.0,444000000.0,-706000000.0,-487000000.0,163000000.0,-169000000.0,-25000000.0,-235000000.0,1123000000.0,-418000000.0,954000000.0,178000000.0,-55000000.0,-204000000.0,699000000.0,3.99,0.0,600000000.0,622000000.0,787000000.0,5768000000.0,155900000.0,3.97,26000000.0,622000000.0,-6000000.0,965000000.0,242000000.0,0.0,4274000000.0,616000000.0,1494000000.0,156600000.0,795000000.0,139000000.0,761000000.0,7.0,-0.0294464075382803,0.259015256588072,1.52089219330855,8753000000.0,0.259015256588072,36.5557668553805,-0.0699300699300699,0.20729833546735,0.324929613514205,55.4737564641376,0.127735573778739
6,2019,2,2019-06-30 00:00:00+00:00,20254000000.0,11058000000.0,8278000000.0,4179000000.0,9804000000.0,599000000.0,335000000.0,10450000000.0,4769000000.0,3896000000.0,13897000000.0,0.0,4077000000.0,1624000000.0,1609000000.0,0.0,2991000000.0,1397000000.0,1231000000.0,157492272.0,1274000000.0,2026000000.0,-1840000000.0,6289000000.0,2223000000.0,0.0,19000000.0,-240000000.0,0.0,-364000000.0,69000000.0,-147000000.0,-169000000.0,-8000000.0,808000000.0,-340000000.0,661000000.0,158000000.0,-35000000.0,-179000000.0,792000000.0,4.29,0.0,629000000.0,675000000.0,890000000.0,6221000000.0,157400000.0,4.27,29000000.0,675000000.0,10000000.0,1048000000.0,251000000.0,0.0,4580000000.0,685000000.0,1641000000.0,158000000.0,849000000.0,186000000.0,861000000.0,8.0,0.0145140247879973,0.263783957563093,1.66163141993958,9196000000.0,0.263783957563093,39.500350848961,0.288288288288288,0.19618265281469,0.340633874073832,58.3901665981427,0.133531233206234
7,2019,1,2019-03-31 00:00:00+00:00,19846000000.0,11119000000.0,7820000000.0,4025000000.0,9755000000.0,816000000.0,246000000.0,10091000000.0,4692000000.0,3893000000.0,13401000000.0,0.0,4066000000.0,1605000000.0,1549000000.0,0.0,3018000000.0,1328000000.0,1206000000.0,157338874.0,1303000000.0,2020000000.0,-1739000000.0,6427000000.0,2421000000.0,0.0,9000000.0,-66000000.0,-100000000.0,-347000000.0,25000000.0,-129000000.0,37000000.0,-10000000.0,412000000.0,-71000000.0,283000000.0,157000000.0,31000000.0,-179000000.0,773000000.0,4.22,0.0,593000000.0,663000000.0,871000000.0,6004000000.0,157200000.0,4.2,32000000.0,663000000.0,6000000.0,1028000000.0,237000000.0,0.0,4472000000.0,669000000.0,1532000000.0,157700000.0,759000000.0,176000000.0,839000000.0,7.0,0.0779174147217234,0.255163224516989,1.57009491208962,8727000000.0,0.255163224516989,38.1596731142235,1.14213197969543,0.205242966751918,0.334344864791962,55.4662670332826,0.129089370565645
8,2018,4,2018-12-31 00:00:00+00:00,19062000000.0,10803000000.0,7348000000.0,3866000000.0,9244000000.0,879000000.0,222000000.0,9818000000.0,4419000000.0,3759000000.0,12917000000.0,0.0,4096000000.0,1597000000.0,1444000000.0,0.0,2822000000.0,1303000000.0,1156000000.0,160561303.0,1222000000.0,2035000000.0,-1807000000.0,6384000000.0,2476000000.0,0.0,15000000.0,-36000000.0,-261000000.0,-440000000.0,81000000.0,-348000000.0,-65000000.0,-28000000.0,990000000.0,-455000000.0,642000000.0,155000000.0,-14000000.0,-181000000.0,654000000.0,3.63,0.0,643000000.0,579000000.0,711000000.0,6126000000.0,160561303.0,3.62,32000000.0,579000000.0,31000000.0,866000000.0,244000000.0,0.0,4580000000.0,610000000.0,1546000000.0,157700000.0,892000000.0,100000000.0,679000000.0,8.0,0.118699780861943,0.252366960496246,1.53790726817043,8259000000.0,0.252366960496246,38.1536515059298,-3.22699386503067,0.217338051170386,0.292966611932129,51.4382970596595,0.11363968100211
10,2018,3,2018-09-30 00:00:00+00:00,18992000000.0,10932000000.0,7191000000.0,3929000000.0,9129000000.0,902000000.0,185000000.0,9863000000.0,4516000000.0,3831000000.0,12519000000.0,0.0,3870000000.0,1563000000.0,1440000000.0,0.0,2980000000.0,1222000000.0,500000000.0,163311209.0,1255000000.0,2060000000.0,-1799000000.0,6416000000.0,2465000000.0,0.0,10000000.0,-13000000.0,-500000000.0,-707000000.0,-96000000.0,-195000000.0,-38000000.0,-64000000.0,915000000.0,-283000000.0,720000000.0,148000000.0,-21000000.0,-182000000.0,736000000.0,4.29,0.0,604000000.0,692000000.0,829000000.0,5943000000.0,161300000.0,4.28,30000000.0,692000000.0,6000000.0,977000000.0,229000000.0,0.0,4392000000.0,698000000.0,1551000000.0,161800000.0,815000000.0,107000000.0,799000000.0,7.0,0.124503311258278,0.26097930338213,1.5372506234414,8060000000.0,0.26097930338213,36.3906435840543,0.577205882352941,0.21735502711723,0.176783447139965,49.3536239756819,0.0692715196170705
11,2018,2,2018-07-01 00:00:00+00:00,18915000000.0,10721000000.0,7299000000.0,4095000000.0,9080000000.0,906000000.0,214000000.0,9835000000.0,4617000000.0,3559000000.0,12009000000.0,0.0,3824000000.0,1556000000.0,1517000000.0,0.0,2981000000.0,1318000000.0,479000000.0,164772900.0,1303000000.0,2019000000.0,-1667000000.0,6104000000.0,2462000000.0,0.0,19000000.0,191000000.0,-216000000.0,-201000000.0,111000000.0,-134000000.0,-78000000.0,1000000.0,590000000.0,-200000000.0,456000000.0,154000000.0,-78000000.0,-177000000.0,623000000.0,3.33,0.0,613000000.0,545000000.0,734000000.0,6132000000.0,163800000.0,3.32,28000000.0,545000000.0,9000000.0,888000000.0,219000000.0,0.0,4692000000.0,554000000.0,1440000000.0,164300000.0,817000000.0,161000000.0,706000000.0,7.0,0.20756203229618,0.234833659491194,1.61123853211009,8194000000.0,0.234833659491194,37.2148575402873,0.316205533596838,0.213179887655843,0.141847807714411,49.7290513185117,0.057186469321558
