,date,quarter,year,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,23128000000.0,197513000000.0,-111000000.0,0.0,2193000000.0,0.0,80815000000.0,25558000000.0,0.0,9477000000.0,272075000000.0,0.0,0.0,144238000000.0,3291000000.0,246517000000.0,352383250.0,26940000000.0,1163000000.0,-14000000.0,-221000000.0,-5791000000.0,0.0,-153000000.0,12173000000.0,12112000000.0,-1361000000.0,-5219000000.0,-2607000000.0,0.0,0.0,-5372000000.0,517000000.0,1171000000.0,643000000.0,-718000000.0,0.0,0.0,357168000.0,681000000.0,2784000000.0,643000000.0,1.47,126000000.0,2784000000.0,38000000.0,0.0,517000000.0,0.0,0.0,1.45,352586000.0,555000000.0,2103000000.0,0.00775903224082988,2.0,25558000000.0,0.0208333333333333,7.90048902721682,1.0,1.05407308866108,-0.0409920771615571,72.5289865508647,1.0,0.0912046838122828
1,2020-06-30 00:00:00+00:00,2,2020,22794000000.0,200462000000.0,-430000000.0,0.0,2212000000.0,0.0,93884000000.0,24873000000.0,0.0,9452000000.0,280242000000.0,0.0,0.0,140964000000.0,3235000000.0,255369000000.0,351956390.0,31273000000.0,-1247000000.0,-9000000.0,-215000000.0,-77061000000.0,0.0,-157000000.0,74478000000.0,74454000000.0,294000000.0,1336000000.0,-20195000000.0,0.0,0.0,1179000000.0,662000000.0,1160000000.0,771000000.0,1065000000.0,0.0,0.0,356413000.0,855000000.0,2937000000.0,771000000.0,1.88,109000000.0,2937000000.0,32000000.0,0.0,662000000.0,0.0,0.0,1.86,352157000.0,694000000.0,2082000000.0,0.00798598392741298,4.0,24873000000.0,0.305555555555556,8.34478385234034,1.0,1.25730712017047,0.022276366167769,70.6706873541918,1.0,0.091975521987517
2,2020-03-31 00:00:00+00:00,1,2020,22315000000.0,257104000000.0,-920000000.0,0.0,2225000000.0,0.0,152667000000.0,23861000000.0,0.0,9469000000.0,362527000000.0,0.0,0.0,157992000000.0,3274000000.0,338666000000.0,354342408.0,51411000000.0,1630000000.0,-558000000.0,-230000000.0,110364000000.0,0.0,-114000000.0,-112773000000.0,-113300000000.0,274000000.0,4039000000.0,36421000000.0,0.0,0.0,3925000000.0,580000000.0,1317000000.0,720000000.0,994000000.0,0.0,0.0,357993000.0,810000000.0,3065000000.0,720000000.0,1.64,140000000.0,3065000000.0,54000000.0,0.0,580000000.0,0.0,0.0,1.62,353746000.0,634000000.0,2255000000.0,0.00781150762645495,4.0,23861000000.0,0.366666666666667,8.64982551001911,1.0,2.15460374669964,0.0453615279672579,67.3388210422728,1.0,0.0863826992067101
3,2019-12-31 00:00:00+00:00,4,2019,21918000000.0,181872000000.0,-876000000.0,0.0,2282000000.0,0.0,72267000000.0,24431000000.0,0.0,9586000000.0,245610000000.0,0.0,0.0,124233000000.0,3231000000.0,221179000000.0,363623285.0,14450000000.0,-296000000.0,-500000000.0,-239000000.0,4174000000.0,0.0,-161000000.0,-5523000000.0,-5616000000.0,305000000.0,1053000000.0,-5322000000.0,0.0,0.0,892000000.0,492000000.0,1271000000.0,566000000.0,871000000.0,0.0,0.0,365581000.0,641000000.0,3048000000.0,566000000.0,1.36,74000000.0,3048000000.0,72000000.0,0.0,492000000.0,0.0,0.0,1.35,361346000.0,564000000.0,2407000000.0,0.00837006607727625,6.0,24431000000.0,0.333333333333333,8.3823014799506,1.0,0.591461667553518,0.00826993053258351,67.1876664884098,1.0,0.0802540646346822
5,2019-09-30 00:00:00+00:00,3,2019,21612000000.0,170886000000.0,-985000000.0,0.0,2306000000.0,0.0,65922000000.0,25209000000.0,0.0,9577000000.0,244606000000.0,0.0,0.0,124694000000.0,3258000000.0,219397000000.0,372579503.0,19858000000.0,488000000.0,-510000000.0,-230000000.0,1180000000.0,0.0,-227000000.0,-5656000000.0,-5601000000.0,281000000.0,4964000000.0,1627000000.0,0.0,0.0,4737000000.0,528000000.0,1196000000.0,666000000.0,947000000.0,0.0,0.0,370595000.0,723000000.0,2903000000.0,666000000.0,1.44,138000000.0,2903000000.0,55000000.0,0.0,528000000.0,0.0,0.0,1.42,366732000.0,583000000.0,2180000000.0,0.0079785292897107,4.0,25209000000.0,-0.238095238095238,7.7916256171505,1.0,0.787734539251855,-0.0287721646035464,67.6607268972604,1.0,0.0761863039885302
6,2019-06-30 00:00:00+00:00,2,2019,21274000000.0,170594000000.0,-874000000.0,0.0,2244000000.0,0.0,66276000000.0,25454000000.0,0.0,9720000000.0,241540000000.0,0.0,0.0,120453000000.0,3202000000.0,216086000000.0,373163922.0,18142000000.0,-890000000.0,-313000000.0,-227000000.0,11976000000.0,0.0,-171000000.0,-13118000000.0,-12977000000.0,271000000.0,252000000.0,4393000000.0,0.0,0.0,81000000.0,537000000.0,1199000000.0,668000000.0,939000000.0,0.0,0.0,377577000.0,719000000.0,2873000000.0,668000000.0,1.44,131000000.0,2873000000.0,50000000.0,0.0,537000000.0,0.0,0.0,1.42,373773000.0,587000000.0,2154000000.0,0.00882680091726192,3.0,25454000000.0,-0.246073298429319,7.6990293825886,1.0,0.712736701500746,-0.0620306888671237,68.2113100955135,1.0,0.0839029083401816
7,2019-03-31 00:00:00+00:00,1,2019,20911000000.0,162471000000.0,-1180000000.0,0.0,2230000000.0,0.0,58333000000.0,25038000000.0,0.0,9757000000.0,228332000000.0,0.0,0.0,115836000000.0,3277000000.0,203294000000.0,378659763.0,13549000000.0,788000000.0,-343000000.0,-234000000.0,-20304000000.0,0.0,-171000000.0,21671000000.0,21632000000.0,244000000.0,-579000000.0,-1838000000.0,0.0,-54000000.0,-750000000.0,452000000.0,1345000000.0,579000000.0,823000000.0,0.0,0.0,381703000.0,639000000.0,2932000000.0,579000000.0,1.2,127000000.0,2932000000.0,56000000.0,0.0,452000000.0,0.0,0.0,1.18,377915000.0,508000000.0,2293000000.0,0.00943424866761651,3.0,25038000000.0,-0.268292682926829,7.7430989148958,1.0,0.541137471044013,-0.0405759162303665,66.1226843898912,1.0,0.0930040557694094
8,2018-12-31 00:00:00+00:00,4,2018,20553000000.0,180360000000.0,-1356000000.0,0.0,2214000000.0,0.0,76252000000.0,24737000000.0,0.0,9815000000.0,244596000000.0,0.0,0.0,118323000000.0,3203000000.0,219859000000.0,379535689.0,15267000000.0,-1067000000.0,-237000000.0,-220000000.0,13746000000.0,0.0,-173000000.0,-15927000000.0,-13259000000.0,248000000.0,1114000000.0,2041000000.0,0.0,-2532000000.0,941000000.0,396000000.0,1449000000.0,488000000.0,736000000.0,0.0,0.0,383712000.0,537000000.0,3023000000.0,488000000.0,1.02,92000000.0,3023000000.0,41000000.0,0.0,396000000.0,0.0,0.0,1.02,379828000.0,437000000.0,2486000000.0,0.00984039042281137,5.0,24737000000.0,0.2,7.96499535515354,1.0,0.617172656344747,0.0275322909585316,65.1770063183702,1.0,0.102015701251857
10,2018-09-30 00:00:00+00:00,3,2018,20387000000.0,168198000000.0,-1711000000.0,0.0,2193000000.0,0.0,67763000000.0,24553000000.0,0.0,7477000000.0,234007000000.0,0.0,0.0,115177000000.0,3196000000.0,209454000000.0,365827604.0,13034000000.0,496000000.0,1353000000.0,-209000000.0,-18326000000.0,0.0,-151000000.0,13163000000.0,13366000000.0,240000000.0,5659000000.0,-1500000000.0,0.0,-63000000.0,5508000000.0,708000000.0,1213000000.0,837000000.0,1077000000.0,0.0,0.0,379383000.0,898000000.0,2989000000.0,837000000.0,1.89,129000000.0,2989000000.0,56000000.0,0.0,708000000.0,0.0,0.0,1.87,374963000.0,764000000.0,2091000000.0,0.009561021023124,5.0,24553000000.0,0.118343195266272,8.17051520256519,1.0,0.530851627092412,0.05024595924104,67.1163130707873,1.0,0.101088850174216
11,2018-06-30 00:00:00+00:00,2,2018,19856000000.0,186663000000.0,-1488000000.0,0.0,2189000000.0,0.0,80252000000.0,22571000000.0,0.0,7473000000.0,248308000000.0,0.0,0.0,115754000000.0,3086000000.0,225737000000.0,365408056.0,14578000000.0,1340000000.0,-20000000.0,-189000000.0,-4467000000.0,0.0,-138000000.0,7241000000.0,7368000000.0,241000000.0,-1434000000.0,596000000.0,0.0,0.0,-1572000000.0,697000000.0,1249000000.0,855000000.0,1096000000.0,0.0,0.0,370410000.0,893000000.0,3063000000.0,855000000.0,1.91,158000000.0,3063000000.0,36000000.0,0.0,697000000.0,0.0,0.0,1.88,365619000.0,733000000.0,2170000000.0,0.00921680772452351,5.0,22571000000.0,0.224358974358974,8.38240960949148,1.0,0.645873022905498,0.090035587188612,61.7693004557075,1.0,0.0998841664439098
