,date,quarter,year,statementData.balanceSheet.equity,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.acctRec,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.taxExp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,2,2021,5890000000.0,0.0,2293000000.0,36255000000.0,-1597000000.0,42724000000.0,18435000000.0,162189761.0,12744000000.0,0.0,13890000000.0,2127000000.0,3091000000.0,4366000000.0,0.0,0.0,7517000000.0,61558000000.0,0.0,12444000000.0,0.0,19213000000.0,55468000000.0,42345000000.0,9644000000.0,19285000000.0,-462000000.0,376000000.0,0.0,-66000000.0,-2000000.0,311000000.0,0.0,1021000000.0,-35000000.0,873000000.0,-230000000.0,-148000000.0,-3000000.0,-148000000.0,57808000000.0,2366000000.0,162000000.0,577000000.0,50000000.0,0.0,163000000.0,577000000.0,3.56,3.54,655000000.0,605000000.0,3000000000.0,966000000.0,28000000.0,50000000.0,0.0,627000000.0,60808000000.0,634000000.0,2237000000.0,0.0,8.0,0.055401277422938,0.0493356137350349,0.991129107761446,6090000000.0,0.0493356137350349,374.918858163926,-1.8922305764411,1.27623089983022,0.394301389257588,37.5486094957622,0.0369265446831079
1,2020-06-30 00:00:00+00:00,1,2021,5446000000.0,0.0,2274000000.0,33209000000.0,-1735000000.0,38600000000.0,16607000000.0,161853218.0,13413000000.0,0.0,13384000000.0,1411000000.0,2613000000.0,4249000000.0,0.0,0.0,8022000000.0,57666000000.0,0.0,12509000000.0,0.0,18984000000.0,52013000000.0,38682000000.0,9433000000.0,17768000000.0,61000000.0,-1159000000.0,0.0,-74000000.0,3000000.0,300000000.0,0.0,-1062000000.0,-28000000.0,-1179000000.0,-3000000.0,-130000000.0,-2000000.0,-117000000.0,52979000000.0,2022000000.0,162000000.0,444000000.0,60000000.0,0.0,163000000.0,444000000.0,2.74,2.72,654000000.0,594000000.0,2700000000.0,954000000.0,150000000.0,50000000.0,0.0,494000000.0,55679000000.0,678000000.0,1966000000.0,1000000.0,4.0,-0.000879270743611826,0.0484922502200111,1.00212435233161,5653000000.0,0.0484922502200111,344.009224456693,0.217777777777778,1.47300771208226,0.158834181253773,34.9267074813428,0.0154284278415278
2,2020-03-31 00:00:00+00:00,4,2020,5092000000.0,0.0,2255000000.0,37195000000.0,-1703000000.0,42624000000.0,16734000000.0,176930430.0,13314000000.0,0.0,13022000000.0,1406000000.0,4015000000.0,4251000000.0,0.0,0.0,7995000000.0,61247000000.0,0.0,12516000000.0,0.0,19025000000.0,55938000000.0,42222000000.0,9401000000.0,19950000000.0,-2480000000.0,1958000000.0,0.0,-72000000.0,1000000.0,321000000.0,0.0,4654000000.0,-46000000.0,4486000000.0,21000000.0,-170000000.0,-2407000000.0,-168000000.0,55199000000.0,2467000000.0,175000000.0,1021000000.0,65000000.0,0.0,179000000.0,1021000000.0,5.64,5.61,1215000000.0,1150000000.0,3336000000.0,1536000000.0,129000000.0,57000000.0,96000000.0,1078000000.0,58535000000.0,869000000.0,2307000000.0,-6000000.0,7.0,0.116462263251254,0.0569915435209704,0.990568693693694,5309000000.0,0.0569915435209704,330.83625015776,-2.40298507462687,1.57010997643362,0.140504254156584,30.0061442229016,0.014827384531743
4,2019-12-31 00:00:00+00:00,3,2020,6174000000.0,0.0,2686000000.0,32744000000.0,-1663000000.0,40055000000.0,17020000000.0,180187900.0,14433000000.0,0.0,12075000000.0,3481000000.0,2065000000.0,4421000000.0,2143000000.0,2143000000.0,8514000000.0,60873000000.0,0.0,12820000000.0,0.0,21483000000.0,54488000000.0,39390000000.0,11995000000.0,18831000000.0,949000000.0,709000000.0,0.0,-74000000.0,-2000000.0,324000000.0,0.0,-121000000.0,5000000.0,-275000000.0,-488000000.0,-124000000.0,1561000000.0,-154000000.0,56139000000.0,2673000000.0,179000000.0,186000000.0,64000000.0,0.0,180000000.0,186000000.0,1.04,1.03,297000000.0,233000000.0,3033000000.0,621000000.0,47000000.0,56000000.0,0.0,242000000.0,59172000000.0,360000000.0,2535000000.0,5000000.0,2.0,0.0527327070879591,0.0512573514500101,0.983397827986519,6385000000.0,0.0512573514500101,328.390530107738,-0.568464730290456,1.37900874635569,-0.128144214645053,35.4352317774945,-0.0152060990220505
5,2019-09-30 00:00:00+00:00,2,2020,6482000000.0,0.0,2718000000.0,32560000000.0,-1704000000.0,37145000000.0,16356000000.0,184904125.0,15157000000.0,0.0,11965000000.0,1213000000.0,1356000000.0,4495000000.0,2167000000.0,2167000000.0,9105000000.0,58994000000.0,0.0,12897000000.0,0.0,21641000000.0,52302000000.0,37353000000.0,10318000000.0,18984000000.0,-331000000.0,-591000000.0,0.0,-73000000.0,-47000000.0,316000000.0,0.0,-108000000.0,4000000.0,-181000000.0,-695000000.0,-156000000.0,545000000.0,-73000000.0,54749000000.0,2241000000.0,183000000.0,-730000000.0,64000000.0,0.0,183000000.0,-730000000.0,-3.99,-3.99,-960000000.0,-1024000000.0,2867000000.0,-644000000.0,-294000000.0,53000000.0,0.0,-677000000.0,57616000000.0,626000000.0,2196000000.0,1000000.0,3.0,0.0855581723975507,0.0497604831991114,1.00559967694171,6692000000.0,0.0497604831991114,311.599322081106,-2.58333333333333,1.40465905584696,-0.080164374901217,36.1917290920362,-0.0105072568850292
6,2019-06-30 00:00:00+00:00,1,2020,7874000000.0,0.0,3058000000.0,34021000000.0,-1778000000.0,37952000000.0,16604000000.0,189961556.0,15660000000.0,0.0,12770000000.0,683000000.0,1947000000.0,4497000000.0,3617000000.0,3617000000.0,9187000000.0,61680000000.0,0.0,13041000000.0,0.0,23252000000.0,53612000000.0,38428000000.0,9870000000.0,19287000000.0,-872000000.0,-1034000000.0,0.0,-75000000.0,-45000000.0,327000000.0,0.0,-51000000.0,18000000.0,-162000000.0,-679000000.0,-129000000.0,-2000000.0,-111000000.0,52941000000.0,2153000000.0,188000000.0,423000000.0,56000000.0,0.0,189000000.0,423000000.0,2.25,2.24,615000000.0,559000000.0,2787000000.0,942000000.0,136000000.0,54000000.0,0.0,477000000.0,55728000000.0,634000000.0,2130000000.0,6000000.0,3.0,0.0593267055715019,0.050010766580534,1.01254215851602,8068000000.0,0.050010766580534,293.364621629021,-4.30882352941176,1.16675133350267,0.069027524000116,42.471751494813,0.00976274078692613
7,2019-03-31 00:00:00+00:00,4,2019,8094000000.0,0.0,2998000000.0,33853000000.0,-1849000000.0,37626000000.0,16709000000.0,191825272.0,13759000000.0,0.0,12409000000.0,330000000.0,2981000000.0,2548000000.0,3513000000.0,3513000000.0,7265000000.0,59672000000.0,0.0,13047000000.0,0.0,21207000000.0,51385000000.0,38465000000.0,7595000000.0,18246000000.0,-2544000000.0,1132000000.0,0.0,-76000000.0,62000000.0,235000000.0,0.0,3895000000.0,11000000.0,3743000000.0,-222000000.0,-230000000.0,-2161000000.0,-152000000.0,49228000000.0,3770000000.0,190000000.0,-796000000.0,70000000.0,0.0,191000000.0,-796000000.0,-4.02,-4.01,-615000000.0,-685000000.0,3201000000.0,-380000000.0,111000000.0,52000000.0,71000000.0,-744000000.0,52429000000.0,-569000000.0,2184000000.0,0.0,6.0,0.0155148369102038,0.0610539968338134,1.02229841067347,8287000000.0,0.0610539968338134,273.316437679807,-0.266423357664234,0.897578453175191,0.00377651893813173,43.2007728366469,0.00055878316747882
9,2018-12-31 00:00:00+00:00,3,2019,9185000000.0,0.0,2983000000.0,32091000000.0,-1826000000.0,37424000000.0,16951000000.0,195376222.0,14198000000.0,0.0,13276000000.0,2168000000.0,1849000000.0,2503000000.0,3566000000.0,3566000000.0,7616000000.0,61011000000.0,0.0,14439000000.0,0.0,22692000000.0,51622000000.0,38319000000.0,9784000000.0,18932000000.0,119000000.0,-269000000.0,0.0,-77000000.0,-26000000.0,239000000.0,0.0,-177000000.0,-43000000.0,-334000000.0,-492000000.0,-168000000.0,752000000.0,-157000000.0,53238000000.0,2287000000.0,194000000.0,469000000.0,67000000.0,0.0,195000000.0,469000000.0,2.41,2.4,659000000.0,592000000.0,2970000000.0,898000000.0,123000000.0,57000000.0,0.0,526000000.0,56208000000.0,683000000.0,2156000000.0,1000000.0,3.0,0.0483242255254863,0.0528394534585824,1.02391513467294,9389000000.0,0.0528394534585824,287.691098868725,-0.445977011494253,0.829178007621121,-0.0335082975451991,48.056001410448,-0.00517831172289477
10,2018-09-30 00:00:00+00:00,2,2019,9326000000.0,0.0,2844000000.0,33227000000.0,-1762000000.0,38863000000.0,16671000000.0,199770971.0,13024000000.0,0.0,13354000000.0,2520000000.0,2118000000.0,2488000000.0,3609000000.0,3609000000.0,6568000000.0,61421000000.0,0.0,14755000000.0,0.0,22877000000.0,51887000000.0,38544000000.0,9088000000.0,19213000000.0,-1343000000.0,-81000000.0,0.0,-68000000.0,-14000000.0,240000000.0,0.0,1379000000.0,-9000000.0,1276000000.0,-565000000.0,-108000000.0,-638000000.0,-103000000.0,50271000000.0,2115000000.0,198000000.0,499000000.0,66000000.0,0.0,199000000.0,499000000.0,2.52,2.51,600000000.0,534000000.0,2804000000.0,840000000.0,35000000.0,54000000.0,0.0,553000000.0,53075000000.0,689000000.0,2033000000.0,-1000000.0,6.0,0.019477151802693,0.0528308996702779,0.991791678460232,9534000000.0,0.0528308996702779,265.679241254727,251.0,0.704267638859104,0.0117205929825433,47.7246516462094,0.00190863617431671
11,2018-06-30 00:00:00+00:00,1,2019,9407000000.0,0.0,2825000000.0,32063000000.0,-1801000000.0,38348000000.0,16364000000.0,202050986.0,13287000000.0,0.0,12932000000.0,3160000000.0,2199000000.0,2483000000.0,3672000000.0,3672000000.0,6592000000.0,61282000000.0,0.0,14843000000.0,0.0,23068000000.0,51635000000.0,38214000000.0,9752000000.0,19093000000.0,1541000000.0,-473000000.0,0.0,-71000000.0,-826000000.0,235000000.0,0.0,-1061000000.0,-78000000.0,-1206000000.0,-285000000.0,-875000000.0,2031000000.0,-145000000.0,49828000000.0,2696000000.0,202000000.0,-138000000.0,61000000.0,0.0,202000000.0,-138000000.0,-0.68,-0.68,10000000.0,-51000000.0,2779000000.0,245000000.0,87000000.0,58000000.0,0.0,-80000000.0,52607000000.0,83000000.0,2127000000.0,-1000000.0,2.0,0.0304793245969717,0.0528256695876975,0.996505684781475,9647000000.0,0.0528256695876975,260.364975402793,-1.46575342465753,0.70075475709578,-0.0361148070708991,47.7453745264079,-0.00608676848655705
