,date,year,quarter,statementData.balanceSheet.inventory,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.ppeq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfo,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.revenue,statementData.incomeStatement.opex,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.rnd,statementData.incomeStatement.ebit,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswa,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opinc,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.sga,statementData.incomeStatement.taxExp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebt,statementData.overview.roe,statementData.overview.currentRatio,statementData.overview.grossMargin,statementData.overview.epsQoQ,statementData.overview.bookVal,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.piotroskiFScore,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.roa
0,2020-12-31 00:00:00+00:00,2020,4,0.0,963000000.0,0.0,0.0,900000000.0,229000000.0,3335000000.0,-52000000.0,3240000000.0,4644000000.0,21000000.0,-82000000.0,278000000.0,3744000000.0,359000000.0,0.0,493000000.0,0.0,3681000000.0,2597000000.0,2576000000.0,0.0,295000000.0,346000000.0,28000000.0,93167022.0,10000000.0,25000000.0,-7000000.0,6000000.0,-242000000.0,-10000000.0,3000000.0,-246000000.0,-239000000.0,0.0,1000000.0,0.0,-8000000.0,0.0,296000000.0,64000000.0,-7000000.0,85000000.0,-0.08,0.0,21000000.0,-0.08,-7000000.0,46000000.0,0.0,93167022.0,211000000.0,0.0,21000000.0,-7000000.0,29000000.0,34000000.0,-1000000.0,0.0,-8000000.0,-0.132963988919668,2.60115606936416,0.287162162162162,-1.11764705882353,963000000.0,3.17708985052672,2.67497403946002,-0.398373983739837,4.0,0.287162162162162,10.336275425869,-0.0270159639787147
2,2020-09-30 00:00:00+00:00,2020,3,0.0,963000000.0,0.0,0.0,1140000000.0,239000000.0,3550000000.0,-62000000.0,3250000000.0,4894000000.0,21000000.0,-66000000.0,284000000.0,3754000000.0,323000000.0,0.0,735000000.0,0.0,3931000000.0,2835000000.0,2814000000.0,0.0,324000000.0,381000000.0,41000000.0,93161047.0,97000000.0,24000000.0,-5000000.0,5000000.0,71000000.0,-5000000.0,0.0,-21000000.0,-16000000.0,0.0,0.0,92000000.0,-7000000.0,0.0,337000000.0,52000000.0,27000000.0,123000000.0,0.29,0.0,71000000.0,0.29,27000000.0,95000000.0,0.0,93161047.0,214000000.0,0.0,71000000.0,27000000.0,29000000.0,28000000.0,15000000.0,0.0,42000000.0,-0.0578199052132701,2.99212598425197,0.364985163204748,-0.382978723404255,963000000.0,3.61739171952415,2.92211838006231,-0.398214285714286,5.0,0.364985163204748,10.3369383557916,-0.0125559615087737
3,2020-06-30 00:00:00+00:00,2020,2,0.0,933000000.0,0.0,0.0,1078000000.0,261000000.0,3572000000.0,-67000000.0,3260000000.0,4848000000.0,21000000.0,-86000000.0,294000000.0,3770000000.0,327000000.0,0.0,664000000.0,0.0,3915000000.0,2847000000.0,2826000000.0,0.0,314000000.0,343000000.0,40000000.0,93090521.0,-57000000.0,24000000.0,-12000000.0,6000000.0,-85000000.0,-11000000.0,-1000000.0,-17000000.0,-5000000.0,-2000000.0,1000000.0,-68000000.0,-8000000.0,0.0,258000000.0,278000000.0,-174000000.0,84000000.0,-1.86,0.0,-194000000.0,-1.86,-174000000.0,-170000000.0,0.0,93090521.0,174000000.0,0.0,-194000000.0,-174000000.0,28000000.0,26000000.0,-48000000.0,0.0,-222000000.0,-0.0382307179373194,3.14285714285714,0.325581395348837,-7.88888888888889,933000000.0,2.77149592921496,3.02893890675241,-0.515947467166979,3.0,0.325581395348837,10.0225027207657,-0.00897282070008868
4,2020-03-31 00:00:00+00:00,2020,1,0.0,1112000000.0,0.0,0.0,1147000000.0,280000000.0,3631000000.0,-66000000.0,3476000000.0,5158000000.0,21000000.0,95000000.0,299000000.0,4011000000.0,376000000.0,0.0,749000000.0,0.0,4046000000.0,2852000000.0,2831000000.0,0.0,296000000.0,415000000.0,41000000.0,93695321.0,17000000.0,25000000.0,-7000000.0,4000000.0,655000000.0,-7000000.0,0.0,647000000.0,729000000.0,-52000000.0,-2000000.0,10000000.0,-30000000.0,0.0,410000000.0,75000000.0,22000000.0,131000000.0,0.23,0.0,56000000.0,0.23,22000000.0,81000000.0,0.0,93695321.0,279000000.0,0.0,56000000.0,22000000.0,25000000.0,28000000.0,9000000.0,0.0,31000000.0,0.129058775174681,2.76385542168675,0.319512195121951,0.0454545454545454,1112000000.0,4.37588553648266,2.54586330935252,-0.123931623931624,4.0,0.319512195121951,11.8682554062652,0.0330926911524477
5,2019-12-31 00:00:00+00:00,2019,4,0.0,1212000000.0,0.0,0.0,499000000.0,283000000.0,2859000000.0,-27000000.0,3485000000.0,4533000000.0,21000000.0,113000000.0,307000000.0,4034000000.0,387000000.0,0.0,94000000.0,0.0,3321000000.0,2122000000.0,2101000000.0,0.0,304000000.0,462000000.0,30000000.0,95167458.0,91000000.0,28000000.0,-16000000.0,5000000.0,-40000000.0,-15000000.0,0.0,-116000000.0,-5000000.0,-74000000.0,1000000.0,76000000.0,-28000000.0,0.0,492000000.0,77000000.0,64000000.0,179000000.0,0.68,0.0,102000000.0,0.67,64000000.0,130000000.0,0.0,95167458.0,313000000.0,0.0,102000000.0,64000000.0,24000000.0,32000000.0,14000000.0,0.0,78000000.0,0.121922626025791,1.08008658008658,0.363821138211382,0.581395348837209,1212000000.0,5.16983441966055,1.73349834983498,-0.0664136622390892,5.0,0.363821138211382,12.7354457655053,0.0333279923089249
7,2019-09-30 00:00:00+00:00,2019,3,0.0,1242000000.0,0.0,0.0,586000000.0,252000000.0,2874000000.0,-34000000.0,3493000000.0,4630000000.0,21000000.0,77000000.0,310000000.0,4044000000.0,383000000.0,0.0,134000000.0,0.0,3388000000.0,2127000000.0,2106000000.0,0.0,339000000.0,514000000.0,52000000.0,96430788.0,146000000.0,25000000.0,-10000000.0,4000000.0,27000000.0,-10000000.0,0.0,-108000000.0,-6000000.0,-74000000.0,-1000000.0,136000000.0,-28000000.0,0.0,560000000.0,105000000.0,45000000.0,196000000.0,0.47,0.0,91000000.0,0.47,45000000.0,116000000.0,0.0,96430788.0,364000000.0,0.0,91000000.0,45000000.0,25000000.0,33000000.0,21000000.0,0.0,66000000.0,0.102178812922615,1.14007782101167,0.35,-0.189655172413793,1242000000.0,5.80727391753762,1.69565217391304,-0.0728476821192053,5.0,0.35,12.8797039385388,0.0283835959511635
8,2019-06-30 00:00:00+00:00,2019,2,0.0,1300000000.0,0.0,0.0,596000000.0,269000000.0,2875000000.0,-30000000.0,3505000000.0,4656000000.0,21000000.0,59000000.0,316000000.0,4060000000.0,391000000.0,0.0,107000000.0,0.0,3356000000.0,2131000000.0,2110000000.0,0.0,354000000.0,481000000.0,60000000.0,97294326.0,-144000000.0,27000000.0,-16000000.0,6000000.0,-177000000.0,-16000000.0,-2000000.0,-18000000.0,-5000000.0,-54000000.0,1000000.0,-160000000.0,-28000000.0,0.0,533000000.0,124000000.0,26000000.0,186000000.0,0.27,0.0,62000000.0,0.27,26000000.0,89000000.0,0.0,97294326.0,347000000.0,0.0,62000000.0,26000000.0,26000000.0,31000000.0,10000000.0,0.0,36000000.0,0.107873303167421,1.23908523908524,0.348968105065666,0.285714285714286,1300000000.0,5.47822285135106,1.62307692307692,0.225287356321839,4.0,0.348968105065666,13.3615191496367,0.0305218415527219
9,2019-03-31 00:00:00+00:00,2019,1,0.0,1364000000.0,0.0,0.0,778000000.0,265000000.0,2877000000.0,-15000000.0,3521000000.0,4904000000.0,21000000.0,61000000.0,317000000.0,4126000000.0,401000000.0,0.0,284000000.0,0.0,3540000000.0,2136000000.0,2115000000.0,0.0,301000000.0,663000000.0,57000000.0,97888796.0,7000000.0,29000000.0,-11000000.0,5000000.0,-82000000.0,-9000000.0,0.0,-78000000.0,-5000000.0,-45000000.0,0.0,-2000000.0,-28000000.0,0.0,468000000.0,91000000.0,21000000.0,141000000.0,0.22,0.0,50000000.0,0.22,21000000.0,79000000.0,0.0,97888796.0,327000000.0,0.0,50000000.0,21000000.0,24000000.0,34000000.0,5000000.0,0.0,26000000.0,0.101748807631161,1.17345399698341,0.301282051282051,-0.45,1364000000.0,4.78093529723259,1.55058651026393,0.549668874172185,4.0,0.301282051282051,13.9341789432163,0.0290835647563747
10,2018-12-31 00:00:00+00:00,2018,4,0.0,1418000000.0,0.0,0.0,851000000.0,273000000.0,2865000000.0,-8000000.0,3534000000.0,4976000000.0,21000000.0,69000000.0,326000000.0,4125000000.0,399000000.0,0.0,366000000.0,0.0,3558000000.0,2141000000.0,2120000000.0,0.0,293000000.0,693000000.0,61000000.0,99184320.0,130000000.0,28000000.0,-31000000.0,8000000.0,-21000000.0,-18000000.0,0.0,-116000000.0,-5000000.0,-67000000.0,-4000000.0,112000000.0,-25000000.0,-7000000.0,527000000.0,75000000.0,44000000.0,157000000.0,0.43,0.0,82000000.0,0.43,44000000.0,110000000.0,0.0,99184320.0,370000000.0,0.0,82000000.0,44000000.0,24000000.0,34000000.0,14000000.0,0.0,58000000.0,0.116337522441652,1.22799422799423,0.297912713472486,-0.532608695652174,1418000000.0,5.3133398504925,1.4950634696756,0.68370607028754,7.0,0.297912713472486,14.2966146261828,0.0379769091015648
12,2018-09-30 00:00:00+00:00,2018,3,0.0,1443000000.0,0.0,0.0,850000000.0,247000000.0,2846000000.0,4000000.0,3543000000.0,4991000000.0,21000000.0,51000000.0,331000000.0,4141000000.0,400000000.0,0.0,387000000.0,0.0,3548000000.0,2145000000.0,2124000000.0,0.0,309000000.0,702000000.0,74000000.0,99953094.0,68000000.0,30000000.0,-25000000.0,13000000.0,-29000000.0,-22000000.0,-1000000.0,-72000000.0,-1000000.0,-46000000.0,0.0,46000000.0,-25000000.0,-1000000.0,604000000.0,90000000.0,58000000.0,195000000.0,0.58,0.0,105000000.0,0.58,58000000.0,135000000.0,0.0,99953094.0,409000000.0,0.0,105000000.0,58000000.0,24000000.0,36000000.0,23000000.0,0.0,81000000.0,0.155153306243074,1.21082621082621,0.322847682119205,0.0,1443000000.0,6.04283445192802,1.47193347193347,0.740634005763689,7.0,0.322847682119205,14.4367717121393,0.0590551181102362
