,year,quarter,date,statementData.balanceSheet.equity,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.investments,statementData.balanceSheet.inventory,statementData.balanceSheet.intangibles,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.debt,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investmentsNonCurrent,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.netinc,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.eps,statementData.incomeStatement.costRev,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.taxExp,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.overview.longTermDebtEquity,statementData.overview.bookVal,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.grossMargin,statementData.overview.currentRatio,statementData.overview.piotroskiFScore,statementData.overview.rps
0,2020,3,2020-09-25 00:00:00+00:00,1583100000.0,137300000.0,756300000.0,0.0,243500000.0,217600000.0,1309600000.0,0.0,29500000.0,168789000.0,0.0,1016300000.0,1847400000.0,0.0,356300000.0,53500000.0,134600000.0,24000000.0,310900000.0,0.0,705400000.0,2603700000.0,431100000.0,0.0,243500000.0,232800000.0,20700000.0,-1100000.0,-13100000.0,0.0,0.0,-13100000.0,-237600000.0,0.0,0.0,4800000.0,245900000.0,6100000.0,0.0,178300000.0,200000.0,168400000.0,0.0,152700000.0,141000000.0,141000000.0,31600000.0,121100000.0,178500000.0,746700000.0,168400000.0,178600000.0,0.0,0.0,0.84,415400000.0,331300000.0,141000000.0,37300000.0,0.84,199200000.0,0.0186343250584297,1587400000.0,9.4046412977149,0.443685549752243,0.443685549752243,1.07215764105472,6.0,4.42386648419032
1,2020,2,2020-06-26 00:00:00+00:00,1658300000.0,122900000.0,716500000.0,0.0,246300000.0,222900000.0,1314300000.0,0.0,23200000.0,168789000.0,0.0,903000000.0,1849100000.0,0.0,287700000.0,47300000.0,128100000.0,24100000.0,296000000.0,0.0,607000000.0,2565600000.0,389700000.0,0.0,246300000.0,232800000.0,20700000.0,-1100000.0,-13100000.0,0.0,0.0,-13100000.0,-237600000.0,0.0,0.0,4800000.0,245900000.0,6100000.0,0.0,178300000.0,200000.0,168789000.0,0.0,152700000.0,141000000.0,141000000.0,31600000.0,121100000.0,178500000.0,746700000.0,168400000.0,178600000.0,0.0,0.0,0.84,415400000.0,331300000.0,141000000.0,37300000.0,0.84,199200000.0,0.0139902309594163,1662600000.0,9.8501679611823,0.443685549752243,0.443685549752243,1.18039538714992,2.0,4.42386648419032
2,2019,4,2019-12-31 00:00:00+00:00,1811200000.0,148700000.0,825200000.0,0.0,259000000.0,224100000.0,1432100000.0,0.0,49800000.0,168789000.0,0.0,1012800000.0,2003700000.0,0.0,318600000.0,79400000.0,139700000.0,29600000.0,345300000.0,0.0,667500000.0,2828900000.0,490600000.0,0.0,259000000.0,232800000.0,20700000.0,-1100000.0,-13100000.0,0.0,0.0,-13100000.0,-237600000.0,0.0,0.0,4800000.0,245900000.0,6100000.0,0.0,178300000.0,200000.0,168789000.0,0.0,152700000.0,141000000.0,141000000.0,31600000.0,121100000.0,178500000.0,746700000.0,168400000.0,178600000.0,0.0,0.0,0.84,415400000.0,331300000.0,141000000.0,37300000.0,0.84,199200000.0,0.0274955830388693,1816100000.0,10.7595874138718,0.443685549752243,0.443685549752243,1.23625468164794,2.0,4.42386648419032
4,2019,3,2019-09-27 00:00:00+00:00,1811200000.0,148700000.0,825200000.0,0.0,259000000.0,224100000.0,1432100000.0,0.0,49800000.0,168789000.0,0.0,1012800000.0,2003700000.0,0.0,318600000.0,79400000.0,139700000.0,29600000.0,345300000.0,0.0,667500000.0,2828900000.0,490600000.0,0.0,259000000.0,138300000.0,21200000.0,-2100000.0,-10600000.0,0.0,-4100000.0,-14700000.0,-129400000.0,0.0,0.0,-4800000.0,148900000.0,3600000.0,0.0,157600000.0,-2900000.0,168400000.0,0.0,153100000.0,121000000.0,121000000.0,34800000.0,118300000.0,154700000.0,714400000.0,168400000.0,154900000.0,0.0,0.0,0.72,406400000.0,308000000.0,121000000.0,36600000.0,0.72,175900000.0,0.0274955830388693,1816100000.0,10.7595874138718,0.431131019036954,0.431131019036954,1.23625468164794,2.0,4.42386648419032
5,2018,4,2018-12-31 00:00:00+00:00,1804000000.0,126300000.0,867300000.0,0.0,259700000.0,250400000.0,1429700000.0,0.0,222500000.0,168789000.0,0.0,1200500000.0,2140300000.0,0.0,317800000.0,241000000.0,180600000.0,18500000.0,507000000.0,0.0,693500000.0,3007600000.0,536700000.0,0.0,259700000.0,138300000.0,21200000.0,-2100000.0,-10600000.0,0.0,-4100000.0,-14700000.0,-129400000.0,0.0,0.0,-4800000.0,148900000.0,3600000.0,0.0,157600000.0,-2900000.0,168400000.0,0.0,153100000.0,121000000.0,121000000.0,34800000.0,118300000.0,154700000.0,714400000.0,168400000.0,154900000.0,0.0,0.0,0.72,406400000.0,308000000.0,121000000.0,36600000.0,0.72,175900000.0,0.123337028824834,1807100000.0,10.7595874138718,0.431131019036954,0.431131019036954,1.2506128334535,2.0,4.42386648419032
