,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debt,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.freeCashFlow,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfo,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.payDiv,statementData.cashFlow.ncfi,statementData.cashFlow.depamor,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.costRev,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.ebitda,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,3,2021,4042300000.0,9648800000.0,1596500000.0,6961100000.0,9783900000.0,23300000.0,15481200000.0,0.0,237307698.0,8187400000.0,20652200000.0,0.0,0.0,3792300000.0,1074100000.0,5083100000.0,10280700000.0,13691100000.0,0.0,5171000000.0,0.0,0.0,1165200000.0,1587200000.0,0.0,,60300000.0,0.0,14800000.0,-500000000.0,296700000.0,-236400000.0,-200000.0,-191700000.0,-692100000.0,0.0,-236400000.0,170100000.0,-632000000.0,0.0,6177000000.0,330000000.0,4252600000.0,1924400000.0,465400000.0,97300000.0,330000000.0,0.0,330000000.0,0.0,465500000.0,1458900000.0,427300000.0,1.39,1458900000.0,1.39,0.0,237307698.0,0.0,38100000.0,635500000.0,0.0472953043888627,0.0749712853712019,6961100000.0,1.27922222497093,0.287037037037037,0.311542820139226,26.0294969445113,1.17616468661562,0.311542820139226,29.3336459738445,6.0,0.144948606596585
1,2020-08-01 00:00:00+00:00,2,2021,4278800000.0,9578600000.0,2084600000.0,6813600000.0,10290500000.0,24000000.0,15438500000.0,0.0,237232394.0,8205900000.0,20671000000.0,0.0,0.0,3275700000.0,1039400000.0,5083000000.0,10236700000.0,13857400000.0,0.0,5232500000.0,0.0,0.0,1797200000.0,1481000000.0,0.0,,242800000.0,0.0,23100000.0,-250000000.0,478000000.0,-235200000.0,600000.0,2100000.0,-248200000.0,0.0,-235200000.0,168100000.0,-4800000.0,0.0,6277600000.0,261500000.0,4361400000.0,1916200000.0,374700000.0,78400000.0,261500000.0,0.0,261500000.0,0.0,374900000.0,1541300000.0,339900000.0,1.1,1541300000.0,1.1,0.0,237232394.0,0.0,34800000.0,542800000.0,0.0441414624749097,0.0935442288262551,6813600000.0,1.22288959521361,0.447368421052632,0.305244042309163,26.4618161716987,1.20434131736527,0.305244042309163,28.7212040696263,7.0,0.138139189352127
2,2020-05-02 00:00:00+00:00,1,2021,4504200000.0,9447000000.0,2315000000.0,6520600000.0,10423500000.0,23300000.0,15306400000.0,0.0,236810841.0,8108500000.0,20471800000.0,0.0,0.0,3198500000.0,1152100000.0,5081400000.0,10111800000.0,13951200000.0,0.0,5165400000.0,0.0,0.0,1802000000.0,1336900000.0,0.0,,723100000.0,0.0,32600000.0,500000000.0,959000000.0,-235900000.0,-700000.0,9700000.0,493600000.0,0.0,-235900000.0,165500000.0,1216000000.0,0.0,6286800000.0,247600000.0,4491900000.0,1794900000.0,365400000.0,77600000.0,247600000.0,0.0,247600000.0,0.0,365900000.0,1429000000.0,325200000.0,1.05,1429000000.0,1.04,0.0,236810841.0,0.0,40200000.0,530900000.0,0.0407001310506885,0.082307573123074,6520600000.0,1.14679632343146,-0.070796460176991,0.285502958579882,26.547771096341,1.2435205349201,0.285502958579882,27.5350569782403,6.0,0.130310470713663
3,2020-02-01 00:00:00+00:00,4,2020,3546500000.0,9773300000.0,1529300000.0,6254800000.0,10031000000.0,24400000.0,15305200000.0,0.0,236662306.0,8501700000.0,19574600000.0,0.0,0.0,3522000000.0,1076300000.0,5083300000.0,10106800000.0,13319800000.0,0.0,4269400000.0,0.0,0.0,586000000.0,1336500000.0,0.0,3837800000.0,603800000.0,0.0,61400000.0,-500000000.0,855300000.0,-251500000.0,-300000.0,2900000.0,-497800000.0,0.0,-251500000.0,179100000.0,105700000.0,0.0,6315300000.0,123000000.0,4354800000.0,1960500000.0,248700000.0,86500000.0,123000000.0,0.0,123000000.0,0.0,249400000.0,1711100000.0,209500000.0,0.52,1711100000.0,0.52,0.0,236662306.0,0.0,39200000.0,427800000.0,0.0423208400712341,0.0177431831367241,6254800000.0,1.20383476667137,-1.05360824742268,0.31043655883331,26.6848578750855,1.35922811280936,0.31043655883331,26.429219362039,7.0,0.137846543627098
5,2019-11-02 00:00:00+00:00,3,2020,4179700000.0,9441100000.0,1952600000.0,6121300000.0,10108800000.0,0.0,15169800000.0,0.0,236624725.0,8156200000.0,19742100000.0,0.0,0.0,3882900000.0,1031200000.0,5396500000.0,9675300000.0,13620800000.0,0.0,4572300000.0,0.0,0.0,480300000.0,1473100000.0,0.0,3837800000.0,-109500000.0,0.0,8400000.0,0.0,170500000.0,-280000000.0,-500000.0,-57600000.0,-58000000.0,0.0,-280000000.0,160000000.0,-168000000.0,0.0,5746200000.0,255800000.0,4041700000.0,1704500000.0,358300000.0,61100000.0,255800000.0,0.0,255800000.0,0.0,358400000.0,1346100000.0,316900000.0,1.08,1346100000.0,1.08,0.0,236624725.0,0.0,41400000.0,518300000.0,-0.0889426478054248,0.0374449339207048,6121300000.0,1.09393018637701,-0.0847457627118643,0.296630816887682,24.2840218831739,1.33242938591476,0.296630816887682,25.8692323889653,2.0,-0.274183478863242
6,2019-08-03 00:00:00+00:00,2,2020,4094000000.0,9534100000.0,1965000000.0,5865700000.0,10251000000.0,0.0,15153000000.0,0.0,237578972.0,8286000000.0,19493800000.0,0.0,0.0,3470900000.0,990300000.0,5396300000.0,9680500000.0,13628100000.0,0.0,4340800000.0,0.0,0.0,648300000.0,1455400000.0,0.0,3837800000.0,-66400000.0,0.0,13600000.0,0.0,229900000.0,-296300000.0,700000.0,-35900000.0,-36500000.0,0.0,-296300000.0,155100000.0,-102200000.0,0.0,5740600000.0,180300000.0,4092100000.0,1648500000.0,268500000.0,48100000.0,180300000.0,0.0,180300000.0,0.0,268900000.0,1379600000.0,228400000.0,0.76,1379600000.0,0.76,0.0,237578972.0,0.0,40100000.0,423600000.0,-0.0914221447971408,0.0389098016504994,5865700000.0,1.06028334147533,-0.339130434782609,0.287165104692889,24.1629128692416,1.41261912474214,0.287165104692889,24.6894746223584,3.0,-0.250241990510798
7,2019-05-04 00:00:00+00:00,1,2020,3979300000.0,9619100000.0,1965900000.0,5755900000.0,10332300000.0,0.0,15108200000.0,0.0,238204351.0,8366400000.0,19354300000.0,0.0,0.0,3325500000.0,1115200000.0,5395900000.0,9636000000.0,13598400000.0,0.0,4246100000.0,0.0,0.0,750500000.0,1186500000.0,0.0,3837800000.0,405200000.0,0.0,30500000.0,0.0,614100000.0,-208900000.0,-400000.0,-94200000.0,-117500000.0,0.0,-192400000.0,151200000.0,303800000.0,0.0,5808700000.0,267900000.0,4081500000.0,1727200000.0,385300000.0,76000000.0,267900000.0,0.0,267900000.0,0.0,385500000.0,1341700000.0,343900000.0,1.13,1341700000.0,1.12,0.0,238204351.0,0.0,41400000.0,536500000.0,-0.0904396388267356,0.0459153357221311,5755900000.0,1.06704696805971,0.661764705882353,0.29734708282404,24.385364816447,1.45353463402769,0.29734708282404,24.163706396782,3.0,-0.219849274159485
8,2019-02-02 00:00:00+00:00,4,2019,2095700000.0,5762600000.0,0.0,5642900000.0,4265300000.0,0.0,9207900000.0,0.0,237969961.0,4265300000.0,13501200000.0,0.0,0.0,3536000000.0,1068600000.0,5685300000.0,3445300000.0,7858300000.0,0.0,4293300000.0,0.0,-38300000.0,446700000.0,1416400000.0,0.0,3076100000.0,517800000.0,0.0,63100000.0,-782000000.0,715100000.0,-197300000.0,-100000.0,3300000.0,-779300000.0,0.0,-197300000.0,166700000.0,-261600000.0,0.0,6205200000.0,-2307000000.0,4293100000.0,1912100000.0,-2147800000.0,112900000.0,-2307000000.0,0.0,-2307000000.0,0.0,-2147400000.0,4059500000.0,-2194100000.0,-9.7,4059500000.0,-9.69,0.0,237969961.0,0.0,46300000.0,-1981100000.0,-0.102498018723865,-0.0244316573908122,5642900000.0,2.04862337166579,-3.20956719817768,0.308144781795913,26.075560015745,0.755870208580694,0.308144781795913,23.7126567415792,4.0,-0.222573559246149
10,2018-11-03 00:00:00+00:00,3,2019,2135700000.0,6570500000.0,0.0,7943100000.0,5043800000.0,0.0,11899800000.0,0.0,237888437.0,5043800000.0,16649300000.0,0.0,0.0,3715600000.0,1032900000.0,8438200000.0,3406200000.0,8706200000.0,0.0,4749500000.0,0.0,0.0,708300000.0,1365100000.0,0.0,3076100000.0,57400000.0,0.0,0.0,0.0,282100000.0,-224700000.0,500000.0,4000000.0,3100000.0,0.0,-224700000.0,150400000.0,61000000.0,0.0,5538800000.0,281800000.0,3866900000.0,1671900000.0,387600000.0,58200000.0,281800000.0,0.0,281800000.0,0.0,387800000.0,1284100000.0,340000000.0,1.18,1284100000.0,1.18,0.0,237888437.0,0.0,47600000.0,538000000.0,0.108225188252548,0.0417936275063011,7943100000.0,2.22386102917076,0.168316831683168,0.301852386798585,23.2831829484844,0.634991376162959,0.301852386798585,33.3900213905731,7.0,0.233173794998772
11,2018-08-04 00:00:00+00:00,2,2019,1907400000.0,6548700000.0,0.0,7647500000.0,5041800000.0,0.0,11830800000.0,0.0,237775572.0,5041800000.0,16103600000.0,0.0,0.0,3288200000.0,1020200000.0,8458400000.0,3316100000.0,8456100000.0,0.0,4272800000.0,0.0,0.0,647300000.0,1241700000.0,0.0,3076100000.0,167600000.0,0.0,0.0,0.0,381200000.0,-213600000.0,-600000.0,5600000.0,5100000.0,0.0,-213600000.0,152500000.0,172100000.0,0.0,5525600000.0,273900000.0,3861700000.0,1663900000.0,383800000.0,63800000.0,273900000.0,0.0,273900000.0,0.0,382500000.0,1281400000.0,337700000.0,1.15,1281400000.0,1.15,0.0,237775572.0,0.0,46100000.0,536300000.0,0.107160548616504,0.0462773612057865,7647500000.0,2.24011743734927,0.161616161616162,0.30112566961054,23.2387202500348,0.659274272638117,0.30112566961054,32.1626815390439,7.0,0.242300897463077
