,date,quarter,year,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.depamor,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.epsDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.opex,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-24 00:00:00+00:00,1,2021,5002000000.0,4138000000.0,19190000000.0,95003000000.0,2294000000.0,-447000000.0,1303000000.0,56846000000.0,14601000000.0,36116000000.0,2412000000.0,20473000000.0,10822000000.0,52014000000.0,9596000000.0,19190000000.0,38157000000.0,-2756000000.0,0.0,42989000000.0,0.0,14566000000.0,9564000000.0,29855000000.0,26991000000.0,4233425297.0,-2710000000.0,-167000000.0,0.0,-2373000000.0,438000000.0,-987000000.0,-1520000000.0,-830000000.0,0.0,-888000000.0,-1713000000.0,3929000000.0,4096000000.0,451000000.0,3244000000.0,2174000000.0,0.51,2174000000.0,0.0,4244000000.0,112000000.0,1612000000.0,0.51,0.0,7581000000.0,4230000000.0,5011000000.0,2681000000.0,2174000000.0,11929000000.0,2793000000.0,507000000.0,2570000000.0,2761000000.0,4348000000.0,0.0,0.112592688255362,-0.0934721483395394,38157000000.0,1.5927160905487,-0.260869565217391,0.635510101433481,2.81781280242584,0.250648635899049,0.635510101433481,9.01326876537536,5.0,0.28406576250017
1,2020-07-25 00:00:00+00:00,4,2020,3005000000.0,3990000000.0,17610000000.0,94853000000.0,2218000000.0,-519000000.0,1282000000.0,56933000000.0,16237000000.0,35382000000.0,2453000000.0,20446000000.0,11809000000.0,51280000000.0,9676000000.0,17610000000.0,37920000000.0,-2763000000.0,0.0,43573000000.0,0.0,14583000000.0,11578000000.0,31602000000.0,25331000000.0,4222296202.0,499000000.0,-204000000.0,0.0,-2859000000.0,399000000.0,1442000000.0,-1525000000.0,-90000000.0,-1500000000.0,112000000.0,793000000.0,3598000000.0,3802000000.0,444000000.0,3869000000.0,2636000000.0,0.63,2636000000.0,0.0,4242000000.0,119000000.0,1565000000.0,0.63,0.0,7684000000.0,4227000000.0,4437000000.0,3306000000.0,2636000000.0,12154000000.0,3425000000.0,670000000.0,3247000000.0,2712000000.0,4470000000.0,0.0,0.12150664337085,-0.0948763777182008,37920000000.0,1.72014527653863,0.211538461538461,0.632219845318414,2.87852851115536,0.305327004219409,0.632219845318414,8.98089527258609,7.0,0.312402496099844
3,2020-04-25 00:00:00+00:00,3,2020,4506000000.0,3909000000.0,18208000000.0,91394000000.0,2393000000.0,-1109000000.0,1212000000.0,55686000000.0,14042000000.0,35197000000.0,2535000000.0,18648000000.0,10366000000.0,50087000000.0,9332000000.0,18208000000.0,35708000000.0,-3874000000.0,0.0,41307000000.0,0.0,16084000000.0,11578000000.0,29749000000.0,25937000000.0,4240880161.0,236000000.0,-127000000.0,0.0,-2602000000.0,391000000.0,1871000000.0,-1519000000.0,-74000000.0,0.0,-1092000000.0,437000000.0,4110000000.0,4237000000.0,446000000.0,4020000000.0,2774000000.0,0.65,2774000000.0,0.0,4243000000.0,130000000.0,1546000000.0,0.66,0.0,7771000000.0,4230000000.0,4357000000.0,3444000000.0,2774000000.0,11983000000.0,3574000000.0,670000000.0,3414000000.0,2649000000.0,4212000000.0,0.0,0.115924268687602,-0.0752430930699182,35708000000.0,1.59258973666962,-0.0571428571428571,0.648502044563131,2.82559269422374,0.324241066427691,0.648502044563131,8.41995025664202,7.0,0.309807160555895
4,2020-01-25 00:00:00+00:00,2,2020,1499000000.0,3896000000.0,18587000000.0,90426000000.0,1935000000.0,-700000000.0,1353000000.0,54893000000.0,13914000000.0,35518000000.0,2621000000.0,18686000000.0,8475000000.0,50373000000.0,9046000000.0,18587000000.0,35533000000.0,-4384000000.0,0.0,40053000000.0,0.0,15993000000.0,14494000000.0,32805000000.0,22088000000.0,4242262570.0,843000000.0,-62000000.0,0.0,-4757000000.0,384000000.0,-114000000.0,-1486000000.0,0.0,-2500000000.0,-775000000.0,915000000.0,3738000000.0,3800000000.0,457000000.0,4149000000.0,2878000000.0,0.68,2878000000.0,0.0,4260000000.0,158000000.0,1570000000.0,0.68,0.0,7764000000.0,4242000000.0,4384000000.0,3534000000.0,2878000000.0,12005000000.0,3692000000.0,656000000.0,3380000000.0,2734000000.0,4241000000.0,0.0,0.116974163884465,-0.0354330708661418,35533000000.0,1.81333755885549,0.0793650793650795,0.646730528946272,2.82985784163756,0.407902513156784,0.646730528946272,8.37595490936338,8.0,0.315083623718209
5,2019-10-26 00:00:00+00:00,1,2020,4000000000.0,3963000000.0,19448000000.0,92492000000.0,2016000000.0,-815000000.0,1344000000.0,58069000000.0,14735000000.0,35685000000.0,2669000000.0,18602000000.0,8587000000.0,50776000000.0,9713000000.0,19448000000.0,34423000000.0,-5083000000.0,0.0,41716000000.0,0.0,18497000000.0,14497000000.0,33472000000.0,24597000000.0,4245290230.0,1922000000.0,-198000000.0,0.0,-8668000000.0,395000000.0,-3159000000.0,-1486000000.0,-163000000.0,-6190000000.0,-976000000.0,2283000000.0,3389000000.0,3587000000.0,461000000.0,4325000000.0,2926000000.0,0.68,2926000000.0,0.0,4273000000.0,178000000.0,1666000000.0,0.69,0.0,8464000000.0,4246000000.0,4885000000.0,3686000000.0,2926000000.0,13159000000.0,3864000000.0,760000000.0,3579000000.0,2999000000.0,4695000000.0,0.0,0.112790167011081,0.00665544675642593,34423000000.0,1.69597918445339,-0.115384615384616,0.64320997036249,3.09967029038672,0.42114284054266,0.64320997036249,8.10851511558492,7.0,0.302169836592553
6,2019-07-27 00:00:00+00:00,4,2019,10191000000.0,4065000000.0,21663000000.0,97793000000.0,2059000000.0,-792000000.0,1383000000.0,64222000000.0,15544000000.0,35730000000.0,2789000000.0,18467000000.0,11750000000.0,50038000000.0,10076000000.0,21663000000.0,33571000000.0,-5903000000.0,0.0,47755000000.0,0.0,24666000000.0,14475000000.0,32510000000.0,31712000000.0,4280733008.0,2689000000.0,-201000000.0,0.0,-5132000000.0,404000000.0,1499000000.0,-1490000000.0,0.0,913000000.0,-4617000000.0,2890000000.0,3741000000.0,3942000000.0,464000000.0,4372000000.0,2206000000.0,0.52,2206000000.0,0.0,4285000000.0,204000000.0,1753000000.0,0.52,0.0,8574000000.0,4272000000.0,4884000000.0,3704000000.0,2206000000.0,13428000000.0,3908000000.0,1498000000.0,3690000000.0,3053000000.0,4854000000.0,0.0,0.115353214002993,0.0454687013391466,33571000000.0,1.50589682139253,-0.333333333333333,0.638516532618409,3.13684595019246,0.431175717136815,0.638516532618409,7.84234848033297,7.0,0.299873558176141
8,2019-04-27 00:00:00+00:00,3,2019,7777000000.0,4023000000.0,24392000000.0,97287000000.0,2022000000.0,-896000000.0,1513000000.0,60483000000.0,13686000000.0,35942000000.0,2834000000.0,17456000000.0,10251000000.0,49976000000.0,8991000000.0,24392000000.0,36804000000.0,-2877000000.0,0.0,47311000000.0,0.0,23698000000.0,15921000000.0,32570000000.0,27913000000.0,4402027716.0,5606000000.0,-223000000.0,0.0,-9541000000.0,374000000.0,394000000.0,-1519000000.0,-576000000.0,-1997000000.0,-6058000000.0,6405000000.0,4106000000.0,4329000000.0,481000000.0,4307000000.0,3044000000.0,0.69,3044000000.0,0.0,4415000000.0,211000000.0,1659000000.0,0.7,0.0,8173000000.0,4370000000.0,4660000000.0,3615000000.0,3044000000.0,12958000000.0,3826000000.0,571000000.0,3513000000.0,2944000000.0,4785000000.0,0.0,0.1277218681908,0.0397175639894087,36804000000.0,1.6949450077025,0.25,0.630730050933786,2.94364343797784,0.432588849038148,0.630730050933786,8.36069247502212,7.0,0.321127273831577
9,2019-01-26 00:00:00+00:00,2,2019,9737000000.0,4081000000.0,30548000000.0,102462000000.0,1655000000.0,-1110000000.0,1701000000.0,61673000000.0,13367000000.0,35563000000.0,2931000000.0,17261000000.0,9835000000.0,49345000000.0,8870000000.0,30548000000.0,40789000000.0,538000000.0,0.0,53117000000.0,0.0,25630000000.0,15893000000.0,32194000000.0,29479000000.0,4495961730.0,3867000000.0,-253000000.0,0.0,-6271000000.0,389000000.0,1393000000.0,-1470000000.0,365000000.0,0.0,-4878000000.0,3767000000.0,3544000000.0,3797000000.0,487000000.0,4053000000.0,2822000000.0,0.63,2822000000.0,0.0,4505000000.0,223000000.0,1557000000.0,0.63,0.0,7773000000.0,4470000000.0,4562000000.0,3343000000.0,2822000000.0,12446000000.0,3566000000.0,521000000.0,3211000000.0,2780000000.0,4673000000.0,0.0,0.119484632548766,0.0470261630352486,40789000000.0,1.8018589504393,-1.35393258426966,0.624538004178049,2.76826199763938,0.389639363553899,0.624538004178049,9.07236370092501,8.0,0.294896333566377
10,2018-10-27 00:00:00+00:00,1,2019,7241000000.0,3960000000.0,34183000000.0,105429000000.0,1805000000.0,-1218000000.0,1572000000.0,61581000000.0,14031000000.0,36102000000.0,2956000000.0,16814000000.0,8410000000.0,49743000000.0,9300000000.0,34183000000.0,43848000000.0,3169000000.0,0.0,55686000000.0,0.0,25564000000.0,18323000000.0,35167000000.0,26414000000.0,4571334136.0,2675000000.0,-210000000.0,0.0,-6945000000.0,403000000.0,-507000000.0,-1500000000.0,-1964000000.0,0.0,-5386000000.0,4849000000.0,3553000000.0,3763000000.0,465000000.0,4595000000.0,3549000000.0,0.77,3549000000.0,0.0,4614000000.0,221000000.0,1608000000.0,0.78,0.0,8146000000.0,4565000000.0,4341000000.0,3909000000.0,3549000000.0,13072000000.0,4130000000.0,360000000.0,3805000000.0,2621000000.0,4926000000.0,0.0,0.0110064363725744,0.0771259063941991,43848000000.0,2.1082001968653,0.625,0.623164014687883,2.85955907205642,0.417875387702974,0.623164014687883,9.59194814806686,6.0,0.0272489835482916
11,2018-07-28 00:00:00+00:00,4,2018,5238000000.0,3219000000.0,37614000000.0,108784000000.0,1904000000.0,-849000000.0,1846000000.0,65580000000.0,15385000000.0,34258000000.0,3006000000.0,19685000000.0,8934000000.0,46947000000.0,9589000000.0,37614000000.0,43204000000.0,1233000000.0,0.0,61837000000.0,0.0,25569000000.0,20331000000.0,38545000000.0,27035000000.0,4702882494.0,8076000000.0,-209000000.0,0.0,-9954000000.0,392000000.0,2222000000.0,-1535000000.0,-217000000.0,-2500000000.0,-5842000000.0,8505000000.0,3891000000.0,4100000000.0,516000000.0,4332000000.0,3803000000.0,0.78,3803000000.0,0.0,4848000000.0,224000000.0,1626000000.0,0.78,0.0,7922000000.0,4672000000.0,4576000000.0,3592000000.0,3803000000.0,12844000000.0,3816000000.0,-211000000.0,3346000000.0,2891000000.0,4922000000.0,0.0,0.000907545831064469,0.0586005110030496,43204000000.0,2.28729424819678,0.591836734693878,0.616786047960137,2.73109098864081,0.470581427645588,0.616786047960137,9.18670624986277,6.0,0.00212153502702546
