,year,quarter,date,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.depamor,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.epsDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.opex,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,1,2020-10-31 00:00:00+00:00,325000000.0,89000000.0,619000000.0,9707000000.0,256000000.0,-35000000.0,0.0,4462000000.0,99000000.0,1760000000.0,975000000.0,574000000.0,5174000000.0,3056000000.0,0.0,647000000.0,5245000000.0,10926000000.0,484000000.0,6651000000.0,28000000.0,2585000000.0,2260000000.0,2310000000.0,2152000000.0,261807204.0,-130000000.0,-38000000.0,-1000000.0,-1153000000.0,111000000.0,-1239000000.0,-158000000.0,-85000000.0,-1013000000.0,88000000.0,6000000.0,7000000.0,45000000.0,59000000.0,277000000.0,198000000.0,0.75,198000000.0,0.0,265000000.0,8000000.0,325000000.0,0.75,0.0,1074000000.0,263000000.0,865000000.0,210000000.0,198000000.0,1323000000.0,218000000.0,12000000.0,209000000.0,531000000.0,249000000.0,0.0,0.224140386861522,0.135622317596567,5245000000.0,3.09061338289963,2.40909090909091,0.811791383219955,5.05333688220436,0.430886558627264,0.811791383219955,20.0338261127452,4.0,0.418110319906473
1,2020,4,2020-07-31 00:00:00+00:00,1338000000.0,77000000.0,608000000.0,10931000000.0,305000000.0,-32000000.0,0.0,5825000000.0,149000000.0,1682000000.0,960000000.0,652000000.0,6442000000.0,2951000000.0,0.0,627000000.0,5106000000.0,10885000000.0,455000000.0,7980000000.0,19000000.0,3590000000.0,2252000000.0,2296000000.0,3529000000.0,260771340.0,14000000.0,-30000000.0,6000000.0,2830000000.0,114000000.0,3137000000.0,-142000000.0,0.0,2971000000.0,51000000.0,54000000.0,257000000.0,287000000.0,64000000.0,557000000.0,445000000.0,1.68,445000000.0,0.0,264000000.0,7000000.0,393000000.0,1.7,0.0,1499000000.0,261000000.0,1016000000.0,486000000.0,445000000.0,1816000000.0,493000000.0,41000000.0,483000000.0,617000000.0,317000000.0,0.0,0.231292947845087,0.826961770623742,5106000000.0,2.26126381411165,-11.0,0.825440528634361,6.96395547148701,0.441049745397571,0.825440528634361,19.5803725976942,6.0,0.424503080320818
3,2020,3,2020-04-30 00:00:00+00:00,350000000.0,6000000.0,600000000.0,7764000000.0,384000000.0,-44000000.0,0.0,3024000000.0,219000000.0,1687000000.0,965000000.0,632000000.0,3371000000.0,2902000000.0,347000000.0,619000000.0,4740000000.0,10581000000.0,389000000.0,4862000000.0,19000000.0,613000000.0,263000000.0,311000000.0,2713000000.0,260489463.0,-15000000.0,-39000000.0,-10000000.0,-254000000.0,103000000.0,1658000000.0,-139000000.0,0.0,-13000000.0,-6000000.0,23000000.0,1898000000.0,1937000000.0,68000000.0,1478000000.0,1084000000.0,4.11,1084000000.0,0.0,264000000.0,2000000.0,332000000.0,4.15,0.0,2581000000.0,261000000.0,1168000000.0,1408000000.0,1084000000.0,3002000000.0,1410000000.0,324000000.0,1413000000.0,829000000.0,421000000.0,0.0,0.198581560283688,-0.0825183374083129,4740000000.0,1.79211205307777,-0.216981132075472,0.859760159893404,11.5244584768483,0.0554852320675105,0.859760159893404,18.1965133844972,7.0,0.337434538456685
4,2020,2,2020-01-31 00:00:00+00:00,38000000.0,52000000.0,625000000.0,6701000000.0,455000000.0,-35000000.0,0.0,2974000000.0,603000000.0,1696000000.0,1055000000.0,671000000.0,1641000000.0,3011000000.0,55000000.0,638000000.0,3727000000.0,9637000000.0,461000000.0,3690000000.0,13000000.0,697000000.0,659000000.0,770000000.0,2204000000.0,260300339.0,-39000000.0,-30000000.0,-2000000.0,-217000000.0,107000000.0,59000000.0,-139000000.0,0.0,-12000000.0,-80000000.0,-8000000.0,287000000.0,317000000.0,73000000.0,358000000.0,240000000.0,0.91,240000000.0,0.0,264000000.0,3000000.0,333000000.0,0.92,0.0,1362000000.0,261000000.0,1092000000.0,282000000.0,240000000.0,1696000000.0,285000000.0,42000000.0,270000000.0,752000000.0,334000000.0,0.0,0.250115013034811,0.129161118508655,3727000000.0,1.67422867513612,0.26027397260274,0.803066037735849,6.51555048493425,0.176817815937752,0.803066037735849,14.3180758592865,7.0,0.429804334936425
5,2020,1,2019-10-31 00:00:00+00:00,50000000.0,86000000.0,625000000.0,6183000000.0,272000000.0,-35000000.0,0.0,2550000000.0,104000000.0,1704000000.0,1080000000.0,554000000.0,1630000000.0,3021000000.0,68000000.0,638000000.0,3633000000.0,9537000000.0,413000000.0,3162000000.0,13000000.0,720000000.0,670000000.0,793000000.0,1757000000.0,260073642.0,-57000000.0,-38000000.0,0.0,-325000000.0,111000000.0,-509000000.0,-141000000.0,0.0,-13000000.0,-77000000.0,0.0,-165000000.0,-127000000.0,73000000.0,97000000.0,57000000.0,0.22,57000000.0,0.0,264000000.0,2000000.0,334000000.0,0.22,0.0,881000000.0,261000000.0,871000000.0,22000000.0,57000000.0,1165000000.0,24000000.0,-35000000.0,10000000.0,529000000.0,284000000.0,0.0,0.255684116837932,0.146653543307087,3633000000.0,1.79965850882186,0.692307692307692,0.756223175965665,4.47950046394936,0.184420589044866,0.756223175965665,13.9691203309253,2.0,0.443571027512633
6,2019,4,2019-07-31 00:00:00+00:00,50000000.0,66000000.0,624000000.0,6283000000.0,274000000.0,-36000000.0,0.0,2534000000.0,87000000.0,1709000000.0,780000000.0,619000000.0,2116000000.0,2689000000.0,37000000.0,637000000.0,3749000000.0,9621000000.0,436000000.0,3594000000.0,13000000.0,436000000.0,386000000.0,568000000.0,1966000000.0,259243385.0,-318000000.0,-26000000.0,3000000.0,-340000000.0,98000000.0,-777000000.0,-127000000.0,-64000000.0,-12000000.0,-95000000.0,-223000000.0,-148000000.0,-122000000.0,59000000.0,-75000000.0,-44000000.0,-0.17,-44000000.0,0.0,264000000.0,3000000.0,333000000.0,-0.17,0.0,718000000.0,260000000.0,871000000.0,-137000000.0,-44000000.0,994000000.0,-134000000.0,-93000000.0,-153000000.0,531000000.0,276000000.0,0.0,0.265439202148063,0.150462962962963,3749000000.0,1.82807731434385,0.0625,0.722334004024145,3.83423476745607,0.102960789543878,0.722334004024145,14.461314027357,5.0,0.464880197059043
8,2019,3,2019-04-30 00:00:00+00:00,50000000.0,3000000.0,400000000.0,6917000000.0,383000000.0,-38000000.0,0.0,2847000000.0,262000000.0,1654000000.0,799000000.0,572000000.0,2946000000.0,2668000000.0,351000000.0,413000000.0,4070000000.0,9789000000.0,383000000.0,4249000000.0,13000000.0,448000000.0,398000000.0,556000000.0,2291000000.0,259072994.0,-209000000.0,-49000000.0,-4000000.0,-215000000.0,98000000.0,1820000000.0,-123000000.0,0.0,35000000.0,-57000000.0,-150000000.0,2199000000.0,2248000000.0,54000000.0,1855000000.0,1378000000.0,5.22,1378000000.0,0.0,264000000.0,4000000.0,311000000.0,5.3,0.0,2923000000.0,260000000.0,1139000000.0,1797000000.0,1378000000.0,3272000000.0,1801000000.0,419000000.0,1784000000.0,822000000.0,349000000.0,0.0,0.280182844850766,0.123626373626374,4070000000.0,1.85464862505456,0.147186147186147,0.893337408312958,12.6296452188297,0.0977886977886978,0.893337408312958,15.7098582031287,9.0,0.501604621309371
9,2019,2,2019-01-31 00:00:00+00:00,50000000.0,70000000.0,258000000.0,5335000000.0,400000000.0,-36000000.0,0.0,2539000000.0,554000000.0,1660000000.0,810000000.0,639000000.0,1075000000.0,2691000000.0,51000000.0,271000000.0,2796000000.0,8537000000.0,434000000.0,2644000000.0,13000000.0,413000000.0,363000000.0,538000000.0,2001000000.0,259508568.0,-57000000.0,-45000000.0,2000000.0,-299000000.0,100000000.0,-13000000.0,-122000000.0,0.0,-12000000.0,-145000000.0,-21000000.0,296000000.0,341000000.0,55000000.0,294000000.0,189000000.0,0.72,189000000.0,0.0,264000000.0,4000000.0,295000000.0,0.73,0.0,1222000000.0,260000000.0,989000000.0,235000000.0,189000000.0,1502000000.0,239000000.0,46000000.0,233000000.0,688000000.0,280000000.0,0.0,0.258874622356495,0.121732636295743,2796000000.0,1.32133933033483,0.0138888888888888,0.81358189081225,5.78786285006205,0.129828326180257,0.81358189081225,10.7742107381981,7.0,0.509760178471835
10,2019,1,2018-10-31 00:00:00+00:00,50000000.0,116000000.0,248000000.0,4928000000.0,209000000.0,-40000000.0,0.0,2146000000.0,77000000.0,1665000000.0,805000000.0,513000000.0,1084000000.0,2696000000.0,65000000.0,261000000.0,2782000000.0,8472000000.0,438000000.0,2232000000.0,13000000.0,425000000.0,375000000.0,560000000.0,1586000000.0,258671620.0,-51000000.0,-35000000.0,-4000000.0,-111000000.0,105000000.0,-309000000.0,-129000000.0,0.0,-13000000.0,25000000.0,-20000000.0,-178000000.0,-143000000.0,57000000.0,47000000.0,34000000.0,0.13,34000000.0,0.0,264000000.0,4000000.0,294000000.0,0.13,0.0,774000000.0,260000000.0,784000000.0,-14000000.0,34000000.0,1016000000.0,-10000000.0,-48000000.0,-10000000.0,483000000.0,242000000.0,0.0,0.263170578878874,0.116483516483517,2782000000.0,1.40731399747793,-14.0,0.761811023622047,3.92775983697013,0.134795111430625,0.761811023622047,10.7549486874517,4.0,0.598749862923566
11,2018,4,2018-07-31 00:00:00+00:00,50000000.0,39000000.0,252000000.0,5134000000.0,178000000.0,-36000000.0,0.0,2318000000.0,98000000.0,1672000000.0,812000000.0,581000000.0,1464000000.0,2712000000.0,68000000.0,265000000.0,2816000000.0,8564000000.0,367000000.0,2422000000.0,13000000.0,438000000.0,388000000.0,575000000.0,1743000000.0,256588282.0,9000000.0,-27000000.0,-4000000.0,-170000000.0,99000000.0,-202000000.0,-102000000.0,0.0,-12000000.0,90000000.0,17000000.0,-64000000.0,-37000000.0,62000000.0,-127000000.0,-38000000.0,-0.16,-38000000.0,0.0,264000000.0,4000000.0,311000000.0,-0.16,0.0,640000000.0,256000000.0,840000000.0,-193000000.0,-38000000.0,864000000.0,-189000000.0,-155000000.0,-200000000.0,522000000.0,224000000.0,0.0,0.267364079867223,0.00348432055749126,2816000000.0,1.38955823293173,-2.06666666666667,0.740740740740741,3.36726211059007,0.137784090909091,0.740740740740741,10.9747802122936,6.0,0.705039787798408
