,date,quarter,year,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,0.0,187786000000.0,21103000000.0,1856000000.0,37015000000.0,118581000000.0,17502000000.0,1873000000.0,0.0,13348000000.0,36919000000.0,0.0,815000000.0,0.0,17851000000.0,451365891.0,56413000000.0,131373000000.0,-357000000.0,-3897000000.0,-7000000.0,3544000000.0,3000000.0,-4035000000.0,0.0,0.0,72000000.0,3544000000.0,-9000000.0,988000000.0,164000000.0,664000000.0,1194000000.0,6033000000.0,2.64,1194000000.0,2.63,1466000000.0,0.0,1538000000.0,451365891.0,0.0,0.0,1965000000.0,733000000.0,3431000000.0,1336000000.0,9464000000.0,130000000.0,142000000.0,1194000000.0,1466000000.0,0.0,0.0127229505234037,5.0,56413000000.0,0.1,20.9674682750895,0.362531699070161,0.316434155247904,0.0463239358761747,124.982860080582,0.362531699070161,0.0418470880334338
1,2020-06-30 00:00:00+00:00,2,2020,0.0,181474000000.0,21093000000.0,1098000000.0,35877000000.0,112241000000.0,17081000000.0,1709000000.0,0.0,13578000000.0,35991000000.0,0.0,696000000.0,0.0,16673000000.0,451357210.0,54760000000.0,126714000000.0,-339000000.0,-1588000000.0,0.0,1985000000.0,17000000.0,-1684000000.0,0.0,0.0,72000000.0,1985000000.0,3000000.0,0.0,51000000.0,-253000000.0,-331000000.0,6800000000.0,-0.73,-331000000.0,-0.73,-265000000.0,0.0,-193000000.0,451357210.0,0.0,0.0,2450000000.0,727000000.0,2185000000.0,-393000000.0,8985000000.0,128000000.0,-62000000.0,-331000000.0,-265000000.0,0.0,0.0123674811657695,5.0,54760000000.0,-1.28968253968254,19.9066278347476,0.243183082915971,0.304474068663258,0.0537117391814237,121.322976096914,0.243183082915971,0.0403024993083095
2,2020-03-31 00:00:00+00:00,1,2020,0.0,173127000000.0,20873000000.0,-2093000000.0,34379000000.0,106630000000.0,16459000000.0,1658000000.0,0.0,12628000000.0,36331000000.0,0.0,474000000.0,0.0,16526000000.0,451907796.0,52197000000.0,120930000000.0,-339000000.0,665000000.0,-1550000000.0,1712000000.0,-276000000.0,-1010000000.0,0.0,0.0,73000000.0,1712000000.0,-45000000.0,0.0,12000000.0,-645000000.0,252000000.0,4614000000.0,0.56,252000000.0,0.55,599000000.0,0.0,672000000.0,451907796.0,0.0,0.0,2484000000.0,741000000.0,3083000000.0,467000000.0,7697000000.0,132000000.0,215000000.0,252000000.0,599000000.0,0.0,0.0209565349118379,4.0,52197000000.0,-0.753303964757709,17.0322354872586,0.400545667143043,0.316608234189704,-0.0227272727272727,115.503650218064,0.400545667143043,0.0679197043102889
3,2019-12-31 00:00:00+00:00,4,2019,0.0,176943000000.0,21359000000.0,619000000.0,34132000000.0,110566000000.0,16771000000.0,1646000000.0,0.0,13004000000.0,36142000000.0,0.0,804000000.0,0.0,16582000000.0,453202305.0,55331000000.0,121612000000.0,-340000000.0,-1904000000.0,-29000000.0,1429000000.0,-278000000.0,-2344000000.0,0.0,0.0,76000000.0,1429000000.0,-1000000.0,1535000000.0,57000000.0,973000000.0,1173000000.0,5090000000.0,2.59,1173000000.0,2.58,1476000000.0,0.0,1552000000.0,453202305.0,0.0,0.0,2172000000.0,810000000.0,3648000000.0,1342000000.0,8738000000.0,134000000.0,169000000.0,1173000000.0,1476000000.0,0.0,0.0255260375325595,7.0,55331000000.0,2.27848101265823,19.2805727234772,0.417486839093614,0.299687336212973,0.145816942040388,122.088964220956,0.417486839093614,0.0824585763213922
5,2019-09-30 00:00:00+00:00,3,2019,0.0,175148000000.0,21378000000.0,521000000.0,19470000000.0,108242000000.0,16571000000.0,1589000000.0,0.0,13094000000.0,34969000000.0,0.0,766000000.0,0.0,15019000000.0,455749479.0,54572000000.0,120576000000.0,-343000000.0,-1175000000.0,-329000000.0,2205000000.0,-402000000.0,-1274000000.0,0.0,0.0,76000000.0,2205000000.0,-17000000.0,-4000000.0,221000000.0,-693000000.0,1091000000.0,5210000000.0,2.4,1091000000.0,2.38,1459000000.0,0.0,1535000000.0,455749479.0,0.0,0.0,2376000000.0,752000000.0,3835000000.0,1321000000.0,9045000000.0,138000000.0,230000000.0,1091000000.0,1459000000.0,0.0,0.0211155343780761,7.0,54572000000.0,-0.0977443609022557,19.8464297092482,0.423991155334439,0.275214395660778,0.0337142857142858,119.741223006423,0.423991155334439,0.0689155187854493
6,2019-06-30 00:00:00+00:00,2,2019,0.0,174516000000.0,21566000000.0,139000000.0,19737000000.0,106789000000.0,16403000000.0,1368000000.0,0.0,13700000000.0,33878000000.0,0.0,697000000.0,0.0,15104000000.0,457870731.0,53802000000.0,120714000000.0,-335000000.0,-974000000.0,0.0,1386000000.0,-314000000.0,-1614000000.0,0.0,0.0,77000000.0,1386000000.0,4000000.0,786000000.0,-25000000.0,199000000.0,1150000000.0,4876000000.0,2.52,1150000000.0,2.5,1498000000.0,0.0,1575000000.0,457870731.0,0.0,0.0,2153000000.0,758000000.0,3651000000.0,1358000000.0,8527000000.0,140000000.0,208000000.0,1150000000.0,1498000000.0,0.0,0.0221687963623447,7.0,53802000000.0,-0.0935251798561151,18.6231602561204,0.428169344435323,0.280733058250623,0.00199764982373685,117.504781060137,0.428169344435323,0.0728244046614562
7,2019-03-31 00:00:00+00:00,1,2019,0.0,171347000000.0,21419000000.0,-770000000.0,19540000000.0,103968000000.0,15909000000.0,1393000000.0,0.0,12524000000.0,32728000000.0,0.0,541000000.0,0.0,14307000000.0,458380937.0,52355000000.0,118992000000.0,-336000000.0,-586000000.0,0.0,1322000000.0,-332000000.0,-673000000.0,0.0,0.0,76000000.0,1322000000.0,34000000.0,1000000.0,53000000.0,-630000000.0,1040000000.0,4294000000.0,2.27,1040000000.0,2.25,1368000000.0,0.0,1444000000.0,458380937.0,0.0,0.0,2214000000.0,710000000.0,3582000000.0,1228000000.0,7876000000.0,140000000.0,188000000.0,1040000000.0,1368000000.0,0.0,0.023252503203151,7.0,52355000000.0,-0.0215517241379309,17.1822154113708,0.45479939055358,0.273269028746061,0.00574639254245946,114.217228017054,0.45479939055358,0.076647830592652
8,2018-12-31 00:00:00+00:00,4,2018,0.0,167771000000.0,21414000000.0,-2448000000.0,18835000000.0,101646000000.0,15532000000.0,1340000000.0,0.0,12619000000.0,31700000000.0,0.0,304000000.0,0.0,14322000000.0,460805372.0,50312000000.0,117459000000.0,-336000000.0,-506000000.0,0.0,1583000000.0,-283000000.0,-808000000.0,0.0,0.0,86000000.0,1583000000.0,-25000000.0,4000000.0,183000000.0,-567000000.0,355000000.0,4772000000.0,0.79,355000000.0,0.78,667000000.0,0.0,753000000.0,460805372.0,0.0,0.0,2187000000.0,728000000.0,2854000000.0,514000000.0,7626000000.0,153000000.0,159000000.0,355000000.0,667000000.0,0.0,0.0235914077734939,5.0,50312000000.0,-0.759146341463415,16.5492862353176,0.374246000524521,0.284663698521228,-0.0485339987523393,109.182754926737,0.374246000524521,0.0778756191524491
10,2018-09-30 00:00:00+00:00,3,2018,0.0,167684000000.0,21471000000.0,-2159000000.0,17799000000.0,101819000000.0,15725000000.0,1157000000.0,0.0,12741000000.0,31491000000.0,0.0,363000000.0,0.0,14371000000.0,463258917.0,50934000000.0,116750000000.0,-340000000.0,-776000000.0,0.0,1700000000.0,-359000000.0,-867000000.0,0.0,0.0,83000000.0,1700000000.0,-2000000.0,-100000000.0,56000000.0,-775000000.0,1231000000.0,4995000000.0,2.66,1231000000.0,2.64,1578000000.0,0.0,1661000000.0,463258917.0,0.0,0.0,2177000000.0,719000000.0,3755000000.0,1414000000.0,8750000000.0,164000000.0,183000000.0,1231000000.0,1578000000.0,0.0,0.0306398756521778,6.0,50934000000.0,-18.7333333333333,18.8879256910235,0.429142857142857,0.28214944830565,0.0162601626016261,109.947155102467,0.429142857142857,0.1006048031943
11,2018-06-30 00:00:00+00:00,2,2018,0.0,167534000000.0,21759000000.0,-1520000000.0,17736000000.0,101861000000.0,15748000000.0,1101000000.0,0.0,13027000000.0,30260000000.0,0.0,326000000.0,0.0,14505000000.0,465802115.0,50971000000.0,116563000000.0,-331000000.0,-271000000.0,0.0,1646000000.0,-292000000.0,-379000000.0,0.0,0.0,85000000.0,1646000000.0,-63000000.0,-1603000000.0,-1012000000.0,-2216000000.0,1294000000.0,4637000000.0,2.78,1294000000.0,2.76,1679000000.0,0.0,1764000000.0,465802115.0,0.0,0.0,2194000000.0,747000000.0,3873000000.0,1512000000.0,8510000000.0,167000000.0,218000000.0,1294000000.0,1679000000.0,0.0,0.0228881452941133,5.0,50971000000.0,-0.00358422939068104,18.269560669556,0.455111633372503,0.284573581055895,0.049580661075481,109.426295756515,0.455111633372503,0.0753110578172741
