,date,quarter,year,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-30 00:00:00+00:00,2,2021,4938000000.0,59624000000.0,26036000000.0,95886000000.0,4041000000.0,45570000000.0,3176000000.0,69850000000.0,27526000000.0,4226000000.0,4484000000.0,33499000000.0,30008000000.0,7857000000.0,1902000000.0,0.0,25967000000.0,12071000000.0,50164000000.0,7857000000.0,5348000000.0,6420000000.0,-3843000000.0,0.0,0.0,1344215261.0,32000000.0,48000000.0,-1381000000.0,-79000000.0,-2020000000.0,-780000000.0,140000000.0,25000000.0,-370000000.0,-281000000.0,1861000000.0,806000000.0,1580000000.0,671000000.0,494000000.0,4942000000.0,1344400000.0,489000000.0,930000000.0,0.36,4012000000.0,1352100000.0,470000000.0,2705000000.0,0.0,0.36,0.0,7647000000.0,2600000000.0,639000000.0,5000000.0,31000000.0,520000000.0,990000000.0,1661000000.0,489000000.0,0.037899507906446,-0.00765637165844801,50316000000.0,2.15690497887499,-0.647058823529412,0.646266509742383,5.6888209960592,0.517642133801132,0.646266509742383,37.4315048041997,3.0,0.0696928647077658
1,2020-07-31 00:00:00+00:00,1,2021,4882000000.0,59384000000.0,24509000000.0,93906000000.0,5823000000.0,43463000000.0,2988000000.0,69397000000.0,27817000000.0,4340000000.0,4551000000.0,30377000000.0,28690000000.0,6513000000.0,1720000000.0,0.0,22867000000.0,13086000000.0,50296000000.0,6513000000.0,4876000000.0,6499000000.0,-3782000000.0,0.0,0.0,1341298882.0,1959000000.0,114000000.0,358000000.0,2359000000.0,8000000.0,-778000000.0,70000000.0,26000000.0,0.0,-334000000.0,278000000.0,2762000000.0,-56000000.0,669000000.0,491000000.0,4002000000.0,1341900000.0,487000000.0,673000000.0,0.36,3329000000.0,1350000000.0,171000000.0,2505000000.0,0.0,0.36,0.0,6507000000.0,2417000000.0,621000000.0,4000000.0,93000000.0,580000000.0,751000000.0,1420000000.0,487000000.0,0.0478953510462181,-0.13158948351795,50443000000.0,1.87291762188599,-0.4375,0.615029967727063,4.85126774302344,0.454648480992524,0.615029967727063,37.6075762657648,3.0,0.086756890949223
2,2020-04-24 00:00:00+00:00,4,2020,4828000000.0,58904000000.0,22031000000.0,90689000000.0,2776000000.0,39817000000.0,2832000000.0,68658000000.0,28132000000.0,4358000000.0,4229000000.0,29451000000.0,24797000000.0,6808000000.0,1996000000.0,0.0,22021000000.0,10366000000.0,50737000000.0,6808000000.0,4645000000.0,4140000000.0,-3560000000.0,0.0,0.0,1340166137.0,-1310000000.0,-74000000.0,993000000.0,431000000.0,365000000.0,-724000000.0,62000000.0,-41000000.0,-289000000.0,-336000000.0,1450000000.0,-538000000.0,1114000000.0,672000000.0,639000000.0,3733000000.0,1340700000.0,646000000.0,316000000.0,0.48,3417000000.0,1349600000.0,162000000.0,2264000000.0,0.0,0.47,0.0,5997000000.0,2359000000.0,568000000.0,-7000000.0,-434000000.0,212000000.0,374000000.0,1046000000.0,646000000.0,0.0523628332130595,-0.263810459121041,50872000000.0,2.12531352498553,-0.448275862068966,0.622477905619476,4.47481833366157,0.434022508228709,0.622477905619476,37.9594727813959,6.0,0.09413915453643
4,2020-01-24 00:00:00+00:00,3,2020,4764000000.0,59547000000.0,24043000000.0,92822000000.0,844000000.0,40869000000.0,2272000000.0,68779000000.0,28210000000.0,4477000000.0,4122000000.0,32134000000.0,25576000000.0,7919000000.0,1945000000.0,0.0,24732000000.0,8735000000.0,51808000000.0,7919000000.0,6248000000.0,3709000000.0,-2546000000.0,0.0,0.0,1340377511.0,-873000000.0,14000000.0,-1492000000.0,-253000000.0,-1801000000.0,-723000000.0,66000000.0,-93000000.0,2000000.0,-293000000.0,2407000000.0,-37000000.0,2114000000.0,663000000.0,1919000000.0,5317000000.0,1340500000.0,1915000000.0,1639000000.0,1.43,3678000000.0,1351500000.0,156000000.0,2400000000.0,0.0,1.42,0.0,7717000000.0,2587000000.0,573000000.0,4000000.0,-340000000.0,1575000000.0,1731000000.0,2394000000.0,1915000000.0,0.0582725984480741,0.0226610124569309,51953000000.0,2.7524899828277,0.505263157894737,0.688998315407542,5.75733324132144,0.477378011117974,0.688998315407542,38.7599758826452,6.0,0.104811674225991
5,2019-10-25 00:00:00+00:00,2,2020,4756000000.0,59727000000.0,22653000000.0,91053000000.0,875000000.0,40334000000.0,1804000000.0,68400000000.0,27018000000.0,4523000000.0,4042000000.0,32164000000.0,25627000000.0,6436000000.0,1965000000.0,0.0,24752000000.0,8170000000.0,50578000000.0,6436000000.0,6118000000.0,3962000000.0,-2611000000.0,0.0,0.0,1341669471.0,-1741000000.0,-28000000.0,-866000000.0,-1118000000.0,-1216000000.0,-723000000.0,108000000.0,-407000000.0,-56000000.0,-283000000.0,1867000000.0,-604000000.0,1584000000.0,671000000.0,1371000000.0,5312000000.0,1340800000.0,1364000000.0,1351000000.0,1.02,3961000000.0,1351400000.0,165000000.0,2394000000.0,0.0,1.01,0.0,7706000000.0,2620000000.0,603000000.0,7000000.0,-77000000.0,1287000000.0,1452000000.0,2123000000.0,1364000000.0,0.0517706413117299,0.0300761930223232,50719000000.0,2.77270501835985,0.228915662650603,0.689332987282637,5.74359047929771,0.489382735576733,0.689332987282637,37.8029023513497,7.0,0.0929797222955178
6,2019-07-26 00:00:00+00:00,1,2020,4711000000.0,60316000000.0,22705000000.0,91268000000.0,1458000000.0,40771000000.0,1545000000.0,68563000000.0,26377000000.0,4719000000.0,3932000000.0,32253000000.0,26262000000.0,5603000000.0,1906000000.0,0.0,24804000000.0,8518000000.0,50363000000.0,5603000000.0,5894000000.0,5080000000.0,-2484000000.0,0.0,0.0,1341156703.0,-274000000.0,2000000.0,-100000000.0,687000000.0,-551000000.0,-724000000.0,61000000.0,-123000000.0,-145000000.0,-301000000.0,1510000000.0,620000000.0,1209000000.0,657000000.0,877000000.0,5127000000.0,1340800000.0,864000000.0,1485000000.0,0.64,3642000000.0,1351900000.0,609000000.0,2366000000.0,0.0,0.64,0.0,7493000000.0,2543000000.0,587000000.0,13000000.0,100000000.0,964000000.0,1573000000.0,2230000000.0,864000000.0,0.0494072803080689,0.0147616468039002,50497000000.0,2.66553181498004,-0.189873417721519,0.684238622714534,5.58696831118921,0.492504417925858,0.684238622714534,37.6518268797707,7.0,0.0884486467557156
7,2019-04-26 00:00:00+00:00,4,2019,4675000000.0,60519000000.0,21967000000.0,89694000000.0,838000000.0,39482000000.0,1519000000.0,67727000000.0,26270000000.0,4683000000.0,3753000000.0,31010000000.0,25324000000.0,5455000000.0,1953000000.0,0.0,24486000000.0,8472000000.0,50091000000.0,5455000000.0,6222000000.0,4393000000.0,-2711000000.0,0.0,0.0,1341150970.0,-860000000.0,-8000000.0,-21000000.0,690000000.0,-529000000.0,-671000000.0,62000000.0,-48000000.0,-212000000.0,-335000000.0,2087000000.0,-145000000.0,1752000000.0,667000000.0,1182000000.0,5663000000.0,1341300000.0,1172000000.0,1946000000.0,0.87,3717000000.0,1351500000.0,718000000.0,2483000000.0,0.0,0.87,0.0,8146000000.0,2620000000.0,594000000.0,10000000.0,110000000.0,1282000000.0,2000000000.0,2667000000.0,1172000000.0,0.0519906257455199,0.000245579567780041,50212000000.0,2.59289423984891,-0.194444444444445,0.695187822244046,6.07388741626903,0.488830328801581,0.695187822244046,37.4394837890622,7.0,0.0927354556422746
9,2019-01-25 00:00:00+00:00,3,2019,4593000000.0,60838000000.0,20877000000.0,88730000000.0,1356000000.0,38789000000.0,1496000000.0,67853000000.0,25769000000.0,4878000000.0,3866000000.0,29936000000.0,25030000000.0,5439000000.0,1706000000.0,0.0,23674000000.0,8853000000.0,49829000000.0,5439000000.0,5854000000.0,3703000000.0,-2458000000.0,0.0,0.0,1343045417.0,-1268000000.0,14000000.0,792000000.0,-208000000.0,-1009000000.0,-671000000.0,60000000.0,-590000000.0,-1496000000.0,-302000000.0,2055000000.0,-6000000.0,1753000000.0,675000000.0,1271000000.0,5281000000.0,1342800000.0,1269000000.0,1542000000.0,0.95,3739000000.0,1352700000.0,243000000.0,2265000000.0,0.0,0.94,0.0,7546000000.0,2596000000.0,561000000.0,2000000.0,99000000.0,1368000000.0,1611000000.0,2286000000.0,1269000000.0,0.0549618150024861,0.0240195413217532,49941000000.0,2.35818366655371,-1.92233009708738,0.699840975351179,5.6185739547481,0.475104858616468,0.699840975351179,37.1848929067155,7.0,0.0981934324782913
10,2018-10-26 00:00:00+00:00,2,2019,4536000000.0,59424000000.0,21653000000.0,88150000000.0,1343000000.0,38436000000.0,1414000000.0,66497000000.0,25171000000.0,4811000000.0,3763000000.0,29973000000.0,25016000000.0,6222000000.0,1742000000.0,0.0,23673000000.0,8463000000.0,49607000000.0,6222000000.0,5743000000.0,3911000000.0,-2612000000.0,0.0,0.0,1350511193.0,-1730000000.0,-23000000.0,342000000.0,-469000000.0,121000000.0,-674000000.0,104000000.0,-873000000.0,-15000000.0,-206000000.0,1163000000.0,-199000000.0,957000000.0,651000000.0,1120000000.0,5278000000.0,1349200000.0,1115000000.0,1544000000.0,0.83,3734000000.0,1360900000.0,241000000.0,2203000000.0,0.0,0.82,0.0,7481000000.0,2605000000.0,590000000.0,5000000.0,235000000.0,1350000000.0,1591000000.0,2242000000.0,1115000000.0,0.0247737383034208,0.0611347517730496,49714000000.0,2.55854897790382,-0.442953020134228,0.705520652319209,5.53938393015599,0.477210877497127,0.705520652319209,36.8112461841699,8.0,0.0450432054187315
11,2018-07-27 00:00:00+00:00,1,2019,4524000000.0,60225000000.0,22460000000.0,89721000000.0,1545000000.0,39392000000.0,1413000000.0,67261000000.0,24730000000.0,5173000000.0,3681000000.0,30280000000.0,25223000000.0,6624000000.0,1789000000.0,0.0,23678000000.0,9112000000.0,50224000000.0,6624000000.0,5674000000.0,4380000000.0,-2323000000.0,0.0,0.0,1351709097.0,-1573000000.0,-61000000.0,1038000000.0,711000000.0,643000000.0,-677000000.0,64000000.0,-374000000.0,-104000000.0,-291000000.0,1702000000.0,-517000000.0,1411000000.0,666000000.0,1077000000.0,5180000000.0,1352700000.0,1075000000.0,1236000000.0,0.79,3944000000.0,1365400000.0,242000000.0,2204000000.0,0.0,0.79,0.0,7384000000.0,2597000000.0,585000000.0,2000000.0,103000000.0,1178000000.0,1420000000.0,2086000000.0,1075000000.0,0.0340682657820191,-0.00081190798376185,50329000000.0,2.46488147497805,0.0533333333333335,0.701516793066089,5.46271384603991,0.4714479133482,0.701516793066089,37.2336030819803,8.0,0.0624336901113759
