,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.investments,statementData.balanceSheet.inventory,statementData.balanceSheet.intangibles,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxAssets,statementData.balanceSheet.debt,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netinc,statementData.incomeStatement.opex,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.intexp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.costRev,statementData.incomeStatement.epsDil,statementData.incomeStatement.grossProfit,statementData.incomeStatement.taxExp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.ebitda,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.piotroskiFScore,statementData.overview.longTermDebtEquity,statementData.overview.bvps,statementData.overview.epsQoQ,statementData.overview.profitMargin,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.roe
0,2018-09-30 00:00:00+00:00,3,2018,1710000000.0,507000000.0,0.0,2931000000.0,-463000000.0,4362000000.0,0.0,0.0,0.0,7771000000.0,2506000000.0,7902000000.0,0.0,418179224.0,5201000000.0,565000000.0,8741000000.0,81000000.0,124000000.0,2526000000.0,213000000.0,20000000.0,9156000000.0,3491000000.0,1421000000.0,13103000000.0,0.0,-23000000.0,77000000.0,-256000000.0,-12000000.0,-13000000.0,-107000000.0,0.0,-359000000.0,-397000000.0,7000000.0,-14000000.0,-11000000.0,35000000.0,895000000.0,148000000.0,167000000.0,413000000.0,0.0,129000000.0,590000000.0,129000000.0,158000000.0,351000000.0,0.0,416000000.0,167000000.0,19000000.0,0.0,0.31,138000000.0,0.31,757000000.0,19000000.0,129000000.0,244000000.0,7902000000.0,2.55087719298246,4.0,0.317134902556315,18.8962041787136,-0.225,0.845810055865922,0.0312870529738,-0.0458422174840085,2.14023066817877,0.845810055865922,0.0597494613052847
1,2018-06-30 00:00:00+00:00,2,2018,2154000000.0,525000000.0,0.0,3328000000.0,-440000000.0,4762000000.0,0.0,0.0,0.0,7836000000.0,2510000000.0,7861000000.0,0.0,416617226.0,5733000000.0,652000000.0,8832000000.0,87000000.0,121000000.0,2780000000.0,222000000.0,270000000.0,9134000000.0,3579000000.0,1589000000.0,13594000000.0,-25000000.0,250000000.0,86000000.0,20000000.0,-12000000.0,-37000000.0,-107000000.0,0.0,-199000000.0,-78000000.0,-66000000.0,-104000000.0,262000000.0,33000000.0,938000000.0,82000000.0,102000000.0,413000000.0,0.0,166000000.0,690000000.0,166000000.0,162000000.0,339000000.0,0.0,415000000.0,102000000.0,20000000.0,0.0,0.4,146000000.0,0.4,792000000.0,-84000000.0,166000000.0,188000000.0,7861000000.0,2.21077065923863,7.0,0.31929779926218,18.868638907408,-0.2,0.844349680170576,0.0360388349514563,-0.133887349953832,2.25146715368894,0.844349680170576,0.0730306130479263
2,2018-03-31 00:00:00+00:00,1,2018,3321000000.0,793000000.0,0.0,3405000000.0,-290000000.0,4408000000.0,0.0,0.0,0.0,7915000000.0,2514000000.0,5895000000.0,0.0,416924204.0,7165000000.0,518000000.0,8652000000.0,85000000.0,346000000.0,2783000000.0,237000000.0,269000000.0,6971000000.0,3844000000.0,3109000000.0,13060000000.0,0.0,534000000.0,94000000.0,-18000000.0,-14000000.0,-14000000.0,-107000000.0,0.0,-135000000.0,433000000.0,-9000000.0,34000000.0,548000000.0,31000000.0,1083000000.0,243000000.0,267000000.0,414000000.0,0.0,207000000.0,662000000.0,207000000.0,166000000.0,390000000.0,0.0,415000000.0,267000000.0,24000000.0,0.0,0.5,154000000.0,0.49,929000000.0,36000000.0,207000000.0,361000000.0,5895000000.0,1.32731105088829,6.0,0.4264631043257,14.1392606700282,-3.17391304347826,0.857802400738689,0.0377912746615855,-0.00914913083257085,2.59759445388304,0.857802400738689,0.0812910938433951
