,date,quarter,year,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.rps,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.epsQoQ,statementData.overview.revenueQoQ,statementData.overview.roa,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.piotroskiFScore,statementData.overview.grossMargin
0,2020-09-30 00:00:00+00:00,3,2020,3890100000.0,0.0,-154900000.0,0.0,81600000.0,0.0,929400000.0,2848900000.0,400400000.0,3674000000.0,7669500000.0,0.0,514800000.0,2266400000.0,404800000.0,3689100000.0,46553083.0,2310800000.0,250000000.0,-99700000.0,-500000.0,4800000.0,4900000.0,-2300000.0,-11100000.0,-8800000.0,4600000.0,251400000.0,275000000.0,25200000.0,0.0,249100000.0,71300000.0,286600000.0,108800000.0,137200000.0,0.0,0.0,46500000.0,159400000.0,494800000.0,132600000.0,1.54,37500000.0,494800000.0,56500000.0,0.0,71300000.0,23800000.0,0.0,1.53,46300000.0,127800000.0,335400000.0,10.6287267805657,85.5023930423684,1.0,-0.0994152046783625,-0.0987249544626594,0.0143755734058492,3980400000.0,0.0374835428659938,5.0,1.0
1,2020-06-30 00:00:00+00:00,2,2020,3819300000.0,0.0,-170400000.0,0.0,85800000.0,0.0,681600000.0,2854700000.0,388300000.0,3679900000.0,7496100000.0,0.0,572500000.0,2256400000.0,497100000.0,3472100000.0,47238457.0,2042800000.0,89400000.0,-33100000.0,-500000.0,-188600000.0,1000000.0,-1900000.0,-12800000.0,-9200000.0,5000000.0,289800000.0,-200000.0,32700000.0,-1700000.0,287900000.0,30700000.0,290100000.0,34000000.0,61300000.0,0.0,0.0,47300000.0,83800000.0,471100000.0,56300000.0,0.65,3300000.0,471100000.0,32800000.0,0.0,30700000.0,22300000.0,0.0,0.65,47200000.0,63500000.0,387300000.0,9.97280669010844,85.1848315028579,1.0,-0.691943127962085,-0.204088528467647,0.0163505537611882,4024000000.0,0.0418503318640118,5.0,1.0
2,2020-03-31 00:00:00+00:00,1,2020,3789100000.0,0.0,-146500000.0,0.0,88900000.0,0.0,592200000.0,2980000000.0,393400000.0,3755600000.0,7482300000.0,0.0,414000000.0,2316200000.0,437300000.0,3391600000.0,47867765.0,2044900000.0,52600000.0,-80200000.0,-15300000.0,-37700000.0,-11200000.0,-2600000.0,15900000.0,19200000.0,5100000.0,85600000.0,250000000.0,24800000.0,-700000.0,83000000.0,-15600000.0,298100000.0,-13400000.0,11200000.0,0.0,0.0,47800000.0,172500000.0,507300000.0,6100000.0,-0.33,2200000.0,507300000.0,55600000.0,0.0,-15600000.0,19500000.0,0.0,-0.33,47800000.0,40000000.0,334800000.0,10.5979462379328,85.4583455066264,1.0,-0.914728682170543,-0.0659178788436752,0.0263107921395035,4090700000.0,0.0657998165858771,5.0,1.0
3,2019-12-31 00:00:00+00:00,4,2019,3819800000.0,0.0,-108800000.0,0.0,92300000.0,0.0,539600000.0,2937500000.0,450200000.0,3833700000.0,7653500000.0,0.0,634600000.0,2466800000.0,417100000.0,3237700000.0,49272159.0,1793800000.0,139100000.0,-132700000.0,-15700000.0,-300500000.0,11600000.0,-3200000.0,115500000.0,29800000.0,4600000.0,312500000.0,0.0,27500000.0,88900000.0,309300000.0,22500000.0,328300000.0,21000000.0,44400000.0,0.0,0.0,49100000.0,129400000.0,555600000.0,39800000.0,0.44,-1500000.0,555600000.0,73300000.0,0.0,22500000.0,18800000.0,0.0,0.44,48700000.0,95800000.0,426200000.0,11.2761448102974,89.6205908086958,1.0,-1.15884476534296,-0.0157661647475642,0.0020431202480374,4415800000.0,0.00507548572721689,5.0,1.0
5,2019-09-30 00:00:00+00:00,3,2019,3813600000.0,0.0,-125000000.0,0.0,92900000.0,0.0,402500000.0,3070000000.0,411600000.0,3852400000.0,7679000000.0,0.0,648000000.0,2595500000.0,485100000.0,3198700000.0,50639554.0,1792600000.0,42500000.0,-81600000.0,-16200000.0,-163800000.0,-4200000.0,-100000.0,-96900000.0,5700000.0,6100000.0,307400000.0,0.0,20900000.0,-102500000.0,307300000.0,86300000.0,313500000.0,116800000.0,142400000.0,0.0,0.0,50400000.0,195100000.0,549000000.0,136300000.0,1.71,30500000.0,549000000.0,75800000.0,0.0,86300000.0,19500000.0,0.0,1.71,50400000.0,162100000.0,353900000.0,10.8413277099557,88.4743179215204,1.0,-0.272340425531915,-0.0869782138699484,-0.0202026010369646,4480300000.0,-0.0490494915885241,4.0,1.0
6,2019-06-30 00:00:00+00:00,2,2019,3743700000.0,0.0,-95100000.0,0.0,99800000.0,0.0,360000000.0,3225300000.0,421700000.0,3896600000.0,7727800000.0,0.0,607100000.0,2573800000.0,528700000.0,3174800000.0,51199344.0,1791400000.0,54800000.0,-70800000.0,-16400000.0,-226700000.0,-2700000.0,-3300000.0,-42900000.0,-13900000.0,5400000.0,327100000.0,9400000.0,22500000.0,-25700000.0,323800000.0,107700000.0,354200000.0,143400000.0,168500000.0,0.0,0.0,51000000.0,199000000.0,591900000.0,163100000.0,2.11,35700000.0,591900000.0,72500000.0,0.0,107700000.0,19700000.0,0.0,2.11,51000000.0,180200000.0,392900000.0,11.5606949964046,88.9269206261705,1.0,-0.0276497695852534,-0.0136643892684553,-0.0148619363424091,4553000000.0,-0.0355620364101687,4.0,1.0
7,2019-03-31 00:00:00+00:00,1,2019,3652600000.0,0.0,-106900000.0,0.0,102300000.0,0.0,305200000.0,3140400000.0,418500000.0,3931900000.0,7677000000.0,0.0,576500000.0,2562400000.0,535500000.0,3161900000.0,52048705.0,1780700000.0,-257700000.0,-71000000.0,-17000000.0,-243700000.0,4000000.0,-3000000.0,-100000.0,8200000.0,5200000.0,-17900000.0,-48700000.0,19500000.0,-5300000.0,-20900000.0,-200800000.0,323800000.0,-262600000.0,-239200000.0,0.0,0.0,51900000.0,173500000.0,543100000.0,-244400000.0,-3.87,-61800000.0,543100000.0,67800000.0,0.0,-200800000.0,18200000.0,0.0,-3.87,51900000.0,-133000000.0,369600000.0,10.4344574951481,86.7475953532369,1.0,-2.38214285714286,-0.113161332462443,-0.0133878403907014,4515100000.0,-0.0318145402842234,2.0,1.0
8,2018-12-31 00:00:00+00:00,4,2018,3876800000.0,0.0,-109000000.0,0.0,104300000.0,0.0,565500000.0,3457400000.0,511600000.0,3943300000.0,8219100000.0,0.0,746600000.0,3111400000.0,400600000.0,3250500000.0,52672885.0,1829600000.0,120600000.0,-78100000.0,-15800000.0,-141400000.0,-5100000.0,-5200000.0,2700000.0,7900000.0,5500000.0,264400000.0,-19100000.0,23900000.0,0.0,259200000.0,-151300000.0,329200000.0,-116100000.0,-92600000.0,0.0,0.0,46300000.0,155200000.0,564500000.0,-98100000.0,-2.77,35200000.0,564500000.0,52500000.0,0.0,-151300000.0,18000000.0,0.0,-2.75,52700000.0,-98800000.0,409300000.0,10.7170890677433,94.3293688963496,1.0,-1.49026548672566,-0.0655520609170667,0.0288006242499837,4968600000.0,0.0677047505888729,4.0,1.0
10,2018-09-30 00:00:00+00:00,3,2018,4044100000.0,0.0,-60100000.0,0.0,104800000.0,0.0,448100000.0,3618200000.0,479200000.0,4005800000.0,8538800000.0,0.0,761600000.0,3455600000.0,524500000.0,3248700000.0,53431948.0,1841400000.0,55300000.0,-98200000.0,-16000000.0,-245900000.0,-2300000.0,-3200000.0,4600000.0,7800000.0,5300000.0,298900000.0,-36500000.0,27700000.0,0.0,295700000.0,124900000.0,356400000.0,173400000.0,198300000.0,0.0,0.0,55400000.0,199300000.0,601300000.0,193000000.0,2.35,48500000.0,601300000.0,77000000.0,0.0,124900000.0,19600000.0,0.0,2.34,53100000.0,201900000.0,402000000.0,11.2535668735117,99.006309857915,1.0,0.0444444444444445,0.0266347959706335,0.08278450617212,5290100000.0,0.192509165328292,6.0,1.0
11,2018-06-30 00:00:00+00:00,2,2018,3935500000.0,0.0,-6700000.0,0.0,109200000.0,0.0,392800000.0,3639300000.0,471700000.0,4041900000.0,8490500000.0,0.0,662900000.0,3460700000.0,485900000.0,3179600000.0,54315146.0,1882600000.0,58600000.0,-149700000.0,-16200000.0,-282700000.0,-9400000.0,-4800000.0,-21600000.0,-9500000.0,5700000.0,372300000.0,20000000.0,19400000.0,-7300000.0,367500000.0,117000000.0,346200000.0,151100000.0,178200000.0,0.0,0.0,54200000.0,213900000.0,600100000.0,172500000.0,2.17,34100000.0,600100000.0,88200000.0,0.0,117000000.0,21400000.0,0.0,2.16,54000000.0,205200000.0,386200000.0,11.0484836034501,97.7793560565961,1.0,-0.0312500000000001,0.0511473112629182,0.0824521001676422,5310900000.0,0.192523364485981,5.0,1.0
