,date,quarter,year,statementData.balanceSheet.investments,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.epsDil,statementData.incomeStatement.costRev,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netinc,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.opex,statementData.incomeStatement.prefDVDs,statementData.overview.longTermDebtEquity,statementData.overview.currentRatio,statementData.overview.profitMargin,statementData.overview.epsQoQ,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.revenueQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.roa,statementData.overview.bvps
0,2019-05-31 00:00:00+00:00,2,2019,365797000.0,2663753000.0,529115000.0,3289450000.0,2295396000.0,-47658000.0,424386000.0,188133000.0,3816003000.0,458456000.0,177625000.0,376686000.0,0.0,1757936000.0,2797531000.0,5573939000.0,2284489000.0,188172000.0,119128000.0,0.0,0.0,188553000.0,2195189000.0,1472408000.0,1152250000.0,177755763.0,36754000.0,147559000.0,432307000.0,-102137000.0,-27647000.0,412300000.0,0.0,175330000.0,-175541000.0,-73404000.0,-19672000.0,459954000.0,50168000.0,0.0,177400000.0,141120000.0,186635000.0,140606000.0,0.8,934111000.0,177360000.0,141120000.0,0.0,182961000.0,474749000.0,0.76,144283000.0,-2473000.0,132118000.0,0.0,141120000.0,138647000.0,1959000.0,789828000.0,657710000.0,0.0,0.10701925439834,1.23489302499143,0.845539769898866,0.0126582278481013,6.0,1757936000.0,0.303628594993544,0.0627010103561219,0.845539769898866,5.25502512118271,0.0876832932250259,9.88961466188863
1,2019-02-28 00:00:00+00:00,1,2019,541873000.0,2722574000.0,980188000.0,3463656000.0,1883096000.0,-42622000.0,198969000.0,231540000.0,3974357000.0,491259000.0,293361000.0,301367000.0,0.0,1613932000.0,2982424000.0,5588289000.0,2124633000.0,248512000.0,112568000.0,0.0,0.0,69827000.0,2054069000.0,1482936000.0,1251783000.0,176760468.0,28551000.0,123168000.0,377266000.0,-196594000.0,-19837000.0,343824000.0,0.0,143384000.0,-181934000.0,14660000.0,5487000.0,397103000.0,54127000.0,0.0,176806000.0,139494000.0,182781000.0,164315000.0,0.79,878997000.0,192866000.0,139494000.0,0.0,171461000.0,418469000.0,0.76,132505000.0,20409000.0,156562000.0,0.0,139494000.0,159903000.0,4412000.0,746492000.0,589930000.0,0.0,0.143463293372955,1.27219902930095,0.849254320549444,0.462962962962963,7.0,1613932000.0,0.301416610424407,0.038028094166829,0.849254320549444,4.97281439648598,0.0839040351030163,9.13061624163611
3,2018-11-30 00:00:00+00:00,4,2018,683755000.0,2363585000.0,732833000.0,2970491000.0,1539272000.0,-47137000.0,195249000.0,324153000.0,3679383000.0,432662000.0,387885000.0,516125000.0,0.0,1423631000.0,2529124000.0,5103014000.0,2132523000.0,295870000.0,80958000.0,0.0,0.0,191972000.0,1914574000.0,1489116000.0,1315798000.0,175973678.0,26775000.0,-64266000.0,117496000.0,-4237000.0,-19232000.0,35757000.0,0.0,-33484000.0,-34725000.0,-30488000.0,-1980000.0,136728000.0,56278000.0,-11550000.0,176231000.0,94450000.0,186062000.0,115828000.0,0.54,846795000.0,142603000.0,94450000.0,0.0,164267000.0,449453000.0,0.51,124117000.0,17079000.0,108958000.0,0.0,94450000.0,111529000.0,4299000.0,722678000.0,613720000.0,0.0,0.227694536013897,1.25677350296266,0.853427334833106,0.102040816326531,7.0,1423631000.0,0.200824290482285,0.0292289124117135,0.853427334833106,4.81205490289292,0.0548862515902071,8.09002241801186
4,2018-08-31 00:00:00+00:00,3,2018,654347000.0,2094452000.0,516008000.0,2577753000.0,1503515000.0,-51636000.0,195230000.0,512095000.0,3517064000.0,405970000.0,264945000.0,516530000.0,0.0,1289804000.0,2393249000.0,4806868000.0,2229115000.0,389402000.0,83761000.0,0.0,0.0,4435000.0,1820124000.0,1491738000.0,1422612000.0,177373891.0,26666000.0,87380000.0,115881000.0,-212240000.0,-16911000.0,-264965000.0,0.0,104291000.0,-466039000.0,-253799000.0,-19098000.0,132792000.0,52686000.0,0.0,176746000.0,86854000.0,186936000.0,139954000.0,0.49,822747000.0,166620000.0,86854000.0,0.0,166308000.0,402953000.0,0.46,118930000.0,48292000.0,134556000.0,0.0,86854000.0,135146000.0,4808000.0,703817000.0,569261000.0,0.0,0.397033192640122,1.23075296067897,0.855447664956542,-0.234375,7.0,1289804000.0,0.205568885704486,0.0113296375056851,0.855447664956542,4.63848988913481,0.0572335292204002,7.27166773378163
5,2018-05-31 00:00:00+00:00,2,2018,758649000.0,2276235000.0,498964000.0,2905614000.0,1768480000.0,-43501000.0,196653000.0,554503000.0,3759617000.0,359706000.0,329872000.0,749047000.0,0.0,1431944000.0,2444507000.0,5191561000.0,2285947000.0,428777000.0,82826000.0,0.0,0.0,194544000.0,1733270000.0,1498884000.0,1483382000.0,177672967.0,27054000.0,-36322000.0,330330000.0,-26252000.0,-15829000.0,44348000.0,0.0,-19507000.0,-237228000.0,-210976000.0,-28261000.0,346159000.0,46005000.0,0.0,177302000.0,113190000.0,190739000.0,117796000.0,0.64,813530000.0,144850000.0,113190000.0,0.0,166506000.0,412169000.0,0.59,122699000.0,-1713000.0,112156000.0,0.0,113190000.0,111477000.0,6319000.0,690831000.0,578675000.0,0.0,0.387237908745035,1.27650000988474,0.849177043255934,-10.1428571428571,4.0,1431944000.0,0.208739709117437,0.0533423450018904,0.849177043255934,4.57880573357004,0.0597514408478637,8.05943652643567
6,2018-02-28 00:00:00+00:00,1,2018,748800000.0,2305507000.0,806744000.0,3142097000.0,1724132000.0,-32596000.0,206105000.0,744194000.0,3996369000.0,427139000.0,318358000.0,768000000.0,0.0,1478124000.0,2595172000.0,5474493000.0,2332396000.0,430442000.0,92606000.0,0.0,0.0,23806000.0,1619688000.0,1513783000.0,1690862000.0,177004300.0,25597000.0,6226000.0,341515000.0,-370000.0,-20548000.0,392960000.0,0.0,257974000.0,13517000.0,13887000.0,11154000.0,362063000.0,49266000.0,-231116000.0,177036000.0,-12160000.0,188217000.0,148872000.0,-0.07,772332000.0,174469000.0,-12160000.0,0.0,153778000.0,373449000.0,-0.07,112625000.0,154809000.0,132480000.0,0.0,-12160000.0,142649000.0,6223000.0,659707000.0,527227000.0,0.0,0.503471968522262,1.36286595529747,0.854175406431431,-1.12280701754386,6.0,1478124000.0,0.186465212371743,0.0325597811700344,0.854175406431431,4.36335162479104,0.0540294525935663,8.35078017878662
