,date,quarter,year,statementData.balanceSheet.equity,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.acctRec,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.taxExp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,2,2021,2452837000.0,1925160000.0,508786000.0,106021000.0,-8288000.0,1090571000.0,282048000.0,244314000.0,2032523000.0,0.0,1237421000.0,499662000.0,1170776000.0,357480000.0,0.0,1925160000.0,1492066000.0,5575931000.0,0.0,800640000.0,0.0,1762416000.0,3123094000.0,3813515000.0,1991728000.0,362497000.0,-130448000.0,-56600000.0,-152486000.0,-93105000.0,0.0,45565000.0,58439000.0,247583000.0,0.0,232252000.0,20113000.0,-173735000.0,4000.0,-15331000.0,224816000.0,336302000.0,244837000.0,193816000.0,0.0,0.0,246763000.0,193816000.0,0.79,0.79,194646000.0,194646000.0,541719000.0,240211000.0,830000.0,0.0,219647000.0,193816000.0,766535000.0,205417000.0,113793000.0,0.0,6.0,-0.0801940563929894,0.706711369996151,3.49680580173139,2452837000.0,0.706711369996151,3.13749928370867,-0.122222222222222,0.608302141560976,0.251594534563247,10.0396907258692,0.118444635317744
1,2020-06-27 00:00:00+00:00,1,2021,2319653000.0,1771959000.0,558647000.0,102518000.0,-14237000.0,1047236000.0,292213000.0,243846000.0,2077874000.0,0.0,1136710000.0,499461000.0,1227376000.0,361528000.0,0.0,1771959000.0,1491752000.0,5444763000.0,0.0,809981000.0,0.0,1780100000.0,3125110000.0,3664663000.0,1991213000.0,305180000.0,585086000.0,-550327000.0,-1359143000.0,-92414000.0,0.0,46808000.0,50383000.0,245471000.0,0.0,230010000.0,-53681000.0,-1380884000.0,744423000.0,-15461000.0,232800000.0,318358000.0,243180000.0,93836000.0,0.0,0.0,245543000.0,93836000.0,0.39,0.38,163362000.0,163362000.0,493873000.0,210170000.0,69526000.0,0.0,210113000.0,93836000.0,726673000.0,175515000.0,105383000.0,0.0,6.0,-0.14472030243682,0.67963581968781,3.49936690488104,2319653000.0,0.67963581968781,2.9800488833116,-0.589473684210526,0.643092738439758,0.258770133965197,9.51277855695808,0.128319068813072
2,2020-03-28 00:00:00+00:00,4,2020,2315049000.0,489513000.0,483600000.0,102131000.0,-20277000.0,1085681000.0,304340000.0,248836561.0,1292604000.0,0.0,1187805000.0,499260000.0,1777703000.0,372574000.0,0.0,489513000.0,747110000.0,4693334000.0,0.0,819540000.0,0.0,1784193000.0,2378285000.0,2909141000.0,1246370000.0,273028000.0,-541247000.0,485615000.0,726378000.0,-91417000.0,0.0,51325000.0,43991000.0,345351000.0,0.0,313042000.0,-437332000.0,681511000.0,0.0,-32309000.0,227734000.0,350406000.0,249938000.0,162258000.0,0.0,0.0,252498000.0,162258000.0,0.65,0.64,189747000.0,189747000.0,528435000.0,241072000.0,27489000.0,0.0,214968000.0,162258000.0,756169000.0,178029000.0,103675000.0,0.0,7.0,-0.0871515110543458,0.698831874885112,2.67955412317246,2315049000.0,0.698831874885112,3.03881791711468,-0.329896907216495,0.322718871177241,0.308911901955245,9.30349218256557,0.161513403997646
4,2019-12-28 00:00:00+00:00,3,2020,2641162000.0,1133077000.0,472212000.0,102691000.0,-12105000.0,515880000.0,328209000.0,251467392.0,1794180000.0,0.0,1545210000.0,0.0,1292088000.0,378242000.0,0.0,1133077000.0,1246000000.0,4951222000.0,0.0,829637000.0,0.0,1823201000.0,2310060000.0,3128021000.0,1246000000.0,253548000.0,-370130000.0,-311725000.0,-221214000.0,-92931000.0,-38000.0,41607000.0,50157000.0,323575000.0,0.0,289437000.0,-260865000.0,-265170000.0,0.0,-34138000.0,240021000.0,324072000.0,250546000.0,162012000.0,0.0,0.0,252808000.0,162012000.0,0.65,0.64,165843000.0,165843000.0,483478000.0,207450000.0,3831000.0,0.0,211541000.0,162012000.0,723499000.0,159406000.0,109612000.0,0.0,6.0,-0.0956906820389047,0.668249714235956,6.06346630999457,2641162000.0,0.668249714235956,2.87710861533888,-0.315789473684211,0.471762050188516,0.32377839195794,10.5029999277203,0.174233759603981
5,2019-09-28 00:00:00+00:00,2,2020,2695905000.0,912030000.0,493817000.0,107105000.0,-17136000.0,505828000.0,335258000.0,252604743.0,1818165000.0,0.0,1732304000.0,0.0,1603813000.0,362160000.0,0.0,912030000.0,1245631000.0,5019898000.0,0.0,840909000.0,0.0,1761898000.0,2323993000.0,3258000000.0,1245631000.0,335499000.0,-178494000.0,13787000.0,440698000.0,-93484000.0,-429468000.0,31663000.0,49822000.0,223694000.0,0.0,190053000.0,-12451000.0,-31413000.0,0.0,-33641000.0,293106000.0,336744000.0,252399000.0,226993000.0,0.0,0.0,255269000.0,226993000.0,0.9,0.89,215845000.0,215845000.0,540260000.0,247508000.0,-11148000.0,0.0,222979000.0,226993000.0,833366000.0,203516000.0,111596000.0,0.0,7.0,0.116735365533359,0.648286587165783,6.44092458305985,2695905000.0,0.648286587165783,3.2990908646557,0.0588235294117647,0.462045583950473,0.352525581804637,10.6724243099426,0.185899731764191
6,2019-06-29 00:00:00+00:00,1,2020,2612584000.0,1293111000.0,563761000.0,121375000.0,-13472000.0,497110000.0,336758000.0,253920000.0,1858204000.0,0.0,1743241000.0,0.0,1590026000.0,350555000.0,54849000.0,1347960000.0,1245263000.0,4967898000.0,0.0,449493000.0,0.0,1378330000.0,2355314000.0,3589568000.0,1245263000.0,305955000.0,-547956000.0,45536000.0,346073000.0,-93961000.0,-25145000.0,32938000.0,42753000.0,298216000.0,0.0,269015000.0,-444992000.0,295276000.0,0.0,-29201000.0,286769000.0,311925000.0,253268000.0,241459000.0,0.0,0.0,257928000.0,241459000.0,0.95,0.94,262550000.0,262550000.0,562863000.0,295488000.0,21091000.0,0.0,204100000.0,241459000.0,849632000.0,250938000.0,107425000.0,0.0,6.0,0.241480485702179,0.662478578961244,7.22087264388164,2612584000.0,0.662478578961244,3.34606175173283,0.266666666666667,0.476640368309689,0.35663375764742,10.2890044108381,0.182560900138137
7,2019-03-30 00:00:00+00:00,4,2019,2861509000.0,1631194000.0,543910000.0,117491000.0,-23410000.0,475036000.0,315358000.0,253163895.0,1814803000.0,0.0,1876969000.0,0.0,1544490000.0,328929000.0,53433000.0,1684627000.0,1234807000.0,5151348000.0,0.0,421441000.0,0.0,1259370000.0,2289839000.0,3891978000.0,1234807000.0,335165000.0,-574018000.0,-385031000.0,-53336000.0,-91384000.0,-204000.0,31802000.0,38748000.0,288007000.0,0.0,259765000.0,30233000.0,-99020000.0,-500000000.0,-28242000.0,269457000.0,308526000.0,253146000.0,244641000.0,0.0,0.0,260055000.0,244641000.0,0.97,0.94,259681000.0,259681000.0,558905000.0,291483000.0,15040000.0,0.0,199500000.0,244641000.0,828362000.0,250379000.0,107160000.0,0.0,7.0,0.297984459197952,0.674711056277328,8.19301695029429,2861509000.0,0.674711056277328,3.27203845556255,0.672413793103448,0.431523018099891,0.346806171135547,11.3029901044934,0.171859167389385
9,2018-12-29 00:00:00+00:00,3,2019,2637195000.0,1540131000.0,531250000.0,111916000.0,-31793000.0,952869000.0,283329000.0,253043435.0,1764700000.0,0.0,1723713000.0,499851000.0,1929521000.0,317260000.0,83803000.0,1623934000.0,1221438000.0,5354764000.0,0.0,423251000.0,0.0,1182412000.0,2717569000.0,4172352000.0,1721289000.0,359367000.0,-95801000.0,-45117000.0,-220262000.0,-91108000.0,-10406000.0,25958000.0,38641000.0,313917000.0,0.0,293647000.0,-995000.0,-263233000.0,0.0,-20270000.0,247903000.0,294234000.0,253060000.0,239360000.0,0.0,0.0,256374000.0,239360000.0,0.95,0.93,256590000.0,256590000.0,552154000.0,282548000.0,17230000.0,0.0,189329000.0,239360000.0,800057000.0,257920000.0,103039000.0,0.0,7.0,0.336540244536028,0.690143327287931,4.37872572200376,2637195000.0,0.690143327287931,3.16173782576102,-20.0,0.463158014481295,0.323973022635219,10.4219064209273,0.153376565055484
10,2018-09-29 00:00:00+00:00,2,2019,2444886000.0,1305922000.0,525090000.0,107099000.0,-40738000.0,931538000.0,243642000.0,252913557.0,1771112000.0,0.0,1576476000.0,499629000.0,1974638000.0,312810000.0,91627000.0,1397549000.0,1201884000.0,5147536000.0,0.0,426911000.0,0.0,1182253000.0,2702650000.0,3965283000.0,1701513000.0,372983000.0,-131772000.0,297249000.0,364984000.0,-91077000.0,-223535000.0,24192000.0,34945000.0,313123000.0,0.0,298949000.0,-5034000.0,115898000.0,0.0,-14174000.0,231620000.0,281896000.0,252988000.0,215712000.0,0.0,0.0,255522000.0,215712000.0,0.85,0.84,239144000.0,239144000.0,514632000.0,263336000.0,23432000.0,0.0,183372000.0,215712000.0,746252000.0,232736000.0,97685000.0,0.0,7.0,0.189399747218366,0.689622272369119,4.2567055772282,2444886000.0,0.689622272369119,2.95062079254217,0.214285714285714,0.491591018967756,0.227110871242074,9.66688393062298,0.105723161784583
11,2018-06-30 00:00:00+00:00,1,2019,2318638000.0,1686809000.0,612577000.0,105484000.0,-35932000.0,942599000.0,247001000.0,253404000.0,1793955000.0,0.0,1457467000.0,499407000.0,1677389000.0,312084000.0,91700000.0,1778509000.0,1207387000.0,5055192000.0,0.0,166184000.0,0.0,929647000.0,2736554000.0,4125545000.0,1706794000.0,456898000.0,-233919000.0,-501939000.0,-403929000.0,-90675000.0,0.0,22408000.0,35608000.0,176168000.0,0.0,149809000.0,-137086000.0,-444188000.0,0.0,-26359000.0,206888000.0,261718000.0,252682000.0,190038000.0,0.0,0.0,255935000.0,190038000.0,0.75,0.74,212917000.0,212917000.0,477482000.0,235325000.0,22879000.0,0.0,170826000.0,190038000.0,684370000.0,215764000.0,90532000.0,0.0,6.0,0.135299679832783,0.697695690927422,4.37677633861271,2318638000.0,0.697695690927422,2.70070717115752,0.19047619047619,0.52073113612388,0.208516357479159,9.14996606209847,0.0980499163928447
