,year,quarter,date,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.deposits,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.assetsCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.taxExp,statementData.incomeStatement.sga,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.overview.grossMargin,statementData.overview.bvps,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.epsQoQ,statementData.overview.bookVal,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.rps,statementData.overview.revenueQoQ,statementData.overview.currentRatio,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,1696000000.0,25728000000.0,5182000000.0,0.0,2019000000.0,0.0,15109000000.0,12650000000.0,5096000000.0,1696000000.0,866164968.0,932000000.0,223000000.0,439000000.0,10930000000.0,2872000000.0,16394000000.0,12427000000.0,3848000000.0,2499000000.0,1581000000.0,-1172000000.0,0.0,20291000000.0,471000000.0,9334000000.0,937000000.0,300000000.0,-65000000.0,1145000000.0,-70000000.0,-57000000.0,17000000.0,21000000.0,0.0,82000000.0,333000000.0,-142000000.0,0.0,880000000.0,0.0,5002000000.0,866400000.0,261000000.0,681000000.0,741000000.0,3441000000.0,100000000.0,741000000.0,0.0,881500000.0,88000000.0,1090000000.0,0.86,741000000.0,781000000.0,0.0,780000000.0,1172000000.0,1002000000.0,1561000000.0,0.84,0.312075169932027,6.27709524266975,0.0674364602220314,7.0,-0.054945054945055,5437000000.0,2.43857927786499,0.312075169932027,5.77488144267686,0.00806126561870224,1.80123504438441,0.245341974308529
1,2020,2,2020-06-30 00:00:00+00:00,1697000000.0,24176000000.0,4789000000.0,0.0,1765000000.0,0.0,15021000000.0,12717000000.0,4028000000.0,1697000000.0,866158910.0,191000000.0,301000000.0,419000000.0,10759000000.0,2665000000.0,16123000000.0,12416000000.0,2704000000.0,2494000000.0,1639000000.0,-1479000000.0,0.0,19810000000.0,445000000.0,8053000000.0,509000000.0,0.0,798000000.0,1936000000.0,0.0,-46000000.0,11000000.0,22000000.0,0.0,78000000.0,25000000.0,1391000000.0,0.0,463000000.0,0.0,3972000000.0,866200000.0,106000000.0,637000000.0,261000000.0,2831000000.0,94000000.0,261000000.0,0.0,870900000.0,81000000.0,448000000.0,0.3,261000000.0,731000000.0,0.0,410000000.0,526000000.0,367000000.0,1141000000.0,0.3,0.287260825780463,5.04064548617297,0.0723206377325066,8.0,-0.347826086956522,4366000000.0,3.0824230387289,0.287260825780463,4.58576359850642,-0.0811936155447606,1.68156191271664,0.188003684089339
2,2020,1,2020-03-31 00:00:00+00:00,1664000000.0,22001000000.0,4451000000.0,0.0,1776000000.0,0.0,14524000000.0,11955000000.0,2697000000.0,1664000000.0,866200000.0,191000000.0,218000000.0,454000000.0,10662000000.0,2674000000.0,16033000000.0,11737000000.0,768000000.0,2503000000.0,1556000000.0,-1736000000.0,0.0,18975000000.0,1161000000.0,5968000000.0,47000000.0,0.0,10883000000.0,-185000000.0,0.0,-48000000.0,-28000000.0,13000000.0,0.0,81000000.0,-128000000.0,-76000000.0,0.0,-1000000.0,0.0,3888000000.0,866000000.0,193000000.0,692000000.0,96000000.0,2766000000.0,98000000.0,96000000.0,0.0,866000000.0,37000000.0,326000000.0,0.11,96000000.0,790000000.0,0.0,332000000.0,407000000.0,289000000.0,1122000000.0,0.11,0.28858024691358,3.49341953359501,0.0723206377325066,4.0,-0.347826086956522,3026000000.0,4.35187245087134,0.28858024691358,4.48857076887555,-0.0811936155447606,1.34082228712649,0.188003684089339
3,2019,4,2019-12-31 00:00:00+00:00,1739000000.0,22406000000.0,4469000000.0,0.0,1701000000.0,0.0,3502000000.0,1001000000.0,14102000000.0,1739000000.0,866200000.0,0.0,237000000.0,500000000.0,10967000000.0,2726000000.0,16447000000.0,764000000.0,952000000.0,2495000000.0,1332000000.0,-1253000000.0,0.0,7971000000.0,1099000000.0,5959000000.0,47000000.0,0.0,10883000000.0,-185000000.0,0.0,-48000000.0,-28000000.0,13000000.0,0.0,81000000.0,-128000000.0,-76000000.0,0.0,-1000000.0,0.0,3888000000.0,866200000.0,193000000.0,692000000.0,96000000.0,2766000000.0,98000000.0,96000000.0,0.0,866000000.0,37000000.0,326000000.0,0.11,96000000.0,790000000.0,0.0,332000000.0,407000000.0,289000000.0,1122000000.0,0.11,0.28858024691358,16.6647425536828,0.0723206377325066,4.0,-0.347826086956522,14435000000.0,0.0541767125230464,0.28858024691358,4.48857076887555,-0.0811936155447606,1.33340792123518,0.188003684089339
5,2019,3,2019-09-30 00:00:00+00:00,1739000000.0,22406000000.0,4469000000.0,0.0,1701000000.0,0.0,3502000000.0,1001000000.0,14102000000.0,1739000000.0,866200000.0,0.0,237000000.0,500000000.0,10967000000.0,2726000000.0,16447000000.0,764000000.0,952000000.0,2495000000.0,1332000000.0,-1253000000.0,0.0,7971000000.0,1099000000.0,5959000000.0,618000000.0,0.0,-34000000.0,-74000000.0,0.0,-50000000.0,-19000000.0,18000000.0,0.0,84000000.0,-70000000.0,-603000000.0,0.0,568000000.0,0.0,4822000000.0,866200000.0,175000000.0,702000000.0,492000000.0,3376000000.0,102000000.0,492000000.0,0.0,866200000.0,-3000000.0,664000000.0,0.57,492000000.0,804000000.0,0.0,642000000.0,748000000.0,667000000.0,1446000000.0,0.57,0.299875570302779,16.6647425536828,0.0723206377325066,4.0,-0.347826086956522,14435000000.0,0.0541767125230464,0.299875570302779,4.48857076887555,-0.0811936155447606,1.33340792123518,0.188003684089339
6,2019,2,2019-06-30 00:00:00+00:00,1739000000.0,22406000000.0,4469000000.0,0.0,1701000000.0,0.0,3502000000.0,1001000000.0,14102000000.0,1739000000.0,866200000.0,0.0,237000000.0,500000000.0,10967000000.0,2726000000.0,16447000000.0,764000000.0,952000000.0,2495000000.0,1332000000.0,-1253000000.0,0.0,7971000000.0,1099000000.0,5959000000.0,554000000.0,0.0,28000000.0,73000000.0,0.0,-48000000.0,-9000000.0,14000000.0,0.0,82000000.0,-37000000.0,-435000000.0,-1000000.0,506000000.0,0.0,4962000000.0,866200000.0,65000000.0,680000000.0,784000000.0,3488000000.0,103000000.0,784000000.0,0.0,866200000.0,-16000000.0,833000000.0,0.91,784000000.0,783000000.0,0.0,691000000.0,915000000.0,849000000.0,1474000000.0,0.91,0.297057638049174,16.6647425536828,0.0723206377325066,4.0,-0.347826086956522,14435000000.0,0.0541767125230464,0.297057638049174,4.48857076887555,-0.0811936155447606,1.33340792123518,0.188003684089339
7,2019,1,2019-03-31 00:00:00+00:00,1739000000.0,22406000000.0,4469000000.0,0.0,1701000000.0,0.0,3502000000.0,1001000000.0,14102000000.0,1739000000.0,866200000.0,0.0,237000000.0,500000000.0,10967000000.0,2726000000.0,16447000000.0,764000000.0,952000000.0,2495000000.0,1332000000.0,-1253000000.0,0.0,7971000000.0,1099000000.0,5959000000.0,-183000000.0,0.0,57000000.0,-267000000.0,0.0,-41000000.0,16000000.0,8000000.0,0.0,85000000.0,-43000000.0,-57000000.0,1000000.0,-224000000.0,0.0,4323000000.0,866000000.0,140000000.0,684000000.0,400000000.0,3097000000.0,97000000.0,400000000.0,0.0,866000000.0,-4000000.0,536000000.0,0.46,400000000.0,781000000.0,0.0,445000000.0,621000000.0,540000000.0,1226000000.0,0.46,0.283599352301642,16.6647425536828,0.0723206377325066,4.0,-0.347826086956522,14435000000.0,0.0541767125230464,0.283599352301642,4.48857076887555,-0.0811936155447606,1.33340792123518,0.188003684089339
8,2018,4,2018-12-31 00:00:00+00:00,1770000000.0,21737000000.0,4466000000.0,0.0,1944000000.0,0.0,3002000000.0,0.0,13917000000.0,1770000000.0,866200000.0,0.0,0.0,398000000.0,11063000000.0,2673000000.0,15628000000.0,0.0,1129000000.0,1653000000.0,1363000000.0,-1215000000.0,0.0,7468000000.0,1280000000.0,6109000000.0,-183000000.0,0.0,57000000.0,-267000000.0,0.0,-41000000.0,16000000.0,8000000.0,0.0,85000000.0,-43000000.0,-57000000.0,1000000.0,-224000000.0,0.0,4323000000.0,866000000.0,140000000.0,684000000.0,400000000.0,3097000000.0,97000000.0,400000000.0,0.0,866000000.0,-4000000.0,536000000.0,0.46,400000000.0,781000000.0,0.0,445000000.0,621000000.0,540000000.0,1226000000.0,0.46,0.283599352301642,16.6647425536828,0.0723206377325066,4.0,-0.347826086956522,14269000000.0,0.0,0.283599352301642,4.48857076887555,-0.0811936155447606,1.3678907299597,0.188003684089339
