,date,quarter,year,statementData.balanceSheet.deferredRev,statementData.balanceSheet.equity,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.taxExp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.intexp,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebit,statementData.incomeStatement.grossProfit,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,4,2020,0.0,10630600000.0,2928900000.0,9430600000.0,1031600000.0,10778900000.0,1674200000.0,2142700000.0,251100000.0,15203300000.0,-1319900000.0,2916900000.0,222900000.0,4944700000.0,23835000000.0,0.0,0.0,9629400000.0,9207700000.0,0.0,2023400000.0,0.0,259636357.0,0.0,28779700000.0,18132200000.0,630400000.0,731700000.0,-40400000.0,-669000000.0,-7000000.0,365600000.0,0.0,-51900000.0,5500000.0,31900000.0,-96100000.0,-101300000.0,-300000.0,-616100000.0,40000000.0,0.0,-640100000.0,3658100000.0,-1154500000.0,-1054900000.0,-4.47,110300000.0,-4.46,-1156000000.0,259636357.0,-1005700000.0,813400000.0,0.0,-1156000000.0,4471500000.0,1868300000.0,489000000.0,0.0,-1116000000.0,1500000.0,,4.0,-0.038717860521111,0.181907637258191,1.6882447335177,10647500000.0,0.181907637258191,17.2221643057486,-4.69421487603306,0.866150546535473,-0.0605371588541838,41.009279759691,-0.0228482800129636
2,2020-06-30 00:00:00+00:00,3,2020,0.0,11713100000.0,2786900000.0,10053400000.0,2240300000.0,10922600000.0,1513500000.0,2083200000.0,291500000.0,15760800000.0,-1387400000.0,2888200000.0,213100000.0,5005900000.0,25271700000.0,0.0,0.0,11019900000.0,9840300000.0,0.0,2137700000.0,0.0,259255002.0,0.0,30277600000.0,18547700000.0,498400000.0,740200000.0,-348700000.0,-859200000.0,6400000.0,365700000.0,0.0,-51900000.0,3300000.0,68800000.0,-236100000.0,-241800000.0,-300000.0,-790800000.0,19200000.0,0.0,655800000.0,3466300000.0,180000000.0,271600000.0,0.69,92400000.0,0.69,178500000.0,259400000.0,290100000.0,770000000.0,0.0,178500000.0,4236300000.0,498400000.0,489700000.0,0.0,197700000.0,1500000.0,260400000.0,4.0,-0.0967377398720682,0.181762386988646,1.79622519645484,11729900000.0,0.181762386988646,16.3402826071607,-0.295918367346939,0.840110645345809,0.0664716238386313,45.2446429558185,0.0253704281975028
3,2020-03-31 00:00:00+00:00,2,2020,0.0,11482400000.0,3139800000.0,10856600000.0,2114400000.0,11036300000.0,1696400000.0,2222100000.0,640200000.0,16322500000.0,-1419000000.0,2878400000.0,432000000.0,5492200000.0,25468100000.0,0.0,0.0,11109900000.0,10424600000.0,0.0,2125400000.0,0.0,258456273.0,0.0,30960300000.0,19462300000.0,-60400000.0,167600000.0,483800000.0,568400000.0,-23800000.0,374500000.0,0.0,-120700000.0,-2100000.0,15800000.0,-228400000.0,-228000000.0,-400000.0,681000000.0,57800000.0,0.0,677700000.0,3642500000.0,148900000.0,274400000.0,0.57,97300000.0,0.57,148100000.0,259000000.0,303200000.0,804800000.0,0.0,148100000.0,4447300000.0,530400000.0,518700000.0,0.0,205900000.0,800000.0,260200000.0,5.0,-0.0373809523809524,0.180963730802959,1.74921969552201,11498000000.0,0.180963730802959,17.2071660261076,-0.0952380952380953,0.907876402145893,0.0726415013716425,44.4872158316699,0.0276724461384322
4,2019-12-31 00:00:00+00:00,1,2020,0.0,11825200000.0,3446800000.0,10214400000.0,2087500000.0,11281100000.0,1781000000.0,2061700000.0,156400000.0,15649500000.0,-1034900000.0,2891700000.0,565100000.0,4952600000.0,25984200000.0,0.0,0.0,11295000000.0,9649300000.0,0.0,2189700000.0,0.0,257894507.0,0.0,30936800000.0,19096300000.0,65700000.0,431200000.0,4800000.0,-61300000.0,-4200000.0,381200000.0,0.0,-120000000.0,15500000.0,13800000.0,-360900000.0,-365500000.0,-300000.0,52000000.0,46500000.0,0.0,659700000.0,3614700000.0,139500000.0,252700000.0,0.54,93500000.0,0.53,138500000.0,258200000.0,278500000.0,809000000.0,0.0,138500000.0,4423700000.0,556300000.0,527500000.0,0.0,185000000.0,1000000.0,259900000.0,6.0,0.0222535471645793,0.182878585799218,1.43686897992341,11840500000.0,0.182878585799218,17.153137736276,-0.0181818181818182,0.815994655481514,0.0734441141650129,45.9121837752054,0.0281340896225569
5,2019-09-30 00:00:00+00:00,4,2019,0.0,11669900000.0,3435100000.0,10063400000.0,1997100000.0,11189500000.0,1831800000.0,2193200000.0,151600000.0,15037400000.0,-1069200000.0,2878000000.0,561100000.0,4974300000.0,25182400000.0,0.0,0.0,11345100000.0,9502300000.0,0.0,2107500000.0,0.0,257341556.0,0.0,30156700000.0,18472500000.0,538100000.0,910600000.0,-27500000.0,-559300000.0,100000.0,383100000.0,0.0,-117200000.0,9700000.0,12900000.0,-378900000.0,-372500000.0,-6700000.0,-466100000.0,89300000.0,0.0,897200000.0,3572900000.0,312400000.0,490300000.0,1.21,114000000.0,1.2,310800000.0,257341556.0,514100000.0,1078700000.0,0.0,310800000.0,4651600000.0,588400000.0,530300000.0,0.0,400100000.0,1600000.0,259900000.0,6.0,0.0979559080394656,0.231898701522057,1.44808011411604,11684200000.0,0.231898701522057,18.0755882271886,0.0999999999999999,0.814257191578334,0.0738434944086808,45.4034714859655,0.0282157825596119
7,2019-06-30 00:00:00+00:00,3,2019,0.0,11827700000.0,3590500000.0,10538200000.0,1805100000.0,11169300000.0,1706800000.0,2398100000.0,179100000.0,15380300000.0,-695400000.0,2965800000.0,779100000.0,5193700000.0,25618400000.0,0.0,0.0,11496700000.0,9759100000.0,0.0,2074200000.0,0.0,257042757.0,0.0,30812100000.0,18970800000.0,393900000.0,734600000.0,24900000.0,-365300000.0,5700000.0,385300000.0,0.0,-117000000.0,5400000.0,15800000.0,-350100000.0,-340700000.0,-29200000.0,-243000000.0,77600000.0,0.0,826600000.0,3701100000.0,253800000.0,421400000.0,0.98,111100000.0,0.98,252600000.0,257300000.0,441300000.0,988900000.0,0.0,252600000.0,4690000000.0,567500000.0,544800000.0,0.0,330200000.0,1200000.0,258600000.0,6.0,0.133534743202417,0.210852878464819,1.44651162790698,11841300000.0,0.210852878464819,18.2459916581116,-0.0666666666666668,0.825105472746181,0.0714801381989446,46.06743305356,0.028305362346585
8,2019-03-31 00:00:00+00:00,2,2019,0.0,11640800000.0,4046600000.0,10795500000.0,1671200000.0,11029400000.0,1702000000.0,2367000000.0,154200000.0,14992800000.0,-725500000.0,2955200000.0,1422400000.0,5214000000.0,25479000000.0,0.0,0.0,11578800000.0,9373100000.0,0.0,2096900000.0,0.0,255372759.0,0.0,30693000000.0,19039400000.0,84600000.0,361900000.0,-106500000.0,-191800000.0,1200000.0,383700000.0,0.0,-117600000.0,-54100000.0,18100000.0,-277800000.0,-277300000.0,-6600000.0,-28900000.0,47200000.0,0.0,703100000.0,3720400000.0,161900000.0,305300000.0,0.63,111800000.0,0.62,160400000.0,256600000.0,319400000.0,899600000.0,0.0,160400000.0,4620000000.0,594300000.0,546500000.0,0.0,207600000.0,1500000.0,259400000.0,6.0,0.150112023898432,0.194718614718615,1.28848910196214,11653600000.0,0.194718614718615,18.0912013407037,-0.275862068965517,0.805193801113326,0.0735064794230874,45.6336848363689,0.0302996439174976
9,2018-12-31 00:00:00+00:00,1,2019,0.0,11603700000.0,3729900000.0,10820800000.0,1635300000.0,10969700000.0,1679500000.0,2315500000.0,260700000.0,15321500000.0,-754800000.0,2932600000.0,1092800000.0,5226000000.0,25440900000.0,0.0,0.0,11672300000.0,9728000000.0,0.0,2101800000.0,0.0,253551938.0,0.0,30666900000.0,19051400000.0,69100000.0,303100000.0,-376100000.0,2896600000.0,-3000000.0,359100000.0,0.0,-116100000.0,-31300000.0,17400000.0,-3572800000.0,-234000000.0,-3342900000.0,3052600000.0,62700000.0,0.0,655300000.0,3545600000.0,139800000.0,277400000.0,0.55,94400000.0,0.54,139100000.0,254800000.0,296200000.0,781800000.0,0.0,139100000.0,4327400000.0,504400000.0,493800000.0,0.0,201800000.0,700000.0,259500000.0,6.0,0.111299435028249,0.18066275361649,1.4011099493284,11615500000.0,0.18066275361649,17.0671146674493,-0.876404494382023,0.838353283866353,0.079114020332677,45.8111268705822,0.0341491968316029
10,2018-09-30 00:00:00+00:00,4,2018,0.0,11469400000.0,3333300000.0,6415200000.0,1573300000.0,9082500000.0,1716800000.0,2010700000.0,636800000.0,10544800000.0,-695300000.0,2321500000.0,740700000.0,4785100000.0,20575400000.0,0.0,0.0,8699600000.0,5674500000.0,0.0,1829600000.0,0.0,255112324.0,0.0,25360500000.0,13878100000.0,463800000.0,795600000.0,184200000.0,-335900000.0,-4200000.0,314300000.0,115500000.0,-111200000.0,-90900000.0,17600000.0,-271300000.0,-331800000.0,-54900000.0,-149100000.0,95400000.0,0.0,763300000.0,3304600000.0,280000000.0,423000000.0,1.1,74000000.0,1.09,279600000.0,255112324.0,449000000.0,932000000.0,0.0,279600000.0,4236600000.0,509000000.0,462600000.0,0.0,375000000.0,400000.0,259500000.0,7.0,0.043343348273654,0.219987726006703,1.43554435544355,11482400000.0,0.219987726006703,16.6068025784595,0.428571428571429,0.494751251155248,0.166601477570945,45.0091936758022,0.0754347361505766
12,2018-06-30 00:00:00+00:00,3,2018,0.0,11393600000.0,2967500000.0,6537500000.0,1427900000.0,8932200000.0,1484000000.0,1980800000.0,452600000.0,10755400000.0,-674300000.0,2249300000.0,594400000.0,4626200000.0,20509500000.0,0.0,0.0,8749300000.0,5943100000.0,0.0,1819300000.0,0.0,256451876.0,0.0,25135700000.0,13722900000.0,431200000.0,661900000.0,180200000.0,-356900000.0,-22100000.0,315400000.0,93000000.0,-110300000.0,-95000000.0,15300000.0,-102700000.0,-230700000.0,-3100000.0,-168700000.0,84500000.0,0.0,744800000.0,3270400000.0,271300000.0,385100000.0,1.05,76700000.0,1.03,268200000.0,256100000.0,429400000.0,867100000.0,0.0,268200000.0,4137500000.0,482000000.0,456300000.0,0.0,352700000.0,3100000.0,260600000.0,7.0,0.119574629288884,0.209570996978852,1.55895534962089,11412800000.0,0.209570996978852,16.133631247057,-0.192307692307692,0.521617399241679,0.163324924838812,44.5026964825167,0.0723244640694118
