,year,quarter,date,statementData.balanceSheet.acctPay,statementData.balanceSheet.ppeq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.intangibles,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalAssets,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.ncff,statementData.cashFlow.issrepayEquity,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.costRev,statementData.incomeStatement.grossProfit,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.epsDil,statementData.incomeStatement.opex,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.epsQoQ,statementData.overview.bvps,statementData.overview.grossMargin,statementData.overview.piotroskiFScore,statementData.overview.roa,statementData.overview.bookVal,statementData.overview.profitMargin,statementData.overview.roe
0,2020,4,2020-11-01 00:00:00+00:00,10217000000.0,13115000000.0,313374767.0,31646000000.0,62147000000.0,12937000000.0,7066000000.0,-5539000000.0,519000000.0,5537000000.0,4408000000.0,4999000000.0,1499000000.0,0.0,35172000000.0,75091000000.0,0.0,45998000000.0,-1128000000.0,-1802000000.0,504000000.0,-48000000.0,3426000000.0,-2704000000.0,-267000000.0,18000000.0,-1388000000.0,-238000000.0,-66000000.0,-277000000.0,-2176000000.0,3149000000.0,6471000000.0,3260000000.0,279000000.0,2.4,0.0,316600000.0,1395000000.0,313500000.0,758000000.0,0.0,2.38,1865000000.0,757000000.0,1010000000.0,9731000000.0,443000000.0,1087000000.0,757000000.0,1366000000.0,1000000.0,330000000.0,1870000000.0,31.0522767776003,3.55553837829481,-0.0166734033953112,0.0389610389610389,41.3051763034897,0.335011817901552,6.0,0.0364972703331985,12944000000.0,0.335011817901552,0.221787765796634
2,2020,3,2020-08-02 00:00:00+00:00,9645000000.0,12912000000.0,312858631.0,31128000000.0,64373000000.0,12888000000.0,8190000000.0,-5319000000.0,479000000.0,6308000000.0,4285000000.0,5650000000.0,1534000000.0,0.0,34530000000.0,77264000000.0,0.0,48473000000.0,-703000000.0,-1547000000.0,547000000.0,182000000.0,3281000000.0,-2619000000.0,41000000.0,15000000.0,-1458000000.0,-237000000.0,0.0,-93000000.0,-2394000000.0,3188000000.0,5835000000.0,3090000000.0,290000000.0,2.59,0.0,315800000.0,1560000000.0,313000000.0,811000000.0,0.0,2.57,1530000000.0,811000000.0,752000000.0,8925000000.0,370000000.0,1268000000.0,811000000.0,1558000000.0,0.0,457000000.0,2105000000.0,28.5272615669024,3.7610955927995,-0.110701474691112,-0.0880281690140845,41.2039135976402,0.346218487394958,6.0,0.0362698799687398,12891000000.0,0.346218487394958,0.225821879353725
3,2020,2,2020-05-03 00:00:00+00:00,9163000000.0,12930000000.0,313619999.0,30556000000.0,65461000000.0,11864000000.0,8900000000.0,-5715000000.0,475000000.0,5503000000.0,4228000000.0,6171000000.0,1435000000.0,0.0,34486000000.0,77326000000.0,0.0,50143000000.0,5293000000.0,-996000000.0,529000000.0,-101000000.0,1284000000.0,5106000000.0,-132000000.0,29000000.0,-1120000000.0,-239000000.0,0.0,-141000000.0,5520000000.0,1143000000.0,6294000000.0,2959000000.0,342000000.0,2.13,0.0,316200000.0,1270000000.0,313200000.0,666000000.0,0.0,2.11,1689000000.0,666000000.0,906000000.0,9253000000.0,406000000.0,911000000.0,666000000.0,1253000000.0,0.0,245000000.0,1782000000.0,29.5038582663856,4.22648347943358,-0.184182683830012,-0.403361344537815,37.8324087680391,0.319788176807522,5.0,0.0379183463650875,11865000000.0,0.319788176807522,0.236196254397607
4,2020,1,2020-02-02 00:00:00+00:00,8777000000.0,13404000000.0,313275755.0,30129000000.0,59877000000.0,11926000000.0,3602000000.0,-5329000000.0,491000000.0,5304000000.0,4294000000.0,6482000000.0,1414000000.0,0.0,34059000000.0,71821000000.0,0.0,44899000000.0,-246000000.0,1026000000.0,538000000.0,-1000000.0,-508000000.0,-763000000.0,-61000000.0,19000000.0,1345000000.0,-242000000.0,0.0,-362000000.0,-422000000.0,-870000000.0,5077000000.0,2554000000.0,336000000.0,1.65,0.0,317200000.0,905000000.0,313500000.0,518000000.0,0.0,1.63,1649000000.0,517000000.0,809000000.0,7631000000.0,425000000.0,567000000.0,517000000.0,903000000.0,1000000.0,50000000.0,1441000000.0,24.3587314951966,3.76479959751803,-0.0442134268537074,0.0576923076923077,38.126155022753,0.334687459048617,4.0,0.0449617303120663,11944000000.0,0.334687459048617,0.275397693796818
5,2019,4,2019-11-03 00:00:00+00:00,9798000000.0,13540000000.0,314872834.0,29852000000.0,61580000000.0,11413000000.0,3857000000.0,-5607000000.0,495000000.0,5179000000.0,4297000000.0,5975000000.0,1466000000.0,0.0,35958000000.0,73011000000.0,0.0,45334000000.0,474000000.0,-1795000000.0,497000000.0,-32000000.0,3008000000.0,-707000000.0,-328000000.0,19000000.0,-1203000000.0,-240000000.0,93000000.0,-754000000.0,-105000000.0,2254000000.0,6735000000.0,3161000000.0,388000000.0,2.31,0.0,320600000.0,1213000000.0,316500000.0,722000000.0,0.0,2.28,1948000000.0,721000000.0,944000000.0,9896000000.0,488000000.0,825000000.0,721000000.0,1213000000.0,1000000.0,104000000.0,1710000000.0,31.4285607757448,3.97213703671252,0.0509212552434557,-0.0609756097560975,36.3035446875039,0.319421988682296,6.0,0.0449947957909879,11431000000.0,0.319421988682296,0.277287644376252
7,2019,3,2019-07-28 00:00:00+00:00,9526000000.0,13067000000.0,316995536.0,29369000000.0,61246000000.0,12266000000.0,3383000000.0,-4581000000.0,507000000.0,5984000000.0,4457000000.0,6747000000.0,1088000000.0,0.0,35396000000.0,73530000000.0,0.0,45432000000.0,-104000000.0,-1757000000.0,506000000.0,11000000.0,1899000000.0,-257000000.0,-361000000.0,19000000.0,-1275000000.0,-241000000.0,0.0,-455000000.0,373000000.0,1444000000.0,6870000000.0,3166000000.0,374000000.0,2.84,0.0,319800000.0,1487000000.0,315900000.0,899000000.0,0.0,2.81,1679000000.0,899000000.0,896000000.0,10036000000.0,431000000.0,1120000000.0,899000000.0,1494000000.0,0.0,221000000.0,2000000000.0,31.6597518269153,3.70389695092125,-0.0263872720217307,0.0106761565836297,38.7513343405568,0.315464328417696,7.0,0.0463424687200911,12284000000.0,0.315464328417696,0.283481122198244
8,2019,2,2019-04-28 00:00:00+00:00,9826000000.0,12797000000.0,318493477.0,28709000000.0,60792000000.0,11919000000.0,3484000000.0,-4610000000.0,514000000.0,5594000000.0,4501000000.0,7161000000.0,1039000000.0,0.0,34900000000.0,72730000000.0,0.0,44719000000.0,-137000000.0,-1341000000.0,513000000.0,-22000000.0,156000000.0,1070000000.0,-293000000.0,24000000.0,-999000000.0,-242000000.0,0.0,-305000000.0,1629000000.0,-149000000.0,7755000000.0,3587000000.0,351000000.0,3.57,0.0,322200000.0,1824000000.0,317900000.0,1136000000.0,0.0,3.52,1763000000.0,1135000000.0,947000000.0,11342000000.0,457000000.0,1478000000.0,1135000000.0,1829000000.0,1000000.0,343000000.0,2342000000.0,35.6114043742252,3.75190871717426,0.0580223880597015,-0.0428954423592494,37.4827142849145,0.316258155528126,5.0,0.047178411177192,11938000000.0,0.316258155528126,0.296522688289412
9,2019,1,2019-01-27 00:00:00+00:00,9230000000.0,12689000000.0,318570788.0,27816000000.0,58571000000.0,11328000000.0,3626000000.0,-4578000000.0,525000000.0,5298000000.0,4555000000.0,7402000000.0,834000000.0,0.0,32334000000.0,69918000000.0,0.0,43057000000.0,-292000000.0,969000000.0,503000000.0,-13000000.0,-1651000000.0,403000000.0,-93000000.0,20000000.0,1259000000.0,-220000000.0,0.0,-287000000.0,746000000.0,-1938000000.0,5432000000.0,2552000000.0,353000000.0,1.56,0.0,322700000.0,1030000000.0,318500000.0,500000000.0,0.0,1.54,1522000000.0,498000000.0,764000000.0,7984000000.0,407000000.0,682000000.0,498000000.0,1035000000.0,2000000.0,184000000.0,1538000000.0,25.0619338016642,3.80093573446328,0.154841975844362,-1.93975903614458,35.6184572704764,0.319639278557114,3.0,0.048710833580986,11347000000.0,0.319639278557114,0.31359333184271
10,2018,4,2018-10-28 00:00:00+00:00,10240000000.0,13033000000.0,321673523.0,27553000000.0,58803000000.0,11288000000.0,3904000000.0,-4427000000.0,556000000.0,4719000000.0,4663000000.0,6149000000.0,808000000.0,0.0,33816000000.0,70108000000.0,0.0,42256000000.0,-14000000.0,-1683000000.0,482000000.0,-45000000.0,2494000000.0,-780000000.0,-496000000.0,21000000.0,-1012000000.0,-223000000.0,-51000000.0,-584000000.0,-34000000.0,1910000000.0,6381200000.0,3035300000.0,323000000.0,2.46,0.0,327300000.0,1302400000.0,322600000.0,785000000.0,0.0,2.45,1732900000.0,784800000.0,897800000.0,9416500000.0,470000000.0,988200000.0,784800000.0,1311200000.0,200000.0,203400000.0,1793200000.0,29.2734692994922,3.74344436569809,0.174420054876528,0.5375,35.1443286179323,0.322338448468114,5.0,0.0343252454715282,11305000000.0,0.322338448468114,0.229307936446453
12,2018,3,2018-07-29 00:00:00+00:00,9594000000.0,12443000000.0,324284554.0,26272000000.0,59010000000.0,10356000000.0,3923000000.0,-4553000000.0,524000000.0,5349000000.0,4628000000.0,6239000000.0,1645000000.0,0.0,32749000000.0,69390000000.0,0.0,42370000000.0,-300400000.0,-1334300000.0,494200000.0,-74900000.0,548100000.0,560700000.0,-383000000.0,23200000.0,-1029700000.0,-196100000.0,78100000.0,-352900000.0,1161900000.0,195200000.0,7152000000.0,3156000000.0,291000000.0,2.81,0.0,328000000.0,1481000000.0,323500000.0,911000000.0,0.0,2.78,1675000000.0,910000000.0,913000000.0,10308000000.0,416000000.0,1199000000.0,910000000.0,1490000000.0,1000000.0,289000000.0,1984200000.0,31.7868978736496,4.09134801081499,0.320218243295166,0.405,32.0089250997752,0.306169965075669,4.0,0.0308202283427114,10380000000.0,0.306169965075669,0.211531172775557
13,2018,2,2018-04-29 00:00:00+00:00,9935300000.0,12466000000.0,323787852.0,25586000000.0,59438400000.0,10410300000.0,4201400000.0,-4173200000.0,562700000.0,5117700000.0,4880900000.0,6888900000.0,1718500000.0,0.0,32219100000.0,69873000000.0,0.0,41574300000.0,287100000.0,-1062400000.0,487600000.0,-52700000.0,75900000.0,1326300000.0,4700000.0,23100000.0,-647600000.0,-193900000.0,-36100000.0,-327700000.0,1532700000.0,-251800000.0,7333300000.0,3386700000.0,303700000.0,3.73,0.0,329200000.0,1687400000.0,324200000.0,1209700000.0,0.0,3.67,1699300000.0,1208300000.0,939200000.0,10720000000.0,415200000.0,1385400000.0,1208300000.0,1689100000.0,1400000.0,177100000.0,2176700000.0,33.1080982000523,3.99357367222847,0.2935923735972,0.474308300395257,32.2266568543158,0.315923507462687,4.0,0.0275856647367385,10434600000.0,0.315923507462687,0.193128777214466
