,year,quarter,date,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswa,statementData.incomeStatement.sga,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,2,2020-11-30 00:00:00+00:00,38450000000.0,0.0,0.0,59891000000.0,0.0,6702000000.0,-898000000.0,3733000000.0,21039000000.0,27208000000.0,0.0,3471000000.0,49455000000.0,2220000000.0,8339000000.0,81156000000.0,0.0,11417000000.0,587000000.0,12115000000.0,60117000000.0,0.0,36230000000.0,21265000000.0,48002000000.0,262591998.0,52000000.0,349000000.0,8000000.0,936000000.0,-171000000.0,148000000.0,0.0,2579000000.0,-19000000.0,1385000000.0,46000000.0,-1402000000.0,-1394000000.0,1177000000.0,0.0,0.0,0.0,4.64,184000000.0,7853000000.0,11245000000.0,1226000000.0,1226000000.0,20563000000.0,1465000000.0,0.0,180000000.0,262591998.0,7443000000.0,4.55,2526000000.0,1406000000.0,1226000000.0,12710000000.0,1590000000.0,0.0324386896198178,0.186966058646964,21039000000.0,1.7552620718118,1.15813953488372,0.618100471721052,78.3077936746572,1.72204002091354,0.618100471721052,80.1204917142982,6.0,0.126347791361253
1,2021,1,2020-08-31 00:00:00+00:00,38029000000.0,0.0,0.0,58745000000.0,0.0,6633000000.0,-1020000000.0,3339000000.0,19462000000.0,26108000000.0,0.0,3171000000.0,48758000000.0,2111000000.0,6954000000.0,77648000000.0,0.0,10508000000.0,593000000.0,11195000000.0,58186000000.0,0.0,35918000000.0,18903000000.0,46991000000.0,261954496.0,15000000.0,82000000.0,6000000.0,926000000.0,-170000000.0,825000000.0,0.0,2651000000.0,914000000.0,2073000000.0,75000000.0,-1424000000.0,-1418000000.0,1227000000.0,0.0,0.0,0.0,4.75,184000000.0,7284000000.0,10447000000.0,1245000000.0,1245000000.0,19321000000.0,1590000000.0,0.0,361000000.0,261954496.0,6852000000.0,4.72,2716000000.0,1606000000.0,1245000000.0,12037000000.0,1790000000.0,0.0245369273200001,0.133329422806194,19462000000.0,1.68852166145601,0.660839160839161,0.623000879871642,73.7570848946223,1.8455451649368,0.623000879871642,74.295346318469,6.0,0.0949406620861961
2,2020,4,2020-05-31 00:00:00+00:00,36121000000.0,0.0,0.0,57154000000.0,0.0,6372000000.0,-1147000000.0,3269000000.0,18295000000.0,25216000000.0,0.0,3162000000.0,47525000000.0,1974000000.0,4881000000.0,73537000000.0,0.0,10102000000.0,572000000.0,10344000000.0,55242000000.0,0.0,34147000000.0,16383000000.0,44898000000.0,261249779.0,-62000000.0,26000000.0,7000000.0,927000000.0,-170000000.0,2514000000.0,0.0,1819000000.0,2662000000.0,3115000000.0,31000000.0,-1163000000.0,-1156000000.0,656000000.0,0.0,0.0,0.0,-1.29,229000000.0,6640000000.0,10243000000.0,-334000000.0,-334000000.0,17358000000.0,475000000.0,0.0,15000000.0,261249779.0,6327000000.0,-1.27,837000000.0,-319000000.0,-334000000.0,10718000000.0,-90000000.0,0.0182439166255848,-0.0252148031672937,18295000000.0,1.58381670533643,-0.827770360480641,0.61746745016707,66.4421614687758,1.86646624760864,0.61746745016707,70.0287673736176,6.0,0.0695595732309232
4,2020,3,2020-02-29 00:00:00+00:00,33442000000.0,0.0,0.0,57473000000.0,0.0,6814000000.0,-887000000.0,3193000000.0,18831000000.0,25569000000.0,0.0,3101000000.0,47287000000.0,2237000000.0,1766000000.0,70014000000.0,0.0,9323000000.0,568000000.0,10325000000.0,51183000000.0,0.0,31205000000.0,12541000000.0,40858000000.0,261119074.0,-7000000.0,12000000.0,11000000.0,908000000.0,-170000000.0,-34000000.0,0.0,1204000000.0,124000000.0,-265000000.0,33000000.0,-1439000000.0,-1428000000.0,-235000000.0,0.0,0.0,0.0,1.21,155000000.0,7085000000.0,9991000000.0,315000000.0,315000000.0,17487000000.0,411000000.0,0.0,105000000.0,261119074.0,6382000000.0,1.2,1483000000.0,420000000.0,315000000.0,10402000000.0,575000000.0,-0.00531155949060775,0.0280423280423281,18831000000.0,1.21462469733656,-0.57243816254417,0.594841882541316,66.9694470500458,1.65710796027826,0.594841882541316,72.1165241264604,3.0,-0.0190157056652092
5,2020,2,2019-11-30 00:00:00+00:00,33217000000.0,0.0,0.0,56756000000.0,0.0,6861000000.0,-866000000.0,3283000000.0,18659000000.0,25431000000.0,0.0,3072000000.0,46505000000.0,2094000000.0,2031000000.0,69954000000.0,0.0,9709000000.0,576000000.0,10547000000.0,51295000000.0,0.0,31123000000.0,13198000000.0,40748000000.0,260910309.0,17000000.0,14000000.0,5000000.0,901000000.0,-169000000.0,-41000000.0,0.0,1509000000.0,114000000.0,-358000000.0,37000000.0,-1848000000.0,-1843000000.0,-339000000.0,0.0,0.0,0.0,2.15,151000000.0,6916000000.0,9854000000.0,560000000.0,560000000.0,17324000000.0,554000000.0,0.0,12000000.0,260910309.0,6235000000.0,2.13,1624000000.0,572000000.0,560000000.0,10408000000.0,723000000.0,0.00121323395599196,-0.0280520646319569,18659000000.0,1.25135109509813,-0.396067415730337,0.600785038097437,66.398296281961,1.66798863819069,0.600785038097437,71.514997132597,4.0,0.00402814329448413
6,2020,1,2019-08-31 00:00:00+00:00,32794000000.0,0.0,0.0,55435000000.0,0.0,6821000000.0,-918000000.0,3179000000.0,18166000000.0,25048000000.0,0.0,2953000000.0,45429000000.0,1931000000.0,2389000000.0,68452000000.0,0.0,9312000000.0,574000000.0,9935000000.0,50286000000.0,0.0,30863000000.0,13017000000.0,40351000000.0,260808410.0,-18000000.0,9000000.0,-1000000.0,879000000.0,-170000000.0,942000000.0,0.0,565000000.0,1108000000.0,70000000.0,67000000.0,-1418000000.0,-1419000000.0,-853000000.0,0.0,0.0,0.0,2.86,137000000.0,6586000000.0,9485000000.0,745000000.0,745000000.0,17048000000.0,977000000.0,0.0,251000000.0,260808410.0,6087000000.0,2.84,2012000000.0,996000000.0,745000000.0,10462000000.0,1133000000.0,0.00780545341011587,-0.000234576589256408,18166000000.0,1.31021640664318,-0.0920634920634921,0.613679023932426,65.365990306831,1.69894308048002,0.613679023932426,69.6526618907726,4.0,0.023964532491912
7,2019,4,2019-05-31 00:00:00+00:00,18112000000.0,0.0,0.0,41317000000.0,0.0,6884000000.0,-865000000.0,3030000000.0,17757000000.0,24648000000.0,0.0,2821000000.0,30429000000.0,964000000.0,2319000000.0,54403000000.0,0.0,9116000000.0,553000000.0,9013000000.0,36646000000.0,0.0,17148000000.0,13086000000.0,27633000000.0,260574612.0,-33000000.0,-72000000.0,-45000000.0,866000000.0,-169000000.0,-1032000000.0,0.0,2290000000.0,-782000000.0,-553000000.0,33000000.0,-1733000000.0,-1778000000.0,557000000.0,0.0,0.0,0.0,-7.49,195000000.0,6549000000.0,9942000000.0,-1969000000.0,-1969000000.0,17807000000.0,1316000000.0,0.0,-585000000.0,260574612.0,6187000000.0,-7.38,-1493000000.0,-2554000000.0,-1969000000.0,11258000000.0,-2359000000.0,0.0100907702154099,0.0284740672288322,17757000000.0,1.45190280705647,-2.77068557919622,0.632223282978604,68.3374326582514,0.965703666159824,0.632223282978604,68.1455490376016,6.0,0.0283769936151764
9,2019,3,2019-02-28 00:00:00+00:00,18928000000.0,0.0,0.0,40964000000.0,0.0,6916000000.0,-737000000.0,3156000000.0,19894000000.0,26650000000.0,0.0,3211000000.0,29768000000.0,1198000000.0,2872000000.0,54464000000.0,0.0,9037000000.0,546000000.0,9256000000.0,34570000000.0,0.0,17730000000.0,13500000000.0,25314000000.0,261043625.0,24000000.0,-81000000.0,9000000.0,851000000.0,-341000000.0,695000000.0,0.0,1144000000.0,1113000000.0,749000000.0,33000000.0,-1123000000.0,-1114000000.0,21000000.0,0.0,0.0,0.0,2.83,135000000.0,6692000000.0,9407000000.0,739000000.0,739000000.0,17010000000.0,911000000.0,0.0,192000000.0,261043625.0,6069000000.0,2.8,1917000000.0,931000000.0,739000000.0,10318000000.0,1066000000.0,0.0686089516189901,0.0292871838315383,19894000000.0,1.45851339671564,-0.634366925064599,0.606584362139918,65.1615223317558,0.891223484467679,0.606584362139918,76.2094841427367,5.0,0.186996155675842
10,2019,2,2018-11-30 00:00:00+00:00,17896000000.0,0.0,0.0,39851000000.0,0.0,6908000000.0,-817000000.0,3400000000.0,19294000000.0,26080000000.0,0.0,3253000000.0,29387000000.0,892000000.0,2123000000.0,53289000000.0,0.0,9573000000.0,522000000.0,9496000000.0,33995000000.0,0.0,17004000000.0,13438000000.0,24499000000.0,263515857.0,-14000000.0,-626000000.0,-25000000.0,828000000.0,0.0,-230000000.0,0.0,1478000000.0,399000000.0,-246000000.0,40000000.0,-1455000000.0,-1480000000.0,23000000.0,0.0,0.0,0.0,3.56,131000000.0,6985000000.0,9671000000.0,935000000.0,935000000.0,17824000000.0,1168000000.0,0.0,242000000.0,263515857.0,6260000000.0,3.51,2136000000.0,1177000000.0,935000000.0,10839000000.0,1308000000.0,0.0949701725644908,0.0926255133942255,19294000000.0,1.41512215669756,0.231833910034602,0.608112657091562,67.6391933408394,0.88131025189178,0.608112657091562,73.2176052691964,7.0,0.258983810255676
11,2019,1,2018-08-31 00:00:00+00:00,17501000000.0,0.0,0.0,39260000000.0,0.0,6869000000.0,-763000000.0,3066000000.0,19173000000.0,25315000000.0,0.0,2948000000.0,28779000000.0,1703000000.0,2369000000.0,51901000000.0,0.0,8716000000.0,523000000.0,9606000000.0,32728000000.0,0.0,15798000000.0,12641000000.0,23122000000.0,265924840.0,-24000000.0,-600000000.0,78000000.0,808000000.0,-173000000.0,-472000000.0,0.0,701000000.0,297000000.0,-896000000.0,68000000.0,-1179000000.0,-1101000000.0,-478000000.0,0.0,0.0,0.0,3.15,127000000.0,6511000000.0,9470000000.0,835000000.0,835000000.0,17052000000.0,1071000000.0,0.0,266000000.0,265924840.0,6260000000.0,3.1,2036000000.0,1101000000.0,835000000.0,10541000000.0,1228000000.0,0.0932531510009062,0.114728378113355,19173000000.0,1.31594836560483,0.418918918918919,0.618167956837908,64.1233816291851,0.823971209513378,0.618167956837908,72.0993194919286,5.0,0.258177037215917
