,date,year,quarter,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctPay,statementData.balanceSheet.equity,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.ncf,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncff,statementData.incomeStatement.grossProfit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.eps,statementData.incomeStatement.costRev,statementData.incomeStatement.ebitda,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.opex,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.opinc,statementData.incomeStatement.nonControllingInterests,statementData.overview.longTermDebtEquity,statementData.overview.epsQoQ,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.currentRatio,statementData.overview.rps,statementData.overview.roa,statementData.overview.bvps,statementData.overview.revenueQoQ,statementData.overview.roe,statementData.overview.piotroskiFScore,statementData.overview.profitMargin
0,2019-03-31 00:00:00+00:00,2019,1,140537000000.0,34966000000.0,1853000000.0,67107000000.0,29764000000.0,7004000000.0,2254762058.0,95687000000.0,35575000000.0,8333000000.0,92444000000.0,41970000000.0,0.0,189785000000.0,7893000000.0,0.0,16604000000.0,119000000.0,89415000000.0,8012000000.0,49248000000.0,6065000000.0,-12364000000.0,11543000000.0,19161000000.0,28580000000.0,125000000.0,0.0,-1516000000.0,50000000.0,26000000.0,-1000000000.0,-1956000000.0,-1138000000.0,1435000000.0,-1164000000.0,-851000000.0,44000000.0,1519000000.0,-1032000000.0,4923000000.0,19649000000.0,2259200000.0,571000000.0,0.0,0.23,14726000000.0,2702000000.0,454000000.0,209000000.0,0.23,729000000.0,717000000.0,520000000.0,1672000000.0,3715000000.0,0.0,2250100000.0,520000000.0,1183000000.0,1208000000.0,51000000.0,0.378239799229804,0.0952380952380953,94098000000.0,0.250547101633671,1.72316305108467,8.71444502548925,0.0173951322977182,41.7330066674379,-0.0223891735907259,0.0340144039523485,5.0,0.250547101633671
1,2018-12-31 00:00:00+00:00,2018,4,138427000000.0,37662000000.0,1724000000.0,67136000000.0,30536000000.0,2802000000.0,2294243816.0,91851000000.0,35848000000.0,9457000000.0,94571000000.0,40464000000.0,0.0,188030000000.0,8382000000.0,0.0,16621000000.0,134000000.0,89997000000.0,8516000000.0,49603000000.0,6292000000.0,-12394000000.0,13482000000.0,17816000000.0,24715000000.0,98000000.0,0.0,-1411000000.0,-98000000.0,5101000000.0,-1023000000.0,6546000000.0,3790000000.0,5502000000.0,-1311000000.0,-866000000.0,184000000.0,1468000000.0,2566000000.0,4532000000.0,20099000000.0,2292700000.0,513000000.0,0.0,0.21,15567000000.0,2590000000.0,432000000.0,215000000.0,0.21,690000000.0,749000000.0,475000000.0,1566000000.0,3688000000.0,0.0,2282100000.0,475000000.0,1122000000.0,844000000.0,38000000.0,0.398240475410009,-0.0454545454545455,96179000000.0,0.225483854918155,2.00699979769371,8.76062075871364,0.020438899308911,41.9218739217035,-0.00119266510957605,0.0392061869076426,6.0,0.225483854918155
3,2018-09-30 00:00:00+00:00,2018,3,139048000000.0,27293000000.0,1642000000.0,57029000000.0,30933000000.0,7875000000.0,2307376875.0,84709000000.0,35228000000.0,8631000000.0,98090000000.0,35168000000.0,0.0,184453000000.0,8472000000.0,0.0,16441000000.0,370000000.0,90870000000.0,8842000000.0,45405000000.0,6609000000.0,-10566000000.0,6939000000.0,20074000000.0,27680000000.0,-12000000.0,0.0,-955000000.0,-75000000.0,-323000000.0,-1049000000.0,-2329000000.0,-1331000000.0,955000000.0,-1008000000.0,-870000000.0,-26000000.0,1470000000.0,-882000000.0,4646000000.0,20123000000.0,2311300000.0,535000000.0,0.0,0.22,15477000000.0,2649000000.0,362000000.0,320000000.0,0.21,817000000.0,740000000.0,497000000.0,1496000000.0,3607000000.0,0.0,2296200000.0,497000000.0,1179000000.0,1039000000.0,38000000.0,0.278244469364869,-0.710526315789474,99744000000.0,0.230880087462108,1.64035404624277,8.72115874005195,0.0111365964900684,43.2283087694549,-0.170014435966179,0.0211689140628534,4.0,0.230880087462108
4,2018-06-30 00:00:00+00:00,2018,2,139470000000.0,26850000000.0,1701000000.0,59375000000.0,30432000000.0,7400000000.0,2320786686.0,87485000000.0,35224000000.0,7983000000.0,98262000000.0,34250000000.0,0.0,187367000000.0,8330000000.0,0.0,15630000000.0,507000000.0,91506000000.0,8837000000.0,47897000000.0,6759000000.0,-10732000000.0,9244000000.0,20881000000.0,28110000000.0,118000000.0,0.0,-966000000.0,-379000000.0,2090000000.0,-680000000.0,-1028000000.0,1262000000.0,-152000000.0,-828000000.0,-875000000.0,-183000000.0,1496000000.0,-2059000000.0,6271000000.0,24245000000.0,2323600000.0,1803000000.0,0.0,0.76,17974000000.0,4189000000.0,360000000.0,565000000.0,0.76,2333000000.0,803000000.0,1768000000.0,1933000000.0,3793000000.0,0.0,2308900000.0,1768000000.0,2693000000.0,2478000000.0,35000000.0,0.273249068816022,0.617021276595745,99882000000.0,0.258651268302743,1.70391319815012,10.4468886116318,0.0110214289700571,43.0379925059601,0.127150162715016,0.0210825277186083,6.0,0.258651268302743
5,2018-03-31 00:00:00+00:00,2018,1,142708000000.0,29343000000.0,1754000000.0,62900000000.0,29366000000.0,5118000000.0,2329023478.0,89517000000.0,36076000000.0,8754000000.0,101260000000.0,34461000000.0,0.0,192441000000.0,8507000000.0,0.0,17457000000.0,257000000.0,93459000000.0,8764000000.0,49733000000.0,7002000000.0,-7497000000.0,10281000000.0,20480000000.0,26617000000.0,33000000.0,0.0,-892000000.0,208000000.0,-2137000000.0,290000000.0,-3182000000.0,-2941000000.0,364000000.0,-804000000.0,-880000000.0,618000000.0,1484000000.0,-1543000000.0,5195000000.0,21510000000.0,2334300000.0,1148000000.0,5000000.0,0.47,16315000000.0,3327000000.0,350000000.0,389000000.0,0.47,1493000000.0,768000000.0,1104000000.0,1714000000.0,3560000000.0,0.0,2317000000.0,1104000000.0,1843000000.0,1635000000.0,44000000.0,0.289778787280269,-1.41964285714286,102924000000.0,0.241515574151557,1.86846752075741,9.23563038465858,0.0100754607524433,44.1919117485169,0.0719625236718828,0.0201347321125551,3.0,0.241515574151557
