,year,quarter,date,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,3,2020-10-31 00:00:00+00:00,6142547000.0,463732000.0,4997506000.0,-742861000.0,13243046000.0,15642646000.0,0.0,10581993000.0,124436000.0,0.0,4982573000.0,0.0,5566756000.0,2399600000.0,31565500000.0,14033470000.0,241780000.0,25998744000.0,16653906000.0,14181550000.0,0.0,0.0,96733000.0,11817194000.0,1199061133.0,14911594000.0,4079985000.0,0.0,-21232000.0,3956291000.0,28189000.0,3961582000.0,218972000.0,-125360000.0,28189000.0,-1666000.0,0.0,31262000.0,-123694000.0,0.0,52884000.0,7062285000.0,1986128000.0,0.0,1068876000.0,1199951000.0,1214195000.0,0.71,1015992000.0,866656000.0,0.72,866656000.0,3055004000.0,866656000.0,0.0,10117289000.0,0.0,149336000.0,1287848000.0,0.0,1068876000.0,1986128000.0,0.0278468991977233,-0.0319619485895294,5566756000.0,1.4092944568736,0.0434782608695652,0.301958755947369,8.43767571273616,2.37895212220546,0.301958755947369,4.64259564987501,6.0,0.143389104964414
1,2021,2,2020-08-01 00:00:00+00:00,2422140000.0,444229000.0,3744062000.0,-722941000.0,13320559000.0,15660844000.0,0.0,6620411000.0,91770000.0,0.0,4115917000.0,0.0,4660569000.0,2340285000.0,26568402000.0,14164265000.0,354224000.0,21907833000.0,11517947000.0,14260582000.0,0.0,0.0,97131000.0,7647251000.0,1197877094.0,15050455000.0,3357258000.0,-1000000000.0,51023000.0,3257873000.0,-977990000.0,2332576000.0,220065000.0,-97715000.0,22088000.0,1670000.0,0.0,39178000.0,-99385000.0,0.0,57336000.0,5174490000.0,1527768000.0,0.0,-34683000.0,1198634000.0,1198634000.0,-0.18,-92019000.0,-214220000.0,-0.18,-214220000.0,1493085000.0,-214220000.0,0.0,6667575000.0,0.0,122201000.0,185382000.0,0.0,-34683000.0,1527768000.0,0.0283355020654847,-0.318355102786907,4660569000.0,1.50615521839155,-1.28571428571429,0.223932239232405,5.56615952788225,2.85814006830496,0.223932239232405,3.89069047512816,5.0,0.1362041012744
2,2021,1,2020-05-02 00:00:00+00:00,1071190000.0,172463000.0,4945720000.0,-797324000.0,15107238000.0,16506528000.0,0.0,4287835000.0,124411000.0,0.0,4330561000.0,0.0,4739218000.0,1399290000.0,25415240000.0,14275595000.0,518385000.0,20676022000.0,10296248000.0,16006475000.0,0.0,0.0,94469000.0,4669547000.0,1197698188.0,15118992000.0,-3160483000.0,4988452000.0,-37840000.0,-3371008000.0,4490509000.0,1071083000.0,219460000.0,-221103000.0,-164056000.0,-10578000.0,-278250000.0,-11531000.0,-210525000.0,0.0,23351000.0,4414465000.0,1313920000.0,0.0,-1319497000.0,1197809000.0,1197809000.0,-0.74,-1342848000.0,-887489000.0,-0.74,-887489000.0,-5577000.0,-887489000.0,0.0,4408888000.0,0.0,-455359000.0,-1100037000.0,0.0,-1319497000.0,1313920000.0,0.0696776674816698,-0.524780640651635,4739218000.0,2.2049779132751,-2.27586206896552,-0.00126494481148081,3.68113439944521,3.18770691704834,-0.00126494481148081,3.95693844032099,3.0,0.312926081201439
3,2020,4,2020-02-01 00:00:00+00:00,2672557000.0,386261000.0,4872592000.0,-673171000.0,10053258000.0,11464474000.0,0.0,3216752000.0,166870000.0,0.0,5422283000.0,0.0,5948212000.0,1411216000.0,24145003000.0,14385380000.0,59101000.0,18196791000.0,8890622000.0,11046544000.0,0.0,0.0,95546000.0,7150247000.0,1203183703.0,15254381000.0,2193012000.0,0.0,9157000.0,1962608000.0,-581377000.0,1156576000.0,219914000.0,-464216000.0,-304781000.0,-3656000.0,-276470000.0,38367000.0,-230404000.0,-230156000.0,3053000.0,8741805000.0,2135329000.0,0.0,1329328000.0,1201227000.0,1219367000.0,0.81,1326275000.0,984790000.0,0.82,984790000.0,3464657000.0,984790000.0,0.0,12206462000.0,0.0,341485000.0,1549242000.0,0.0,1329328000.0,2135329000.0,0.139572254612635,0.0969793319876988,5948212000.0,1.24340068252188,0.188405797101449,0.283837937643193,10.1451357507292,1.69013108476968,0.283837937643193,4.9437272007332,7.0,0.596972504442481
5,2020,3,2019-11-02 00:00:00+00:00,3447443000.0,442883000.0,6274778000.0,-637414000.0,10057940000.0,11470202000.0,0.0,2060176000.0,224729000.0,0.0,4976762000.0,0.0,5542532000.0,1412262000.0,24288704000.0,14320117000.0,187886000.0,18746172000.0,9374615000.0,11059028000.0,0.0,0.0,96313000.0,7687144000.0,1208932667.0,14914089000.0,974284000.0,0.0,12519000.0,559590000.0,-695473000.0,-126206000.0,219555000.0,-417536000.0,-417829000.0,-2842000.0,-277644000.0,31190000.0,-414694000.0,0.0,3259000.0,7440033000.0,1885923000.0,0.0,1125378000.0,1206369000.0,1224288000.0,0.68,1122119000.0,828263000.0,0.69,828263000.0,3011301000.0,828263000.0,0.0,10451334000.0,0.0,293856000.0,1344933000.0,0.0,1125378000.0,1885923000.0,0.149070348524376,0.0636668373405047,5542532000.0,1.21951858843805,0.112903225806452,0.288125994251069,8.64509189410464,1.81468325306917,0.288125994251069,4.58464904729057,4.0,0.595261833822458
6,2020,2,2019-08-03 00:00:00+00:00,2607651000.0,377057000.0,5087046000.0,-712825000.0,9977987000.0,11331708000.0,0.0,2186382000.0,234503000.0,0.0,4806504000.0,0.0,5302612000.0,1353721000.0,22854979000.0,13986180000.0,184767000.0,17552367000.0,8268604000.0,10951626000.0,0.0,0.0,95938000.0,6600741000.0,1212667546.0,14586375000.0,750005000.0,0.0,-6733000.0,488896000.0,-538436000.0,-48674000.0,215633000.0,-253510000.0,-259754000.0,180000.0,-278690000.0,29668000.0,-261109000.0,0.0,2897000.0,7026057000.0,1731335000.0,0.0,1024204000.0,1210525000.0,1228986000.0,0.62,1021307000.0,758962000.0,0.63,758962000.0,2755539000.0,758962000.0,0.0,9781596000.0,0.0,262345000.0,1239837000.0,0.0,1024204000.0,1731335000.0,0.164022658770803,0.048277295907295,5302612000.0,1.25267814628691,0.0677966101694916,0.281706482255043,8.06618106690884,1.88171169227543,0.281706482255043,4.37268402002737,3.0,0.590729617657408
7,2020,1,2019-05-04 00:00:00+00:00,2578370000.0,393276000.0,5057202000.0,-633282000.0,9855899000.0,11199142000.0,0.0,2235056000.0,358101000.0,0.0,4552509000.0,0.0,5131895000.0,1343243000.0,22489064000.0,13828965000.0,44309000.0,17357169000.0,8067212000.0,10776150000.0,0.0,0.0,96685000.0,6581019000.0,1214588500.0,14421852000.0,149239000.0,0.0,-18118000.0,-167670000.0,-599585000.0,-795173000.0,212201000.0,-326709000.0,-337522000.0,-9800000.0,-238758000.0,25732000.0,-316909000.0,0.0,817000.0,6637885000.0,1702401000.0,0.0,937299000.0,1214531000.0,1233407000.0,0.57,936482000.0,700178000.0,0.58,700178000.0,2639700000.0,700178000.0,0.0,9277585000.0,0.0,236304000.0,1149500000.0,0.0,937299000.0,1702401000.0,0.184595216961827,0.0677735040374186,5131895000.0,1.22583022477218,0.0175438596491229,0.284524474849867,7.63845944531831,1.9205184439666,0.284524474849867,4.22521290132419,3.0,0.589146179425948
8,2019,4,2019-02-02 00:00:00+00:00,2644143000.0,346298000.0,4579033000.0,-630321000.0,2233616000.0,2233616000.0,0.0,3030229000.0,312346000.0,0.0,4461744000.0,0.0,5048606000.0,0.0,14326029000.0,5255208000.0,6467000.0,9277423000.0,8469222000.0,3746049000.0,0.0,0.0,97552000.0,5531374000.0,1233145248.0,5856807000.0,1610702000.0,0.0,4044000.0,1358526000.0,-1041952000.0,318462000.0,218428000.0,-254332000.0,-799972000.0,-2155000.0,-240274000.0,26204000.0,-252176000.0,0.0,-1505000.0,8033640000.0,1916627000.0,0.0,1177073000.0,1227695000.0,1244708000.0,0.68,1178578000.0,841538000.0,0.69,841538000.0,3093700000.0,841538000.0,0.0,11127340000.0,0.0,337040000.0,1395501000.0,0.0,1177073000.0,1916627000.0,0.212967281976839,0.0152015561021539,5048606000.0,1.53112445479188,-0.0142857142857143,0.278026913889573,9.02354367261041,0.442422324102931,0.278026913889573,4.09408867948701,5.0,0.588565306208812
10,2019,3,2018-11-03 00:00:00+00:00,3340596000.0,419790000.0,5543413000.0,-591847000.0,2232864000.0,2232864000.0,0.0,2711767000.0,315437000.0,0.0,4615575000.0,0.0,5256873000.0,0.0,15025242000.0,5165875000.0,0.0,9768369000.0,9317013000.0,3754544000.0,0.0,0.0,97348000.0,6013825000.0,1241533412.0,5708229000.0,917092000.0,0.0,-9983000.0,618029000.0,-769900000.0,-160950000.0,204912000.0,-298159000.0,-525270000.0,903000.0,-241448000.0,27412000.0,-299063000.0,0.0,3188000.0,6983483000.0,1792570000.0,0.0,1049706000.0,1236842000.0,1257562000.0,0.61,1046518000.0,762253000.0,0.62,762253000.0,2842276000.0,762253000.0,0.0,9825759000.0,0.0,284265000.0,1254618000.0,0.0,1049706000.0,1756448000.0,0.21646420308141,0.121377801516054,5256873000.0,1.54926573353897,0.215686274509804,0.289267831625017,7.9142122999103,0.42475136835149,0.289267831625017,4.23417763000969,8.0,0.592598406588324
11,2019,2,2018-08-04 00:00:00+00:00,2683285000.0,356180000.0,4498523000.0,-598398000.0,2232112000.0,2232112000.0,0.0,2872717000.0,265419000.0,0.0,4583938000.0,0.0,5227073000.0,0.0,14111428000.0,5100454000.0,9000.0,8884355000.0,8439972000.0,3746538000.0,0.0,0.0,98114000.0,5137817000.0,1250405376.0,5671456000.0,835780000.0,0.0,-33977000.0,526823000.0,-759622000.0,191612000.0,204020000.0,149431000.0,-515676000.0,431736000.0,-243578000.0,25912000.0,-308957000.0,0.0,3029000.0,6635815000.0,1699714000.0,0.0,995586000.0,1246851000.0,1265920000.0,0.58,992557000.0,739626000.0,0.59,739626000.0,2695300000.0,739626000.0,0.0,9331115000.0,0.0,252931000.0,1199606000.0,0.0,995586000.0,1699714000.0,0.212274242411755,0.116469243930746,5227073000.0,1.64271557355974,0.35632183908046,0.288850796501811,7.46247191438819,0.427029046657661,0.288850796501811,4.18030272448221,7.0,0.586631293237948
12,2019,1,2018-05-05 00:00:00+00:00,2509089000.0,368314000.0,4369893000.0,-555530000.0,2231360000.0,2231360000.0,0.0,2681105000.0,507582000.0,435903000.0,4567533000.0,0.0,5262408000.0,0.0,14007124000.0,5026092000.0,3178000.0,8744716000.0,8422275000.0,3767852000.0,0.0,435903000.0,98614000.0,4976864000.0,1254144756.0,5584849000.0,724885000.0,0.0,-55758000.0,459942000.0,-526007000.0,-77372000.0,192295000.0,-220492000.0,-310838000.0,44451000.0,-197296000.0,24029000.0,-264943000.0,0.0,4148000.0,6178239000.0,1550775000.0,0.0,959706000.0,1253224000.0,1268872000.0,0.56,955558000.0,716381000.0,0.57,716381000.0,2510481000.0,716381000.0,0.0,8688720000.0,0.0,239177000.0,1152001000.0,0.0,959706000.0,1550775000.0,0.203216384632153,0.116224718731597,5262408000.0,1.69228554366766,0.373493975903614,0.28893565450377,6.92800409078137,0.424018814200647,0.28893565450377,4.19601323916073,7.0,0.56907315352162
13,2018,4,2018-02-03 00:00:00+00:00,2488373000.0,327166000.0,4187243000.0,-441859000.0,2230607000.0,2230607000.0,0.0,2758477000.0,347260000.0,506165000.0,4334150000.0,0.0,5148309000.0,0.0,14058015000.0,5006053000.0,6558000.0,8909706000.0,8485727000.0,3784169000.0,0.0,506165000.0,100069000.0,5125537000.0,1264605010.0,5572288000.0,1096201000.0,0.0,72863000.0,866113000.0,-561478000.0,394233000.0,193533000.0,-213353000.0,-361110000.0,16735000.0,-197091000.0,24210000.0,-230088000.0,0.0,4089000.0,7849400000.0,1994851000.0,0.0,1116469000.0,1259467000.0,1276804000.0,0.69,1112380000.0,877276000.0,0.7,877276000.0,3111320000.0,877276000.0,0.0,10960720000.0,0.0,235104000.0,1310002000.0,0.0,1116469000.0,1895601000.0,0.194496685603748,0.15770264776454,5148309000.0,1.65557813747125,0.346153846153846,0.283860914246509,8.66730711433762,0.433269836756108,0.283860914246509,4.07108066098837,8.0,0.55229019701355
