,date,quarter,year,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.equity,statementData.balanceSheet.debt,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.cashFlow.capex,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.taxExp,statementData.incomeStatement.opex,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netinc,statementData.incomeStatement.ebitda,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.opinc,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.nonControllingInterests,statementData.overview.longTermDebtEquity,statementData.overview.epsQoQ,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.currentRatio,statementData.overview.rps,statementData.overview.roa,statementData.overview.bvps,statementData.overview.revenueQoQ,statementData.overview.roe,statementData.overview.piotroskiFScore,statementData.overview.profitMargin
0,2019-03-29 00:00:00+00:00,1,2019,0.0,1796000000.0,711000000.0,7204000000.0,-701000000.0,79368345.0,672000000.0,14263000000.0,896000000.0,0.0,0.0,0.0,1108000000.0,7574000000.0,6051000000.0,3891000000.0,4905000000.0,260000000.0,804000000.0,0.0,0.0,2432000000.0,5713000000.0,8145000000.0,9358000000.0,3891000000.0,-46000000.0,-3000000.0,3000000.0,-70000000.0,0.0,42000000.0,12000000.0,-80000000.0,147000000.0,-74000000.0,193000000.0,0.0,-19000000.0,58000000.0,79200000.0,2.71,693000000.0,2.74,0.0,217000000.0,382000000.0,2007000000.0,254000000.0,223000000.0,2700000000.0,37000000.0,400000000.0,80000000.0,291000000.0,217000000.0,349000000.0,37000000.0,0.0,293000000.0,0.0,6000000.0,0.643034209221616,0.0538461538461539,6118000000.0,0.256666666666667,2.01685855263158,34.0186002366561,0.0747958528305349,77.0836282399488,0.138760016870519,0.177402506963788,3.0,0.256666666666667
1,2018-12-31 00:00:00+00:00,4,2018,0.0,1169000000.0,669000000.0,7198000000.0,-725000000.0,78697551.0,699000000.0,13518000000.0,879000000.0,0.0,0.0,0.0,1066000000.0,7424000000.0,5839000000.0,3321000000.0,4810000000.0,245000000.0,919000000.0,0.0,0.0,2447000000.0,5164000000.0,7611000000.0,8708000000.0,3321000000.0,-64000000.0,8000000.0,-6000000.0,-63000000.0,0.0,559000000.0,13000000.0,-51000000.0,617000000.0,-65000000.0,681000000.0,1000000.0,-1000000.0,71000000.0,78500000.0,2.83,726000000.0,2.85,0.0,225000000.0,425000000.0,2045000000.0,238000000.0,231000000.0,2771000000.0,13000000.0,454000000.0,79600000.0,277000000.0,225000000.0,348000000.0,39000000.0,1000000.0,272000000.0,0.0,6000000.0,0.568761774276417,-0.231805929919137,5907000000.0,0.261999278238903,1.96567225173682,35.210752619227,0.0756990867149986,75.0595148761364,0.815858453473132,0.181260708810533,7.0,0.261999278238903
3,2018-09-28 00:00:00+00:00,3,2018,0.0,1156000000.0,578000000.0,7248000000.0,-703000000.0,78328669.0,619000000.0,13184000000.0,911000000.0,0.0,0.0,0.0,507000000.0,7263000000.0,5642000000.0,3320000000.0,4435000000.0,235000000.0,900000000.0,0.0,0.0,2260000000.0,5213000000.0,7473000000.0,8749000000.0,3320000000.0,-58000000.0,12000000.0,-1000000.0,-63000000.0,0.0,-859000000.0,13000000.0,-666000000.0,106000000.0,-356000000.0,164000000.0,-605000000.0,-299000000.0,54000000.0,78500000.0,2.54,677000000.0,2.57,0.0,202000000.0,396000000.0,1842000000.0,220000000.0,208000000.0,2519000000.0,18000000.0,401000000.0,79400000.0,260000000.0,202000000.0,314000000.0,40000000.0,0.0,276000000.0,0.0,6000000.0,0.588443814250266,8.17857142857143,5711000000.0,0.268757443429933,1.96238938053097,32.1593617274411,0.0817340775288631,72.9107244245399,0.0985608373310074,0.19960787974979,6.0,0.268757443429933
4,2018-06-29 00:00:00+00:00,2,2018,0.0,1137000000.0,554000000.0,6939000000.0,-714000000.0,78479349.0,588000000.0,13530000000.0,934000000.0,581000000.0,0.0,0.0,1366000000.0,7126000000.0,5444000000.0,3900000000.0,5106000000.0,215000000.0,863000000.0,0.0,0.0,2803000000.0,5215000000.0,8018000000.0,8424000000.0,3319000000.0,-53000000.0,-112000000.0,-14000000.0,-63000000.0,0.0,992000000.0,14000000.0,343000000.0,198000000.0,412000000.0,251000000.0,522000000.0,466000000.0,60000000.0,78400000.0,4.72,656000000.0,4.78,0.0,375000000.0,383000000.0,1927000000.0,423000000.0,379000000.0,2583000000.0,48000000.0,335000000.0,79400000.0,467000000.0,375000000.0,527000000.0,44000000.0,-190000000.0,321000000.0,0.0,4000000.0,0.609662013225569,0.845559845559846,5512000000.0,0.253968253968254,1.82161969318587,32.913117054526,0.0689147286821705,70.2350372452758,0.0830188679245283,0.171134318302132,5.0,0.253968253968254
5,2018-03-30 00:00:00+00:00,1,2018,0.0,1131000000.0,607000000.0,6916000000.0,-645000000.0,78223953.0,587000000.0,12873000000.0,994000000.0,0.0,0.0,0.0,374000000.0,6814000000.0,5253000000.0,3331000000.0,4480000000.0,183000000.0,798000000.0,0.0,0.0,2335000000.0,5218000000.0,7553000000.0,8393000000.0,3331000000.0,-54000000.0,-79000000.0,6000000.0,-65000000.0,0.0,-288000000.0,20000000.0,-146000000.0,-118000000.0,-84000000.0,-64000000.0,0.0,0.0,56000000.0,78200000.0,2.54,648000000.0,2.6,0.0,203000000.0,397000000.0,1723000000.0,227000000.0,208000000.0,2371000000.0,24000000.0,397000000.0,79900000.0,268000000.0,203000000.0,324000000.0,41000000.0,-16000000.0,251000000.0,0.0,5000000.0,0.634113839710642,0.232227488151659,5320000000.0,0.273302404048925,1.9186295503212,30.3104088846034,0.0567106253217694,68.0098588216323,0.0215424386040499,0.141007335926345,5.0,0.273302404048925
