,date,year,quarter,statementData.balanceSheet.debt,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.equity,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deposits,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.ncfi,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.incomeStatement.ebt,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.eps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.opex,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.nonControllingInterests,statementData.overview.roa,statementData.overview.bookVal,statementData.overview.piotroskiFScore,statementData.overview.roe,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.bvps
0,2020-11-30 00:00:00+00:00,2020,4,31323814000.0,0.0,0.0,53118352000.0,24907909000.0,6531836000.0,9403893000.0,255434677.0,6608767000.0,897204000.0,1913467000.0,43530151000.0,-288917000.0,10388072000.0,0.0,0.0,9659469000.0,0.0,-325869000.0,-501806000.0,2212000.0,24575000.0,768090000.0,10484000.0,737822000.0,-1417000.0,-271632000.0,267079000.0,-193402000.0,-30268000.0,362848000.0,-38069000.0,422206000.0,448144000.0,113535000.0,308005000.0,308671000.0,307267000.0,1.08,442850000.0,1404000.0,1.1,1692881000.0,255434677.0,467425000.0,0.0,20644000.0,1244737000.0,1860787000.0,0.0,167906000.0,1205654000.0,-666000.0,0.0148749228800853,9588201000.0,6.0,0.0821129500782167,0.746031746031746,7.28478616080776,0.909766136586294,0.682298494346794,0.909766136586294,37.5368024130882
2,2020-08-31 00:00:00+00:00,2020,3,31453366000.0,0.0,0.0,51773988000.0,24853468000.0,6264689000.0,9410665000.0,266621060.0,5029136000.0,915896000.0,1914542000.0,42180264000.0,-196407000.0,8792748000.0,0.0,0.0,9412949000.0,0.0,-33482000.0,747701000.0,-24986000.0,38650000.0,1146898000.0,8870000.0,1122686000.0,33270000.0,915555000.0,1902883000.0,-128216000.0,-24212000.0,28209000.0,-39435000.0,413216000.0,428701000.0,107403000.0,304839000.0,305813000.0,304409000.0,1.07,434728000.0,1404000.0,1.08,1466770000.0,266621060.0,473378000.0,0.0,21512000.0,1038069000.0,1616170000.0,0.0,149400000.0,998549000.0,-974000.0,0.0129442866337071,9593724000.0,6.0,0.0698647176135197,5.75,6.06167419782968,0.907559229536497,0.886334616435063,0.907559229536497,35.9826189274021
3,2020-05-31 00:00:00+00:00,2020,2,30298607000.0,0.0,0.0,50283215000.0,24386332000.0,6002078000.0,9326554000.0,268829938.0,6539495000.0,917686000.0,1910204000.0,40774840000.0,-134528000.0,8524856000.0,0.0,0.0,7552806000.0,0.0,-517774000.0,-653255000.0,-114108000.0,39783000.0,1079043000.0,10737000.0,1021438000.0,-10620000.0,-427993000.0,301060000.0,-185066000.0,-57605000.0,461271000.0,-40643000.0,78285000.0,103388000.0,31962000.0,43545000.0,46323000.0,44919000.0,0.16,99445000.0,1404000.0,0.16,991339000.0,268829938.0,139228000.0,0.0,21160000.0,887951000.0,1147589000.0,0.0,156250000.0,847585000.0,-2778000.0,0.0080075192950382,9508375000.0,5.0,0.0420054982205922,-0.926267281105991,4.26882886830856,0.863844982829219,0.0416935579767568,0.863844982829219,35.3694795703892
4,2020-02-29 00:00:00+00:00,2020,1,30888313000.0,0.0,0.0,51778123000.0,24866640000.0,6000613000.0,9348955000.0,287939689.0,7234029000.0,928643000.0,1918068000.0,42242459000.0,-258400000.0,9447230000.0,0.0,0.0,7452793000.0,0.0,-872857000.0,-316165000.0,-49310000.0,39386000.0,-918083000.0,9947000.0,-977835000.0,-2927000.0,19399000.0,-1286485000.0,-310187000.0,-59752000.0,883299000.0,-42793000.0,160205000.0,247203000.0,45773000.0,112021000.0,114432000.0,113010000.0,0.37,181759000.0,1422000.0,0.37,1254704000.0,287939689.0,221145000.0,0.0,21554000.0,1007501000.0,1386328000.0,0.0,131624000.0,968031000.0,-2411000.0,0.0206564882224517,9535664000.0,4.0,0.105949819875915,-0.339285714285714,4.8146471395265,0.905055657824122,0.204616430000191,0.905055657824122,33.1168795559823
5,2019-11-30 00:00:00+00:00,2019,3,29993292000.0,0.0,0.0,49460234000.0,22848296000.0,5933389000.0,9579705000.0,299871432.0,5744106000.0,385029000.0,1922934000.0,39706945000.0,-273039000.0,8179013000.0,0.0,0.0,8475618000.0,0.0,-188616000.0,754068000.0,603921000.0,42339000.0,423485000.0,12812000.0,346589000.0,17180000.0,931541000.0,1798654000.0,-137065000.0,-76896000.0,869433000.0,-37192000.0,235488000.0,168678000.0,38671000.0,193878000.0,196817000.0,195541000.0,0.62,252846000.0,1276000.0,0.63,959539000.0,299871432.0,295185000.0,0.0,17358000.0,790861000.0,1106098000.0,0.0,146559000.0,748590000.0,-2939000.0,0.0227888810961308,9753289000.0,7.0,0.112101252783635,-0.692682926829268,3.68857410865334,0.867499082359791,0.213946193803716,0.867499082359791,32.5249022054225
7,2019-08-31 00:00:00+00:00,2019,2,19233269000.0,0.0,0.0,49263208000.0,24042208000.0,6255314000.0,10020442000.0,300002794.0,5826350000.0,0.0,1921793000.0,39063363000.0,-266452000.0,7350914000.0,0.0,509772000.0,6669685000.0,0.0,-158632000.0,667689000.0,-99608000.0,36668000.0,189039000.0,12150000.0,141663000.0,-14351000.0,713445000.0,742769000.0,-8141000.0,-47376000.0,106400000.0,-37892000.0,13621000.0,-35357000.0,-36131000.0,49394000.0,49752000.0,48477000.0,0.15,37284000.0,1275000.0,0.16,720147000.0,300002794.0,73952000.0,0.0,23663000.0,755504000.0,856778000.0,0.0,136631000.0,715624000.0,-358000.0,0.0337841044272681,10199845000.0,7.0,0.161494260185652,-0.529411764705882,2.85590006871736,0.840529285299109,-0.0431711961225549,0.840529285299109,33.9991666877609
8,2019-05-31 00:00:00+00:00,2019,1,19032445000.0,0.0,0.0,48523940000.0,23621810000.0,6246852000.0,9853871000.0,297826222.0,6911314000.0,0.0,1882930000.0,38502641000.0,-242824000.0,7029001000.0,0.0,471506000.0,5937166000.0,0.0,156029000.0,206158000.0,127930000.0,29313000.0,-656406000.0,13073000.0,-709315000.0,-17086000.0,392357000.0,-339404000.0,-150047000.0,-52909000.0,24810000.0,-36746000.0,183243000.0,184447000.0,-488797000.0,672276000.0,672040000.0,670764000.0,2.14,206381000.0,1276000.0,2.17,960855000.0,297826222.0,235694000.0,0.0,23138000.0,776408000.0,1101657000.0,0.0,140802000.0,739622000.0,236000.0,0.0353279259059364,10021299000.0,5.0,0.166864512281385,-3.93243243243243,3.69899262933269,0.872190709086404,0.0424115401174261,0.872190709086404,33.6481419691783
9,2018-11-30 00:00:00+00:00,2018,4,18182395000.0,0.0,0.0,47131095000.0,24076232000.0,5610218000.0,10060866000.0,323072855.0,6287401000.0,0.0,1890131000.0,36907059000.0,288286000.0,7407030000.0,0.0,512789000.0,5966769000.0,0.0,156029000.0,206158000.0,127930000.0,29313000.0,-656406000.0,13073000.0,-709315000.0,-17086000.0,392357000.0,-339404000.0,-150047000.0,-52909000.0,24810000.0,-36746000.0,183243000.0,184447000.0,-488797000.0,672276000.0,672040000.0,670764000.0,2.14,206381000.0,1276000.0,2.17,960855000.0,323072855.0,235694000.0,0.0,23138000.0,776408000.0,1101657000.0,0.0,140802000.0,739622000.0,236000.0,0.0353279259059364,10224036000.0,1.0,0.166864512281385,-3.93243243243243,3.69899262933269,0.872190709086404,0.0424115401174261,0.872190709086404,31.646224192992
10,2018-09-30 00:00:00+00:00,2018,3,19464592000.0,0.0,0.0,48948669000.0,25687625000.0,5672363000.0,10621185000.0,333332094.0,5864815000.0,346896000.0,1894898000.0,38155533000.0,287745000.0,6680224000.0,0.0,468297000.0,5809244000.0,0.0,-614170000.0,-236292000.0,-126662000.0,17083000.0,724022000.0,12777000.0,686345000.0,-6887000.0,-123821000.0,354181000.0,-73406000.0,-37677000.0,524674000.0,-41726000.0,284302000.0,282662000.0,90391000.0,182301000.0,193911000.0,192635000.0,0.55,313139000.0,1276000.0,0.56,1021400000.0,333332094.0,330222000.0,0.0,28837000.0,738738000.0,1150846000.0,0.0,129446000.0,706443000.0,-11610000.0,0.0158561333014266,10793136000.0,6.0,0.0742780379754426,1.07407407407407,3.45255083658401,0.887521006285811,0.34252814028555,0.887521006285811,32.3795283870865
11,2018-06-30 00:00:00+00:00,2018,2,18459265000.0,0.0,0.0,49401798000.0,25906643000.0,5523277000.0,10538192000.0,344540975.0,5876389000.0,353553000.0,1901352000.0,38695105000.0,314973000.0,7496897000.0,0.0,537063000.0,5450703000.0,0.0,-699936000.0,-675655000.0,264882000.0,20373000.0,-118861000.0,12767000.0,-312848000.0,-12165000.0,-179256000.0,-541799000.0,-559729000.0,-193987000.0,281439000.0,-34060000.0,736298000.0,28441000.0,9598000.0,748944000.0,726700000.0,725529000.0,2.03,760577000.0,1171000.0,2.05,775423000.0,344540975.0,780950000.0,-721027000.0,24279000.0,746982000.0,911159000.0,0.0,135736000.0,715077000.0,22244000.0,0.0140303519142561,10706693000.0,3.0,0.0655593492262231,11.8125,2.64455918486909,0.851029293460307,0.0633685043431782,0.851029293460307,31.0752385837417
