,date,quarter,year,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctPay,statementData.balanceSheet.debt,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deferredRev,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.intangibles,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.ebt,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.epsDil,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.opex,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.overview.bookVal,statementData.overview.profitMargin,statementData.overview.roa,statementData.overview.epsQoQ,statementData.overview.piotroskiFScore,statementData.overview.bvps,statementData.overview.rps,statementData.overview.roe,statementData.overview.longTermDebtEquity,statementData.overview.grossMargin,statementData.overview.revenueQoQ
0,2019-09-30 00:00:00+00:00,3,2019,0.0,197224000000.0,9184000000.0,-149000000.0,443938108.0,1985000000.0,200879000000.0,26489000000.0,0.0,27513000000.0,0.0,0.0,227368000000.0,0.0,167671000000.0,0.0,20664000000.0,7979000000.0,171000000.0,-692000000.0,710000000.0,-2264000000.0,-115000000.0,4156000000.0,-252000000.0,-793000000.0,4023000000.0,2000000.0,0.0,825000000.0,33000000.0,0.0,745000000.0,443960000.0,597000000.0,446962000.0,745000000.0,1.35,2221000000.0,916000000.0,0.0,625000000.0,0.0,1264000000.0,0.0,1.34,122000000.0,747000000.0,2000000.0,623000000.0,2221000000.0,1474000000.0,0.0,26000000.0,26489000000.0,1.0,0.0110475777530871,-0.145569620253165,4.0,59.6682274457952,5.00294964540417,0.096437794468429,1.03865755596663,1.0,-0.00537393640841921
1,2019-06-30 00:00:00+00:00,2,2019,0.0,196234000000.0,5028000000.0,-401000000.0,443825510.0,1963000000.0,196426000000.0,25862000000.0,0.0,29724000000.0,0.0,0.0,222288000000.0,0.0,161132000000.0,0.0,20319000000.0,8127000000.0,175000000.0,-1537000000.0,-61000000.0,1917000000.0,-65000000.0,-904000000.0,-270000000.0,-1474000000.0,629000000.0,3000000.0,0.0,4000000.0,42000000.0,0.0,793000000.0,443806000.0,663000000.0,446391000.0,793000000.0,1.49,2433000000.0,968000000.0,0.0,690000000.0,0.0,1253000000.0,0.0,1.48,105000000.0,795000000.0,2000000.0,688000000.0,2433000000.0,1638000000.0,0.0,25000000.0,25862000000.0,1.0,0.0118454524962854,-0.00666666666666671,4.0,58.2706478498724,5.48188408548215,0.103931223764934,1.14933106488284,1.0,0.0647702407002189
2,2019-03-31 00:00:00+00:00,1,2019,0.0,193483000000.0,5932000000.0,-966000000.0,443255088.0,1997000000.0,195602000000.0,24823000000.0,0.0,27785000000.0,0.0,0.0,220425000000.0,0.0,162152000000.0,0.0,19882000000.0,8294000000.0,172000000.0,-3628000000.0,-904000000.0,3847000000.0,-81000000.0,-1563000000.0,-225000000.0,-3554000000.0,2888000000.0,-248000000.0,0.0,-823000000.0,37000000.0,0.0,684000000.0,443566000.0,554000000.0,446662000.0,684000000.0,1.25,2175000000.0,856000000.0,0.0,582000000.0,0.0,1247000000.0,0.0,1.24,104000000.0,686000000.0,2000000.0,580000000.0,2175000000.0,1489000000.0,0.0,26000000.0,24823000000.0,1.0,0.0122094322426818,-0.0458015267175573,2.0,56.0016132290849,4.90688106889819,0.106972262654011,1.11932481972364,1.0,-0.0153915799004074
3,2018-12-31 00:00:00+00:00,4,2018,0.0,188640000000.0,7495000000.0,-1420000000.0,449285214.0,2024000000.0,191263000000.0,24280000000.0,0.0,23844000000.0,0.0,0.0,215543000000.0,0.0,162589000000.0,0.0,19522000000.0,8393000000.0,181000000.0,-4850000000.0,1502000000.0,1875000000.0,-175000000.0,-110000000.0,-272000000.0,-4676000000.0,3063000000.0,-750000000.0,0.0,1677000000.0,22000000.0,0.0,794000000.0,449276000.0,632000000.0,452826000.0,794000000.0,1.41,2278000000.0,975000000.0,0.0,660000000.0,0.0,1291000000.0,0.0,1.4,136000000.0,796000000.0,2000000.0,658000000.0,2278000000.0,1482000000.0,0.0,26000000.0,24280000000.0,1.0,0.0127119704388299,-0.0536912751677853,6.0,54.0413956289245,5.07027591609102,0.109974846398087,0.982042833607908,1.0,0.0406578346276838
5,2018-09-30 00:00:00+00:00,3,2018,0.0,184213000000.0,7605000000.0,-1874000000.0,460731345.0,1555000000.0,187137000000.0,24139000000.0,0.0,22229000000.0,0.0,0.0,211276000000.0,0.0,160378000000.0,0.0,19111000000.0,8471000000.0,179000000.0,-2915000000.0,40000000.0,4975000000.0,-61000000.0,357000000.0,-235000000.0,-2644000000.0,3171000000.0,-498000000.0,0.0,101000000.0,31000000.0,0.0,847000000.0,460252000.0,726000000.0,464164000.0,847000000.0,1.58,2233000000.0,1026000000.0,0.0,754000000.0,0.0,1200000000.0,0.0,1.56,95000000.0,849000000.0,2000000.0,752000000.0,2233000000.0,1384000000.0,0.0,26000000.0,24139000000.0,1.0,0.0132396688636353,0.476635514018692,5.0,52.3927886868648,4.84664224440818,0.112221336766178,0.920874932681553,1.0,0.0357142857142858
6,2018-06-30 00:00:00+00:00,2,2018,0.0,181560000000.0,7248000000.0,-1679000000.0,464826552.0,1538000000.0,183189000000.0,24316000000.0,0.0,17283000000.0,0.0,0.0,207505000000.0,0.0,161448000000.0,0.0,18616000000.0,8367000000.0,181000000.0,-2595000000.0,949000000.0,3042000000.0,-42000000.0,-56000000.0,-232000000.0,-2555000000.0,1548000000.0,-330000000.0,0.0,991000000.0,31000000.0,0.0,893000000.0,465529000.0,697000000.0,469339000.0,893000000.0,1.5,2285000000.0,1074000000.0,0.0,724000000.0,0.0,1203000000.0,0.0,1.49,171000000.0,895000000.0,2000000.0,722000000.0,2285000000.0,1390000000.0,0.0,25000000.0,24316000000.0,1.0,0.0122525417249372,0.428571428571429,6.0,52.3119858264895,4.91581212426092,0.103072429549872,0.71076657344958,1.0,0.0677570093457944
7,2018-03-31 00:00:00+00:00,1,2018,0.0,179347000000.0,7304000000.0,-1522000000.0,468300176.0,1628000000.0,180616000000.0,24269000000.0,0.0,14264000000.0,0.0,0.0,204885000000.0,0.0,162379000000.0,0.0,18107000000.0,8327000000.0,175000000.0,209000000.0,-267000000.0,-231000000.0,-67000000.0,392000000.0,-197000000.0,333000000.0,383000000.0,-296000000.0,0.0,-200000000.0,56000000.0,0.0,790000000.0,468723000.0,612000000.0,473620000.0,790000000.0,1.31,2209000000.0,965000000.0,0.0,645000000.0,0.0,1234000000.0,0.0,1.29,147000000.0,792000000.0,2000000.0,643000000.0,2209000000.0,1417000000.0,0.0,31000000.0,24269000000.0,1.0,0.0113273033998853,0.423913043478261,4.0,51.8235978625812,4.71705993977675,0.0951006888703745,0.587745683794141,1.0,0.0549188156638014
