,date,quarter,year,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,3,2021,558400000.0,58300000.0,2174000000.0,-314400000.0,2226500000.0,2609100000.0,0.0,1332600000.0,195100000.0,0.0,1943600000.0,0.0,915900000.0,382600000.0,6532500000.0,2008000000.0,124700000.0,4982700000.0,3904600000.0,3251200000.0,1022800000.0,0.0,416800000.0,1731500000.0,52342997.0,2627900000.0,450600000.0,-297400000.0,-3600000.0,433100000.0,-301200000.0,132200000.0,45500000.0,-17200000.0,0.0,300000.0,0.0,3300000.0,-17500000.0,0.0,9100000.0,865800000.0,394800000.0,0.0,39700000.0,52100000.0,53400000.0,0.02,30600000.0,9300000.0,0.02,900000.0,434500000.0,9300000.0,8400000.0,1300300000.0,0.0,21300000.0,85200000.0,0.0,39700000.0,389300000.0,-0.0175901762821732,0.094805085459291,1549800000.0,2.25503898354028,-1.02380952380952,0.33415365684842,24.8419096063605,2.4309422426029,0.33415365684842,29.6085453417962,5.0,-0.114492287122094
1,2020-08-01 00:00:00+00:00,2,2021,302200000.0,31500000.0,2193100000.0,-310000000.0,2599400000.0,2995000000.0,0.0,1204000000.0,157800000.0,0.0,1943700000.0,0.0,916400000.0,395600000.0,6578100000.0,2105700000.0,264900000.0,5036100000.0,3862800000.0,3536700000.0,1030200000.0,0.0,417000000.0,1499400000.0,52322840.0,2715300000.0,163700000.0,-12800000.0,5500000.0,147800000.0,-17700000.0,131900000.0,47500000.0,-14100000.0,0.0,1800000.0,0.0,4900000.0,-15900000.0,0.0,9400000.0,663700000.0,314000000.0,0.0,-89700000.0,52000000.0,52000000.0,-1.73,-98900000.0,-81700000.0,-1.73,-90000000.0,224300000.0,-81700000.0,8300000.0,888000000.0,0.0,-17200000.0,-42000000.0,0.0,-89500000.0,265900000.0,-0.0247829365923462,-0.349164467897977,1542000000.0,2.57623049219688,1.01162790697674,0.25259009009009,16.9715558253336,2.83653426451331,0.25259009009009,29.4708773453429,4.0,-0.153540194081706
2,2020-05-02 00:00:00+00:00,1,2021,329100000.0,29800000.0,2392200000.0,-327800000.0,2670800000.0,3083300000.0,0.0,1066600000.0,123700000.0,0.0,2037400000.0,0.0,983800000.0,412500000.0,6877700000.0,2228500000.0,211300000.0,5276500000.0,4015500000.0,3599800000.0,991000000.0,0.0,416700000.0,1676700000.0,52346157.0,2862200000.0,-7600000.0,746000000.0,-7900000.0,-15300000.0,714000000.0,700000000.0,37300000.0,-6400000.0,0.0,1300000.0,-19300000.0,1400000.0,-7700000.0,0.0,7100000.0,647900000.0,503800000.0,0.0,-299600000.0,51800000.0,51800000.0,-3.96,-306600000.0,-197100000.0,-3.96,-205300000.0,204200000.0,-197100000.0,8200000.0,852100000.0,0.0,-109500000.0,-262200000.0,0.0,-299500000.0,358400000.0,-0.0181429250514974,-0.404833414821541,1601200000.0,2.39488280551082,10.3142857142857,0.239643234362164,16.2781768296763,2.71477942671275,0.239643234362164,30.5886829476326,4.0,-0.105401238119347
3,2020-02-01 00:00:00+00:00,4,2020,227900000.0,38800000.0,2331700000.0,-293800000.0,1953600000.0,2387400000.0,0.0,374500000.0,32900000.0,0.0,2242900000.0,0.0,1222600000.0,433800000.0,6299100000.0,2425200000.0,11000000.0,4459500000.0,3154800000.0,2806900000.0,997700000.0,0.0,512600000.0,1652600000.0,52346631.0,3144300000.0,442200000.0,-193100000.0,6100000.0,401700000.0,-221500000.0,179800000.0,-214400000.0,-40900000.0,0.0,-400000.0,-19400000.0,3900000.0,-40500000.0,0.0,7700000.0,1255400000.0,674700000.0,0.0,223200000.0,51700000.0,52100000.0,3.45,215000000.0,187100000.0,3.45,178800000.0,897900000.0,187100000.0,8300000.0,2153300000.0,0.0,27900000.0,8300000.0,0.0,222700000.0,633200000.0,0.0118242968126517,-0.000649742423539212,1839600000.0,1.90899189156481,-2.49350649350649,0.416987879069335,41.1354075489595,1.59790610175037,0.416987879069335,35.1426627627669,8.0,0.0642065931150368
5,2019-11-02 00:00:00+00:00,3,2020,333900000.0,20800000.0,2519400000.0,-299500000.0,2237700000.0,2567600000.0,0.0,188600000.0,17400000.0,0.0,2079700000.0,0.0,1050700000.0,329900000.0,6101600000.0,2435200000.0,21000000.0,4434400000.0,2938700000.0,3051300000.0,960500000.0,0.0,513000000.0,1383100000.0,52263264.0,3162900000.0,-133100000.0,111900000.0,500000.0,-176200000.0,86200000.0,-83400000.0,43700000.0,-36500000.0,0.0,6600000.0,-19500000.0,4700000.0,-43100000.0,0.0,8600000.0,820000000.0,407600000.0,0.0,-39900000.0,51800000.0,51800000.0,-0.84,-41500000.0,-35500000.0,-0.84,-43700000.0,367700000.0,-35500000.0,8200000.0,1187700000.0,0.0,-6000000.0,10800000.0,0.0,-32900000.0,398400000.0,-0.039222948246519,-0.00335654946714781,1667200000.0,2.12471983226086,0.135135135135135,0.309589963795571,22.7253315062756,2.12972304178167,0.309589963795571,31.9000359411154,1.0,-0.197605455474355
6,2019-08-03 00:00:00+00:00,2,2020,224100000.0,21800000.0,2272100000.0,-322300000.0,2127200000.0,2506200000.0,0.0,271500000.0,25100000.0,0.0,2154200000.0,0.0,1088200000.0,379000000.0,5965600000.0,2479500000.0,22300000.0,4261300000.0,2758600000.0,2949700000.0,965200000.0,0.0,513100000.0,1311600000.0,52191117.0,3207000000.0,141200000.0,-800000.0,-4800000.0,113600000.0,-27000000.0,81200000.0,44800000.0,-33000000.0,0.0,-5400000.0,-19300000.0,4300000.0,-27600000.0,0.0,10100000.0,905700000.0,481100000.0,0.0,-22400000.0,51700000.0,51700000.0,-0.86,-32300000.0,-36100000.0,-0.86,-44300000.0,458700000.0,-36100000.0,8200000.0,1364400000.0,0.0,3800000.0,22600000.0,0.0,-22200000.0,411400000.0,-0.040360226188537,-0.0392225899584536,1704300000.0,2.10323269289418,0.535714285714286,0.336191732629727,26.1423797463465,1.95478772284507,0.336191732629727,32.6549822645106,5.0,-0.180659139202533
7,2019-05-04 00:00:00+00:00,1,2020,238300000.0,23100000.0,2394200000.0,-307900000.0,2228400000.0,2631000000.0,0.0,195100000.0,24100000.0,0.0,2223400000.0,0.0,1161400000.0,402600000.0,6193300000.0,2598900000.0,26800000.0,4416200000.0,2822700000.0,3054000000.0,976600000.0,0.0,560500000.0,1362200000.0,51891985.0,3370600000.0,105400000.0,-46200000.0,-600000.0,80800000.0,-74700000.0,300000.0,41000000.0,-30400000.0,0.0,-5800000.0,-19200000.0,4000000.0,-24600000.0,0.0,9200000.0,932300000.0,502000000.0,0.0,-2600000.0,51600000.0,51600000.0,-0.35,-11500000.0,-10000000.0,-0.35,-18200000.0,499400000.0,-10000000.0,8200000.0,1431700000.0,0.0,-1500000.0,38700000.0,0.0,-2300000.0,475200000.0,-0.0402138023956529,-0.0330271511549372,1777100000.0,2.07216267802085,-0.95872641509434,0.348816092756862,27.5900025793964,1.91871878767005,0.348816092756862,34.2461364698228,5.0,-0.159386553471176
8,2019-02-02 00:00:00+00:00,4,2019,153700000.0,23700000.0,2386900000.0,-302800000.0,649600000.0,728400000.0,0.0,195400000.0,27700000.0,0.0,2282200000.0,0.0,1201600000.0,78800000.0,4420100000.0,800500000.0,26800000.0,2603200000.0,2855800000.0,1570200000.0,966500000.0,0.0,561600000.0,1033000000.0,51912259.0,1564300000.0,384200000.0,-255000000.0,2000000.0,344100000.0,-282000000.0,62700000.0,45200000.0,-39500000.0,0.0,600000.0,-19200000.0,1000000.0,-40100000.0,0.0,10800000.0,1276900000.0,961300000.0,0.0,-83500000.0,51700000.0,51700000.0,-2.31,-94000000.0,-107900000.0,-2.31,-116200000.0,877800000.0,-107900000.0,8300000.0,2154700000.0,0.0,13900000.0,-38000000.0,0.0,-83200000.0,647200000.0,-0.142761861922415,-0.0603549779774105,1816900000.0,2.76456921587609,-1.42153284671533,0.407388499559103,41.5065736206933,0.540612516644474,0.407388499559103,34.9994401129799,5.0,-0.472541201033662
10,2018-11-03 00:00:00+00:00,3,2019,339600000.0,14100000.0,2647100000.0,-306800000.0,660400000.0,983000000.0,0.0,130700000.0,31800000.0,0.0,3763500000.0,0.0,1349000000.0,322600000.0,4907500000.0,810400000.0,36200000.0,2943700000.0,3010100000.0,1578000000.0,924800000.0,0.0,849200000.0,1365700000.0,51910956.0,1897400000.0,-139100000.0,200100000.0,-600000.0,-176400000.0,173100000.0,-2800000.0,44700000.0,-36800000.0,0.0,500000.0,-19200000.0,7300000.0,-37300000.0,0.0,10600000.0,820500000.0,420000000.0,0.0,-48800000.0,51500000.0,51500000.0,-0.74,-59100000.0,-29900000.0,-0.74,-38100000.0,371200000.0,-29900000.0,8200000.0,1191700000.0,0.0,-29200000.0,-3800000.0,0.0,-48500000.0,410300000.0,-0.0445262224962429,0.0300803872417668,1963800000.0,2.2040711722926,2.7,0.311487790551313,22.9566182522241,0.489547813194959,0.311487790551313,37.8301644069125,3.0,-0.129440593712805
11,2018-08-04 00:00:00+00:00,2,2019,236700000.0,11100000.0,2363800000.0,-306300000.0,671100000.0,782500000.0,0.0,134100000.0,91000000.0,0.0,3820700000.0,0.0,1400100000.0,111400000.0,4740800000.0,820100000.0,121400000.0,2726300000.0,2867500000.0,1661500000.0,939600000.0,0.0,850300000.0,1064800000.0,59203161.0,1873300000.0,424700000.0,30100000.0,-2700000.0,400200000.0,-424500000.0,-17100000.0,43900000.0,-17300000.0,-425000000.0,7200000.0,-21800000.0,6400000.0,-24500000.0,0.0,9400000.0,993100000.0,485100000.0,0.0,-58100000.0,56100000.0,56100000.0,-0.56,-67000000.0,-23000000.0,-0.56,-31200000.0,427000000.0,-23000000.0,8200000.0,1420100000.0,0.0,-44000000.0,-13700000.0,0.0,-57600000.0,444800000.0,-0.0378867645700563,0.0146470420120035,2014500000.0,2.69299398948159,-1.41791044776119,0.300683050489402,23.9868948889401,0.479322905506749,0.300683050489402,34.0268993407295,6.0,-0.103435667906449
