,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.deposits,statementData.balanceSheet.equity,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deferredRev,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.inventory,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.ncf,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.payDiv,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.epsDil,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.costRev,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.taxExp,statementData.incomeStatement.intexp,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,4,2020-09-30 00:00:00+00:00,22282000000.0,40815000000.0,1951000000.0,14034000000.0,-776000000.0,8248000000.0,914000000.0,0.0,3059000000.0,0.0,17447000000.0,10053000000.0,7526000000.0,3120000000.0,1435000000.0,2469000000.0,0.0,5294000000.0,914000000.0,7819000000.0,744047527.0,1773000000.0,293000000.0,23288000000.0,0.0,30762000000.0,-422000000.0,-1508000000.0,206000000.0,-395000000.0,87000000.0,1000000.0,13000000.0,-194000000.0,975000000.0,908000000.0,51000000.0,-67000000.0,-704000000.0,117000000.0,534000000.0,5954000000.0,0.59,0.0,1453000000.0,441000000.0,49000000.0,0.59,1453000000.0,744047527.0,472000000.0,1975000000.0,740000000.0,3979000000.0,522000000.0,0.0,0.0,490000000.0,441000000.0,31000000.0,62000000.0,7.0,-0.0510041440867071,0.331709774941216,1.21884093113482,18533000000.0,0.331709774941216,8.00217698996532,-0.337078651685393,0.431363558204849,0.0347347416225143,24.9083550814624,0.0152962280616697
2,2020,3,2020-06-30 00:00:00+00:00,22405000000.0,41278000000.0,2342000000.0,12101000000.0,-943000000.0,10304000000.0,834000000.0,0.0,3041000000.0,0.0,17805000000.0,11140000000.0,5671000000.0,3057000000.0,1451000000.0,2955000000.0,0.0,5344000000.0,834000000.0,8094000000.0,743862355.0,1996000000.0,2423000000.0,23123000000.0,0.0,30138000000.0,974000000.0,607000000.0,202000000.0,1336000000.0,-36000000.0,-1000000.0,23000000.0,-194000000.0,786000000.0,767000000.0,-21000000.0,-19000000.0,3000000.0,-1000000.0,-125000000.0,5343000000.0,-0.24,0.0,1944000000.0,-182000000.0,60000000.0,-0.24,1334000000.0,743862355.0,-183000000.0,1832000000.0,77000000.0,3511000000.0,-112000000.0,0.0,0.0,-122000000.0,-182000000.0,-1000000.0,58000000.0,6.0,-0.171756316850101,0.342878532659555,1.08113354037267,18873000000.0,0.342878532659555,7.18278047556258,-1.04989604989605,0.318506037629879,0.0427824602581884,25.3716294058193,0.0192695819317636
3,2020,2,2020-03-31 00:00:00+00:00,21314000000.0,40402000000.0,1006000000.0,11805000000.0,-1021000000.0,9509000000.0,869000000.0,0.0,3274000000.0,0.0,18084000000.0,9955000000.0,5640000000.0,3119000000.0,1600000000.0,3332000000.0,0.0,5492000000.0,869000000.0,7070000000.0,764047226.0,2030000000.0,1430000000.0,23463000000.0,0.0,30447000000.0,-177000000.0,-1186000000.0,207000000.0,-1153000000.0,7000000.0,0.0,15000000.0,-199000000.0,141000000.0,36000000.0,-115000000.0,-105000000.0,-798000000.0,-10000000.0,285000000.0,5444000000.0,0.28,0.0,1513000000.0,213000000.0,23000000.0,0.28,1451000000.0,764047226.0,226000000.0,1801000000.0,492000000.0,3643000000.0,288000000.0,0.0,0.0,236000000.0,213000000.0,13000000.0,59000000.0,5.0,-0.0579685066620522,0.330822924320353,1.04690293406247,19088000000.0,0.330822924320353,7.12521401131296,-0.508771929824561,0.311877903118779,0.267003688323747,24.9827489066756,0.123039620611989
4,2020,1,2019-12-31 00:00:00+00:00,22082000000.0,42513000000.0,2160000000.0,12390000000.0,-540000000.0,9692000000.0,865000000.0,0.0,3341000000.0,0.0,19329000000.0,11320000000.0,5920000000.0,3336000000.0,1495000000.0,4129000000.0,0.0,5612000000.0,865000000.0,7282000000.0,771419761.0,1953000000.0,1362000000.0,23961000000.0,0.0,31193000000.0,10000000.0,-850000000.0,207000000.0,-649000000.0,57000000.0,0.0,23000000.0,-203000000.0,317000000.0,192000000.0,-173000000.0,-125000000.0,-630000000.0,-48000000.0,276000000.0,5576000000.0,0.21,0.0,1538000000.0,159000000.0,32000000.0,0.21,1427000000.0,771419761.0,224000000.0,1803000000.0,483000000.0,3773000000.0,265000000.0,0.0,0.0,191000000.0,159000000.0,65000000.0,52000000.0,9.0,0.0204978038067349,0.323350071736011,1.16797358646306,20431000000.0,0.323350071736011,7.22823070123556,-0.461538461538462,0.306275544518599,0.275643444788286,26.4849321120774,0.124247269758106
5,2019,4,2019-09-30 00:00:00+00:00,21458000000.0,42287000000.0,2805000000.0,12388000000.0,-795000000.0,9070000000.0,853000000.0,0.0,3348000000.0,0.0,19766000000.0,12393000000.0,6708000000.0,3582000000.0,1407000000.0,4827000000.0,0.0,5770000000.0,853000000.0,7219000000.0,795706564.0,1814000000.0,511000000.0,23810000000.0,0.0,29894000000.0,-10000000.0,-1019000000.0,200000000.0,-880000000.0,-96000000.0,12000000.0,29000000.0,-208000000.0,374000000.0,201000000.0,-139000000.0,-173000000.0,-801000000.0,-9000000.0,33000000.0,6274000000.0,0.89,4598000000.0,1960000000.0,612000000.0,42000000.0,0.88,1960000000.0,795706564.0,-15000000.0,1980000000.0,233000000.0,4294000000.0,20000000.0,0.0,0.0,654000000.0,612000000.0,-627000000.0,48000000.0,7.0,0.014717774543102,0.3155881415365,1.36637265711136,20829000000.0,0.3155881415365,7.88481619211577,0.0595238095238095,0.339370636446423,0.282756300845927,26.1767351714344,0.124798609927362
7,2019,3,2019-06-30 00:00:00+00:00,21660000000.0,43069000000.0,3685000000.0,12418000000.0,-564000000.0,9242000000.0,848000000.0,0.0,3282000000.0,0.0,20363000000.0,13042000000.0,6804000000.0,3671000000.0,1389000000.0,6366000000.0,0.0,6033000000.0,848000000.0,7325000000.0,898068721.0,2050000000.0,521000000.0,24051000000.0,0.0,30027000000.0,-5163000000.0,-9468000000.0,203000000.0,3443000000.0,14000000.0,-1000000.0,24000000.0,-233000000.0,223000000.0,110000000.0,12629000000.0,-113000000.0,-4062000000.0,3000000.0,4550000000.0,6451000000.0,4.81,-4051000000.0,1623000000.0,4192000000.0,84000000.0,4.79,1388000000.0,898068721.0,4431000000.0,2144000000.0,4753000000.0,4307000000.0,521000000.0,0.0,0.0,4276000000.0,4192000000.0,239000000.0,119000000.0,8.0,0.0269022604266158,0.332351573399473,1.41116641419606,21409000000.0,0.332351573399473,7.18319194194494,5.16666666666667,0.334135441732554,0.285703789873263,23.8389329228181,0.123861953273062
8,2019,2,2019-03-31 00:00:00+00:00,27188000000.0,48489000000.0,239000000.0,13747000000.0,-952000000.0,13441000000.0,937000000.0,0.0,3332000000.0,0.0,20036000000.0,12836000000.0,8418000000.0,3482000000.0,1521000000.0,6416000000.0,0.0,5707000000.0,937000000.0,12386000000.0,912713145.0,2124000000.0,3968000000.0,24326000000.0,0.0,35653000000.0,530000000.0,-312000000.0,211000000.0,-54000000.0,5000000.0,-1000000.0,24000000.0,-239000000.0,491000000.0,369000000.0,-210000000.0,-122000000.0,-495000000.0,0.0,660000000.0,5779000000.0,0.57,-284000000.0,1458000000.0,515000000.0,43000000.0,0.57,1458000000.0,912713145.0,562000000.0,1844000000.0,871000000.0,3935000000.0,386000000.0,0.0,0.0,558000000.0,515000000.0,47000000.0,98000000.0,7.0,0.0264653641207815,0.319086347118879,0.954988468119932,21301000000.0,0.319086347118879,6.33167171050221,0.212765957446808,0.420143741265722,0.115211696618946,23.3381102449226,0.0485650307126569
9,2019,1,2018-12-31 00:00:00+00:00,26609000000.0,48016000000.0,292000000.0,14956000000.0,-1080000000.0,11653000000.0,887000000.0,0.0,3314000000.0,0.0,20102000000.0,11955000000.0,9588000000.0,3273000000.0,1378000000.0,6136000000.0,0.0,5442000000.0,887000000.0,11908000000.0,924058960.0,2027000000.0,2320000000.0,24371000000.0,0.0,36061000000.0,1014000000.0,245000000.0,211000000.0,112000000.0,-43000000.0,15000000.0,18000000.0,-240000000.0,114000000.0,-37000000.0,-202000000.0,-151000000.0,-454000000.0,-7000000.0,548000000.0,5464000000.0,0.39,0.0,1438000000.0,355000000.0,44000000.0,0.38,1438000000.0,924058960.0,463000000.0,1725000000.0,759000000.0,3739000000.0,287000000.0,0.0,0.0,399000000.0,355000000.0,108000000.0,85000000.0,6.0,0.0299717247879359,0.315702781844802,1.02591607311422,21407000000.0,0.315702781844802,5.91304260498702,0.56,0.476967465923789,0.110332517216842,23.1662706890478,0.0466327846623609
10,2018,4,2018-09-30 00:00:00+00:00,26339000000.0,48797000000.0,185000000.0,15089000000.0,-946000000.0,11250000000.0,848000000.0,0.0,3300000000.0,0.0,21164000000.0,11823000000.0,9623000000.0,3407000000.0,1326000000.0,6604000000.0,0.0,5622000000.0,848000000.0,10930000000.0,924922181.0,1819000000.0,1307000000.0,24568000000.0,0.0,36974000000.0,-962000000.0,-1224000000.0,175000000.0,-86000000.0,-22000000.0,2000000.0,29000000.0,-240000000.0,1252000000.0,1113000000.0,-93000000.0,-139000000.0,-18000000.0,104000000.0,751000000.0,6183000000.0,0.84,0.0,1493000000.0,771000000.0,54000000.0,0.83,1392000000.0,924922181.0,654000000.0,2057000000.0,926000000.0,4126000000.0,564000000.0,0.0,0.0,825000000.0,771000000.0,-117000000.0,97000000.0,8.0,6.73842302878598,0.332686398188582,1.05093333333333,22458000000.0,0.332686398188582,6.68488671481001,-0.0967741935483872,0.454687204687205,0.103760228445276,24.2809616434099,0.0436939804569477
12,2018,3,2018-06-30 00:00:00+00:00,27597000000.0,49406000000.0,283000000.0,16296000000.0,-808000000.0,11301000000.0,1290000000.0,0.0,6093000000.0,0.0,20773000000.0,12465000000.0,10373000000.0,4410000000.0,1317000000.0,6075000000.0,0.0,6895000000.0,1290000000.0,11956000000.0,926204412.0,3509000000.0,1583000000.0,25936000000.0,0.0,36941000000.0,34000000.0,-274000000.0,227000000.0,22000000.0,-145000000.0,0.0,27000000.0,-241000000.0,727000000.0,539000000.0,-294000000.0,-188000000.0,-53000000.0,-22000000.0,879000000.0,6282000000.0,0.78,0.0,1441000000.0,723000000.0,81000000.0,0.78,1441000000.0,926204412.0,784000000.0,2088000000.0,1106000000.0,4194000000.0,647000000.0,0.0,0.0,804000000.0,723000000.0,61000000.0,95000000.0,7.0,-0.182350644279578,0.332378223495702,1.10299973453677,21809000000.0,0.332378223495702,6.78252005562677,0.322033898305085,0.499350117941559,0.109695143351608,23.5466379963649,0.0450925082956485
