,year,quarter,date,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debt,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalAssets,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.revenue,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.taxExp,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.eps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,2,2020-09-30 00:00:00+00:00,0.0,1671000000.0,11321000000.0,12263000000.0,4401000000.0,3079000000.0,-562000000.0,8656000000.0,8337000000.0,292000000.0,254194590.0,17333000000.0,9238000000.0,-5631000000.0,0.0,2083000000.0,4871000000.0,4194000000.0,4972000000.0,20919000000.0,0.0,1028000000.0,0.0,0.0,1345000000.0,25670000000.0,-2743000000.0,-59000000.0,472000000.0,23000000.0,529000000.0,0.0,-173000000.0,-2749000000.0,20000000.0,0.0,-2430000000.0,0.0,0.0,413000000.0,4554000000.0,3563000000.0,539000000.0,-60000000.0,0.0,-244000000.0,-244000000.0,-208000000.0,-0.96,254194590.0,96000000.0,0.0,-0.96,-2000000.0,-235000000.0,1226000000.0,991000000.0,321000000.0,0.0,-304000000.0,-246000000.0,5.0,-0.0612244897959183,0.217610891523935,0.963146950092421,4751000000.0,0.217610891523935,17.9154088212499,-0.882783882783883,2.09906839354692,-0.685724431818182,18.6904056455332,-0.141505372404254
1,2021,1,2020-06-30 00:00:00+00:00,0.0,1763000000.0,13712000000.0,14627000000.0,4593000000.0,5509000000.0,-599000000.0,8325000000.0,10708000000.0,285000000.0,253751753.0,17186000000.0,11542000000.0,-5386000000.0,0.0,2170000000.0,7597000000.0,4271000000.0,5105000000.0,22952000000.0,0.0,1156000000.0,0.0,0.0,1522000000.0,27894000000.0,1845000000.0,-89000000.0,119000000.0,-14000000.0,496000000.0,0.0,-61000000.0,1786000000.0,16000000.0,0.0,1830000000.0,149000000.0,-53000000.0,30000000.0,4502000000.0,3629000000.0,539000000.0,-26000000.0,0.0,-205000000.0,-205000000.0,-125000000.0,-0.81,253751753.0,106000000.0,0.0,-0.81,6000000.0,-142000000.0,1015000000.0,873000000.0,371000000.0,0.0,-231000000.0,-199000000.0,4.0,-0.0793456032719836,0.193913816081741,1.28624624624625,4942000000.0,0.193913816081741,17.7417493545355,-2.32786885245902,2.51295449597213,-0.860216666041909,19.4757275233484,-0.203052692120515
2,2020,4,2020-03-31 00:00:00+00:00,0.0,1756000000.0,11493000000.0,12982000000.0,4785000000.0,3679000000.0,-603000000.0,7895000000.0,8987000000.0,265000000.0,253720624.0,17019000000.0,9735000000.0,-5177000000.0,0.0,1758000000.0,7748000000.0,4392000000.0,4975000000.0,20877000000.0,0.0,1244000000.0,0.0,0.0,1598000000.0,26006000000.0,1017000000.0,-92000000.0,288000000.0,-116000000.0,531000000.0,0.0,-15000000.0,962000000.0,11000000.0,38000000.0,1119000000.0,158000000.0,-53000000.0,196000000.0,4815000000.0,3773000000.0,536000000.0,-61000000.0,0.0,-3495000000.0,-3495000000.0,-3461000000.0,-13.56,253720624.0,95000000.0,0.0,-13.56,-6000000.0,-3502000000.0,4544000000.0,1042000000.0,-2930000000.0,0.0,-3556000000.0,-3501000000.0,4.0,-0.0880681818181818,0.216407061266874,1.13831538948702,5129000000.0,0.216407061266874,18.9775664433176,-14.1650485436893,2.03448275862069,-0.650847046701215,20.2151481386866,-0.182466991792554
4,2020,3,2019-12-31 00:00:00+00:00,0.0,1816000000.0,10491000000.0,11714000000.0,8749000000.0,2560000000.0,-176000000.0,8784000000.0,8183000000.0,372000000.0,255997527.0,21416000000.0,8412000000.0,-1628000000.0,0.0,2079000000.0,12143000000.0,4619000000.0,5115000000.0,20498000000.0,0.0,1432000000.0,0.0,0.0,1576000000.0,29599000000.0,-631000000.0,-33000000.0,477000000.0,63000000.0,483000000.0,-85000000.0,-75000000.0,-785000000.0,9000000.0,0.0,-320000000.0,66000000.0,-54000000.0,444000000.0,5021000000.0,3827000000.0,518000000.0,37000000.0,0.0,82000000.0,82000000.0,212000000.0,0.32,255997527.0,93000000.0,0.0,0.32,8000000.0,187000000.0,1007000000.0,1194000000.0,695000000.0,0.0,119000000.0,90000000.0,3.0,-0.0303205870992661,0.237801234813782,0.93158014571949,9101000000.0,0.237801234813782,19.6134707191918,-0.80952380952381,0.96148131214996,-0.161559044782148,35.5511246794193,-0.0527765408276021
5,2020,2,2019-09-30 00:00:00+00:00,0.0,1805000000.0,10797000000.0,11672000000.0,8550000000.0,2880000000.0,-428000000.0,8974000000.0,8490000000.0,330000000.0,261962477.0,21026000000.0,8837000000.0,-1668000000.0,0.0,1960000000.0,12077000000.0,4611000000.0,5037000000.0,20646000000.0,0.0,1482000000.0,0.0,0.0,1603000000.0,29516000000.0,-208000000.0,-68000000.0,1651000000.0,-7000000.0,472000000.0,-147000000.0,-225000000.0,-407000000.0,30000000.0,0.0,1012000000.0,-10000000.0,-56000000.0,1583000000.0,4851000000.0,3679000000.0,489000000.0,116000000.0,0.0,-2119000000.0,-2119000000.0,-1899000000.0,-8.19,261962477.0,104000000.0,0.0,-8.19,4000000.0,-1962000000.0,3134000000.0,1172000000.0,-1427000000.0,0.0,-2003000000.0,-2115000000.0,3.0,-0.0323159784560144,0.241599670171099,0.946066414085135,8870000000.0,0.241599670171099,18.5179192667353,-9.80645161290322,1.03356725146199,-0.116503927232793,33.8598111515032,-0.0404851582073703
6,2020,1,2019-06-30 00:00:00+00:00,0.0,1918000000.0,11119000000.0,12022000000.0,10913000000.0,1868000000.0,-351000000.0,9338000000.0,8190000000.0,356000000.0,268597251.0,24387000000.0,9022000000.0,494000000.0,0.0,2097000000.0,15274000000.0,5234000000.0,5219000000.0,21360000000.0,0.0,1467000000.0,0.0,0.0,1517000000.0,32577000000.0,1479000000.0,-84000000.0,-66000000.0,-30000000.0,474000000.0,-493000000.0,-1822000000.0,887000000.0,18000000.0,-75000000.0,-1031000000.0,-1540000000.0,-51000000.0,-150000000.0,4890000000.0,3622000000.0,507000000.0,38000000.0,0.0,163000000.0,163000000.0,292000000.0,0.61,268597251.0,91000000.0,0.0,0.61,5000000.0,267000000.0,1001000000.0,1268000000.0,766000000.0,0.0,201000000.0,168000000.0,2.0,-0.0742143127603181,0.259304703476483,0.877061469265367,11217000000.0,0.259304703476483,18.2056963792232,-0.32967032967033,0.826720425180977,0.103575172290742,41.7614102833837,0.0387309847878303
7,2019,4,2019-03-31 00:00:00+00:00,0.0,1886000000.0,7412000000.0,8396000000.0,11402000000.0,2899000000.0,-244000000.0,9453000000.0,9066000000.0,355000000.0,268271187.0,20508000000.0,5470000000.0,478000000.0,0.0,1942000000.0,13545000000.0,5181000000.0,3179000000.0,17849000000.0,0.0,1392000000.0,0.0,0.0,1666000000.0,29574000000.0,-333000000.0,-4000000.0,748000000.0,47000000.0,509000000.0,-84000000.0,109000000.0,-480000000.0,17000000.0,0.0,424000000.0,290000000.0,-51000000.0,744000000.0,5280000000.0,3836000000.0,459000000.0,83000000.0,0.0,274000000.0,274000000.0,442000000.0,1.02,268271187.0,85000000.0,0.0,1.03,-3000000.0,403000000.0,1041000000.0,1444000000.0,951000000.0,0.0,357000000.0,271000000.0,6.0,-0.0544412607449857,0.273484848484848,0.959060615677563,11725000000.0,0.273484848484848,19.6815769112022,-0.477157360406091,0.47974039642168,0.11075865715041,43.7057744855768,0.0431762170145896
9,2019,3,2018-12-31 00:00:00+00:00,0.0,1815000000.0,7560000000.0,8993000000.0,11022000000.0,2475000000.0,-464000000.0,8522000000.0,8522000000.0,407000000.0,280113621.0,20349000000.0,5980000000.0,274000000.0,0.0,1580000000.0,14363000000.0,5096000000.0,3186000000.0,17515000000.0,0.0,1293000000.0,0.0,0.0,1345000000.0,28871000000.0,345000000.0,140000000.0,186000000.0,-2000000.0,512000000.0,-802000000.0,8000000.0,-497000000.0,16000000.0,0.0,-305000000.0,27000000.0,-54000000.0,326000000.0,5178000000.0,3725000000.0,491000000.0,3000000.0,0.0,462000000.0,462000000.0,546000000.0,1.66,280113621.0,81000000.0,0.0,1.68,4000000.0,523000000.0,930000000.0,1453000000.0,1058000000.0,0.0,465000000.0,466000000.0,6.0,-0.0516483516483517,0.280610274237157,1.0,11356000000.0,0.280610274237157,18.4853559834564,-0.382352941176471,0.542551261114135,0.129988837640319,40.540691878743,0.0510927152317881
10,2019,2,2018-09-30 00:00:00+00:00,0.0,1743000000.0,7027000000.0,8531000000.0,11500000000.0,2780000000.0,-382000000.0,8514000000.0,8815000000.0,326000000.0,281160730.0,20067000000.0,5409000000.0,136000000.0,0.0,1618000000.0,14019000000.0,4928000000.0,3281000000.0,17045000000.0,0.0,1313000000.0,0.0,0.0,1358000000.0,28882000000.0,-221000000.0,-16000000.0,480000000.0,-25000000.0,493000000.0,-106000000.0,132000000.0,-386000000.0,19000000.0,0.0,201000000.0,308000000.0,-54000000.0,464000000.0,5013000000.0,3518000000.0,569000000.0,73000000.0,0.0,262000000.0,262000000.0,418000000.0,0.92,281160730.0,83000000.0,0.0,0.93,-3000000.0,382000000.0,1113000000.0,1495000000.0,911000000.0,0.0,335000000.0,259000000.0,8.0,-0.0806895286997983,0.298224615998404,1.03535353535354,11837000000.0,0.298224615998404,17.8296592130772,0.0333333333333334,0.470347826086957,0.150681596884129,42.1004739886683,0.0591820637234983
11,2019,1,2018-06-30 00:00:00+00:00,0.0,1881000000.0,7054000000.0,7998000000.0,11472000000.0,2579000000.0,-312000000.0,9314000000.0,8816000000.0,332000000.0,284792350.0,20310000000.0,4747000000.0,0.0,0.0,2307000000.0,14350000000.0,5271000000.0,3349000000.0,17312000000.0,0.0,1290000000.0,0.0,0.0,1326000000.0,29126000000.0,60000000.0,-60000000.0,369000000.0,-39000000.0,509000000.0,-305000000.0,-180000000.0,-300000000.0,22000000.0,0.0,-150000000.0,29000000.0,-51000000.0,309000000.0,5282000000.0,3867000000.0,440000000.0,129000000.0,0.0,259000000.0,259000000.0,473000000.0,0.9,284792350.0,85000000.0,0.0,0.91,7000000.0,413000000.0,1002000000.0,1415000000.0,982000000.0,-35000000.0,388000000.0,266000000.0,7.0,0.00878533231474399,0.267890950397577,0.946532102211724,11814000000.0,0.267890950397577,18.546846500617,0.625,0.41379009762901,0.148269785325216,41.4828558421601,0.0570394052617388
