,date,quarter,year,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-11-01 00:00:00+00:00,3,2021,12899000000.0,2666000000.0,16155000000.0,-965000000.0,37711000000.0,41044000000.0,0.0,14652000000.0,861000000.0,0.0,56892000000.0,0.0,1535000000.0,3333000000.0,66919000000.0,29281000000.0,0.0,65384000000.0,34505000000.0,39989000000.0,2664000000.0,0.0,2236000000.0,25395000000.0,1076455514.0,32414000000.0,2586000000.0,-30000000.0,-14000000.0,2158000000.0,-1628000000.0,527000000.0,631000000.0,-431000000.0,21000000.0,0.0,-1614000000.0,79000000.0,-428000000.0,0.0,329000000.0,22080000000.0,6604000000.0,0.0,4852000000.0,1073000000.0,1078000000.0,3.18,4523000000.0,3432000000.0,3.2,3432000000.0,11456000000.0,3432000000.0,0.0,33536000000.0,0.0,1091000000.0,5483000000.0,0.0,4852000000.0,6076000000.0,0.207957842333324,0.231899496749072,1535000000.0,1.35873203386493,0.259842519685039,0.341603053435114,31.1540974650997,24.5674267100977,0.341603053435114,1.42597625265172,5.0,-9.10847766636281
1,2020-08-02 00:00:00+00:00,2,2021,11691000000.0,2562000000.0,13498000000.0,-1012000000.0,37265000000.0,40572000000.0,0.0,14139000000.0,907000000.0,0.0,55074000000.0,0.0,-414000000.0,3307000000.0,63349000000.0,28823000000.0,0.0,63763000000.0,31361000000.0,39564000000.0,2511000000.0,0.0,2233000000.0,24199000000.0,1075522865.0,31988000000.0,9092000000.0,-1779000000.0,40000000.0,8650000000.0,-3247000000.0,5403000000.0,615000000.0,-442000000.0,146000000.0,0.0,-1612000000.0,67000000.0,-442000000.0,0.0,337000000.0,25112000000.0,6874000000.0,0.0,6067000000.0,1073000000.0,1077000000.0,4.02,5730000000.0,4332000000.0,4.04,4332000000.0,12941000000.0,4332000000.0,0.0,38053000000.0,0.0,1398000000.0,6682000000.0,0.0,6067000000.0,6355000000.0,0.209669770554578,0.233924576023866,-414000000.0,1.29596264308442,0.270440251572327,0.34007831182824,35.3809307438573,-90.012077294686,0.34007831182824,-0.384929054948544,7.0,-5.83905208590472
2,2020-05-03 00:00:00+00:00,1,2021,10056000000.0,2610000000.0,14989000000.0,-1148000000.0,36697000000.0,41750000000.0,0.0,8696000000.0,855000000.0,0.0,52354000000.0,0.0,-3490000000.0,5053000000.0,58737000000.0,28331000000.0,0.0,62227000000.0,27277000000.0,38879000000.0,2179000000.0,0.0,2220000000.0,23348000000.0,1074741592.0,31460000000.0,5737000000.0,3959000000.0,-46000000.0,5159000000.0,1450000000.0,6609000000.0,607000000.0,-578000000.0,-773000000.0,0.0,-1611000000.0,88000000.0,-578000000.0,0.0,307000000.0,18635000000.0,6349000000.0,0.0,3276000000.0,1073000000.0,1077000000.0,2.08,2969000000.0,2245000000.0,2.09,2245000000.0,9625000000.0,2245000000.0,0.0,28260000000.0,0.0,724000000.0,3883000000.0,0.0,3276000000.0,5829000000.0,0.204841991301588,0.0712255032030629,-3490000000.0,1.16827993832448,-0.0833333333333334,0.340587402689314,26.2946927990482,-10.514899713467,0.340587402689314,-3.24729221049817,5.0,-4.96112115732369
3,2020-02-02 00:00:00+00:00,4,2020,7787000000.0,2106000000.0,14531000000.0,-739000000.0,33736000000.0,37377000000.0,0.0,2133000000.0,605000000.0,0.0,51729000000.0,0.0,-3116000000.0,3641000000.0,51236000000.0,28365000000.0,0.0,54352000000.0,19810000000.0,35977000000.0,2116000000.0,0.0,2254000000.0,18375000000.0,1090831020.0,31426000000.0,3059000000.0,2271000000.0,10000000.0,2288000000.0,-2356000000.0,-70000000.0,595000000.0,-773000000.0,-2961000000.0,0.0,-1481000000.0,54000000.0,-771000000.0,0.0,292000000.0,17046000000.0,5333000000.0,0.0,3403000000.0,1084000000.0,1088000000.0,2.29,3111000000.0,2481000000.0,2.3,2481000000.0,8736000000.0,2481000000.0,0.0,25782000000.0,0.0,630000000.0,3998000000.0,0.0,3403000000.0,4814000000.0,0.217163278118511,-0.0267638065758182,-3116000000.0,1.07809523809524,0.0900473933649288,0.338841051896672,23.6351914524763,-10.8267008985879,0.338841051896672,-2.85653776145823,4.0,-5.99493400879883
5,2019-11-03 00:00:00+00:00,3,2020,9240000000.0,2231000000.0,15711000000.0,-801000000.0,31710000000.0,35051000000.0,0.0,2193000000.0,686000000.0,0.0,50729000000.0,0.0,-1082000000.0,3341000000.0,52309000000.0,28110000000.0,0.0,53391000000.0,21174000000.0,33826000000.0,2121000000.0,0.0,2253000000.0,19565000000.0,1095153073.0,31135000000.0,2250000000.0,679000000.0,100000000.0,1615000000.0,-2073000000.0,-454000000.0,594000000.0,-631000000.0,-1262000000.0,0.0,-1486000000.0,58000000.0,-635000000.0,0.0,280000000.0,17836000000.0,5440000000.0,0.0,3947000000.0,1089000000.0,1094000000.0,2.53,3667000000.0,2769000000.0,2.54,2769000000.0,9387000000.0,2769000000.0,0.0,27223000000.0,0.0,898000000.0,4541000000.0,0.0,3947000000.0,4942000000.0,0.222281159144703,0.0350163485666488,-1082000000.0,1.08223869154102,0.00395256916996067,0.344818719465158,24.8577122880429,-29.3068391866913,0.344818719465158,-0.987989740133798,4.0,-7.09244770876577
6,2019-08-04 00:00:00+00:00,2,2020,9494000000.0,2274000000.0,14741000000.0,-776000000.0,32327000000.0,34473000000.0,0.0,2547000000.0,766000000.0,0.0,49446000000.0,0.0,-1160000000.0,2146000000.0,52010000000.0,28176000000.0,0.0,53170000000.0,20699000000.0,34372000000.0,2233000000.0,0.0,2254000000.0,18798000000.0,1100286099.0,31311000000.0,3830000000.0,17000000.0,17000000.0,3270000000.0,-2621000000.0,648000000.0,560000000.0,-561000000.0,-1128000000.0,0.0,-1492000000.0,53000000.0,-560000000.0,0.0,283000000.0,20407000000.0,5536000000.0,0.0,4896000000.0,1095000000.0,1099000000.0,3.17,4613000000.0,3479000000.0,3.18,3479000000.0,10432000000.0,3479000000.0,0.0,30839000000.0,0.0,1134000000.0,5456000000.0,0.0,4896000000.0,5044000000.0,0.232514216927483,0.0123428421363621,-1160000000.0,1.10112777955102,0.0392156862745099,0.338272966049483,28.0281647000977,-27.8681034482759,0.338272966049483,-1.05427124913627,8.0,-11.6063196063196
7,2019-05-05 00:00:00+00:00,1,2020,10311000000.0,2317000000.0,15495000000.0,-835000000.0,31949000000.0,34198000000.0,0.0,1882000000.0,789000000.0,0.0,47459000000.0,0.0,-2143000000.0,2249000000.0,51515000000.0,27899000000.0,0.0,53658000000.0,20553000000.0,33985000000.0,2015000000.0,0.0,2250000000.0,19673000000.0,1103903507.0,30962000000.0,4713000000.0,-982000000.0,-8000000.0,4038000000.0,-3913000000.0,112000000.0,547000000.0,-688000000.0,-1334000000.0,0.0,-1499000000.0,86000000.0,-675000000.0,0.0,273000000.0,17364000000.0,5420000000.0,0.0,3597000000.0,1101000000.0,1106000000.0,2.27,3324000000.0,2513000000.0,2.28,2513000000.0,9017000000.0,2513000000.0,0.0,26381000000.0,0.0,811000000.0,4144000000.0,0.0,3597000000.0,4940000000.0,0.240278149237764,0.0574818615464785,-2143000000.0,1.04473135769837,0.0909090909090908,0.341799022023426,23.8979220853223,-14.9085394307046,0.341799022023426,-1.94129286338068,6.0,-64.9132947976879
8,2019-02-03 00:00:00+00:00,4,2019,7755000000.0,1936000000.0,13925000000.0,-772000000.0,26807000000.0,29202000000.0,0.0,1778000000.0,1158000000.0,0.0,46423000000.0,0.0,-1878000000.0,2395000000.0,44003000000.0,22375000000.0,0.0,45881000000.0,18529000000.0,29165000000.0,1782000000.0,0.0,2252000000.0,16716000000.0,1129527754.0,25474000000.0,3002000000.0,3390000000.0,-25000000.0,2283000000.0,-2240000000.0,39000000.0,549000000.0,-723000000.0,-4349000000.0,0.0,-1156000000.0,78000000.0,-719000000.0,-21000000.0,265000000.0,17464000000.0,5649000000.0,0.0,3378000000.0,1116000000.0,1122000000.0,2.1,3113000000.0,2344000000.0,2.11,2344000000.0,9027000000.0,2344000000.0,0.0,26491000000.0,0.0,769000000.0,3927000000.0,0.0,3378000000.0,4922000000.0,0.244303484636296,0.109199011849433,-1878000000.0,1.10845896147404,0.37012987012987,0.34075723830735,23.4531643035661,-14.2742279020234,0.34075723830735,-1.66264174859753,8.0,14.1759082217973
10,2018-10-28 00:00:00+00:00,3,2019,9054000000.0,2171000000.0,14754000000.0,-717000000.0,23332000000.0,25784000000.0,0.0,1764000000.0,652000000.0,0.0,45235000000.0,0.0,1320000000.0,2452000000.0,45200000000.0,22054000000.0,0.0,43880000000.0,19809000000.0,25684000000.0,1858000000.0,0.0,2258000000.0,18196000000.0,1144138185.0,25391000000.0,2129000000.0,234000000.0,129000000.0,1514000000.0,-3366000000.0,-1855000000.0,541000000.0,-618000000.0,-2382000000.0,0.0,-1175000000.0,60000000.0,-615000000.0,0.0,224000000.0,17151000000.0,5281000000.0,0.0,3870000000.0,1135000000.0,1141000000.0,2.51,3646000000.0,2867000000.0,2.53,2867000000.0,9151000000.0,2867000000.0,0.0,26302000000.0,0.0,779000000.0,4411000000.0,0.0,3870000000.0,4808000000.0,0.231223748843169,0.0509869735475106,1320000000.0,1.08864585623214,0.367567567567567,0.347920310242567,22.9884819376079,17.6757575757576,0.347920310242567,1.1537067963517,6.0,6.52612055641422
11,2018-07-29 00:00:00+00:00,2,2019,9407000000.0,2164000000.0,14044000000.0,-774000000.0,23295000000.0,25498000000.0,0.0,3490000000.0,750000000.0,0.0,43543000000.0,0.0,2009000000.0,2203000000.0,46232000000.0,21909000000.0,0.0,44223000000.0,20802000000.0,25797000000.0,1989000000.0,0.0,2251000000.0,18426000000.0,1153543611.0,25430000000.0,3926000000.0,-368000000.0,-94000000.0,3399000000.0,-3414000000.0,-15000000.0,530000000.0,-527000000.0,-1889000000.0,0.0,-1184000000.0,60000000.0,-527000000.0,0.0,246000000.0,20098000000.0,5464000000.0,0.0,4901000000.0,1144000000.0,1149000000.0,3.05,4655000000.0,3506000000.0,3.06,3506000000.0,10365000000.0,3506000000.0,0.0,30463000000.0,0.0,1149000000.0,5431000000.0,0.0,4901000000.0,5004000000.0,0.216056217591019,0.0837839760922157,2009000000.0,1.12894822533377,0.353982300884956,0.340248826445196,26.4081909946966,11.5953210552514,0.340248826445196,1.7415899848454,6.0,5.12361887430131
