,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncfo,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,4,2020,9627000000.0,0.0,3415000000.0,158000000.0,386000000.0,1038000000.0,158000000.0,4754000000.0,81000000.0,3287000000.0,0.0,1441000000.0,6212000000.0,2359000000.0,4433000000.0,-522000000.0,845000000.0,720000000.0,0.0,354000000.0,1467000000.0,308309635.0,0.0,2284000000.0,4873000000.0,75000000.0,-27000000.0,-27000000.0,350000000.0,-269000000.0,377000000.0,0.0,35000000.0,-55000000.0,20000000.0,0.0,83000000.0,-246000000.0,2000000.0,76000000.0,299000000.0,222000000.0,309000000.0,312000000.0,19000000.0,102000000.0,222000000.0,788000000.0,0.72,0.0,302000000.0,0.0,61000000.0,489000000.0,0.0,222000000.0,1483000000.0,0.71,378000000.0,283000000.0,387000000.0,695000000.0,0.0754281518004668,0.0848573518653988,4873000000.0,2.32788002726653,0.142857142857143,0.531355360755226,4.81009943137197,0.468705109788631,0.531355360755226,15.8055391295183,5.0,0.147714432460195
2,2020-07-31 00:00:00+00:00,3,2020,9546000000.0,0.0,3245000000.0,148000000.0,397000000.0,930000000.0,148000000.0,4565000000.0,130000000.0,3251000000.0,0.0,1358000000.0,6301000000.0,2323000000.0,4482000000.0,-476000000.0,846000000.0,746000000.0,0.0,311000000.0,1314000000.0,308777396.0,0.0,2283000000.0,4981000000.0,40000000.0,-24000000.0,-32000000.0,266000000.0,-231000000.0,290000000.0,-8000000.0,-165000000.0,-56000000.0,19000000.0,0.0,35000000.0,-9000000.0,8000000.0,77000000.0,230000000.0,199000000.0,309000000.0,312000000.0,19000000.0,92000000.0,199000000.0,669000000.0,0.64,0.0,238000000.0,0.0,20000000.0,439000000.0,0.0,199000000.0,1261000000.0,0.64,315000000.0,219000000.0,347000000.0,592000000.0,0.0728249986826158,-0.0102040816326531,4981000000.0,2.46955859969559,0.0491803278688525,0.530531324345757,4.08384815836714,0.458341698454126,0.530531324345757,16.1313621545018,4.0,0.142879296975963
3,2020-04-30 00:00:00+00:00,2,2020,9455000000.0,0.0,3171000000.0,141000000.0,399000000.0,886000000.0,141000000.0,4687000000.0,15000000.0,2742000000.0,0.0,1324000000.0,6284000000.0,2488000000.0,4503000000.0,-538000000.0,836000000.0,750000000.0,0.0,333000000.0,1945000000.0,309651359.0,0.0,1788000000.0,4768000000.0,700000000.0,-33000000.0,-53000000.0,280000000.0,-156000000.0,313000000.0,-20000000.0,25000000.0,-55000000.0,17000000.0,0.0,97000000.0,-126000000.0,-7000000.0,76000000.0,102000000.0,101000000.0,309000000.0,312000000.0,20000000.0,197000000.0,101000000.0,657000000.0,0.33,0.0,141000000.0,0.0,20000000.0,555000000.0,0.0,101000000.0,1238000000.0,0.32,217000000.0,121000000.0,358000000.0,581000000.0,0.0737720411524856,0.0,4768000000.0,1.63033419023136,-0.421052631578947,0.530694668820679,3.99804478171207,0.375,0.530694668820679,15.3979624549298,5.0,0.142954319501858
4,2020-01-31 00:00:00+00:00,1,2020,9501000000.0,0.0,3102000000.0,118000000.0,379000000.0,966000000.0,118000000.0,4653000000.0,73000000.0,2761000000.0,0.0,1226000000.0,6399000000.0,2462000000.0,4648000000.0,-521000000.0,844000000.0,706000000.0,0.0,329000000.0,1892000000.0,310183415.0,0.0,1787000000.0,4848000000.0,675000000.0,-34000000.0,-35000000.0,-93000000.0,-61000000.0,-59000000.0,-1000000.0,56000000.0,-56000000.0,27000000.0,0.0,-156000000.0,-28000000.0,-1000000.0,79000000.0,215000000.0,197000000.0,310000000.0,313000000.0,20000000.0,104000000.0,197000000.0,723000000.0,0.64,0.0,239000000.0,0.0,22000000.0,508000000.0,0.0,197000000.0,1357000000.0,0.63,318000000.0,219000000.0,404000000.0,634000000.0,0.0834972677595628,0.0568535825545171,4848000000.0,1.63953488372093,-0.59493670886076,0.532792925571113,4.37483093672175,0.368605610561056,0.532792925571113,15.6294623295704,3.0,0.156975549619889
5,2019-10-31 00:00:00+00:00,4,2019,9452000000.0,0.0,3189000000.0,102000000.0,336000000.0,930000000.0,102000000.0,4704000000.0,-18000000.0,2624000000.0,0.0,1382000000.0,6263000000.0,2407000000.0,4700000000.0,-514000000.0,850000000.0,679000000.0,0.0,354000000.0,2080000000.0,309467678.0,0.0,1791000000.0,4748000000.0,616000000.0,-30000000.0,-1193000000.0,284000000.0,497000000.0,314000000.0,-3000000.0,596000000.0,-51000000.0,15000000.0,-1160000000.0,-383000000.0,-47000000.0,-1000000.0,76000000.0,250000000.0,194000000.0,308000000.0,312000000.0,21000000.0,102000000.0,194000000.0,737000000.0,0.63,0.0,252000000.0,0.0,37000000.0,487000000.0,0.0,194000000.0,1367000000.0,0.63,328000000.0,231000000.0,385000000.0,630000000.0,0.118831655155197,0.0564142194744977,4748000000.0,1.53317307692308,0.05,0.539136795903438,4.41726260019956,0.377211457455771,0.539136795903438,15.3424746347824,7.0,0.217948717948718
7,2019-07-31 00:00:00+00:00,3,2019,8625000000.0,0.0,3457000000.0,99000000.0,344000000.0,856000000.0,99000000.0,3878000000.0,-122000000.0,2256000000.0,0.0,1765000000.0,5168000000.0,1798000000.0,3618000000.0,-404000000.0,839000000.0,660000000.0,0.0,316000000.0,1622000000.0,315993352.0,0.0,1294000000.0,4747000000.0,504000000.0,-47000000.0,-51000000.0,195000000.0,-582000000.0,242000000.0,-3000000.0,0.0,-51000000.0,17000000.0,0.0,-390000000.0,-530000000.0,1000000.0,55000000.0,225000000.0,191000000.0,312000000.0,316000000.0,18000000.0,101000000.0,191000000.0,692000000.0,0.61,0.0,240000000.0,0.0,31000000.0,467000000.0,0.0,191000000.0,1274000000.0,0.6,295000000.0,222000000.0,366000000.0,582000000.0,0.122026180990324,0.0590191188694928,4747000000.0,2.13131935881628,-0.175675675675676,0.543171114599686,4.03173038906211,0.272593216768485,0.543171114599686,15.0224679410344,6.0,0.22017971758665
8,2019-04-30 00:00:00+00:00,2,2019,9022000000.0,0.0,3812000000.0,96000000.0,347000000.0,819000000.0,96000000.0,3897000000.0,178000000.0,2779000000.0,0.0,2155000000.0,5210000000.0,1798000000.0,3650000000.0,-398000000.0,827000000.0,657000000.0,0.0,314000000.0,1118000000.0,317515869.0,0.0,1798000000.0,5125000000.0,0.0,-39000000.0,-56000000.0,213000000.0,-92000000.0,252000000.0,-17000000.0,0.0,-52000000.0,16000000.0,0.0,97000000.0,-39000000.0,-7000000.0,53000000.0,216000000.0,182000000.0,317000000.0,321000000.0,17000000.0,99000000.0,182000000.0,669000000.0,0.57,0.0,235000000.0,0.0,36000000.0,453000000.0,0.0,182000000.0,1238000000.0,0.57,288000000.0,218000000.0,354000000.0,569000000.0,0.128155117026159,0.0265339966832505,5125000000.0,3.40966010733453,-0.109375,0.540387722132472,3.89901772122136,0.350829268292683,0.540387722132472,16.1409255422128,7.0,0.231598590089156
9,2019-01-31 00:00:00+00:00,1,2019,8952000000.0,0.0,3712000000.0,77000000.0,346000000.0,833000000.0,77000000.0,3916000000.0,90000000.0,2821000000.0,0.0,2057000000.0,5240000000.0,1798000000.0,3699000000.0,-381000000.0,829000000.0,653000000.0,0.0,315000000.0,1095000000.0,318533054.0,0.0,1798000000.0,5036000000.0,0.0,-39000000.0,-290000000.0,174000000.0,-122000000.0,213000000.0,-3000000.0,0.0,-52000000.0,24000000.0,-248000000.0,-190000000.0,-53000000.0,9000000.0,54000000.0,250000000.0,504000000.0,318000000.0,322000000.0,18000000.0,102000000.0,504000000.0,707000000.0,1.58,0.0,266000000.0,0.0,-256000000.0,457000000.0,0.0,504000000.0,1284000000.0,1.57,320000000.0,248000000.0,355000000.0,577000000.0,0.131692947496101,0.0602807597027251,5036000000.0,3.38995433789954,-2.5959595959596,0.550623052959502,4.03097883838454,0.357029388403495,0.550623052959502,15.8099761916702,7.0,0.242811501597444
10,2018-10-31 00:00:00+00:00,4,2018,8541000000.0,0.0,3848000000.0,68000000.0,324000000.0,776000000.0,68000000.0,3970000000.0,-336000000.0,2799000000.0,0.0,2247000000.0,4693000000.0,1799000000.0,3464000000.0,-408000000.0,822000000.0,638000000.0,0.0,340000000.0,1171000000.0,318769547.0,0.0,1799000000.0,4567000000.0,0.0,-35000000.0,-114000000.0,337000000.0,-131000000.0,372000000.0,0.0,0.0,-47000000.0,14000000.0,-79000000.0,115000000.0,-83000000.0,-12000000.0,56000000.0,244000000.0,195000000.0,318000000.0,322000000.0,18000000.0,104000000.0,195000000.0,708000000.0,0.6,0.0,262000000.0,0.0,49000000.0,464000000.0,0.0,195000000.0,1294000000.0,0.6,318000000.0,244000000.0,360000000.0,586000000.0,0.0367741184685209,0.088309503784693,4571000000.0,3.28608027327071,0.0909090909090908,0.547140649149923,4.05935890733,0.393912853076418,0.547140649149923,14.3395128017044,6.0,0.0691996058250301
12,2018-07-31 00:00:00+00:00,3,2018,8349000000.0,0.0,3667000000.0,70000000.0,328000000.0,733000000.0,70000000.0,3781000000.0,-416000000.0,2767000000.0,0.0,2131000000.0,4682000000.0,1799000000.0,3448000000.0,-335000000.0,801000000.0,623000000.0,0.0,273000000.0,1014000000.0,319952126.0,0.0,1799000000.0,4564000000.0,0.0,-33000000.0,-473000000.0,164000000.0,-589000000.0,197000000.0,-10000000.0,-315000000.0,-48000000.0,13000000.0,-430000000.0,-879000000.0,-226000000.0,-14000000.0,53000000.0,221000000.0,236000000.0,320000000.0,324000000.0,18000000.0,97000000.0,236000000.0,659000000.0,0.74,0.0,260000000.0,0.0,6000000.0,438000000.0,0.0,236000000.0,1203000000.0,0.73,313000000.0,242000000.0,341000000.0,544000000.0,0.0347958081559973,0.0798922800718134,4568000000.0,3.6163708086785,0.345454545454545,0.547797173732336,3.75993751015113,0.394171779141104,0.547797173732336,14.27713594877,5.0,0.064328116567728
