,year,quarter,date,statementData.balanceSheet.ppeq,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.deposits,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,879620000.0,0.0,427501000.0,1203429000.0,0.0,1766371000.0,8985971000.0,3246421000.0,3973179000.0,0.0,90500000.0,3137716000.0,2604984000.0,5032705000.0,0.0,0.0,6380987000.0,899814000.0,363851000.0,5739550000.0,838539000.0,143970164.0,0.0,0.0,3047216000.0,,-414489000.0,297058000.0,69489000.0,-21285000.0,7371000.0,339247000.0,778000.0,-10233000.0,-221531000.0,-496832000.0,0.0,-71458000.0,-64724000.0,-42189000.0,200300000.0,145289000.0,278721000.0,348210000.0,200300000.0,1.39,250997000.0,144032000.0,0.0,200300000.0,381831000.0,50697000.0,658729000.0,1.38,1089527000.0,0.0,276898000.0,0.0,27724000.0,381831000.0,0.0,1748256000.0,7.0,-0.0422325642549765,0.376792071641682,1.47476605990474,3246421000.0,0.376792071641682,12.1431826666531,-0.0211267605633803,0.938638580763247,0.216843900891784,22.549262359665,0.0749812523628799
1,2020,2,2020-06-30 00:00:00+00:00,858274000.0,0.0,649032000.0,1142583000.0,0.0,2113761000.0,9114133000.0,3089527000.0,3910845000.0,0.0,505000000.0,3505870000.0,2799445000.0,5004685000.0,0.0,0.0,6314688000.0,912588000.0,403020000.0,6024606000.0,885972000.0,143947008.0,0.0,0.0,3000870000.0,,5000000.0,234464000.0,67603000.0,-30418000.0,4968000.0,271809000.0,3537000.0,-1198000.0,140125000.0,-67458000.0,0.0,-70671000.0,-67763000.0,-37345000.0,124766000.0,144995000.0,185540000.0,253143000.0,124766000.0,0.87,156829000.0,143955000.0,0.0,124766000.0,366740000.0,32063000.0,551598000.0,0.86,947577000.0,0.0,184858000.0,0.0,28711000.0,366740000.0,0.0,1499175000.0,6.0,-0.172049465788482,0.367934363900145,1.32439050583297,3089527000.0,0.367934363900145,10.4147701354098,-0.360294117647059,0.971304021618843,0.222819978464604,21.4629469755981,0.076296846832136
2,2020,1,2020-03-31 00:00:00+00:00,841813000.0,0.0,508907000.0,1222154000.0,0.0,2094361000.0,8944253000.0,2980681000.0,3869211000.0,0.0,500000000.0,3463018000.0,2706000000.0,4956957000.0,0.0,0.0,6238253000.0,947006000.0,406881000.0,5963572000.0,852075000.0,144328014.0,0.0,0.0,2963018000.0,,415300000.0,36923000.0,68752000.0,-191571000.0,3252000.0,75863000.0,-14652000.0,-62935000.0,111654000.0,280954000.0,0.0,-70899000.0,-230511000.0,-38940000.0,176279000.0,145782000.0,240768000.0,309520000.0,176279000.0,1.22,213500000.0,144259000.0,0.0,176279000.0,386941000.0,37221000.0,612243000.0,1.21,1043696000.0,0.0,225302000.0,0.0,27268000.0,386941000.0,0.0,1655939000.0,5.0,-0.0399001134652591,0.369725575640166,1.29204086592522,2980681000.0,0.369725575640166,11.4734413237336,0.671232876712329,0.994074172982617,0.249783439447934,20.6521306390317,0.0853977889494593
3,2019,4,2019-12-31 00:00:00+00:00,842318000.0,0.0,397253000.0,1217190000.0,0.0,1749891000.0,8669477000.0,3032660000.0,3886926000.0,0.0,84700000.0,3070416000.0,2548430000.0,4838361000.0,0.0,0.0,6121047000.0,983293000.0,391784000.0,5636817000.0,806141000.0,145266386.0,0.0,0.0,2985716000.0,8211257000.0,-55643000.0,313010000.0,69993000.0,0.0,5209000.0,361208000.0,-677000.0,-90989000.0,56721000.0,-255612000.0,0.0,-71125000.0,-48198000.0,-48198000.0,168122000.0,146809000.0,227868000.0,297861000.0,168122000.0,1.16,197022000.0,144964000.0,0.0,168122000.0,403223000.0,28900000.0,651315000.0,1.14,1124274000.0,0.0,248092000.0,0.0,30846000.0,403223000.0,0.0,1775589000.0,9.0,-0.0184421902208464,0.366816307152162,1.45633642324008,3032660000.0,0.366816307152162,12.2229859838325,0.208333333333333,0.984520519939591,0.22896781371857,20.8765433181493,0.0779826978829594
5,2019,3,2019-09-30 00:00:00+00:00,820582000.0,0.0,340532000.0,1269150000.0,0.0,1825302000.0,8669301000.0,3017643000.0,3826356000.0,0.0,182700000.0,3091429000.0,2585992000.0,4840558000.0,0.0,0.0,6083309000.0,952708000.0,412363000.0,5651658000.0,816563000.0,145437765.0,0.0,0.0,2908729000.0,8211257000.0,-175000000.0,304886000.0,66787000.0,-383000.0,7876000.0,350865000.0,-5146000.0,-31082000.0,19206000.0,-277901000.0,0.0,-71342000.0,-48612000.0,-45979000.0,206006000.0,147051000.0,289340000.0,356127000.0,206006000.0,1.42,257930000.0,145372000.0,0.0,206006000.0,390775000.0,51924000.0,673488000.0,1.4,1151857000.0,0.0,282713000.0,0.0,31410000.0,390775000.0,0.0,1825345000.0,9.0,0.0446044787607667,0.368964771043282,1.41674747521232,3017643000.0,0.368964771043282,12.5506947937491,0.327102803738318,0.963907592780193,0.225015335909311,20.7486893105102,0.0755884274444253
6,2019,2,2019-06-30 00:00:00+00:00,815003000.0,0.0,321326000.0,1288755000.0,0.0,1955115000.0,8776050000.0,2955271000.0,3865664000.0,0.0,357700000.0,3304193000.0,2623251000.0,4924940000.0,0.0,0.0,6152799000.0,960432000.0,412231000.0,5820779000.0,849266000.0,145329437.0,0.0,0.0,2946493000.0,8211257000.0,11457000.0,157202000.0,67769000.0,-18248000.0,8435000.0,208709000.0,-46000.0,-1601000.0,78312000.0,-60596000.0,0.0,-69921000.0,-69755000.0,-51507000.0,198085000.0,147179000.0,281493000.0,349262000.0,198085000.0,1.36,249739000.0,145366000.0,0.0,198085000.0,396634000.0,51654000.0,672593000.0,1.35,1138113000.0,0.0,275959000.0,0.0,31754000.0,396634000.0,0.0,1810706000.0,8.0,0.0070140938126706,0.371453455171629,1.34173744255453,2955271000.0,0.371453455171629,12.4593202683363,0.478260869565218,0.997029714026226,0.213156506967172,20.334978659554,0.0703604879902813
7,2019,1,2019-03-31 00:00:00+00:00,797682000.0,0.0,243014000.0,1272053000.0,0.0,1946922000.0,8657911000.0,2837453000.0,3873536000.0,0.0,346255000.0,3287222000.0,2529466000.0,4926413000.0,0.0,0.0,6128445000.0,952162000.0,418298000.0,5820458000.0,828298000.0,144940620.0,0.0,0.0,2940967000.0,8211257000.0,125893000.0,-12428000.0,67738000.0,-172838000.0,8182000.0,24524000.0,3892000.0,-19608000.0,-153207000.0,36067000.0,0.0,-69809000.0,-217690000.0,-36952000.0,105705000.0,146911000.0,170126000.0,237864000.0,105705000.0,0.73,138318000.0,145087000.0,0.0,105705000.0,455412000.0,32613000.0,623542000.0,0.72,1101215000.0,0.0,168130000.0,0.0,31808000.0,408466000.0,0.0,1724757000.0,7.0,0.0531767369636513,0.36152455099472,1.29921280873091,2837453000.0,0.36152455099472,11.8997490144585,-0.141176470588235,1.03648130911772,0.194570903728604,19.5766583584367,0.0641413541456423
8,2018,4,2018-12-31 00:00:00+00:00,806497000.0,-243096000.0,396221000.0,1231859000.0,0.0,1827421000.0,8365771000.0,2768666000.0,3769684000.0,0.0,220318000.0,3163978000.0,2503754000.0,4811584000.0,0.0,0.0,5862017000.0,969531000.0,407483000.0,5597105000.0,748796000.0,146332674.0,0.0,0.0,2943660000.0,7815486000.0,-78339000.0,344740000.0,76562000.0,1868000.0,7852000.0,379951000.0,6663000.0,42237000.0,186944000.0,-148525000.0,0.0,-70444000.0,-59060000.0,-35211000.0,141569000.0,148245000.0,202284000.0,278846000.0,141569000.0,0.96,170269000.0,145965000.0,0.0,141569000.0,426198000.0,28700000.0,644971000.0,0.96,1163979000.0,0.0,218773000.0,16406000.0,32015000.0,426198000.0,0.0,1808950000.0,6.0,0.0321934574586455,0.356544404212388,1.3701024558654,2768666000.0,0.356544404212388,12.3619008014574,-0.494736842105263,1.06320516812068,0.17816959444772,18.9203540420508,0.0636393216770198
10,2018,3,2018-09-30 00:00:00+00:00,806737000.0,0.0,209277000.0,1283775000.0,0.0,1890305000.0,8461770000.0,2747934000.0,3823531000.0,0.0,298659000.0,3280582000.0,2459049000.0,4915448000.0,0.0,0.0,6002721000.0,948640000.0,446142000.0,5713836000.0,803981000.0,147703621.0,0.0,0.0,2981923000.0,7815486000.0,14033000.0,208022000.0,68090000.0,0.0,5443000.0,243944000.0,-5537000.0,-171035000.0,-33537000.0,-232476000.0,0.0,-70804000.0,-35922000.0,-35922000.0,157305000.0,149457000.0,224208000.0,292298000.0,157305000.0,1.07,193016000.0,147344000.0,0.0,157305000.0,426445000.0,35711000.0,646520000.0,1.05,1100883000.0,0.0,220075000.0,0.0,31192000.0,426445000.0,0.0,1747403000.0,5.0,-0.000212842042024874,0.369989063770636,1.30087419755013,2747934000.0,0.369989063770636,11.8304682591363,-0.0695652173913042,1.08515088062523,0.201187640399639,18.6043780199539,0.0760583757135157
11,2018,2,2018-06-30 00:00:00+00:00,805009000.0,0.0,242814000.0,1281260000.0,0.0,1813927000.0,8473170000.0,2840591000.0,3818652000.0,0.0,284630000.0,3259570000.0,2447728000.0,4943970000.0,0.0,0.0,6025442000.0,938425000.0,446818000.0,5632579000.0,764053000.0,154677787.0,0.0,0.0,2974940000.0,7815486000.0,-141482000.0,107770000.0,69303000.0,-172000.0,3658000.0,159205000.0,6633000.0,-706259000.0,-124408000.0,-227734000.0,0.0,-69631000.0,-51606000.0,-51435000.0,139959000.0,153938000.0,217065000.0,286368000.0,139959000.0,0.92,184940000.0,151744000.0,0.0,139959000.0,428775000.0,44981000.0,665236000.0,0.91,1132858000.0,0.0,236461000.0,26497000.0,32125000.0,428775000.0,0.0,1798094000.0,6.0,0.0349510841380454,0.369967309829186,1.34940821764051,2840591000.0,0.369967309829186,11.6247719525493,-0.123809523809524,1.04729614365461,0.187331480181069,18.3645696973929,0.0743631509880798
12,2018,1,2018-03-31 00:00:00+00:00,1030645000.0,0.0,367222000.0,1414941000.0,0.0,2080588000.0,10543040000.0,4445622000.0,4016830000.0,0.0,426251000.0,3458254000.0,2951999000.0,6292667000.0,0.0,0.0,7591041000.0,997704000.0,561925000.0,6097418000.0,972893000.0,154424436.0,0.0,0.0,3032003000.0,7815486000.0,-154934000.0,-26983000.0,68625000.0,-66316000.0,6745000.0,15535000.0,2886000.0,-59920000.0,-386742000.0,-289103000.0,0.0,-72691000.0,-122597000.0,-42518000.0,131435000.0,157090000.0,191916000.0,260541000.0,131435000.0,0.85,156276000.0,154520000.0,0.0,131435000.0,435026000.0,24841000.0,602829000.0,0.84,1034842000.0,0.0,167803000.0,-22025000.0,35640000.0,435026000.0,0.0,1637671000.0,4.0,-0.0968918677469377,0.368101407425545,1.4188291963618,4445622000.0,0.368101407425545,10.6049990689297,-0.234234234234234,0.68201997380794,0.179508952882489,28.7883324372316,0.0734369312256313
