,year,quarter,date,statementData.balanceSheet.equity,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.acctRec,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.taxExp,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,2,2020-10-03 00:00:00+00:00,4407166000.0,0.0,0.0,242147000.0,26616000.0,1477017000.0,476846000.0,114236461.0,1940239000.0,0.0,112563000.0,905086000.0,2000257000.0,1224853000.0,37848000.0,37848000.0,1764396000.0,7824422000.0,0.0,3354508000.0,0.0,4761696000.0,3417256000.0,3062726000.0,2669482000.0,498931000.0,670594000.0,864013000.0,0.0,0.0,-47675000.0,123154000.0,30048000.0,280968000.0,429000.0,237414000.0,-93681000.0,-87978000.0,801250000.0,-43554000.0,568742000.0,269906000.0,114328000.0,136917000.0,23486000.0,0.0,116177000.0,136917000.0,1.2,1.18,223564000.0,200078000.0,491550000.0,346718000.0,63161000.0,0.0,156342000.0,136917000.0,1060292000.0,221644000.0,109372000.0,0.0,7.0,0.314360516574976,0.463598706771342,2.07358886187498,4407166000.0,0.463598706771342,9.28155503696845,0.690140845070423,0.400347071111004,0.102489567120534,38.5793288886987,0.0641422681943146
1,2021,1,2020-06-27 00:00:00+00:00,4351245000.0,0.0,0.0,225905000.0,8394000.0,509332000.0,523690000.0,114734210.0,2022109000.0,0.0,49230000.0,6587000.0,1136302000.0,1235676000.0,36921000.0,36921000.0,1869502000.0,6882686000.0,0.0,3353524000.0,0.0,4803357000.0,2531441000.0,2079329000.0,1876089000.0,337362000.0,229841000.0,421282000.0,0.0,0.0,155000.0,122115000.0,21859000.0,214281000.0,507000.0,184449000.0,-64575000.0,-23347000.0,305500000.0,-29832000.0,461662000.0,233077000.0,114585000.0,96922000.0,18849000.0,0.0,116751000.0,96922000.0,0.85,0.83,115849000.0,97000000.0,325789000.0,237964000.0,78000.0,0.0,130071000.0,96922000.0,787451000.0,92712000.0,86604000.0,0.0,5.0,0.0152824014502357,0.413726060415188,4.08246291220658,4351245000.0,0.413726060415188,6.86326249163175,1.57575757575758,0.429647606604547,0.0908367959451743,37.9245649575658,0.0607026914652812
2,2020,4,2020-03-28 00:00:00+00:00,4292665000.0,0.0,0.0,246954000.0,2288000.0,539003000.0,517198000.0,115684626.0,1729014000.0,0.0,0.0,6893000.0,714939000.0,1259203000.0,22515000.0,22515000.0,1567231000.0,6560682000.0,0.0,3423166000.0,0.0,4870180000.0,2268017000.0,1690502000.0,1574124000.0,382188000.0,-113589000.0,-382568000.0,0.0,0.0,-451260000.0,118687000.0,13768000.0,214395000.0,-732000.0,179295000.0,-112346000.0,-482642000.0,0.0,-35100000.0,451991000.0,233627000.0,115720000.0,50390000.0,18935000.0,0.0,118036000.0,50390000.0,0.44,0.43,83570000.0,64635000.0,335781000.0,202257000.0,14245000.0,0.0,127029000.0,50390000.0,787772000.0,102154000.0,85111000.0,0.0,5.0,0.156987554377998,0.426241349019767,3.13634989044588,4292665000.0,0.426241349019767,6.80965161265249,-0.12,0.365095109914237,0.0775926538271606,37.1066160511251,0.0538037670039799
4,2020,3,2019-12-28 00:00:00+00:00,4339377000.0,0.0,0.0,239180000.0,-6843000.0,491205000.0,479885000.0,116174131.0,1688921000.0,0.0,-37148000.0,5302000.0,1097724000.0,1278988000.0,40896000.0,40896000.0,1568554000.0,6519503000.0,0.0,3011109000.0,0.0,4451831000.0,2180126000.0,2067672000.0,1573856000.0,426455000.0,445425000.0,510939000.0,0.0,0.0,-195110000.0,116785000.0,16381000.0,300721000.0,590000.0,260055000.0,-107687000.0,-235797000.0,559000000.0,-40666000.0,500962000.0,215042000.0,116129000.0,161356000.0,16900000.0,0.0,118455000.0,161356000.0,1.39,1.36,200091000.0,183191000.0,368111000.0,316876000.0,21835000.0,0.0,122851000.0,161356000.0,869073000.0,153069000.0,81205000.0,0.0,8.0,0.0441447502793364,0.423567410332619,4.20938711943079,4339377000.0,0.423567410332619,7.48077900406244,1.48214285714286,0.361469860765727,0.0798645558610263,37.3523517038402,0.0573305343404718
5,2020,2,2019-09-28 00:00:00+00:00,4265494000.0,0.0,0.0,213936000.0,-7658000.0,449629000.0,485284000.0,117784657.0,1133448000.0,0.0,-198504000.0,4233000.0,586794000.0,1296103000.0,97549000.0,97549000.0,1016063000.0,5848571000.0,0.0,2756924000.0,0.0,4296757000.0,1583077000.0,1551814000.0,1020296000.0,419245000.0,-170143000.0,-42709000.0,0.0,0.0,-8122000.0,111189000.0,20876000.0,173412000.0,-807000.0,135369000.0,-154206000.0,-45171000.0,0.0,-38043000.0,483116000.0,210815000.0,117294000.0,83038000.0,12693000.0,0.0,119429000.0,83038000.0,0.71,0.7,114759000.0,102066000.0,323582000.0,225948000.0,19028000.0,0.0,115614000.0,83038000.0,806698000.0,112767000.0,88274000.0,0.0,5.0,-0.0879027817507743,0.401119130083377,3.45132097796183,4265494000.0,0.401119130083377,6.848922606278,1.73076923076923,0.238205234845014,0.0578370288068828,36.2143432654391,0.0433725434832994
6,2020,1,2019-06-29 00:00:00+00:00,4337343000.0,0.0,0.0,224735000.0,-6681000.0,452146000.0,517755000.0,119149525.0,1136892000.0,0.0,-281542000.0,1732000.0,629599000.0,1309471000.0,97990000.0,97990000.0,1018614000.0,5926381000.0,0.0,2809071000.0,0.0,4369548000.0,1589038000.0,1556833000.0,1020346000.0,343220000.0,3866000.0,-81432000.0,1950000.0,0.0,-291551000.0,122270000.0,24953000.0,257118000.0,-284000.0,206823000.0,-90694000.0,-342132000.0,100000000.0,-50295000.0,481309000.0,239063000.0,118756000.0,39541000.0,11864000.0,0.0,121123000.0,39541000.0,0.33,0.33,57061000.0,45197000.0,294289000.0,179331000.0,5656000.0,0.0,118920000.0,39541000.0,775598000.0,55226000.0,88979000.0,0.0,5.0,0.119722234252963,0.379434965020539,3.4432086096084,4337343000.0,0.379434965020539,6.50945104481113,-2.375,0.234847463066675,0.045270541461557,36.4025202786163,0.0345131295423399
7,2019,4,2019-03-30 00:00:00+00:00,4359679000.0,0.0,0.0,233307000.0,-6624000.0,435614000.0,511793000.0,122788565.0,1012731000.0,0.0,-321152000.0,80000.0,711035000.0,1366513000.0,97786000.0,97786000.0,920935000.0,5808024000.0,0.0,2582099000.0,0.0,4123183000.0,1448345000.0,1684841000.0,921015000.0,400106000.0,-85138000.0,61318000.0,-3000.0,0.0,0.0,120889000.0,12706000.0,187345000.0,1203000.0,152035000.0,-283562000.0,-42092000.0,200868000.0,-35310000.0,414309000.0,202526000.0,121825000.0,61517000.0,10359000.0,0.0,124344000.0,61517000.0,0.5,0.49,60555000.0,50196000.0,266573000.0,181444000.0,-11321000.0,0.0,112846000.0,61517000.0,680882000.0,64047000.0,75033000.0,0.0,5.0,0.0232933513480207,0.391511304455104,3.86773841061123,4359679000.0,0.391511304455104,5.54515805278773,-6.0,0.211239176095304,0.029182493945249,35.5055782270931,0.0228112860219122
9,2019,3,2018-12-29 00:00:00+00:00,4577320000.0,0.0,6978000.0,229266000.0,-6070000.0,413932000.0,464949000.0,124905033.0,815039000.0,0.0,-382669000.0,0.0,649711000.0,1397589000.0,90696000.0,90696000.0,714402000.0,5806291000.0,0.0,2637248000.0,0.0,4190755000.0,1228971000.0,1615536000.0,714402000.0,442802000.0,-168567000.0,91796000.0,0.0,0.0,0.0,185286000.0,18624000.0,333223000.0,-153000.0,261262000.0,-144947000.0,-72707000.0,-22753000.0,-71961000.0,493967000.0,257206000.0,124308000.0,69517000.0,9562000.0,0.0,126842000.0,69517000.0,0.56,0.55,80451000.0,70889000.0,338363000.0,265737000.0,1372000.0,0.0,109985000.0,69517000.0,832330000.0,81157000.0,125604000.0,0.0,8.0,-0.0158547731628789,0.406525056167626,3.9029019259202,4577320000.0,0.406525056167626,6.66370265480015,-3.15384615384615,0.156074296750063,0.0126681885982016,36.6464015905588,0.00988526961116649
10,2019,2,2018-09-29 00:00:00+00:00,4632137000.0,0.0,21932000.0,229009000.0,-5008000.0,462383000.0,474532000.0,125643281.0,852541000.0,0.0,-452186000.0,0.0,557924000.0,1401865000.0,90903000.0,90903000.0,735098000.0,5947061000.0,0.0,2769741000.0,0.0,4327291000.0,1314924000.0,1619770000.0,735098000.0,530156000.0,32344000.0,223884000.0,58132000.0,0.0,0.0,180150000.0,20905000.0,214537000.0,-202000.0,144435000.0,-78161000.0,-22795000.0,134727000.0,-70102000.0,530929000.0,312569000.0,125643000.0,32084000.0,9689000.0,0.0,128550000.0,32084000.0,0.26,0.25,42525000.0,32836000.0,353514000.0,222675000.0,752000.0,0.0,116748000.0,32084000.0,884443000.0,40945000.0,139507000.0,0.0,6.0,0.0765108333546336,0.39970241157429,3.50309159290026,4632137000.0,0.39970241157429,7.03931792421116,-0.0714285714285715,0.158695219938443,-0.00920130466765439,36.8673673843331,-0.00706108912818839
11,2019,1,2018-06-30 00:00:00+00:00,4678105000.0,58010000.0,37155000.0,219143000.0,-4936000.0,403364000.0,501578000.0,126490563.0,700863000.0,0.0,-484270000.0,0.0,334039000.0,1368588000.0,79515000.0,137525000.0,558280000.0,5782332000.0,0.0,2903127000.0,0.0,4414626000.0,1104227000.0,1367706000.0,558280000.0,414656000.0,-555303000.0,-592018000.0,-57729000.0,0.0,0.0,176772000.0,19345000.0,75259000.0,-2014000.0,31695000.0,-90115000.0,-109960000.0,-458172000.0,-43564000.0,455937000.0,287903000.0,126198000.0,-29993000.0,14353000.0,0.0,126198000.0,-29993000.0,-0.24,-0.24,-47776000.0,-62129000.0,236733000.0,128996000.0,-32136000.0,0.0,110903000.0,-29993000.0,692670000.0,-51170000.0,135930000.0,0.0,4.0,0.0808934024727268,0.341768807657326,3.39074880257038,4678105000.0,0.341768807657326,5.4760606923696,0.0,0.119338920353434,-0.00827078202916756,36.9838262163479,-0.00630262067249091
12,2018,4,2018-03-31 00:00:00+00:00,4775564000.0,0.0,63084000.0,213193000.0,-2752000.0,441279000.0,472292000.0,126493599.0,1164676000.0,0.0,-458769000.0,0.0,926037000.0,1374112000.0,63765000.0,63765000.0,983290000.0,6381519000.0,0.0,3034225000.0,0.0,4537714000.0,1605955000.0,1843805000.0,983290000.0,390752000.0,-143788000.0,84721000.0,0.0,0.0,0.0,174961000.0,9859000.0,258958000.0,589000.0,226781000.0,-35681000.0,-31038000.0,-107729000.0,-32177000.0,412743000.0,282530000.0,126532000.0,-12501000.0,16161000.0,0.0,126532000.0,-12501000.0,-0.1,-0.1,-27518000.0,-43679000.0,252640000.0,147443000.0,-31178000.0,0.0,110795000.0,-12501000.0,665383000.0,-29890000.0,122898000.0,0.0,4.0,0.034823139323662,0.379691095203815,4.17832029169754,4775564000.0,0.379691095203815,5.26021083485813,-1.22727272727273,0.205900287379669,-0.00830085703031627,37.7534044232547,-0.00623920251940633
