,date,quarter,year,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.equity,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deposits,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.cashFlow.payDiv,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncff,statementData.cashFlow.ncfo,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.incomeStatement.shareswaDil,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,3,2020,534000000.0,4053000000.0,5245000000.0,0.0,143000000.0,1765000000.0,53339844.0,378000000.0,1196000000.0,3425000000.0,1931000000.0,-62000000.0,1549000000.0,3314000000.0,2537000000.0,0.0,535000000.0,1192000000.0,484000000.0,0.0,39000000.0,481000000.0,546000000.0,0.0,9000000.0,1677000000.0,0.0,0.0,3000000.0,-548000000.0,13000000.0,160000000.0,-558000000.0,364000000.0,-16000000.0,-18000000.0,6000000.0,35000000.0,364000000.0,176000000.0,0.0,116000000.0,10000000.0,53339844.0,116000000.0,0.0,2.18,148000000.0,183000000.0,343000000.0,113000000.0,0.0,1132000000.0,190000000.0,493000000.0,639000000.0,116000000.0,2.16,150000000.0,22000000.0,138000000.0,,5.0,0.00176991150442474,0.435512367491166,0.675354107648725,1931000000.0,0.435512367491166,21.2224092743878,-0.134920634920635,0.619368203003625,0.25972602739726,36.201830661522,0.0992514264775166
1,2020-06-27 00:00:00+00:00,2,2020,505000000.0,3513000000.0,4607000000.0,0.0,175000000.0,1389000000.0,53091564.0,361000000.0,1091000000.0,2863000000.0,1803000000.0,-58000000.0,1415000000.0,2804000000.0,2421000000.0,0.0,406000000.0,1094000000.0,513000000.0,0.0,63000000.0,233000000.0,503000000.0,0.0,11000000.0,1324000000.0,0.0,0.0,-30000000.0,0.0,13000000.0,227000000.0,-50000000.0,-104000000.0,-20000000.0,62000000.0,-30000000.0,34000000.0,-135000000.0,247000000.0,0.0,100000000.0,14000000.0,53091564.0,100000000.0,0.0,1.87,117000000.0,151000000.0,300000000.0,98000000.0,0.0,956000000.0,183000000.0,419000000.0,537000000.0,100000000.0,1.85,119000000.0,3000000.0,103000000.0,,5.0,-0.128532360984503,0.438284518828452,0.787616990640749,1803000000.0,0.438284518828452,18.0066271922221,-0.179824561403509,0.6051026067665,0.279767804049271,33.9601975183854,0.106431110632339
2,2020-03-28 00:00:00+00:00,1,2020,478000000.0,3489000000.0,4540000000.0,0.0,165000000.0,1237000000.0,54008653.0,359000000.0,1262000000.0,2876000000.0,1727000000.0,-51000000.0,1576000000.0,2813000000.0,2321000000.0,0.0,500000000.0,1051000000.0,443000000.0,0.0,24000000.0,230000000.0,447000000.0,0.0,28000000.0,1492000000.0,0.0,-1000000.0,-201000000.0,0.0,7000000.0,95000000.0,-15000000.0,99000000.0,-13000000.0,-6000000.0,-2000000.0,34000000.0,-98000000.0,108000000.0,0.0,89000000.0,45000000.0,54008653.0,89000000.0,0.0,1.66,148000000.0,182000000.0,322000000.0,105000000.0,0.0,1052000000.0,196000000.0,473000000.0,579000000.0,89000000.0,1.65,151000000.0,14000000.0,103000000.0,,3.0,-0.0131332082551595,0.449619771863118,0.849636216653193,1727000000.0,0.449619771863118,19.4783602546059,-0.224299065420561,0.730746960046323,0.303856870508872,31.9763575662589,0.111039657020364
3,2019-12-31 00:00:00+00:00,4,2019,459000000.0,3516000000.0,4711000000.0,0.0,159000000.0,1404000000.0,53921478.0,366000000.0,1180000000.0,2897000000.0,1839000000.0,-44000000.0,1468000000.0,2872000000.0,2232000000.0,0.0,613000000.0,1195000000.0,474000000.0,0.0,30000000.0,197000000.0,552000000.0,0.0,38000000.0,1377000000.0,0.0,2000000.0,-23000000.0,-7000000.0,12000000.0,248000000.0,-25000000.0,-217000000.0,-17000000.0,-3000000.0,-1000000.0,36000000.0,-245000000.0,265000000.0,0.0,169000000.0,4000000.0,53921478.0,169000000.0,0.0,3.13,183000000.0,219000000.0,356000000.0,118000000.0,0.0,1192000000.0,209000000.0,544000000.0,648000000.0,169000000.0,3.1,188000000.0,10000000.0,179000000.0,,5.0,0.0483729111697448,0.456375838926175,0.851139601139601,1839000000.0,0.456375838926175,22.1062189727069,0.462616822429906,0.641653072321914,0.331757889922244,34.1051482305437,0.116388532306376
5,2019-09-28 00:00:00+00:00,3,2019,432000000.0,3477000000.0,4708000000.0,0.0,159000000.0,1306000000.0,54116439.0,366000000.0,1419000000.0,2908000000.0,1694000000.0,-31000000.0,1708000000.0,3014000000.0,2063000000.0,0.0,588000000.0,1231000000.0,468000000.0,0.0,33000000.0,205000000.0,502000000.0,0.0,56000000.0,1624000000.0,0.0,-1000000.0,-22000000.0,11000000.0,12000000.0,211000000.0,-4000000.0,-189000000.0,-14000000.0,6000000.0,-1000000.0,44000000.0,-214000000.0,225000000.0,0.0,136000000.0,28000000.0,54116439.0,136000000.0,0.0,2.52,187000000.0,231000000.0,350000000.0,110000000.0,0.0,1130000000.0,202000000.0,535000000.0,595000000.0,136000000.0,2.5,185000000.0,23000000.0,159000000.0,,6.0,0.0347985347985349,0.473451327433628,0.942572741194487,1694000000.0,0.473451327433628,20.8809009033281,0.0632911392405062,0.837662337662338,0.323699421965318,31.3028726816264,0.106963545077494
6,2019-06-29 00:00:00+00:00,2,2019,418000000.0,3513000000.0,4701000000.0,0.0,166000000.0,1200000000.0,53976811.0,365000000.0,1665000000.0,2945000000.0,1559000000.0,-40000000.0,1942000000.0,3142000000.0,1927000000.0,0.0,556000000.0,1188000000.0,484000000.0,0.0,27000000.0,156000000.0,472000000.0,0.0,61000000.0,1821000000.0,0.0,2000000.0,-37000000.0,-87000000.0,14000000.0,138000000.0,-122000000.0,-30000000.0,-15000000.0,-34000000.0,-20000000.0,48000000.0,-67000000.0,153000000.0,0.0,124000000.0,33000000.0,53976811.0,124000000.0,0.0,2.28,162000000.0,210000000.0,360000000.0,108000000.0,0.0,1097000000.0,217000000.0,520000000.0,577000000.0,124000000.0,2.26,160000000.0,5000000.0,129000000.0,,6.0,0.0839920948616601,0.474020054694622,0.99,1559000000.0,0.474020054694622,20.3235422707725,0.740458015267175,1.06799230275818,0.345174022246143,28.8827733820733,0.106793960923623
7,2019-03-30 00:00:00+00:00,1,2019,400000000.0,3434000000.0,4576000000.0,0.0,118000000.0,1146000000.0,53870497.0,367000000.0,1707000000.0,2878000000.0,1467000000.0,-31000000.0,1963000000.0,3109000000.0,1803000000.0,0.0,488000000.0,1142000000.0,510000000.0,0.0,61000000.0,131000000.0,457000000.0,0.0,62000000.0,1838000000.0,0.0,-2000000.0,3000000.0,-179000000.0,10000000.0,27000000.0,-184000000.0,158000000.0,-15000000.0,17000000.0,10000000.0,47000000.0,161000000.0,42000000.0,0.0,115000000.0,24000000.0,53870497.0,115000000.0,0.0,2.14,155000000.0,202000000.0,342000000.0,111000000.0,0.0,1066000000.0,198000000.0,501000000.0,565000000.0,115000000.0,2.12,159000000.0,16000000.0,131000000.0,,3.0,0.0910951893551688,0.469981238273921,0.996509598603839,1467000000.0,0.469981238273921,19.7881968677586,0.0490196078431373,1.16359918200409,0.335691823899371,27.2319744887447,0.0971006253553155
8,2018-12-31 00:00:00+00:00,4,2018,382000000.0,3177000000.0,4339000000.0,0.0,138000000.0,1301000000.0,53804526.0,249000000.0,1434000000.0,2727000000.0,1335000000.0,-35000000.0,1703000000.0,3004000000.0,1688000000.0,0.0,520000000.0,1162000000.0,520000000.0,0.0,44000000.0,157000000.0,552000000.0,0.0,68000000.0,1591000000.0,0.0,1000000.0,1000000.0,0.0,11000000.0,309000000.0,-17000000.0,-313000000.0,-16000000.0,-1000000.0,-1000000.0,44000000.0,-310000000.0,325000000.0,0.0,115000000.0,39000000.0,53804526.0,115000000.0,0.0,2.14,187000000.0,231000000.0,360000000.0,121000000.0,0.0,1137000000.0,211000000.0,539000000.0,598000000.0,115000000.0,2.12,179000000.0,33000000.0,148000000.0,,7.0,0.108187134502924,0.4740545294635,0.893159108378171,1335000000.0,0.4740545294635,21.1320512330134,25.75,1.07415730337079,0.365927857453281,24.812039046678,0.0975496727104211
10,2018-09-29 00:00:00+00:00,3,2018,360000000.0,3199000000.0,4400000000.0,0.0,128000000.0,1105000000.0,53692395.0,251000000.0,1829000000.0,2756000000.0,1213000000.0,-29000000.0,2082000000.0,3187000000.0,1573000000.0,0.0,575000000.0,1201000000.0,493000000.0,0.0,45000000.0,71000000.0,498000000.0,0.0,52000000.0,1900000000.0,0.0,1000000.0,2000000.0,-72000000.0,10000000.0,179000000.0,-87000000.0,-111000000.0,-15000000.0,-1000000.0,0.0,45000000.0,-109000000.0,194000000.0,0.0,127000000.0,18000000.0,53692395.0,127000000.0,0.0,2.37,161000000.0,206000000.0,343000000.0,113000000.0,0.0,1092000000.0,195000000.0,505000000.0,587000000.0,127000000.0,2.34,162000000.0,16000000.0,143000000.0,,8.0,0.167914438502674,0.462454212454212,1.0868778280543,1213000000.0,0.462454212454212,20.3380758112951,-11.304347826087,1.5078318219291,0.302365276761765,22.5916538087005,0.0720972149543578
11,2018-06-30 00:00:00+00:00,2,2018,348000000.0,3166000000.0,4275000000.0,0.0,148000000.0,1014000000.0,53397555.0,254000000.0,1914000000.0,2714000000.0,1073000000.0,-30000000.0,2188000000.0,3202000000.0,1446000000.0,0.0,502000000.0,1109000000.0,465000000.0,0.0,46000000.0,85000000.0,442000000.0,0.0,51000000.0,1999000000.0,0.0,-5000000.0,-4000000.0,0.0,14000000.0,135000000.0,-13000000.0,-141000000.0,-15000000.0,-18000000.0,2000000.0,43000000.0,-150000000.0,150000000.0,0.0,70000000.0,23000000.0,53537876.0,70000000.0,0.0,1.31,123000000.0,166000000.0,347000000.0,109000000.0,0.0,1012000000.0,214000000.0,472000000.0,540000000.0,70000000.0,1.29,125000000.0,30000000.0,100000000.0,54255707.0,8.0,0.129464285714286,0.466403162055336,1.09368836291913,1073000000.0,0.466403162055336,18.9521786156688,2.96969696969697,1.78378378378378,0.184764991896272,20.0945530183919,0.0394805194805195
