,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debt,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.freeCashFlow,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfo,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.payDiv,statementData.cashFlow.ncfi,statementData.cashFlow.depamor,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.costRev,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.rnd,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.ebitda,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,3,2021,6651000000.0,10320000000.0,536000000.0,2243000000.0,8654000000.0,0.0,11857000000.0,0.0,310245594.0,8118000000.0,19214000000.0,0.0,0.0,5144000000.0,917000000.0,1265000000.0,9150000000.0,16971000000.0,0.0,7357000000.0,0.0,0.0,1551000000.0,6115000000.0,185000000.0,,162000000.0,0.0,8000000.0,13000000.0,251000000.0,-89000000.0,0.0,0.0,13000000.0,0.0,-42000000.0,250000000.0,222000000.0,0.0,3990000000.0,-91000000.0,2569000000.0,1421000000.0,-137000000.0,-126000000.0,-91000000.0,0.0,-91000000.0,0.0,-348000000.0,1726000000.0,-217000000.0,-0.29,1769000000.0,-0.29,0.0,310245594.0,0.0,80000000.0,113000000.0,-0.196550058108408,-0.228687415426252,2243000000.0,1.10614945121034,-30.0,0.356140350877193,12.8607789350266,3.61925991975033,0.356140350877193,7.22975617826179,2.0,-1.10343816435745
1,2020-08-01 00:00:00+00:00,2,2021,4854000000.0,10436000000.0,539000000.0,2324000000.0,8659000000.0,0.0,11983000000.0,0.0,310235066.0,8120000000.0,17614000000.0,0.0,0.0,3582000000.0,921000000.0,1266000000.0,9314000000.0,15290000000.0,0.0,5631000000.0,0.0,0.0,1395000000.0,4315000000.0,184000000.0,,38000000.0,0.0,7000000.0,-198000000.0,157000000.0,-119000000.0,0.0,0.0,-198000000.0,0.0,-159000000.0,235000000.0,-200000000.0,0.0,3559000000.0,-431000000.0,2718000000.0,841000000.0,-659000000.0,-298000000.0,-431000000.0,0.0,-431000000.0,0.0,-837000000.0,1398000000.0,-729000000.0,-1.39,1678000000.0,-1.39,0.0,310235066.0,0.0,70000000.0,-424000000.0,-0.183697474785394,-0.358276235124414,2324000000.0,1.16007416563659,-5.96428571428571,0.236302332115763,11.4719462434978,3.49397590361446,0.236302332115763,7.49109386622336,2.0,-0.841019765110284
2,2020-05-02 00:00:00+00:00,1,2021,5772000000.0,10112000000.0,739000000.0,2697000000.0,8580000000.0,0.0,11446000000.0,0.0,309645426.0,7841000000.0,18581000000.0,0.0,0.0,4923000000.0,1024000000.0,1277000000.0,9097000000.0,15884000000.0,0.0,7135000000.0,0.0,0.0,1523000000.0,4953000000.0,170000000.0,,-303000000.0,0.0,6000000.0,1265000000.0,-164000000.0,-139000000.0,0.0,0.0,1148000000.0,-117000000.0,-113000000.0,237000000.0,871000000.0,0.0,3017000000.0,-3581000000.0,2501000000.0,516000000.0,-4108000000.0,-576000000.0,-3581000000.0,0.0,-3581000000.0,0.0,-4250000000.0,1598000000.0,-4157000000.0,-11.53,4766000000.0,-11.53,0.0,309645426.0,0.0,49000000.0,-3871000000.0,-0.151876783757421,-0.451853197674419,2697000000.0,1.23613998613999,-27.2045454545455,0.171030825323169,9.74340244250855,2.90730441230997,0.171030825323169,8.70996234254079,1.0,-0.588081693555908
3,2020-02-01 00:00:00+00:00,4,2020,5750000000.0,9045000000.0,539000000.0,6377000000.0,7078000000.0,0.0,14362000000.0,0.0,308965297.0,6539000000.0,21172000000.0,0.0,0.0,5188000000.0,1250000000.0,4347000000.0,9301000000.0,14795000000.0,0.0,6810000000.0,0.0,0.0,685000000.0,5130000000.0,409000000.0,7989000000.0,1203000000.0,0.0,-2000000.0,-666000000.0,1436000000.0,-233000000.0,0.0,0.0,-783000000.0,-117000000.0,-273000000.0,256000000.0,380000000.0,0.0,8337000000.0,340000000.0,5266000000.0,3071000000.0,495000000.0,109000000.0,340000000.0,0.0,340000000.0,0.0,273000000.0,2509000000.0,449000000.0,1.1,2798000000.0,1.09,0.0,308965297.0,0.0,46000000.0,751000000.0,0.0263071971640468,-0.0139562389118865,6377000000.0,1.18434782608696,-0.541666666666667,0.368357922514094,26.9836129848589,1.02540379488788,0.368357922514094,20.6398584628098,5.0,0.0899808551372048
5,2019-11-02 00:00:00+00:00,3,2020,6479000000.0,10011000000.0,6000000.0,6057000000.0,7502000000.0,0.0,14246000000.0,0.0,308914893.0,7496000000.0,22547000000.0,0.0,0.0,7256000000.0,1200000000.0,4348000000.0,9154000000.0,16490000000.0,0.0,8301000000.0,0.0,0.0,301000000.0,6473000000.0,175000000.0,7989000000.0,-475000000.0,0.0,12000000.0,174000000.0,-178000000.0,-297000000.0,0.0,-1000000.0,57000000.0,-116000000.0,-275000000.0,253000000.0,-396000000.0,0.0,5173000000.0,2000000.0,3106000000.0,2067000000.0,52000000.0,-2000000.0,2000000.0,0.0,2000000.0,0.0,-143000000.0,2202000000.0,0.0,0.01,2210000000.0,0.01,0.0,308914893.0,0.0,52000000.0,305000000.0,0.0460264031129891,-0.0427461139896373,6057000000.0,1.28121623707362,-0.95,0.399574714865649,16.7457125480836,1.23757635793297,0.399574714865649,19.607342142614,1.0,0.153435995384187
6,2019-08-03 00:00:00+00:00,2,2020,4439000000.0,9987000000.0,6000000.0,6315000000.0,7522000000.0,0.0,14195000000.0,0.0,308871513.0,7516000000.0,20741000000.0,0.0,0.0,5029000000.0,1226000000.0,4348000000.0,9119000000.0,14426000000.0,0.0,6546000000.0,0.0,0.0,674000000.0,4413000000.0,240000000.0,7989000000.0,176000000.0,0.0,14000000.0,-122000000.0,388000000.0,-212000000.0,0.0,0.0,-239000000.0,-117000000.0,-217000000.0,236000000.0,-68000000.0,0.0,5546000000.0,86000000.0,3395000000.0,2151000000.0,168000000.0,30000000.0,86000000.0,0.0,86000000.0,0.0,-21000000.0,2177000000.0,116000000.0,0.28,2172000000.0,0.28,0.0,308871513.0,0.0,52000000.0,404000000.0,0.0502010000980488,-0.00466618808327346,6315000000.0,1.47465645415634,-0.481481481481482,0.387847097006852,17.9556863180192,1.1901821060966,0.387847097006852,20.445394716605,4.0,0.165555151368174
7,2019-05-04 00:00:00+00:00,1,2020,5019000000.0,9954000000.0,41000000.0,6323000000.0,7544000000.0,0.0,14191000000.0,0.0,307800430.0,7503000000.0,21296000000.0,0.0,0.0,5498000000.0,1375000000.0,4349000000.0,9130000000.0,14973000000.0,0.0,7105000000.0,0.0,0.0,737000000.0,4796000000.0,237000000.0,7989000000.0,-268000000.0,0.0,14000000.0,-48000000.0,-38000000.0,-230000000.0,0.0,6000000.0,-158000000.0,-116000000.0,-237000000.0,236000000.0,-433000000.0,0.0,5504000000.0,136000000.0,3403000000.0,2101000000.0,217000000.0,27000000.0,136000000.0,0.0,136000000.0,0.0,31000000.0,2112000000.0,163000000.0,0.44,2070000000.0,0.44,0.0,307800430.0,0.0,54000000.0,453000000.0,0.0555338975590739,-0.00667749503699688,6323000000.0,1.41562064156206,-0.0222222222222223,0.38172238372093,17.881716409558,1.18662027518583,0.38172238372093,20.5425314058203,3.0,0.181414838550653
8,2019-02-02 00:00:00+00:00,4,2019,5232000000.0,7526000000.0,43000000.0,6436000000.0,4751000000.0,0.0,11749000000.0,0.0,307467240.0,4708000000.0,19194000000.0,0.0,0.0,5263000000.0,1406000000.0,4386000000.0,6637000000.0,12758000000.0,0.0,7445000000.0,0.0,-951000000.0,1162000000.0,5021000000.0,400000000.0,8050000000.0,1404000000.0,0.0,15000000.0,-816000000.0,1306000000.0,98000000.0,0.0,4000000.0,-928000000.0,-116000000.0,93000000.0,244000000.0,471000000.0,0.0,8455000000.0,740000000.0,5288000000.0,3167000000.0,1023000000.0,226000000.0,740000000.0,0.0,740000000.0,0.0,795000000.0,2538000000.0,966000000.0,2.4,2372000000.0,2.38,0.0,307467240.0,0.0,57000000.0,1267000000.0,0.0569217518736101,-0.0250230627306273,6436000000.0,1.42297400611621,-0.45578231292517,0.374571259609698,27.4988645944849,0.731510254816656,0.374571259609698,20.9323113577889,6.0,0.185738255033557
10,2018-11-03 00:00:00+00:00,3,2019,6444000000.0,8272000000.0,65000000.0,5667000000.0,5534000000.0,10000000.0,11694000000.0,0.0,306972712.0,5469000000.0,20361000000.0,0.0,0.0,7147000000.0,1185000000.0,4389000000.0,6572000000.0,14716000000.0,0.0,8667000000.0,0.0,0.0,736000000.0,6379000000.0,180000000.0,8050000000.0,-351000000.0,0.0,17000000.0,130000000.0,-115000000.0,-236000000.0,0.0,3000000.0,20000000.0,-115000000.0,-237000000.0,248000000.0,-332000000.0,0.0,5404000000.0,62000000.0,3226000000.0,2178000000.0,138000000.0,12000000.0,62000000.0,0.0,62000000.0,0.0,-61000000.0,2255000000.0,74000000.0,0.2,2239000000.0,0.2,0.0,306972712.0,0.0,64000000.0,386000000.0,0.0876950626758762,0.0232910433629994,5645000000.0,1.34497206703911,1.0,0.403034789045152,17.6041706273879,0.965060878771837,0.403034789045152,18.3892566971881,5.0,0.296168301006523
11,2018-08-04 00:00:00+00:00,2,2019,4481000000.0,8293000000.0,63000000.0,5916000000.0,5536000000.0,0.0,11803000000.0,0.0,306370666.0,5473000000.0,18668000000.0,0.0,0.0,4956000000.0,1209000000.0,4391000000.0,6547000000.0,12774000000.0,0.0,6865000000.0,0.0,0.0,1068000000.0,4403000000.0,261000000.0,8050000000.0,69000000.0,0.0,14000000.0,-434000000.0,222000000.0,-153000000.0,0.0,10000000.0,-537000000.0,-116000000.0,-156000000.0,235000000.0,-471000000.0,0.0,5572000000.0,166000000.0,3320000000.0,2252000000.0,268000000.0,33000000.0,166000000.0,0.0,164000000.0,-2000000.0,67000000.0,2164000000.0,199000000.0,0.54,2185000000.0,0.53,0.0,306370666.0,0.0,69000000.0,503000000.0,0.0860226052268194,-0.0113555713271823,5894000000.0,1.532024101763,0.5,0.404163675520459,18.1871197812391,0.925118323191345,0.404163675520459,19.238134240959,8.0,0.309134350303253
